No,full_text
1,TJ ASTAGFIRULLAH SEMEIN GW AJA LAH SI IAN KASELA GAK JELAS https://t.co/SldqHRHJST
2,min kalo besok (weekdays) mau ke RSPAD dari terminal Tj Priok naik nomer berapa aja ya? @PT_Transjakarta
3,Latarnya si Mark naik busway banget nich sini w temenin
4,naik busway 5c turun di balaikota kita ke perpusnas #CSD #CaratSelcaDay https://t.co/luoQbuilw7
5,Kaaa @PT_Transjakarta d21 smaa 7a lewat Mrt fatmawati gak ya?
6,sekarang gue tau kenapa uncle onty abe cekut tu banyak bahkan di busway aja gue pernah nemu cowok punya wallpaper hape full mukanya abe cekut ni bayi emang gemesin bgt njir kek hish cubit nih 
7,Halo min @PT_Transjakarta rute untuk ke rskgm fkg ui dari puribeta 2 gimana ya min untuk besok pagi
8,@NodaMembundle Ada jalanan kosong lebar memilih buat ngambil hak 1 jalurnya transjakarta... gua percaya IQ rata2 kita dibawah 78 sih banyak pula yg masuk
9,Info transportasi umum ke Grogol dri Bekasi. Apakah ada rute Transjakarta tanpa transit?
10,Halooo tracking armada @PT_Transjakarta tapi malah mati ni di Google Maps gimana dong Pak/Bu @DKIJakarta
11,APASIH SI KANTOR ISILOP DEKET HALTE TJ CIKOKO SATU INI?! RENOV ️PAGAR️ TERUS KOCAAKKK Buka londry ae sekalian daripada proyek fortnite kek gini.
12,Ini transjakarta kagak ada stabilizer nya yak 
13,Mending lama di busway daripada di angkot
14,Hwaa kapok balik jam 7 kurang. Pepes bgt naik tj hampir saja kejadian siloam part 2‍↕️
15,btw btw busway gue kenapa udh gabisa bayangin seungmin rambut bayik lagi ya setelah rambutnya cepak damnnnnnnnnnnnnnn 
16,ketemu lgi sama busway kematian (nempelin stella ) https://t.co/BUPQhcvtxp
17,gara2 Sudirman di tutup Transjakarta Non BRT ga masuk sudirman anjimek. Terpaksa ngikut sampe Tanah Abang https://t.co/nVE9T6f28J
18,Bhabinkamtibmas kep.melayu besar AIPTU SERITA LASE S.H. melaksanakan sambang warga kegiatan cooling system pemilu damai dalam rangka ops mantap praja tahun 2024 di wilayah hukum polsek Tanah Putih Tanjung Melawan #PRESISI https://t.co/ReiUBwR6jB
19,Hi @PT_Transjakarta ini mau sampai kapan dibiarin jumlah armada 3F GBK - kalideres kalau jam pulang kerja ngga sebanding dengan penumpangnya. Apa nunggu ada yg jatoh kejepit dorong2an pas masuk busway baru dipikirin solusinya? Ini foto di dalam bus sama foto di halte GBK kemarin https://t.co/j20RICLMYB
