No,conversation_id_str,created_at_original,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,created_at_formated,Unnamed: 16,original_tweet,cleaned_full_text
1,1.82E+18,Mon Jul 29 09:14:57 +0000 2024,1,HAH ADUH GUE LAGI DI BUSWAY ANJENG MAU TERIAK PLS ITU TATTO NYA AOU KELIATANNNN https://t.co/WvFOWxqnlk,1.82E+18,https://pbs.twimg.com/ext_tw_video_thumb/1817851250849075200/pu/img/A1axrNex4DblfzK4.jpg,,in,,0,0,0,https://x.com/wubooms/status/1817851296256524442,1.81E+18,wubooms,7/29/2024 9:14,,HAH ADUH GUE LAGI DI BUSWAY ANJENG MAU TERIAK PLS ITU TATTO NYA AOU KELIATANNNN https://t.co/WvFOWxqnlk,HAH ADUH GUE LAGI DI BUSWAY ANJENG MAU TERIAK PLS ITU TATTO NYA AOU KELIATANNNN
2,1.82E+18,Mon Jul 29 11:27:28 +0000 2024,0,Gw masih di busway lgi nnton eps01 tpi mata gw gk kuatt https://t.co/zS6asrVAkQ,1.82E+18,https://pbs.twimg.com/media/GTpscVJbwAA4tF0.jpg,,in,"Jakarta Capital Region, Indone",0,0,0,https://x.com/viee_17/status/1817884645117354161,1.23E+18,viee_17,7/29/2024 11:27,,Gw masih di busway lgi nnton eps01 tpi mata gw gk kuatt https://t.co/zS6asrVAkQ,Gw masih di busway lgi nnton eps01 tpi mata gw gk kuatt
3,1.82E+18,Tue Jul 30 13:30:05 +0000 2024,4,sadly ternyata aku rada suka sm org yg biasa aku ketemu di busway ehehe mana dia rada mencurigakan gitu lgg,1.82E+18,,,in,Jakarta Capital Region,0,1,0,https://x.com/cinnamonettely/status/1818277887906385942,1.76E+18,cinnamonettely,7/30/2024 13:30,,sadly ternyata aku rada suka sm org yg biasa aku ketemu di busway ehehe mana dia rada mencurigakan gitu lgg,sadly ternyata aku rada suka sm org yg biasa aku ketemu di busway ehehe mana dia rada mencurigakan gitu lgg
4,1.82E+18,Mon Jul 29 02:04:29 +0000 2024,0,You think you busway??? Palak kau dibenerin dulu coba pir https://t.co/RB8YtoJ7gk,1.82E+18,https://pbs.twimg.com/media/GTnrlOabEAEXHS7.jpg,,in,,0,0,0,https://x.com/bucinclaude/status/1817742963679858712,1.07E+18,bucinclaude,7/29/2024 2:04,,You think you busway??? Palak kau dibenerin dulu coba pir https://t.co/RB8YtoJ7gk,You think you busway ? ? ? Palak kau dibenerin dulu coba pir
5,1.82E+18,Mon Jul 29 15:15:47 +0000 2024,1,Oh no menahan nangis di Busway jilid pertama,1.82E+18,,,in,18,0,1,0,https://x.com/tiarathekid/status/1817942100874575937,1.42E+18,tiarathekid,7/29/2024 15:15,,Oh no menahan nangis di Busway jilid pertama,Oh no menahan nangis di Busway jilid pertama
6,1.82E+18,Sun Jul 28 14:27:20 +0000 2024,0,kedapetan busway gak ya,1.82E+18,,,in,she/her  ,0,1,0,https://x.com/catofis/status/1817567521110917337,2758647047,catofis,7/28/2024 14:27,,kedapetan busway gak ya,kedapetan busway gak ya
7,1.82E+18,Mon Jul 29 22:52:27 +0000 2024,3,kalo ada yg cari kost deket halte busway atau stasiun krl bisa take kost aku ya. gajadi ambil krn overbudget 2.2jt/bulan boleh berdua boleh sendiri. kalo berdua gaada tambahan. kalo ada yg cari kost sekitaran budget ini dan minat bisa dm aku ya. lokasi aku tulis next twt https://t.co/xeVZtdDxYu,1.82E+18,https://pbs.twimg.com/media/GTsJN1ObIAAF-4F.jpg,,in,Jakarta Capital Region,0,3,3,https://x.com/heichoutruly/status/1818057024057524315,7.62E+17,heichoutruly,7/29/2024 22:52,,kalo ada yg cari kost deket halte busway atau stasiun krl bisa take kost aku ya. gajadi ambil krn overbudget 2.2jt/bulan boleh berdua boleh sendiri. kalo berdua gaada tambahan. kalo ada yg cari kost sekitaran budget ini dan minat bisa dm aku ya. lokasi aku tulis next twt https://t.co/xeVZtdDxYu,kalo ada yg cari kost deket halte busway atau stasiun krl bisa take kost aku ya . gajadi ambil krn overbudget 2 . 2jt / bulan boleh berdua boleh sendiri . kalo berdua gaada tambahan . kalo ada yg cari kost sekitaran budget ini dan minat bisa dm aku ya . lokasi aku tulis next twt
8,1.82E+18,Mon Jul 29 12:33:57 +0000 2024,0,di tengah busway kbelet pup https://t.co/foXewCe73w,1.82E+18,https://pbs.twimg.com/media/GTp7qXHbsAAugAr.jpg,,in,Agrabah,0,4,0,https://x.com/axeladdin/status/1817901376825163906,535043699,axeladdin,7/29/2024 12:33,,di tengah busway kbelet pup https://t.co/foXewCe73w,di tengah busway kbelet pup
9,1.82E+18,Mon Jul 29 12:08:47 +0000 2024,0,udah ganti 3 busway bau makanan nya beda2 yg pertama bau kopi yg kedua bau roti boy yg ketiga bau pizza https://t.co/ZFkixa3ZEj,1.82E+18,https://pbs.twimg.com/media/GTp15ozbkAAyxHP.jpg,,in,i n d o n e s i a,0,0,0,https://x.com/sunflowerpeache/status/1817895041345663438,1.12E+18,sunflowerpeache,7/29/2024 12:08,,udah ganti 3 busway bau makanan nya beda2 yg pertama bau kopi yg kedua bau roti boy yg ketiga bau pizza https://t.co/ZFkixa3ZEj,udah ganti 3 busway bau makanan nya beda2 yg pertama bau kopi yg kedua bau roti boy yg ketiga bau pizza
10,1.82E+18,Mon Jul 29 09:24:44 +0000 2024,0,masya Allah busway 6b gaada habisnya menguji kesabaran gw:)))?,1.82E+18,,,in,,0,0,0,https://x.com/bufferbeer/status/1817853756631036017,1.40E+18,bufferbeer,7/29/2024 9:24,,masya Allah busway 6b gaada habisnya menguji kesabaran gw:)))?,masya Allah busway 6b gaada habisnya menguji kesabaran gw : ) ) ) ?
11,1.82E+18,Tue Jul 30 12:45:16 +0000 2024,3,Anak pejabat pembunuh bebas kepala pesantren cabuli anak didik dapat 7 tahun penjara tapi remisi 6 tahun sita harta koruptor ditolak ditambah kejadian macam ini. Pantesan aja rakyatnya juga pada santai kalau melanggar aturan apalagi yang receh semisal trabas jalur busway,1.82E+18,,,in,"Tangerang, Indonesia",0,1,9,https://x.com/epicurina/status/1818266611125784647,113596781,epicurina,7/30/2024 12:45,,Anak pejabat pembunuh bebas kepala pesantren cabuli anak didik dapat 7 tahun penjara tapi remisi 6 tahun sita harta koruptor ditolak ditambah kejadian macam ini. Pantesan aja rakyatnya juga pada santai kalau melanggar aturan apalagi yang receh semisal trabas jalur busway,Anak pejabat pembunuh bebas kepala pesantren cabuli anak didik dapat 7 tahun penjara tapi remisi 6 tahun sita harta koruptor ditolak ditambah kejadian macam ini . Pantesan aja rakyatnya juga pada santai kalau melanggar aturan apalagi yang receh semisal trabas jalur busway
12,1.82E+18,Tue Jul 30 12:32:26 +0000 2024,0,damn dapet busway full desak berdiri. untung kaki w udh sporty bgt,1.82E+18,,,in,,0,0,0,https://x.com/AlfiansyahAchm1/status/1818263381842985426,1.11E+18,AlfiansyahAchm1,7/30/2024 12:32,,damn dapet busway full desak berdiri. untung kaki w udh sporty bgt,damn dapet busway full desak berdiri . untung kaki w udh sporty bgt
13,1.82E+18,Mon Jul 29 00:32:34 +0000 2024,0,huys ini perasaan gw aja atau emamg kursi busway ini PANAS BANGET KAYAK DIBALSEMIN???????,1.82E+18,,,in,pfp:,0,0,0,https://x.com/massdestruxion/status/1817719831954874412,1.49E+18,massdestruxion,7/29/2024 0:32,,huys ini perasaan gw aja atau emamg kursi busway ini PANAS BANGET KAYAK DIBALSEMIN???????,huys ini perasaan gw aja atau emamg kursi busway ini PANAS BANGET KAYAK DIBALSEMIN ? ? ? ? ? ? ?
14,1.82E+18,Sun Jul 28 12:22:07 +0000 2024,1,Apa yang kau harapkan dari para pejabat yang tiap hari pake kenpri ditambah nina-ninu pengawal untuk nerobos jalan macet sampe maruk jalur busway....?,1.82E+18,,,in,"Kota Bekasi, Indonesia",0,0,0,https://x.com/sripraba95/status/1817536009858695632,2215859544,sripraba95,7/28/2024 12:22,,Apa yang kau harapkan dari para pejabat yang tiap hari pake kenpri ditambah nina-ninu pengawal untuk nerobos jalan macet sampe maruk jalur busway....?,Apa yang kau harapkan dari para pejabat yang tiap hari pake kenpri ditambah nina - ninu pengawal untuk nerobos jalan macet sampe maruk jalur busway . . . . ?
15,1.82E+18,Mon Jul 29 12:26:37 +0000 2024,8,Gandeng truss kyk busway,1.82E+18,,,in,,0,4,0,https://x.com/sasyaaaaaa_/status/1817899528848302450,1.69E+18,sasyaaaaaa_,7/29/2024 12:26,,Gandeng truss kyk busway,Gandeng truss kyk busway
16,1.82E+18,Sun Jul 28 13:33:22 +0000 2024,0,busway hari ini ruameee poull,1.82E+18,,,in,ESFP. 07. FISIP UPNVJ 25,0,0,0,https://x.com/ayoksenam/status/1817553938109125006,1.61E+18,ayoksenam,7/28/2024 13:33,,busway hari ini ruameee poull,busway hari ini ruameee poull
17,1.82E+18,Sun Jul 28 02:16:23 +0000 2024,0,walaupun judulnya cfd tetep aja gue hampir di srempet motor dan busway https://t.co/7XikTn0yLo,1.82E+18,https://pbs.twimg.com/media/GTikrJkbkAAB33U.jpg,,in,,1,1,0,https://x.com/malaikatkukusan/status/1817383570920595953,1.55E+18,malaikatkukusan,7/28/2024 2:16,,walaupun judulnya cfd tetep aja gue hampir di srempet motor dan busway https://t.co/7XikTn0yLo,walaupun judulnya cfd tetep aja gue hampir di srempet motor dan busway
18,1.82E+18,Mon Jul 29 07:03:07 +0000 2024,0,Ada kali orang nangis di busway koridor 12,1.82E+18,,,in,,0,0,0,https://x.com/seungkwanfismat/status/1817818119823577320,1.65E+18,seungkwanfismat,7/29/2024 7:03,,Ada kali orang nangis di busway koridor 12,Ada kali orang nangis di busway koridor 12
