Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,full_text,Sentiment,Emotion,original_tweet,cleaned_full_text
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Positive,Happy,Alhamdulillah berfungsi dengan baik. Packaging aman. Respon cepat dan ramah. Seller dan kurir amanah,Alhamdulillah berfungsi dengan baik . Packaging aman . Respon cepat dan ramah . Seller dan kurir amanah
Computers and Laptops,PAKET LISENSI WINDOWS 10 PRO DAN OFFICE 2019 ORIGINAL + BONUS,Kota Tangerang Selatan,72000,4.9,2359,1044,5,"barang bagus dan respon cepat, harga bersaing dengan yg lain.",Positive,Happy,"barang bagus dan respon cepat, harga bersaing dengan yg lain.","barang bagus dan respon cepat , harga bersaing dengan yg lain ."
Computers and Laptops,SSD Midasforce 128 Gb - Tanpa Caddy,Jakarta Barat,213000,5,12300,3573,5,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat",Positive,Happy,"barang bagus, berfungsi dengan baik, seler ramah, pengiriman cepat","barang bagus , berfungsi dengan baik , seler ramah , pengiriman cepat"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,Positive,Happy,bagus sesuai harapan penjual nya juga ramah. trimakasih pelapak ??,bagus sesuai harapan penjual nya juga ramah . trimakasih pelapak ? ?
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik",Positive,Happy,"Barang Bagus, pengemasan Aman, dapat Berfungsi dengan Baik","Barang Bagus , pengemasan Aman , dapat Berfungsi dengan Baik"
Computers and Laptops,ADAPTOR CHARGER MONITOR LCD LED TV LG merek LG 19V ORIGINAL,Jakarta Timur,55000,4.7,2030,672,5,"barang bagus, seller ramah..",Positive,Happy,"barang bagus, seller ramah..","barang bagus , seller ramah . ."
Computers and Laptops,Kepala Colokan Listrik Charger Macbook untuk colokan Indonesia,Jakarta Selatan,85000,4.9,1339,718,5,mantap paten joss,Positive,Happy,mantap paten joss,mantap paten joss
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5,1201,632,5,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.",Positive,Happy,"Works fine. Respon seller cepat, barang berfungsi dengan baik. Recommended.","Works fine . Respon seller cepat , barang berfungsi dengan baik . Recommended ."
Computers and Laptops,AFL Bidirectional HDMI Switcher 1-In 2-Out & 2-In 1-Out - AFU,Jakarta Barat,136500,5,1201,632,5,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,Positive,Happy,barang bagus.. segel.. utuh.. original.. berfungsi dengan bener.. seller respon nya ajib.. cepat amir... uda gt kasi sarannya pas banget lg dengan kebutuhan.. mantabbb,barang bagus . . segel . . utuh . . original . . berfungsi dengan bener . . seller respon nya ajib . . cepat amir . . . uda gt kasi saran nya pas banget lg dengan kebutuhan . . mantabbb
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,5,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Positive,Happy,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu birunya.,Barang datang dan berfungsi dengan baik dan terlihat bagus kali ada lampu biru nya .
