conversation_id_str,created_at_original,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,created_at_formated,Unnamed: 16,original_tweet,cleaned_full_text
1.85E+18,Fri Oct 25 18:06:07 +0000 2024,1,Kantongi Tender 20 Bus Listrik Transjakarta VKTR Pastikan Serah Terima di 2024 https://t.co/P6PNxwgnqS,1.85E+18,,,in,Jakarta Capital Region,0,0,0,https://x.com/idx_channel/status/1849875100335735165,4755284968,idx_channel,10/25/2024 18:06,,Kantongi Tender 20 Bus Listrik Transjakarta VKTR Pastikan Serah Terima di 2024 https://t.co/P6PNxwgnqS,kantongi tender bus listrik transjakarta vktr pastikan serah terima di
1.82E+18,Mon Aug 05 03:53:41 +0000 2024,0,Hari ini mata berasa pedih bet kena AC terus ga di TJ ga di ruangan,1.82E+18,,,in,"Scuderia Ferrari HQ, Maranello",0,0,0,https://x.com/frz_nnda/status/1820307159365697564,194894757,frz_nnda,8/5/2024 3:53,,Hari ini mata berasa pedih bet kena AC terus ga di TJ ga di ruangan,hari ini mata berasa pedih bet kena ac terus ga di tj ga di ruangan
1.87E+18,Mon Dec 16 05:35:43 +0000 2024,0,Pertama kali naik busway nanya ke nyokap soalnya beliau lebih tau. Walaupun gak bisa ditemenin tapi info yg beliau kasih mudah dimengerti buat gue yg newbie ini. https://t.co/dyJlgMKYlh,1.87E+18,https://pbs.twimg.com/media/Ge5ag0ZaIAA-smp.jpg,,in,,0,1,0,https://x.com/sumberdaye/status/1868530424370401357,1.25E+18,sumberdaye,12/16/2024 5:35,,Pertama kali naik busway nanya ke nyokap soalnya beliau lebih tau. Walaupun gak bisa ditemenin tapi info yg beliau kasih mudah dimengerti buat gue yg newbie ini. https://t.co/dyJlgMKYlh,pertama kali naik busway nanya ke nyokap soalnya beliau lebih tau walaupun gak bisa ditemenin tapi info yg beliau kasih mudah dimengerti buat gue yg newbie ini
1.81E+18,Fri Jul 19 23:01:31 +0000 2024,0,Hari ini ada we the fest kalau naik busway dr grogol ke cawang macet gak ya?,1.81E+18,,,in,,0,0,0,https://x.com/biforsytheIII/status/1814435427904041325,1.08E+18,biforsytheIII,7/19/2024 23:01,,Hari ini ada we the fest kalau naik busway dr grogol ke cawang macet gak ya?,hari ini ada we the fest kalau naik busway dr grogol ke cawang macet gak ya
1.86E+18,Wed Nov 13 20:33:28 +0000 2024,0,gw tau sbg pengendara motor dg posisi dibelakang atau disamping busway di jalan seuprit ini dan semacet ini di dpn stasiun pasti bete banget. tapi plisss kalo lo belom bisa kontrol emosi mending gausah naik motor. NAIK ANJING AJA. NAIK ANJING YE.,1.86E+18,,,in,Jakarta Timur.,0,1,0,https://x.com/Flashdllah/status/1856797553259643085,118324477,Flashdllah,11/13/2024 20:33,,gw tau sbg pengendara motor dg posisi dibelakang atau disamping busway di jalan seuprit ini dan semacet ini di dpn stasiun pasti bete banget. tapi plisss kalo lo belom bisa kontrol emosi mending gausah naik motor. NAIK ANJING AJA. NAIK ANJING YE.,gw tau sbg pengendara motor dg posisi dibelakang atau disamping busway di jalan seuprit ini dan semacet ini di dpn stasiun pasti bete banget tapi plisss kalo lo belom bisa kontrol emosi mending gausah naik motor naik anjing aja naik anjing ye
1.82E+18,Sat Aug 17 15:40:53 +0000 2024,0,Pertama kali naek tj sendiri felt like Peter Parker,1.82E+18,,,in,1st & 10,0,1,0,https://x.com/jakejacktexas/status/1824833789673005154,1.08E+18,jakejacktexas,8/17/2024 15:40,,Pertama kali naek tj sendiri felt like Peter Parker,pertama kali naek tj sendiri felt like peter parker
1.84E+18,Tue Oct 01 15:19:27 +0000 2024,0,To @PT_Transjakarta kenapa ya sering banget nyusahin pelanggan yang sering kepotong 2x ini udah yg kesekian kalinya sampe bosen ngadu ke pusat layanan tp ga ada perbaikan dgn alasan lain vendor bet tiap koridor semoga kedepan meskipun beda vendor tetap jd kesatuan jgn keseringan,1.84E+18,,,in,dunia,0,1,0,https://x.com/akhikhilap/status/1841135850144612653,1.72E+18,akhikhilap,10/1/2024 15:19,,To @PT_Transjakarta kenapa ya sering banget nyusahin pelanggan yang sering kepotong 2x ini udah yg kesekian kalinya sampe bosen ngadu ke pusat layanan tp ga ada perbaikan dgn alasan lain vendor bet tiap koridor semoga kedepan meskipun beda vendor tetap jd kesatuan jgn keseringan,to kenapa ya sering banget nyusahin pelanggan yang sering kepotong x ini udah yg kesekian kalinya sampe bosen ngadu ke pusat layanan tp ga ada perbaikan dgn alasan lain vendor bet tiap koridor semoga kedepan meskipun beda vendor tetap jd kesatuan jgn keseringan
1.82E+18,Thu Jul 25 01:29:29 +0000 2024,49,@geloraco Salah jalur busway kenapa tiba2 ada disitu,1.82E+18,,geloraco,in,,0,9,0,https://x.com/ucapkanaja/status/1816284604732694764,1.47E+18,ucapkanaja,7/25/2024 1:29,,@geloraco Salah jalur busway kenapa tiba2 ada disitu,salah jalur busway kenapa tiba ada disitu
1.86E+18,Wed Nov 13 03:07:32 +0000 2024,0,GUA LAGI DI BUSWAY NAHAN TERIAK BGTTTTTT https://t.co/GbMDN7RGt0,1.86E+18,https://pbs.twimg.com/media/GcO8IG6bwAAmE_1.jpg,,in,,0,0,0,https://x.com/nochusalt/status/1856534333974295031,1.11E+18,nochusalt,11/13/2024 3:07,,GUA LAGI DI BUSWAY NAHAN TERIAK BGTTTTTT https://t.co/GbMDN7RGt0,gua lagi di busway nahan teriak bgtttttt
1.84E+18,Tue Oct 01 11:25:58 +0000 2024,5,kemaren bus @ppid_paspampres nabrak halte petamburan. hari ini bus @_TNIAU @tni_ad @_TNIAL_ mogok di halte karet. makanya kalo mau cepet perginya DARI KEMAREN sekalian. jgn nyusahin warga mulu. mentang2 pegawai pemerintah bs seenaknya masuk jalur busway @PT_Transjakarta ?!,1.84E+18,,,in,,1,1,0,https://x.com/chvanillatte/status/1841077088813793384,1.56E+18,chvanillatte,10/1/2024 11:25,,kemaren bus @ppid_paspampres nabrak halte petamburan. hari ini bus @_TNIAU @tni_ad @_TNIAL_ mogok di halte karet. makanya kalo mau cepet perginya DARI KEMAREN sekalian. jgn nyusahin warga mulu. mentang2 pegawai pemerintah bs seenaknya masuk jalur busway @PT_Transjakarta ?!,kemaren bus nabrak halte petamburan hari ini bus mogok di halte karet makanya kalo mau cepet perginya dari kemaren sekalian jgn nyusahin warga mulu mentang pegawai pemerintah bs seenaknya masuk jalur busway
