cleaned_full_text,indexed_text
kantongi tender bus listrik transjakarta vktr pastikan serah terima di,[0]kantongi [1]tender [2]bus [3]listrik [4]transjakarta [5]vktr [6]pastikan [7]serah [8]terima [9]di
hari ini mata berasa pedih bet kena ac terus ga di tj ga di ruangan,[0]hari [1]ini [2]mata [3]berasa [4]pedih [5]bet [6]kena [7]ac [8]terus [9]ga [10]di [11]tj [12]ga [13]di [14]ruangan
pertama kali naik busway nanya ke nyokap soalnya beliau lebih tau walaupun gak bisa ditemenin tapi info yg beliau kasih mudah dimengerti buat gue yg newbie ini,[0]pertama [1]kali [2]naik [3]busway [4]nanya [5]ke [6]nyokap [7]soalnya [8]beliau [9]lebih [10]tau [11]walaupun [12]gak [13]bisa [14]ditemenin [15]tapi [16]info [17]yg [18]beliau [19]kasih [20]mudah [21]dimengerti [22]buat [23]gue [24]yg [25]newbie [26]ini
hari ini ada we the fest kalau naik busway dr grogol ke cawang macet gak ya,[0]hari [1]ini [2]ada [3]we [4]the [5]fest [6]kalau [7]naik [8]busway [9]dr [10]grogol [11]ke [12]cawang [13]macet [14]gak [15]ya
gw tau sbg pengendara motor dg posisi dibelakang atau disamping busway di jalan seuprit ini dan semacet ini di dpn stasiun pasti bete banget tapi plisss kalo lo belom bisa kontrol emosi mending gausah naik motor naik anjing aja naik anjing ye,[0]gw [1]tau [2]sbg [3]pengendara [4]motor [5]dg [6]posisi [7]dibelakang [8]atau [9]disamping [10]busway [11]di [12]jalan [13]seuprit [14]ini [15]dan [16]semacet [17]ini [18]di [19]dpn [20]stasiun [21]pasti [22]bete [23]banget [24]tapi [25]plisss [26]kalo [27]lo [28]belom [29]bisa [30]kontrol [31]emosi [32]mending [33]gausah [34]naik [35]motor [36]naik [37]anjing [38]aja [39]naik [40]anjing [41]ye
pertama kali naek tj sendiri felt like peter parker,[0]pertama [1]kali [2]naek [3]tj [4]sendiri [5]felt [6]like [7]peter [8]parker
to kenapa ya sering banget nyusahin pelanggan yang sering kepotong x ini udah yg kesekian kalinya sampe bosen ngadu ke pusat layanan tp ga ada perbaikan dgn alasan lain vendor bet tiap koridor semoga kedepan meskipun beda vendor tetap jd kesatuan jgn keseringan,[0]to [1]kenapa [2]ya [3]sering [4]banget [5]nyusahin [6]pelanggan [7]yang [8]sering [9]kepotong [10]x [11]ini [12]udah [13]yg [14]kesekian [15]kalinya [16]sampe [17]bosen [18]ngadu [19]ke [20]pusat [21]layanan [22]tp [23]ga [24]ada [25]perbaikan [26]dgn [27]alasan [28]lain [29]vendor [30]bet [31]tiap [32]koridor [33]semoga [34]kedepan [35]meskipun [36]beda [37]vendor [38]tetap [39]jd [40]kesatuan [41]jgn [42]keseringan
salah jalur busway kenapa tiba ada disitu,[0]salah [1]jalur [2]busway [3]kenapa [4]tiba [5]ada [6]disitu
gua lagi di busway nahan teriak bgtttttt,[0]gua [1]lagi [2]di [3]busway [4]nahan [5]teriak [6]bgtttttt
kemaren bus nabrak halte petamburan hari ini bus mogok di halte karet makanya kalo mau cepet perginya dari kemaren sekalian jgn nyusahin warga mulu mentang pegawai pemerintah bs seenaknya masuk jalur busway,[0]kemaren [1]bus [2]nabrak [3]halte [4]petamburan [5]hari [6]ini [7]bus [8]mogok [9]di [10]halte [11]karet [12]makanya [13]kalo [14]mau [15]cepet [16]perginya [17]dari [18]kemaren [19]sekalian [20]jgn [21]nyusahin [22]warga [23]mulu [24]mentang [25]pegawai [26]pemerintah [27]bs [28]seenaknya [29]masuk [30]jalur [31]busway
