"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1846704899482177849","Thu Oct 17 00:08:52 +0000 2024","1","Pengguna lu udah banyak headway lu masih jelek @PT_Transjakarta. Pagi2 udah dilewatin 3 angkot penuh https://t.co/uFJAJZiT2s","1846704899482177849","https://pbs.twimg.com/ext_tw_video_thumb/1846704852795379712/pu/img/fMhymlupPfA2A3ke.jpg","","in","","0","3","0","https://x.com/em_er_zet/status/1846704899482177849","247781809","em_er_zet"
"1846405422795968610","Wed Oct 16 04:18:52 +0000 2024","0","Ini mah Bus Slow Transit bukan Bus Rapid Transit. Percuma gak sih kalo udah punya jalur ekslusif tapi cuman jalan 30kmh @PT_Transjakarta https://t.co/ddsy01NHVL","1846405422795968610","https://pbs.twimg.com/media/GZ-_2TAaMAAJNdf.jpg","","in","INDONESIA","0","0","0","https://x.com/MiyaHaE_1/status/1846405422795968610","1215259661063966720","MiyaHaE_1"
"1846917970372825468","Thu Oct 17 14:15:32 +0000 2024","46","New appearance of TJ-0884 Transjakarta Wisata TJ-0884 PT. Transportasi Jakarta Scania K310uB 6*2 Adi Putro - Jetbus2 DD Openroof (Livery Jakarta Explorer) BW2| IRTI Monas ⇌ Istiqlal Juanda (Monas Explorer) https://t.co/U4q8iViN4y","1846917970372825468","https://pbs.twimg.com/media/GaGSGs5b0AAnPZq.jpg","","in","Jakarta, ID","0","1","3","https://x.com/MiyanagiDeswira/status/1846917970372825468","601864838","MiyanagiDeswira"
"1846902408624197718","Thu Oct 17 13:13:42 +0000 2024","28","Selamat datang kembali! Transjakarta Metrotrans TJ-0752 PT. Transportasi Jakarta Scania K250uB 4*2 Laksana Cityline2 4C| Bundaran Senayan - Pemuda Merdeka https://t.co/26rJp4v2r1","1846902408624197718","https://pbs.twimg.com/media/GaGD7_Vb0AIqUzT.jpg","","in","Jakarta, ID","0","0","4","https://x.com/MiyanagiDeswira/status/1846902408624197718","601864838","MiyanagiDeswira"
"1846863492596617361","Thu Oct 17 10:39:04 +0000 2024","0","seharian kerja capek lembur pulang telat gadapet duduk di transjakarta masih ada tugas kuliah &amp; lg brantem sm pacar. yg gw syukuri saat ini bgt adalah kuota 80gb gue dan batre airpods gw yg full. Thanks Lord Praize Da Lord. ","1846863492596617361","","","in","","0","0","0","https://x.com/angelicaliku/status/1846863492596617361","291010090","angelicaliku"
"1846875188744581121","Thu Oct 17 11:25:32 +0000 2024","2","demi allah GUE TERANCAMMMM TOLONG DONGGG DI BASMI SERANGGA2 JELEK INI @PT_Transjakarta https://t.co/XMFGgZqGhp","1846875188744581121","https://pbs.twimg.com/ext_tw_video_thumb/1846875167555047427/pu/img/j6VMqA0ib_FhjV0U.jpg","","in","22","1","7","0","https://x.com/____saroui/status/1846875188744581121","1608128582580318209","____saroui"
"1846763276811784243","Thu Oct 17 04:00:51 +0000 2024","480","Efek positif adanya transportasi umum &amp; TOD. Kawasan Blok M sempat redup sekitar tahun 2011-2019an. Tapi sejak mulai banyaknya rute² bus TransJakarta dari Blok M &amp; beroperasinya MRT Lin Utara-Selatan (2019) kawasan ini mulai hidup kembali. Puncaknya saat TransJakarta Koridor 13","1846763276811784243","","","in","Indonesia","3","6","174","https://x.com/txttransportasi/status/1846763276811784243","1617441699613270016","txttransportasi"
"1846742413949522132","Thu Oct 17 02:37:56 +0000 2024","0","SOPIR TRANSJAKARTA TOLOL PRAMUSAPANYA LEBIH TOLOL PAS GW SAMPE DEPAN PINTU TUH BARU NUTUP MASA GA BISA LU LIAT GUE DAN LU BUKA @ SOPIR??? TRUS MASA GA BISA LO BANTU NGASI TAU SOPIR MALAH ASIK MAIN HAPE @ PRAMUSAPA??? Ga becus najis","1846742413949522132","","","in","jkt, id","0","0","0","https://x.com/clichereyn/status/1846742413949522132","1237697709068283905","clichereyn"
"1846915677820801540","Thu Oct 17 14:06:26 +0000 2024","1","izin menyampaikan keluhan di armada TJ-0380 (Maxi 2542) Rute K9 Pinang Ranti-Pluit terdengar bunyi kriyet2 di axle belakang sehingga menimbulkan suara yg cukup mengganggu.. mohon utk ditindaklanjuti min @PT_Transjakarta @BuswayFansC https://t.co/Xcb6mZ3KJ3","1846915677820801540","https://pbs.twimg.com/ext_tw_video_thumb/1846915547583467521/pu/img/8hJN_9P3EGBBaQAn.jpg","","in","Bandung, Jawa Barat","0","1","0","https://x.com/pawangnyabocil/status/1846915677820801540","1530335530549841921","pawangnyabocil"
"1846867552783183967","Thu Oct 17 10:55:12 +0000 2024","80801"," Tadi naik TransJakarta dan pas turun bilang terimakasih ke driver nya. : terimakasih bu ‍: iya sama-sama sayang OH I LOVE TO BE A WOMEN ","1846867552783183967","","","in","Indonesia","820","392","8268","https://x.com/tanyarlfes/status/1846867552783183967","1371650588","tanyarlfes"
"1846898401541345528","Thu Oct 17 12:57:47 +0000 2024","2","transjakarta juga dong ngutang 3.5 dulu euy","1846898401541345528","","","in","she/they 🏳️‍⚧️🇮🇩","0","0","0","https://x.com/nirpuansquid/status/1846898401541345528","417089057","nirpuansquid"
"1846694887099654329","Wed Oct 16 23:29:05 +0000 2024","0","Panas banget ini bis @PT_Transjakarta masih pagi lhooo https://t.co/jp0MWUbaoB","1846694887099654329","https://pbs.twimg.com/media/GaDHNc7aMAA5up5.jpg","","in","","0","2","0","https://x.com/_mhrdk/status/1846694887099654329","1770030395104649216","_mhrdk"
"1846885106872733735","Thu Oct 17 12:04:57 +0000 2024","0","transjakarta nya si leehan lucu tauuuu","1846885106872733735","","","in","hatinya woonhak ","0","0","0","https://x.com/lvwoonhak/status/1846885106872733735","1762671454834081792","lvwoonhak"
"1846506108824776709","Wed Oct 16 10:58:57 +0000 2024","0","ada yg pernah ikut MT Transjakarta gaa? mau tanya² terkait proses rekutmen ","1846506108824776709","","","in","","0","0","0","https://x.com/asphodelyy/status/1846506108824776709","1131576997790986241","asphodelyy"
