conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1914121303268987223,Mon Apr 21 05:24:01 +0000 2025,0,@TransRoofKorean @ForgotWeapons LOL tineye is just a generic reverse search engine that compares images one could make something like it targeting known AI stuff.,1914188352896614623,,TransRoofKorean,en,Seeking liberty,0,1,0,https://x.com/zippydsmlee/status/1914188352896614623,1367104483885481986,zippydsmlee
1912956017916494232,Fri Apr 18 02:56:59 +0000 2025,0,@SCP1181222321 Bedaa kalo tisane itu sebutan untuk teh dari bunga yg 100% bunga kering aja,1913064183513460778,,SCP1181222321,in,Kota Hujan,0,1,0,https://x.com/4thdhi/status/1913064183513460778,1528918734693224449,4thdhi
1914274354700968375,Mon Apr 21 13:05:44 +0000 2025,1,@DrianySccp TIte nasceu ora ser técnico do timao essa é a verdade .,1914304548048355800,,DrianySccp,pt,"São Paulo, Brasil",0,1,0,https://x.com/FeAlvinegra_/status/1914304548048355800,99493905,FeAlvinegra_
1913108563226247217,Fri Apr 18 10:30:32 +0000 2025,0,@Iatischa enjoy your very much deserved study break while it lasts tischa! i'm very fond of tine it's my nickname since i was a kid. i don't mind being called that ,1913178327059218545,,Iatischa,en,20+ mun 🌷 rentry wip,0,1,0,https://x.com/floraIwave/status/1913178327059218545,1905999279203971072,floraIwave
1913025871268479380,Fri Apr 18 00:40:23 +0000 2025,4,もちろん縦に一貫性を持つか横に一貫性を持つかの違いで全ての機能に別の視点・軸における一貫性があるのでどちらが良い悪いということはない Feから見ればTiは調和を乱す身勝手な機能 Teから見ればFiは社会や組織を軽視した身勝手な機能 とかに見えるであろう,1913029807874642275,,anti_coromochi,ja,ENTP-A ILE 7w8 738 sx/so SCUAI,0,1,0,https://x.com/anti_coromochi/status/1913029807874642275,1316713766277373952,anti_coromochi
1912186381889335526,Tue Apr 15 16:48:54 +0000 2025,7,พี่ธีคือโคตรหมวยของจริงมวลความน่ารักก็มีมายแบบพวยพุ่งเหมือนแมวตัวนึงทุกวันนี้พี่ธีอ้าปากหนูก็ได้ยินแต่เสียงเหมียวๆสูง 188 ซม. ยังไงให้เหมือน 8 นิ้วโคตรน่ารักเห้อออ ‍‍‍ #tee_vtp https://t.co/Pynhi69fQN,1912186381889335526,https://pbs.twimg.com/media/GolzXKeWUAAhC2d.jpg,,th,,0,0,3,https://x.com/piiitchha/status/1912186381889335526,1413059865807769601,piiitchha
1868265288585867771,Sun Dec 15 12:02:10 +0000 2024,220,『TIKI TIKI BOOM』の時にヒデがギターを脇に抱えて、仁王立ちで脇毛を光らせてたのを見て、ヒデ大好きになりました⭐️ なので、ヒデPhoto teeも買いました！ ヒデLOVE︎,1868265288585867771,,,ja,東京都,0,5,7,https://x.com/TOMATO_MSBT/status/1868265288585867771,2985917846,TOMATO_MSBT
1909123682116735366,Mon Apr 07 05:58:50 +0000 2025,388,テテの色気の手触りってちょっとしっとりしていて、その少しの湿度に絡め取られてどこにも行けない気がする https://t.co/Z01ZAEN1mu,1909123682116735366,https://pbs.twimg.com/media/Gn6R3nUaIAADgjT.jpg,,ja,,0,1,9,https://x.com/Yc3rXpjO1iGvF96/status/1909123682116735366,1459865679503695872,Yc3rXpjO1iGvF96
1912496511222706231,Wed Apr 16 13:21:15 +0000 2025,0,TITHEMI- Greek for kneel meaning properly in a to place in a horizontal posture Reverence to God #PureDoctrinesOfChrist #GlobalPrayerForHumanity,1912496511222706231,,,en,MNL,0,0,0,https://x.com/siopsssss/status/1912496511222706231,559235151,siopsssss
1913523165546136058,Sat Apr 19 09:20:48 +0000 2025,140,花やアクセサリー 飴や美しい自身の指にと 様々なものを小道具の一つにして まるでテテの専売特許のように 口に咥えてポーズを取る天才だ 又それが様になりテテに似合った 撮られる仕事10年選手のテテは その道のプロフェッショナル SDTのワッペンを軽く咥えるテテ https://t.co/XZTw8PYfDE,1913523165546136058,https://pbs.twimg.com/media/Go4zLTEbYAA11eq.jpg,,ja,𝙻𝚊𝚢𝚘𝚟𝚎𝚛,0,2,3,https://x.com/tata123mimi/status/1913523165546136058,1430433611052765186,tata123mimi
1879943861629513746,Thu Jan 16 17:28:38 +0000 2025,687,ตี๋ตี๋ เหมาะกับคำว่าชีเสิร์ฟที่สุดในโลกละ นี่ชอบความ unisex ของน้องอะ จะจับแต่งตัวแบบไหนก็ออกมาดูดีไปหมด ชอบที่ตี๋ตี๋หล่อได้ น่ารักด้วย บางโมเม้นก็ออกมาสวยหวานเลย เป็นคนที่มองแล้วไม่เคยเบื่อ อยากให้คนค้นพบตี๋ตี๋เยอะๆ นี่แหละที่มาของคำว่า ตี๋เสิร์ฟ #twnpich https://t.co/xGidOrYDDy,1879943861629513746,https://pbs.twimg.com/media/Ghbm-VbawAAMb58.jpg,,th,"nolemin,jaedo,allsunoo",4,0,604,https://x.com/ottistt/status/1879943861629513746,1349518780783751168,ottistt
1913699645504520547,Sat Apr 19 21:02:04 +0000 2025,0,mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío mío,1913699645504520547,,,es,thv girl,0,0,0,https://x.com/titikiut/status/1913699645504520547,1673535958656987137,titikiut
1887337972602908809,Thu Feb 06 03:10:12 +0000 2025,286,防ぐ手立てもなく流れまくる エロスの神'Reve V🇫🇷'に 悩殺されまくりで息も絶え絶えの中 楽屋裏の素のまんま 素朴で可愛いテテを見て 一旦落ち着こう 今からアミに会えるという高揚感が 『ファイティ〜ン、ファイティ〜ン』 と可愛く口ずさませてしまうのか(泣) 本番前の和やかで柔らかな空気感 https://t.co/easiB0NuEg,1887337972602908809,https://pbs.twimg.com/amplify_video_thumb/1887337899387179008/img/vwwmTcdUkHXu7qIj.jpg,,ja,𝙻𝚊𝚢𝚘𝚟𝚎𝚛,0,1,16,https://x.com/tata123mimi/status/1887337972602908809,1430433611052765186,tata123mimi
1862128441249964330,Thu Nov 28 13:36:31 +0000 2024,530,肩パンしても負けないぐらいにって言ってた時こんな感じの身体だったからメンバーもアミもこの１年後のテテの姿、誰が想像出来ただろう 4月にウィバでもっと努力しますと言ってからも毎日の努力でこの身体になったんだねスゴイよ有言実行してる #thv https://t.co/BqXdKWyJiw,1862128441249964330,https://pbs.twimg.com/media/Gdeb8MGWgAAgRkX.jpg,,ja,,1,3,13,https://x.com/winterb87866737/status/1862128441249964330,1396014146760560640,winterb87866737
1912154504025288768,Tue Apr 15 14:42:14 +0000 2025,1,2月の終わりから始まり3月まるまるを使い、今も引き続き10年前すごく好きだった作品に熱が上がってしまいジェットコースターのような情緒で過ごしているのですが、それを見てティセについて感じたことがこちらになります。鍵垢で流していた内容です(鍵の存在を隠していないので垂れ流すやつ) https://t.co/tJODxacc6z,1912154504025288768,https://pbs.twimg.com/media/GolWYmDWQAA5SV4.jpg,,ja,俺とティナリは仲がいい。,0,0,0,https://x.com/1229nakagaii623/status/1912154504025288768,1591657935993589761,1229nakagaii623
1913099734690017467,Fri Apr 18 05:18:15 +0000 2025,1,Inventei a palavra Tidi que significa TIA E DINDA (madrinha) porque eu sou as duas coisas não uma só.. e vi outras pessoas usando..,1913099734690017467,,,pt,,0,1,0,https://x.com/jucittadella/status/1913099734690017467,4779248175,jucittadella
1914212848303309031,Mon Apr 21 07:01:22 +0000 2025,0,tige translates to stem Word of The Hour's Annual Survey @ https://t.co/ntJgICZ6Jb #french #mots #learnfrench #translator #français,1914212848303309031,,,en,"Pennsylvania, USA",0,0,0,https://x.com/TraductionFeed/status/1914212848303309031,882114815367499777,TraductionFeed
1913977342323474515,Sun Apr 20 15:51:14 +0000 2025,5,the remains of Tié include the ruins of a high-status firedbrick building (16.8x23.4 m) with lime-plastered interior walls and a refuse heap containing pottery and metals and imported cowries and glass beads including some manufactured at Ife in Nigeria https://t.co/8w1MhCcmzX,1913983805867675927,,rhaplord,en,,0,1,0,https://x.com/rhaplord/status/1913983805867675927,1138526832,rhaplord
1912484797689290841,Wed Apr 16 12:34:42 +0000 2025,0,テデ見た目とか話し方はｵｰｻｶのおじさんって感じだけど思想とかホーム（ｳﾞｪﾈﾂｨｱ）のこと考えるとｷｮｰﾄのおじさんと混じってそうかなとか ｷｮｰﾄはベリかも ,1912484797689290841,,,ja,日本,0,0,0,https://x.com/tiroi_z/status/1912484797689290841,1359344016853094404,tiroi_z
1914073529420521487,Mon Apr 21 13:57:34 +0000 2025,5,@Doente98715 Duas palavras TITE na @NeoQuimicaArena 53 jogos 41 vitorias 9 empates 3 derrotas Aproveitamento impressionante de 83 %,1914317589427212433,,Doente98715,pt,Brasil,0,1,0,https://x.com/mirandes63/status/1914317589427212433,41849528,mirandes63
1893953475832131957,Mon Feb 24 09:17:51 +0000 2025,591,Shida inaweza kuwa wapi mtu anapiga mjei toka asubuhi hadi jioni lakini ikifika kwa mechi ni one minute man,1893953475832131957,,,in,DEEP in the streets°,4,30,123,https://x.com/_its_tikii/status/1893953475832131957,1840610915714035712,_its_tikii
1914498402014093396,Tue Apr 22 01:56:03 +0000 2025,35,Tege*Tegeと申します ペン画や水彩で主に動物や植物のいる世界を描いています そのイラストで紙雑貨なと作ったりしています 宜しくお願いします minne https://t.co/HsXZ9XQOKB いつもありがとうございます @Lupopo_cafe https://t.co/nfmihIyhV5,1914498402014093396,https://pbs.twimg.com/media/GpGqJHragAAHncc.jpg,,ja,,0,0,12,https://x.com/tege_tege219/status/1914498402014093396,977792346388484096,tege_tege219
