"id","created_at","username","text","retweets","likes","lang"
"1922079295851094213","Mon May 12 23:59:49 +0000 2025","LisanAlGhaib","@txtdrjkt Sebelum transjakarta menginvasi terminal blok m","0","28","in"
"1922079080163241990","Mon May 12 23:58:57 +0000 2025","xayy214","MANA TJ LAMA BANGETTTTT","0","0","in"
"1922078969630797913","Mon May 12 23:58:31 +0000 2025","TJFitzness","@chasingscratch0 Is this Eli or Sepp Straka ??","0","0","in"
"1922078949804216417","Mon May 12 23:58:26 +0000 2025","skinny317","@FanDuel TJ Leaf","0","0","in"
"1922078846351765568","Mon May 12 23:58:02 +0000 2025","strwbrrycheesck","Emg paling bner cuti bersama kaga usah masuk, busway aja jd lebih dikit dibanding hari biasa, pdhl yg cuti bersama gak semua orng dapettt https://t.co/2Qz2ZTU5vB","0","0","in"
"1922078841117221355","Mon May 12 23:58:00 +0000 2025","natalia_dea01","@PT_Transjakarta sampah bgt luar biasa, rute 4k baru di halte pemuda udh serame ini, gmn nnti sore dr csw, diblg macet jg ngga, emg bobrok aja menejemnya, armada apaan dtg 1 jam sekali!! https://t.co/8opdmqGMQs","0","0","in"
"1922078797551079858","Mon May 12 23:57:50 +0000 2025","sleepetals","Tolong frekuensi bus 4K arah Pulogadung di pukuk 6-8 diperbanyak, masa iya bus serame ini datangnya 15 menit sekali @PT_Transjakarta","0","1","in"
"1922078173853810905","Mon May 12 23:55:21 +0000 2025","chippybutty17","@PT_Transjakarta kalo boleh jadwalnya 6K ditambahin dong please 🙏🏽","0","0","in"
"1922076932516073761","Mon May 12 23:50:25 +0000 2025","pinykies","Pls tambahin armadanya mimin &gt;:0 @PT_Transjakarta","0","0","in"
"1922076696368287753","Mon May 12 23:49:29 +0000 2025","RafifFadhlurra4","@natalia_dea01 @PT_Transjakarta Untuk saat ini bus tujuan Kejaksaan Agung berada di Pasar Pulo Gadung","0","0","in"
"1922076592907432260","Mon May 12 23:49:04 +0000 2025","TraMurr","Woooooooooooooow. Gahdamn, man. Dang...","0","0","in"
"1922076509675700614","Mon May 12 23:48:45 +0000 2025","_LoverNoFighter","BANG 💥 @LCapitanBets https://t.co/1wXTKbFkW0","2","4","in"
"1922075502300258381","Mon May 12 23:44:44 +0000 2025","FitzyFreshh","@NioRooch HBD BRO 💪🏻","0","1","in"
"1922075251560575212","Mon May 12 23:43:45 +0000 2025","natalia_dea01","@PT_Transjakarta rute 4k itu brp jam sekali sih lewat? Sy nunggu udh 30 mnt di halte pemuda gaada yg lewat, rute 4c udh 3 bus lewat, rute 4 dan rute 4d udh 4 bus lewat, yg jelas lah ngatur jam operasionalnya, ngatur ginian aja gabisa","0","1","in"
"1922074994776944894","Mon May 12 23:42:43 +0000 2025","moonesse","knp sekalinya memutuskan buat naik tj malah gaib bgt busnya 😔😔","0","0","in"
"1922074627678855260","Mon May 12 23:41:16 +0000 2025","benings_tj2","@hirzamgamal_ Duh. Ngilu","0","1","in"
"1922074422531215755","Mon May 12 23:40:27 +0000 2025","natalia_dea01","@PT_Transjakarta saya sudah nunggu dr jam 06.25 di halte pemuda, kok sampai skrg rute 4k gaada juga dtg? Sengaja di kurangin armadanya? Udh tau jam kantor malah lama dtgnya, giliran siang hari berjejer dtgny, gmnsih ini menejemenya","0","0","in"
"1922073868602159435","Mon May 12 23:38:15 +0000 2025","thetaleofwoe","sebenernya optional w kerja tuh banyak 1. full motor (100k/seminggu) 2. ojol + bus jemputan (250k/seminggu) 3. motor + bus jemputan (70k/seminggu) 4. motor + tj (85k/seminggu)  itungan 5 hari kerja. bedanya di lama perjalanan dan kalo w bawa motor sendiri w bisa bengong2","0","0","in"
"1922073543061159945","Mon May 12 23:36:57 +0000 2025","PradityaSIA01","Jarang jarang pramudinya @PT_Transjakarta pakai intercom bus, mantap untuk pramudinya dmr-240144 pagi ini","0","0","in"
"1922073362899079445","Mon May 12 23:36:14 +0000 2025","bibimcad","Ketakutan terbesar: pool dance di TJ😔😔","0","0","in"
"1922072746730656235","Mon May 12 23:33:47 +0000 2025","DehorslaCaq","@FunkyPatricia Bwahahahahhahaha https://t.co/C6iF2tLDV7","0","0","tl"
"1922072643785593007","Mon May 12 23:33:23 +0000 2025","RafifFadhlurra4","@lauradmynti @PT_Transjakarta Makanya kalau mau nunggu itu dari jam 05.00 jangan sekarang","0","0","in"
