id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text,rand
1.92E+18,Sat May 10 16:05:14 +0000 2025,c00kiesncream_,"@rjjslyn hi, ak ada kost putri ksong d bangka jaksel hrg 900k-950k/bulan include listrik+wifi, fasilitas: kasur, kipas(bkn AC), meja, lemari, kaca, dapur brsm, kompor. dkt jl raya, ada tj, hbs direnov  minat? dm yaa #infokost #kostjaksel #infokos #kosputri #infokostputri #kostunder1jt",0,0,in,"@rjjslyn hi, ak ada kost putri ksong d bangka jaksel hrg 900k-950k/bulan include listrik+wifi, fasilitas: kasur, kipas(bkn AC), meja, lemari, kaca, dapur brsm, kompor. dkt jl raya, ada tj, hbs direnov  minat? dm yaa #infokost #kostjaksel #infokos #kosputri #infokostputri #kostunder1jt","hi , ak ada kost putri ksong d bangka jaksel hrg 900k - 950k / bulan include listrik + wifi , fasilitas : kasur , kipas ( bkn AC ) , meja , lemari , kaca , dapur brsm , kompor . dkt jl raya , ada tj , hbs direnov minat ? dm yaa",0.0003199
1.92E+18,Fri May 16 10:05:44 +0000 2025,No1ParthyAnthem,rute ngegembel: s parman - bl - tempat iam - halte tj - rumah fikri (numpang makan) - rumah aufa - jnm - sampe asrama,0,0,in,rute ngegembel: s parman - bl - tempat iam - halte tj - rumah fikri (numpang makan) - rumah aufa - jnm - sampe asrama,rute ngegembel : s parman - bl - tempat iam - halte tj - rumah fikri ( numpang makan ) - rumah aufa - jnm - sampe asrama,0.000421937
1.92E+18,Fri May 16 05:30:00 +0000 2025,akuratco,Jumlah Pengguna Transjakarta Melonjak Imbas ASN Wajib Naik Transportasi Umum https://t.co/LkBCmfniAa,0,0,in,Jumlah Pengguna Transjakarta Melonjak Imbas ASN Wajib Naik Transportasi Umum https://t.co/LkBCmfniAa,Jumlah Pengguna Transjakarta Melonjak Imbas ASN Wajib Naik Transportasi Umum,0.001888331
1.92E+18,Tue May 06 15:43:35 +0000 2025,naapenaa,"@mod_chips Minimal naik krl lebih pasti jam tibanya. Kalo TJ begitu stuck atau salah koridor, wassalam.",0,1,in,"@mod_chips Minimal naik krl lebih pasti jam tibanya. Kalo TJ begitu stuck atau salah koridor, wassalam.","Minimal naik krl lebih pasti jam tibanya . Kalo TJ begitu stuck atau salah koridor , wassalam .",0.002019629
1.92E+18,Sat May 10 18:48:19 +0000 2025,dogbytecat,@tjdragons26 @IRL_with_Nik Hi TJ 🫶🏻,0,2,in,@tjdragons26 @IRL_with_Nik Hi TJ 🫶🏻,Hi TJ,0.002606779
1.92E+18,Fri May 16 04:54:44 +0000 2025,khaleesist,"Kemarin debat debat bandingin PIK dgn Blok M, ini langsung dibikin connectornya dengan busway 👏",1,1,in,"Kemarin debat debat bandingin PIK dgn Blok M, ini langsung dibikin connectornya dengan busway 👏","Kemarin debat debat bandingin PIK dgn Blok M , ini langsung dibikin connectornya dengan busway",0.002614082
1.92E+18,Fri May 16 16:16:42 +0000 2025,buayapalu,@BuswayFansC Romansa bangku masih kain kek bus patas wkwkw dulu karena BLU mungkin ya jadinya lebih familiar sama nama busway,0,1,in,@BuswayFansC Romansa bangku masih kain kek bus patas wkwkw dulu karena BLU mungkin ya jadinya lebih familiar sama nama busway,Romansa bangku masih kain kek bus patas wkwkw dulu karena BLU mungkin ya jadinya lebih familiar sama nama busway,0.002866818
1.92E+18,Fri May 16 17:40:19 +0000 2025,allkapalskz,@felixxlov Aku bacanya jelambar :) (nama halte tj di daerah grogol),0,0,in,@felixxlov Aku bacanya jelambar :) (nama halte tj di daerah grogol),Aku bacanya jelambar : ) ( nama halte tj di daerah grogol ),0.003185737
1.92E+18,Mon May 12 17:45:59 +0000 2025,Stormthefolf,@TJFoxDubz Ty TJ ❤️,0,1,sv,@TJFoxDubz Ty TJ ❤️,Ty TJ,0.004447343
1.92E+18,Wed May 14 11:41:24 +0000 2025,nunnurm12,Busway non brt 5F lewat gak yg arah kp melayu?? @PT_Transjakarta  Kayaknya tiap rabu begini deh udah 2x..,0,0,in,Busway non brt 5F lewat gak yg arah kp melayu?? @PT_Transjakarta  Kayaknya tiap rabu begini deh udah 2x..,Busway non brt 5F lewat gak yg arah kp melayu ? ? pt_transjakarta Kayaknya tiap rabu begini deh udah 2x . .,0.004591937
1.92E+18,Fri May 16 02:19:26 +0000 2025,ponderingtyper,ih ya alloh big W bgt skrg tj banyak nambah rutenya,0,7,in,ih ya alloh big W bgt skrg tj banyak nambah rutenya,ih ya alloh big W bgt skrg tj banyak nambah rutenya,0.005584564
1.92E+18,Thu May 08 16:20:26 +0000 2025,samasmaverna,@flowersandsvt Nakakaloka kayo yung Dating Tayo pa talaga ni TJ Monterde 😭😭😭,0,0,tl,@flowersandsvt Nakakaloka kayo yung Dating Tayo pa talaga ni TJ Monterde 😭😭😭,Nakakaloka kayo yung Dating Tayo pa talaga ni TJ Monterde,0.005813681
1.92E+18,Wed May 14 16:27:07 +0000 2025,taeilseukka,Ak jg rela tiap hari pp naik kereta (padahal anak tj harga mati) kalau masinisnya Isagi😋☝️,0,0,in,Ak jg rela tiap hari pp naik kereta (padahal anak tj harga mati) kalau masinisnya Isagi😋☝️,Ak jg rela tiap hari pp naik kereta ( padahal anak tj harga mati ) kalau masinisnya Isagi,0.006828327
1.92E+18,Sat May 10 05:50:00 +0000 2025,NasionalBerita_,Pemprov DKI Jakarta Beri KLG Transportasi untuk 15 Golongan Masyarakat  #Transjakarta #Sabtu #TransportasiUmum #DKIJakart #BeritaNasional   https://t.co/mwV1tzHJiS,0,0,in,Pemprov DKI Jakarta Beri KLG Transportasi untuk 15 Golongan Masyarakat  #Transjakarta #Sabtu #TransportasiUmum #DKIJakart #BeritaNasional   https://t.co/mwV1tzHJiS,Pemprov DKI Jakarta Beri KLG Transportasi untuk 15 Golongan Masyarakat,0.007960967
1.92E+18,Tue May 06 16:14:44 +0000 2025,reeznisme,Ya Allah di bawah TJ layang vibes,0,0,in,Ya Allah di bawah TJ layang vibes,Ya Allah di bawah TJ layang vibes,0.008323436
1.92E+18,Fri May 16 04:43:30 +0000 2025,ezaandrepm,"@nllpointerexcpt Aku dulu biasanya jalan ngikutin ruter KRL/MRT/tj. Mulai dari kota tua..lanjut ke area monas, terus hi, sudirman, arah ke gbk, senayan, sampe blok M.",0,0,in,"@nllpointerexcpt Aku dulu biasanya jalan ngikutin ruter KRL/MRT/tj. Mulai dari kota tua..lanjut ke area monas, terus hi, sudirman, arah ke gbk, senayan, sampe blok M.","Aku dulu biasanya jalan ngikutin ruter KRL / MRT / tj . Mulai dari kota tua . . lanjut ke area monas , terus hi , sudirman , arah ke gbk , senayan , sampe blok M .",0.008913808
1.92E+18,Mon May 12 04:39:29 +0000 2025,rayfes7,"@tanyarlfes Aku gpp bgt klo pup tiap pagi, asal jgn pas lagi di transhum otw kuliah, sumpah susah nahannya klo pup tuh, udah mana naik tj yg ac nya kerasa bgt lagi😭. Rasanya taruhan sama nyawa. Kebayang kan klo pagi macet😭",0,0,in,"@tanyarlfes Aku gpp bgt klo pup tiap pagi, asal jgn pas lagi di transhum otw kuliah, sumpah susah nahannya klo pup tuh, udah mana naik tj yg ac nya kerasa bgt lagi😭. Rasanya taruhan sama nyawa. Kebayang kan klo pagi macet😭","Aku gpp bgt klo pup tiap pagi , asal jgn pas lagi di transhum otw kuliah , sumpah susah nahannya klo pup tuh , udah mana naik tj yg ac nya kerasa bgt lagi . Rasanya taruhan sama nyawa . Kebayang kan klo pagi macet",0.009002151
1.92E+18,Tue May 06 13:38:50 +0000 2025,tidakmendunggg,"barang random yang dibeli kemarin 1. Lupa gak bawa topi 2. Bisa-bisanya kabel charger rusak pas naik tj 3. Kok ya pas kuku juga bermasalah 4. Gak dapet sabun di penginapan, mau beli sabun cair, gak ada ukuran mini, akhirnya beli sabun batang dibagi 2 https://t.co/os2OfC84cS",0,0,in,"barang random yang dibeli kemarin 1. Lupa gak bawa topi 2. Bisa-bisanya kabel charger rusak pas naik tj 3. Kok ya pas kuku juga bermasalah 4. Gak dapet sabun di penginapan, mau beli sabun cair, gak ada ukuran mini, akhirnya beli sabun batang dibagi 2 https://t.co/os2OfC84cS","barang random yang dibeli kemarin 1 . Lupa gak bawa topi 2 . Bisa - bisanya kabel charger rusak pas naik tj 3 . Kok ya pas kuku juga bermasalah 4 . Gak dapet sabun di penginapan , mau beli sabun cair , gak ada ukuran mini , akhirnya beli sabun batang dibagi 2",0.009441742
1.92E+18,Tue May 06 23:51:58 +0000 2025,tom_hutomo,"@BuswayFansC hmmm, begitu 🧐 pantes tukang roti seneng banget nempel tj",0,0,in,"@BuswayFansC hmmm, begitu 🧐 pantes tukang roti seneng banget nempel tj","hmmm , begitu pantes tukang roti seneng banget nempel tj",0.009746464
