id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1921351507460440284,Sat May 10 23:47:51 +0000 2025,ZentelaAsiatica,"Tadi pas mau turun TJ, omanya langsung buru buru turun Gw lihatin anaknya, akhirnya dia pungut beneran  😭😭😭",0,0,in,"Tadi pas mau turun TJ, omanya langsung buru buru turun Gw lihatin anaknya, akhirnya dia pungut beneran  😭😭😭","Tadi pas mau turun TJ , omanya langsung buru buru turun Gw lihatin anaknya , akhirnya dia pungut beneran"
1921351059999424605,Sat May 10 23:46:04 +0000 2025,ikanindyas,"@finochk Niatnya mengintip dari jendela TJ, wes kadung betmut 🤌",0,0,in,"@finochk Niatnya mengintip dari jendela TJ, wes kadung betmut 🤌","Niatnya mengintip dari jendela TJ , wes kadung betmut"
1921350965472477695,Sat May 10 23:45:41 +0000 2025,ZentelaAsiatica,"I just make a scene di TransJakarta  Negor oma ama anaknya early 40's, buang sampah sisa makanan (tulang ayam) ke lantai Bus *beneran dengan nada pelan bisik2  Oma-nya  ngeles teriak teriak : 'Nanti pas nyampe kita ambil pake tissue, jangan ngurusin hidup orang  😭😭😭",0,0,in,"I just make a scene di TransJakarta  Negor oma ama anaknya early 40's, buang sampah sisa makanan (tulang ayam) ke lantai Bus *beneran dengan nada pelan bisik2  Oma-nya  ngeles teriak teriak : 'Nanti pas nyampe kita ambil pake tissue, jangan ngurusin hidup orang  😭😭😭","I just make a scene di TransJakarta Negor oma ama anaknya early 40 ' s , buang sampah sisa makanan ( tulang ayam ) ke lantai Bus * beneran dengan nada pelan bisik2 Oma - nya ngeles teriak teriak : ' Nanti pas nyampe kita ambil pake tissue , jangan ngurusin hidup orang"
1921349589954633890,Sat May 10 23:40:13 +0000 2025,Dubbroz_1,Kemaren liat di tl ada orang upload nunjukkin 'rudalnya' di tj padajal cctv tj ada 3 apa ga malu 💀💀💀 kai moment part 2 lmao https://t.co/pwMiBgjzL9,0,0,in,Kemaren liat di tl ada orang upload nunjukkin 'rudalnya' di tj padajal cctv tj ada 3 apa ga malu 💀💀💀 kai moment part 2 lmao https://t.co/pwMiBgjzL9,Kemaren liat di tl ada orang upload nunjukkin ' rudalnya ' di tj padajal cctv tj ada 3 apa ga malu kai moment part 2 lmao
1921348858434420856,Sat May 10 23:37:19 +0000 2025,camelliasgone,Pagi min @PT_Transjakarta minggu pagi tj 9D ke arah tnh abang ada kah?,0,0,in,Pagi min @PT_Transjakarta minggu pagi tj 9D ke arah tnh abang ada kah?,Pagi min pt_transjakarta minggu pagi tj 9D ke arah tnh abang ada kah ?
1921348856244998506,Sat May 10 23:37:18 +0000 2025,CommuterLine,@ojol_sampingan Selamat pagi Kak. Kami informasikan untuk KMT (Kartu Multi Trip) dapat digunakan sebagai alat pembayaran di TransJakarta pada gate Halte BRT Transjakarta yang tersedia ya Kak. Tks.,0,0,in,@ojol_sampingan Selamat pagi Kak. Kami informasikan untuk KMT (Kartu Multi Trip) dapat digunakan sebagai alat pembayaran di TransJakarta pada gate Halte BRT Transjakarta yang tersedia ya Kak. Tks.,Selamat pagi Kak . Kami informasikan untuk KMT ( Kartu Multi Trip ) dapat digunakan sebagai alat pembayaran di TransJakarta pada gate Halte BRT Transjakarta yang tersedia ya Kak . Tks .
1921348805124849993,Sat May 10 23:37:06 +0000 2025,ohinihilall_,jing ga mood aja nih pagi grgr ketinggalan busway ngntot,0,0,in,jing ga mood aja nih pagi grgr ketinggalan busway ngntot,jing ga mood aja nih pagi grgr ketinggalan busway ngntot
1921347884898771033,Sat May 10 23:33:27 +0000 2025,loty0527,@wocnwls https://t.co/HlJf05UEGu or TJ.hangneil,0,1,in,@wocnwls https://t.co/HlJf05UEGu or TJ.hangneil,or TJ . hangneil
1921343524227678557,Sat May 10 23:16:07 +0000 2025,aoeuim,"karena cape banget nunggu lift yang gaada habis manusia nya itu, alhasil turun manual 14 - G. untung di tj dapet duduk, tapi galagi lagi deh https://t.co/UzH8L3CTRB",0,0,in,"karena cape banget nunggu lift yang gaada habis manusia nya itu, alhasil turun manual 14 - G. untung di tj dapet duduk, tapi galagi lagi deh https://t.co/UzH8L3CTRB","karena cape banget nunggu lift yang gaada habis manusia nya itu , alhasil turun manual 14 - G . untung di tj dapet duduk , tapi galagi lagi deh"
1921343086736609734,Sat May 10 23:14:23 +0000 2025,ivysimonesmith2,TJ cousin,0,0,in,TJ cousin,TJ cousin
