"id","created_at","username","text","retweets","likes","lang"
"1862647172946436273","Fri Nov 29 23:57:46 +0000 2024","PT_Transjakarta","#INFOTRANSJAKARTA | Layanan Mikrotrans JAK 29: Tj Priok - Sukapura mengalami pengalihan rute dikarenakan adanya Kepadatan lalulintas di sekitar Jl. Jampea. Sementara arah Sukapura tidak melayani bus stop Enggano s/d RS Koja. #JAKI #PerluTahu #JAK29","0","0","in"
"1862647066813767911","Fri Nov 29 23:57:21 +0000 2024","PT_Transjakarta","#INFOTRANSJAKARTA | Layanan Mikrotrans JAK 07: Tanah Abang-Grogol Via Tawakal mengalami pengalihan rute dikarenakan adanya penutupan jalan di sekitar Jl Tomang Tinggi. Sementara tidak melayani bus stop Sumber Waras 1 s/d Jl Tawakal VA. #JAKI #PerluTahu #JAK07","0","0","in"
"1862643442452734414","Fri Nov 29 23:42:57 +0000 2024","dameboy_","@bobac0t @PT_Transjakarta Naik dari Cawang Sentral?","0","0","in"
"1862639969887821868","Fri Nov 29 23:29:09 +0000 2024","BORNH4TER","@PT_Transjakarta Alhamdulillah. Makasih infonya, Min. 👍🏻","0","0","in"
"1862639782339236348","Fri Nov 29 23:28:24 +0000 2024","PT_Transjakarta","@BORNH4TER Hai kak, layaan rute B11 penaikan awal dari bus stop BNN. Yuk unduh aplikasi versi terbarunya aplikasi TJ: Transjakarta ya kak. Terima kasih ^ZL","0","0","in"
"1862638800637501808","Fri Nov 29 23:24:30 +0000 2024","BORNH4TER","@PT_Transjakarta pagi, Min. Emang betul ya sekarang koridor B11 yang ke Sumarrecon udah gak jalan dari BNN?","0","0","in"
"1862638448085016832","Fri Nov 29 23:23:06 +0000 2024","PT_Transjakarta","@lixuan6611 Hai Kak. Benar, silakan dilanjutkan dengan berjalan kaki, Kak. Terima kasih ^FN","0","0","in"
"1862637667575341088","Fri Nov 29 23:20:00 +0000 2024","PT_Transjakarta","@hongseunghanism Hai kak. Silakan naik koridor 13 transit Halte CSW kemudian menuju Halte ASEAN naik koridor 1 turun Halte Monumen Nasional. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore. Terima kasih ^ZR","0","1","in"
"1862637553767391708","Fri Nov 29 23:19:33 +0000 2024","lixuan6611","@PT_Transjakarta Thank youu, itu di terminal senen udh deket stasiun antar kota pasar senen?","0","0","in"
"1862634419909022162","Fri Nov 29 23:07:06 +0000 2024","PT_Transjakarta","@lixuan6611 Hai kak, silakan naik koridor 6 transit di halte Jati Barat dan naik rute 6H arah Terminal Senen. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^ZL","1","0","in"
"1862633569421861071","Fri Nov 29 23:03:43 +0000 2024","lixuan6611","@PT_Transjakarta halo min, kalau mau ke stasiun antar kota pasar senen, rute busway dari ragunan apa ya?","0","0","in"
"1862631130366640393","Fri Nov 29 22:54:02 +0000 2024","PT_Transjakarta","@ktvjo Hai kak. Layanan rute B11 Summarecon Bekasi - Cawang beroperasi setiap hari mulai pukul 05:00 WIB hingga pukul 20:50 WIB dari Summarecon Bekasi dan pukul 21:30 WIB dari bus stop BNN 2. Yuk unduh aplikasi versi terbarunya aplikasi TJ: Transjakarta ya kak. Terima kasih ^MB","0","0","in"
"1862628096081633706","Fri Nov 29 22:41:58 +0000 2024","PT_Transjakarta","@Flaresiapakek Hai Kak. Bisa naik Mikrotrans rute Jak 20 arah Cawang Sentral dari bus stop Jln. Kramat Pangeran Syarif ya, lebih lengkapnya bisa download aplikasi TJ: Transjakarta di Playstore/Appstore untuk menggunakan fitur perencanaan perjalanan dan tracking posisi bus ya. Terima kasih ^NR","0","0","in"
"1862626808551682171","Fri Nov 29 22:36:51 +0000 2024","PT_Transjakarta","@ktvjo Selamat pagi kak, layanan Rute B11 beroperasi mulai pukul 05:00 WIB dari bus stop BNN 2. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^MB","0","0","in"
"1862626246330306940","Fri Nov 29 22:34:37 +0000 2024","PT_Transjakarta","@crystalsnwy Pagi Kak. Beroperasi setiap hari mulai pukul 05:00 WIB hingga pukul 20:50 WIB dari Summarecon Bekasi dan pukul 21:30 WIB dari bus stop BNN 2, lebih lengkapnya bisa download aplikasi TJ: Transjakarta untuk menggunakan fitur tracking posisi bus ya Kak. Terima kasih ^NR","0","0","in"
"1862625853383090228","Fri Nov 29 22:33:04 +0000 2024","crystalsnwy","b11 di bnn jam brp aja hari ini @PT_Transjakarta","0","0","in"
"1862625441015898200","Fri Nov 29 22:31:25 +0000 2024","mamakokoraras","@sociotalker @Bluebirdgroup Ini belum orang yg suka wara wiri naik @PT_Transjakarta  suka curiga sama  penumpang yg nanya2..trus jual cerita sedih..biar di kasih ongkos..naik TJ nya gak jelas tujuannya..jd cuma muter2 naik nya (krn transit kan gak bayar). Hati2 saja jgn asal kasihan..","0","0","in"
"1862623308748832906","Fri Nov 29 22:22:57 +0000 2024","PT_Transjakarta","@rizkyshanam Hai kak, silakan naik Rute 7F turun di Halte Monumen Nasional dan transit Koridor 1 arah Kota. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^MB","0","0","in"
"1862622544966070646","Fri Nov 29 22:19:55 +0000 2024","PT_Transjakarta","@skyetc_ Hai Kak. Bisa naik rute S21/S22 transit di halte Pondok Pinang naik koridor 8 transit di halte Tanjung Duren naik koridor 9 ya, lebih lengkapnya bisa download aplikasi TJ: Transjakarta untuk menggunakan fitur perencanaan perjalanan dan tracking posisi bus ya. Terima kasih ^NR","0","0","in"
"1862622099933913333","Fri Nov 29 22:18:09 +0000 2024","skyetc_","@PT_Transjakarta 4K bus nya lama ga min? kalo selain 4K apa?","0","0","in"
"1862621252633981301","Fri Nov 29 22:14:47 +0000 2024","PT_Transjakarta","@skyetc_ Hai kak, silakan naik Rute S21 turun di Halte Kejaksaan Agung dan transit Rute 4K turun di Halte Tebet Eco Park. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^MB","0","0","in"
"1862620540948926969","Fri Nov 29 22:11:57 +0000 2024","skyetc_","min @PT_Transjakarta info rute ke Taman Eco Park Tebet dari Ciputat dong","0","0","in"
"1862618416189731166","Fri Nov 29 22:03:30 +0000 2024","PT_Transjakarta","@sandraftrn Dengan senang hati. Terima kasih telah menggunakan layanan Transjakarta, sehat selalu ya Kak. ^NR","0","0","in"
"1862618202393731216","Fri Nov 29 22:02:39 +0000 2024","sandraftrn","@PT_Transjakarta Mkasih kak","0","0","in"
"1862612656877969888","Fri Nov 29 21:40:37 +0000 2024","AdiiAFVs","Merayap di atas langit . .  Transjakarta PT Transportasi Jakarta TJ-0199 Scania K320iA Cityline 2 Laksana Caroserrie https://t.co/7nfajAMJBE","0","4","in"
"1862607330191581336","Fri Nov 29 21:19:27 +0000 2024","shiningfitri","Halo min @PT_Transjakarta Rute B11 hari ini beroperasi ga ya?","0","0","in"
