id,created_at,username,full_text,retweets,likes,lang,text_clean
1.81844E+18,Tue Jul 30 23:59:27 +0000 2024,Legi1Legi,@PT_Transjakarta terimakasih banyak mimin transjakarta akhirnya setelah penantian yg panjang akhirnya di tanem juga. Love u so much transjakarta https://t.co/PPO3KpifbL,0,0,in,@PT_Transjakarta terimakasih banyak mimin transjakarta akhirnya setelah penantian yg panjang akhirnya di tanem juga. Love u so much transjakarta https://t.co/PPO3KpifbL
1.81844E+18,Tue Jul 30 23:59:10 +0000 2024,hereisvanesa,"@PT_Transjakarta gila lama banget nunggu 1T di halte cibubur. selalu arah blok m yang dateng cepet ke halte, armadanya kurang apa gimana si? pernah evaluasi? ini yang nunggu antrian 1T ampe ngantri panjang, sedangkan bus 1K dan 6P selalu bisa nyetem dulu biar bus penuh.",0,0,in,@PT_Transjakarta gila lama banget nunggu 1T di halte cibubur. selalu arah blok m yang dateng cepet ke halte armadanya kurang apa gimana si? pernah evaluasi? ini yang nunggu antrian 1T ampe ngantri panjang sedangkan bus 1K dan 6P selalu bisa nyetem dulu biar bus penuh.
1.81844E+18,Tue Jul 30 23:57:12 +0000 2024,dapatozaki,@PT_Transjakarta Jak 54 beroperasi normal kah?,0,0,in,@PT_Transjakarta Jak 54 beroperasi normal kah?
1.81844E+18,Tue Jul 30 23:54:48 +0000 2024,heatherushh,@tho_shu126 @PT_Transjakarta nah btul padahal ngejar setoran sampe penumpang penuh jg tidak kan?? @PT_Transjakarta apasih yg dikejar sm km,0,0,in,@tho_shu126 @PT_Transjakarta nah btul padahal ngejar setoran sampe penumpang penuh jg tidak kan?? @PT_Transjakarta apasih yg dikejar sm km
1.81844E+18,Tue Jul 30 23:54:35 +0000 2024,tho_shu126,@PT_Transjakarta pemuda Pramuka ke Tj Priok kagak ada nih bus nya?,0,0,in,@PT_Transjakarta pemuda Pramuka ke Tj Priok kagak ada nih bus nya?
1.81844E+18,Tue Jul 30 23:54:27 +0000 2024,PT_Transjakarta,@full6oxo_ Hai kak. Layanan Mikrotrans Jak 89 beroperasi melayani pelanggan. Terima kasih ^DIJ,0,0,in,@full6oxo_ Hai kak. Layanan Mikrotrans Jak 89 beroperasi melayani pelanggan. Terima kasih ^DIJ
1.81843E+18,Tue Jul 30 23:53:15 +0000 2024,PT_Transjakarta,@felia_yulianti Pagi kak. Saat ini Mikrotrans Jak 10 dan 13 beroperasi melayani pelanggan. Terima kasih ^MD,0,0,in,@felia_yulianti Pagi kak. Saat ini Mikrotrans Jak 10 dan 13 beroperasi melayani pelanggan. Terima kasih ^MD
1.81843E+18,Tue Jul 30 23:51:24 +0000 2024,ghitawid,"@PT_Transjakarta 6U arah blok M , masih dimana ya  ? Sah 20 menit ga lewat2. Saya di pasar minggu",0,0,in,@PT_Transjakarta 6U arah blok M  masih dimana ya  ? Sah 20 menit ga lewat2. Saya di pasar minggu
1.81843E+18,Tue Jul 30 23:50:33 +0000 2024,PT_Transjakarta,"@panggilbroajaa Pagi kak. Mohon maaf atas ketidaknyamanannya, akan kami lakukan pengecekan dan koordinasikan kepada tim terkait. Terima kasih ^MD",0,0,in,@panggilbroajaa Pagi kak. Mohon maaf atas ketidaknyamanannya akan kami lakukan pengecekan dan koordinasikan kepada tim terkait. Terima kasih ^MD
1.81843E+18,Tue Jul 30 23:50:22 +0000 2024,full6oxo_,@PT_Transjakarta Rute jak89 apakah sudah beroperasi lagi min?,0,0,in,@PT_Transjakarta Rute jak89 apakah sudah beroperasi lagi min?
