"id","created_at","username","text","retweets","likes","lang"
"1762620417016283602","Tue Feb 27 23:27:09 +0000 2024","iiiseesaw","gue ga habis fikir tj nih ada briefing ke supir untuk nyalahin ac ga sih. gue sering bgt naik tj panas bgt anj gue sampe capek ngelapornya @PT_Transjakarta . kalo lu bales minta no body bus nih gue kasih, 9c arah bunsen mb1618. dan masih banyak bus lain yg panas sampe mau muntah","0","0","in"
"1762522385646006332","Tue Feb 27 16:57:37 +0000 2024","annamorinass","@efenerr Naik mobil macet dan padat dan mahal. Naik motor lmyn hemat, satset tp kalau hujan kehujanan panas kepanasan. Naik kereta atau tj juga lmyn repot, halte atau stasiun klo ga deket tempat tinggal sulit plus mahal klo + ojol.  🥺","0","1","in"
"1762465934265241797","Tue Feb 27 13:13:18 +0000 2024","gummykkami_","Bayangin make ginian ditengah panas jkt, desek²an di krl, lari2 ngejar jaklingko, jadi pepes di tj. Sampe kampus bisa kurus 😭","0","0","in"
"1762336901867209053","Tue Feb 27 04:40:34 +0000 2024","adeknyakakino","JAKARTA PANAS BANGET BJIRRRR TADI PAGI MASIH ADEK [criiii]  ingin cepat selesai agar segera naik tj dan kereta, setidaknya ada acnya 😭😭","0","1","in"
"1762070669783904280","Mon Feb 26 11:02:40 +0000 2024","FirianyEqy","Gila ya dari pagi, nih senin brutal banget. Pagi krl bermasalah, jalanan lebih macet sampe tj lama banget harga ojol juga naik, lalu panas beud. Nah sore ini juga sama, macetnya luar biasa","0","0","in"
"1761978010738294883","Mon Feb 26 04:54:28 +0000 2024","IndraTanjungg","Istirahat Dede @N_CathyJKT48,kamu juga jangan lupa minum vitamin istirahat yang Banyak,emang cuaca lagi ga bagus hujan panas   #ChitCath","0","0","in"
"1761616544277446895","Sun Feb 25 04:58:08 +0000 2024","abcanclemutu","@PT_Transjakarta min kalo mau ke ancol dari halte csw naik yang bis mana ya?","0","0","in"
"1761344999319597197","Sat Feb 24 10:59:06 +0000 2024","candys969","Ya ampun sakit dari kemaren tau2 badan panas di kantor terus badan pegel semua. Mana kemaren nangis di busway krn gak fit badan nunggunya lama bgd. Di busway diri pula dr tegal mampang smpe pasming 😭 posisi badan sampe saat ini masih panas 36° smpe mata pedih + badan pegel 😭","0","0","in"
"1761269020861649202","Sat Feb 24 05:57:12 +0000 2024","riio_juliann","@PT_Transjakarta ini busway apaa angkot sih panas banget acnyaaa udh keringetan di dalem busway, udh kek angkot jaman dulu aja. jurusan blok m - kampung rambutan (12.56 24/02/2024) https://t.co/bAcovr9npx","0","0","in"
"1761222336840425527","Sat Feb 24 02:51:41 +0000 2024","Hikkiee","Hampir 30 menit ngg TJ panas bgt!! Mls buka payung 🤣 cm pake masker ngadem dkt tembok!! Topi semap gw tb2 ilaaang gw carii 😭","0","0","in"
