"id","created_at","username","text","retweets","likes","lang"
"1762628000875770062","Tue Feb 27 23:57:18 +0000 2024","postcardfrome","@PT_Transjakarta ini juga, TJ 4D lama banget dari Patra Kuningan masa nunggu bisa 20 menit sendiri belum dateng2 jg ? kenapa kaya gitu ya? padahal yg naik dr Patra Kuningan jg banyak","0","0","in"
"1762623450517270538","Tue Feb 27 23:39:13 +0000 2024","moseungz","@PT_Transjakarta minn kok 1E lama banget ya?:( padahal 8E sama 1M udah 2x lewat😭😔 udah nunggu 20 menitan kayaknya ini","0","0","in"
"1762481722657235275","Tue Feb 27 14:16:02 +0000 2024","urfllwrs","Nahan mules dari mampang sampe rumah 🤢🤒 Alhamdulillahnya nunggu TJ ga lama dan ga macet.","0","0","in"
"1762459214885306863","Tue Feb 27 12:46:36 +0000 2024","xColePalmer26","ini kenapa yaa saya nunggu busway 6U Pasarminggu-blok M lama bgt udah mau 40mntan gak ada ada busway nya, ada kendala kah admin @PT_Transjakarta https://t.co/dQvRaK56za","0","1","in"
"1762408147606798434","Tue Feb 27 09:23:41 +0000 2024","okefixx8","@PT_Transjakarta Saran min buss stop  7v ditanah merdeka, ini pager nya dikasih jarak buat masuk ke tempat duduk ditaman karena nunggu 7v itu lama https://t.co/2RGw78NUWR","0","0","in"
"1762399288372654292","Tue Feb 27 08:48:28 +0000 2024","xxpuduxx","@PT_Transjakarta Min, tambah bus 9D dong. Kita anak kantoran sudirman dan kuningan yang ke arah pasar minggu lama banget nunggu 9D. Sekalinya dateng penuh desak-desakan","1","2","in"
"1762360024364728692","Tue Feb 27 06:12:27 +0000 2024","coconutandpizza","Min @PT_Transjakarta edukasi driver nya buat ikutin marka jalan, ini seharusnya belok kiri langsung tapi dipalang tj jadi harus nunggu lama, apa ga bisa tertib biar ga ngerugiin pengendara yang lain!  Koridor 1P Nomor body BMP-230306 Plat B 7036 SGK Minggu, 25-02-2024, 14:48 WIB https://t.co/Kp0lLnww0w","0","0","in"
"1762289374539235828","Tue Feb 27 01:31:43 +0000 2024","mynaevisz","@PT_Transjakarta 1 jam min ak nunggu buset mending ak siap siap lebih lama","0","0","in"
"1762279481283322270","Tue Feb 27 00:52:24 +0000 2024","Rosebearr_","Damn nunggu busway lama banget dah anjir stress berat","0","0","in"
"1762041641538637898","Mon Feb 26 09:07:19 +0000 2024","hellovyn","Tolong ya @PT_Transjakarta layanan kondekturnya gak banget nih layanannya ,,, jurusan Bunderan Senayan - St. Tebet, ngetap Kartu beda² peraturannya, D21 kondekturnya baik² dan melayani ini. Ini jurusan Bunsen - St. Tebet apaan, udeh nunggu lama, antrian pada saat Naik harusnya","0","0","in"
"1762034179989233708","Mon Feb 26 08:37:40 +0000 2024","cinnamonias","INI JAK35 MANA YAALLAH LAMA BGT ANJIR. GUE UDH NUNGGU 1 SETENGAH JAM BARY MUNCUL 1 MOBIL, ITU PUN PENUH.  @PT_Transjakarta pls banyakin jak35 pls.... apalagi kalo sore jam 3-6","0","0","in"
"1761925954325340613","Mon Feb 26 01:27:37 +0000 2024","aaldii_","Nunggu tj di pasming lama bgt lagi anj","0","0","in"
"1761924954478825567","Mon Feb 26 01:23:38 +0000 2024","badutkehidupann","@PT_Transjakarta min ini S11 kenapa bisa lama banget ya? udah 20 menit nunggu di jelambar","0","0","in"
"1761908110833385585","Mon Feb 26 00:16:42 +0000 2024","nasyita1702","@PT_Transjakarta Jak 28 kenapa kalau pagi lama banget ya bisa butuh waktu 25 menit buat nunggu padahal rute Cibubur ke arah pasar rebo atau kp rambutan cuma pakai Jak Lingko 28","0","0","in"
"1761893441687244914","Sun Feb 25 23:18:25 +0000 2024","mervermillion","tumben banget tj serame itu, kaya udh lama ga rame desek desekan sampe harus nunggu another bus","0","0","in"
"1761724922320265310","Sun Feb 25 12:08:47 +0000 2024","ssunchId","ajg tj penuh bgt😭 nunggu bis ac juga lama bgt udh sejam dipinggir jalan😭😭","0","0","in"
"1761662444131549451","Sun Feb 25 08:00:31 +0000 2024","autumngirrll","@pita_biantoro @anaswillem @PT_Transjakarta bener bgt kak rumah yang daerah Semper-cakung merasa terbantu banget soalnya kalo mau ke pulogadung harus naik 2F, udah gitu sekarang 2F unit nya makin dikit jadi harus lama nunggu nya","0","0","in"
"1761628534534259013","Sun Feb 25 05:45:46 +0000 2024","maulanafikri455","semoga Jakarta bisa nambah transportasi umum lebih banyak lagi  entah itu jaklingko, tj, kereta, dll  pasti ada kok orang yang mau naik transportasi umum tapi males nunggu lama karena ga dateng2, kereta penuh kek jombi, dll.  dan berakhir naik kendaraan pribadi  semoga yaa😁","0","25","in"
"1761418763206009165","Sat Feb 24 15:52:13 +0000 2024","ilhamwibowos","Nahan berak sampe kentut2 ggara nunggu @PT_Transjakarta 10 buat ke priuk, sumpah lama benerrr https://t.co/cHj5REPLTN","0","0","in"
"1761233818986676730","Sat Feb 24 03:37:19 +0000 2024","vviyours","Anjrittt lama bgt nunggu TJ","0","0","in"
"1761019606809079928","Fri Feb 23 13:26:07 +0000 2024","helohoomann","@PT_Transjakarta min L13E arah puribeta lama amatt, nunggu di simpang kuningan","0","0","in"
"1761000650262143017","Fri Feb 23 12:10:47 +0000 2024","good__with__you","@PT_Transjakarta minitrans 1q kenapa kalau rush hour lama banget sihhhh, 1jam lebih nunggu ga pernah akurat dari papan informasi di halte","0","0","in"
"1760988084085432550","Fri Feb 23 11:20:51 +0000 2024","tastyofjeonwonu","Sebelum turun tangga halte udah mau ngedumel karna buswaynya udah sampe duluan eh ternyata di belakangnya masih ada busway lain hamdallah jadi ga nunggu lama wkwk","0","0","in"
"1760883247561793753","Fri Feb 23 04:24:16 +0000 2024","bhismaaa10","@achieraedith @PT_Transjakarta Kata siapa tidak beroperasi lagi? Kemarin aja msh beroperasi kok  Memang agak lama aja nunggu bus nya  https://t.co/UWCESV4kii","0","0","in"
"1760848618725236737","Fri Feb 23 02:06:40 +0000 2024","Faizjr89633027","@recehtapisayng Nih pengelolanya @PT_Transjakarta , dari dulu ga pernah berubah selalu ngebut²an dan akhirnya banyak penumpang yg kejengkang dan ada yg gamau ngelayani penumpang di bus stop padahal banyak yg nunggu. Udh mah tiap nunggu lama, giliran dateng malah langsung beriringan 2 mobil","0","1","in"
"1760818516398387616","Fri Feb 23 00:07:03 +0000 2024","JamileThufa","@PT_Transjakarta Udh pagiiiii an sama aja nunggu ya lama aaaaa","0","0","in"
"1760818444134748670","Fri Feb 23 00:06:46 +0000 2024","JamileThufa","@PT_Transjakarta D kp.rmabutan dong kan ini kenaikan pertama ...penuh gmana d depan depan ya kadang saking penuh dr kp rambutan g ke angkutan yg lama bisa lebih dr 20 menit nunggu ya...","0","0","in"
"1760807372828877016","Thu Feb 22 23:22:46 +0000 2024","dindapermataaa","@PT_Transjakarta halo admin, coba dipertimbangkan penambahan armada yg stop di halte Capital Place, banyak loh yg desek2an nungguin 9D&amp;9A. Kebayang gak penumpang prioritas nunggu lama dan dorong2an di halte simpang kuninangan perkara cuma 2 bus itu aja yg stop","0","0","in"
"1760678793436668129","Thu Feb 22 14:51:50 +0000 2024","calonistriqm","udh nunggu 1P lama bgt ga dtg pas udh di halte busway ata malah dtg😭😭😭","0","0","in"
"1760624551418077359","Thu Feb 22 11:16:18 +0000 2024","dzkrtrns","Namanya juga ujian Mau pulang naik gojek langsung ternyata gopaynya kurang 1,500 jdi naik grab dulu ke halte busway  Lagi nunggu gojek buat langsung ke rumah, TJ tujuan rumah lewat (biasanya lama), baru naik sebentar hujan dan harus neduh.  Alamak.","0","0","in"
"1760612518068969842","Thu Feb 22 10:28:29 +0000 2024","be_Venessa","Sumpah ya tiap naik tj ke pik tuh problemnya selalu sama: - nunggu bisnya lama  - penumpangnya bejibun tp kapasitas busnya kecil - akhirannya kyk ikan teri di dlm","0","0","in"
"1760577167841481109","Thu Feb 22 08:08:01 +0000 2024","damgotnobitches","mati nunggu tj ni gw anjg lama bgt","0","0","in"
"1760503892906012720","Thu Feb 22 03:16:51 +0000 2024","Dirta06563541","@PT_Transjakarta Min, mo nanya.. Rute 7F lgi beroprasi ga hari ini? Saya lgi dihalte galur. Nunggu 7F lama bet","0","0","in"
"1760478486668701966","Thu Feb 22 01:35:53 +0000 2024","pooh_168","@PT_Transjakarta 6K arah karet begini lagi sih, lama lagi sudah nunggu di halte kuningan hampir setengah jam dari penumpangnya cuma beberapa orang sampai ini barisannya menumpuk tp msh belum ada bis yg tiba, setiap hari begini saat jam kerja bisa gak aramadanya di perbanyak di saat jam kerja.","0","1","in"
"1760460552525238734","Thu Feb 22 00:24:38 +0000 2024","morocovv","Nunggu takoyaki kyk nunggu ujan berenti di bogor alias agak effort + lama. Kita tuh dr jam 6 sampe jam 7 cm utk ap? Takoyaki. Trs lgsg turun (pake lift) lgsg naik tj atah pulang yey!","0","0","in"
"1760452499146957106","Wed Feb 21 23:52:38 +0000 2024","semuadipusingin","Eh tj bekasi mana ini lama bgt???? Gue udh nunggu 20 mnittt","0","0","in"
"1760259423996703155","Wed Feb 21 11:05:25 +0000 2024","kaykayey","@PT_Transjakarta kak, ini kokkk rute 10 dr tj priok ke pgc lama bgt ya?setengah jam udh nunggu, &amp; di halte tj priok numpuk bgtttt hiekzz","0","0","in"
