"id","created_at","username","text","retweets","likes","lang"
"1762384358323990904","Tue Feb 27 07:49:09 +0000 2024","fathkadesign","@benings_tj 1 kata buat kang Dedi BOOL (bodoh&amp; tolol). Yg anda liat cuma segelintiran kelas menengah keatas, tp Luh lupa kelas bawah.@KangDedyMulyadi Apa luh gak kecewa hasil para petani tdk diakui berasnya o/ pemerintah,import hny menyusahkan petani lokal coba pikir dihargaikah petani kita?","0","0","in"
"1762114050086027532","Mon Feb 26 13:55:02 +0000 2024","DiandraTit77827","@PT_Transjakarta Cara liat nomor transaksi nya gmn, sedangkan transaksi gagal tp uang udah masuk, kecewa bngt si","0","0","in"
"1762023758829875401","Mon Feb 26 07:56:15 +0000 2024","aiurshoonies","ada masalah lain tp gak saya perpanjang walaupun saldo di kartu saya kepotong (lagi). udah 3× kejadian di halte yg sama. saya yg kemana"" selalu pake tj jd ngerasa sdkit kecewa, maaf banget 🙏","0","0","in"
"1761462448446722221","Sat Feb 24 18:45:48 +0000 2024","TopanTj","@RyaWiedy Makanya yg mau hak angket maju mundur. Pendukungnya yg kmr kecewa krn kalah udh nggak sabar aja itu digulirkan. Padahal partai2 berhitung betul dg energi yg akan mrk pakai utk persiapan pilkada. Jd isu hak angket ini bakalan gembos di pelaksanaan. Cm buat tes ombak doang","0","0","in"
"1761037392138699145","Fri Feb 23 14:36:47 +0000 2024","rahmaqfiroh","@PT_Transjakarta Kenapa R1A udah gak beroperasi min? Mau tau alasannya dong min?  Saya salah 1 pelanggan yg kecewa karena setiap pagi selalu naik ini dan turun di bus stop PLN krn lebih dekat dari kantor dibanding harus turun di shelter Penjaringan.","0","0","in"
"1760516443769315531","Thu Feb 22 04:06:43 +0000 2024","Tjahjono","@gm_gm @ulil (((Pemilih yg kecewa))) 😂😂😂","0","0","in"
"1760491397822783515","Thu Feb 22 02:27:12 +0000 2024","keyayaa2","Kecewa sama bus RoyalTrans 6P @PT_Transjakarta pagi ini. Niat mau cepet malah jd terlambat. Gue sampe halte 9.00 lgsg tanya busnya jam brp, trs dibilang 9.10.  Eh pas tepat 9.10 baru dibilang busnya trouble jdnya 9.30. Yg bener aja? Knp gak dari awal diinfo, kan ada grupnya jg 👎🏻","0","2","in"
"1760247409714897242","Wed Feb 21 10:17:40 +0000 2024","TopanTj","@akbarfaizal68 @NasDem @DPP_PKB @PKSejahtera @DPP_PPP @PDI_Perjuangan Nasdem, PKB, dan PPP akan realistis. Harapan pendukung Anies &amp; Ganjar hanya tinggal harapan. Mrk berharap yg kalah ngeyel, tp faktanya, semua partai mulai sibuk menata langkah menyongsong pilkada serentak. Anda, mgk termasuk yg akan kecewa lagi krn meleset berharap 🫰","0","0","in"
"1760180681483972723","Wed Feb 21 05:52:31 +0000 2024","TopanTj","@kurawa Pasti! Gak ada kekuatan politik manapun yg masih mau urusin capres/cawapres kalah. Apalagi mrk bkn pengendali melainkan sekadar petugas partai. Cak Imin jg gak akan mau ketinggalan. Ganjen2 dikit biasa, ujung2nya kekuasaan jg. Jd kasihan ntar liat buzzer2 militannya kecewa","0","15","in"
"1759347200289804318","Sun Feb 18 22:40:34 +0000 2024","TopanTj","@Dennysiregar7 @PDI_Perjuangan @NasDem @DPP_PKB @PKSejahtera @DPP_PPP Suara di daerah udh ada yg urus. Elit politiknya di Jkt sedang lobi2 utk power sharing di pemerintahan. Siap2 Den, ntar lu kecewa lagi klo mrk gak jd beroposisi 🙂","0","1","in"
"1758473818358878548","Fri Feb 16 12:50:03 +0000 2024","WIBISON72980680","@rita_tj Senyum dong,kan bahagia jd tau org tersebut bikin kecewa &amp; khianat,sebelum terlanjur melangkah &amp; memberi kepercayaan yg lebih jauh 👍","0","0","in"
