"id","created_at","username","text","retweets","likes","lang"
"1762628000875770062","Tue Feb 27 23:57:18 +0000 2024","postcardfrome","@PT_Transjakarta ini juga, TJ 4D lama banget dari Patra Kuningan masa nunggu bisa 20 menit sendiri belum dateng2 jg ? kenapa kaya gitu ya? padahal yg naik dr Patra Kuningan jg banyak","0","0","in"
"1762623450517270538","Tue Feb 27 23:39:13 +0000 2024","moseungz","@PT_Transjakarta minn kok 1E lama banget ya?:( padahal 8E sama 1M udah 2x lewat😭😔 udah nunggu 20 menitan kayaknya ini","0","0","in"
"1762616211752567051","Tue Feb 27 23:10:27 +0000 2024","postcardfrome","@PT_Transjakarta weh ini TJ Ragunan kenapa sih pagi2 lama banget ngurus ada bus yg lagi error","0","0","in"
"1762459892399624601","Tue Feb 27 12:49:17 +0000 2024","4_5_5_4_4_5_","@PT_Transjakarta @ThaliaRosalind5 Min kalo boleh tau kapan selesai revitalisasinya? Kayaknya udah lama banget 😭","0","0","in"
"1762459214885306863","Tue Feb 27 12:46:36 +0000 2024","xColePalmer26","ini kenapa yaa saya nunggu busway 6U Pasarminggu-blok M lama bgt udah mau 40mntan gak ada ada busway nya, ada kendala kah admin @PT_Transjakarta https://t.co/dQvRaK56za","0","1","in"
"1762455227041784193","Tue Feb 27 12:30:45 +0000 2024","anggysti","Ini 5F kok lama banget ya?? 1 jam nungguloh. Biasanya beda 10-15 menit aja.. kok udh 3 hari lama banget armadanya. @PT_Transjakarta","0","0","in"
"1762436500871082287","Tue Feb 27 11:16:20 +0000 2024","finycatmel","@PT_Transjakarta min, kenapa ya busway 7A yang dari lebak bulus ke arah kp.rambutan tuh kalo sore lama banget?","0","0","in"
"1762413110944727238","Tue Feb 27 09:43:24 +0000 2024","hvuangn","@loolalilac aku aja udah lama banget gak naik tj 😭 jujur mau kesitu tapi TAKUT NYASAR","0","0","in"
"1762399288372654292","Tue Feb 27 08:48:28 +0000 2024","xxpuduxx","@PT_Transjakarta Min, tambah bus 9D dong. Kita anak kantoran sudirman dan kuningan yang ke arah pasar minggu lama banget nunggu 9D. Sekalinya dateng penuh desak-desakan","1","2","in"
"1762397939127972150","Tue Feb 27 08:43:07 +0000 2024","anasetya3003","@PT_Transjakarta Semoga bisa bertahan lama karena cirendeu macetnya jahat banget min.. Coba senin pagi berharapnya sih yg pake motor bisa pindah ke transportasi umum semoga ya","0","0","in"
"1762385591654818155","Tue Feb 27 07:54:03 +0000 2024","maal2806","@SinatriaNur_Muh @PT_Transjakarta Wkwk, wajar bang saya kesel, di daerah saya ada 10M... Baru dua hari jalan, eh malah harus stop sementara, gara-gara kena demo angkot reguler.  Mana ngatasin masalah ini lama banget...  Dahal dah dilaporin ke dishub juga...","0","1","in"
"1762378271097032874","Tue Feb 27 07:24:57 +0000 2024","sunpriiddee","WOY, UDAH LAMA BANGET GAK NAIK TJ JALUR LANGIT","0","0","in"
"1762353978149585339","Tue Feb 27 05:48:26 +0000 2024","inthemeowning","@_devalo @PT_Transjakarta D15 udh parah banget. Sopir ogah bgt narik yg long route bener2 ujung ke ujung rute. Narik ongkos makin tinggi, ngetem makin lama. Katanya sopirnya mah karna sepi penumpang dan macet makin parah","0","0","in"
"1762353667787874376","Tue Feb 27 05:47:12 +0000 2024","ERamidjo","@PT_Transjakarta Tije, rute baru dibuka krnapa rute lama kp rambutan - pulogadung malah dimatikan. ayo dong perhatiannya utk penumpang rute tsb. syedih bgt mesti muter ke melayu dulu kan jd jauh rute nya. hadeuh","0","0","in"
"1762308772608012732","Tue Feb 27 02:48:48 +0000 2024","VARIANRAHAKORAT","@PT_Transjakarta haduh bus 6n arah blok m lama bgt sih min bikin telat saya di halte rsud pasar minggu","0","0","in"
"1762292867098096058","Tue Feb 27 01:45:35 +0000 2024","AnasNasuha22","Transjakarta 1 H kenapa lama banget nyampe Gondangdia 😑","0","0","in"
"1762289571881201888","Tue Feb 27 01:32:30 +0000 2024","Randomt61609964","@txtdrbekasi Itu patokam di mall SMB, di mananya? Di halte busway nya? Masi trust issue sama bginian, kadang nunggunya bisa lama bgt soalnya.","0","0","in"
"1762279481283322270","Tue Feb 27 00:52:24 +0000 2024","Rosebearr_","Damn nunggu busway lama banget dah anjir stress berat","0","0","in"
"1762133961428582893","Mon Feb 26 15:14:09 +0000 2024","innocentisalie","apa gunanya ada tj 5 bus berturut-turut di jam segini bgst. kalo ketinggalan pasti nunggunya jd lama lagi 😭  LU PD NGAPAIN SI JALAN BARENGAN KOCAK BGT ANJAY 😭","0","0","in"
"1762122013857169446","Mon Feb 26 14:26:41 +0000 2024","budskiy","6K yg arah ke Karet tiap lewat Kuningan jam segini sepi mulu dah perasaan. Tapi ini udah lewat sampe dua kali. 6D yang ditunggu tunggu sama orang yg mau ke GBK sama Senayan kenapa lama banget wooyy laahh!! Apa sih kendalanya?! PERBANYAK DONG!! @PT_Transjakarta","0","1","in"
"1762090662521188711","Mon Feb 26 12:22:06 +0000 2024","Kkaicastle","Random story  Td pulang naik tj aku berdiri ditengah bgt trs tj-nya penuh sesek gitu, pas mau turunkan harus lewatin mba2 banyak banget, BAJUKU NYANGKUT DONG di tas mba2 gitu,mana nglepasinnya mayan lama &amp; yg turun halte itu aku doang, jadi hmpr semenit semua nungguin aku doang😭","0","0","in"
"1762088712996049188","Mon Feb 26 12:14:21 +0000 2024","lkjhgTJ","Diboongin sama supir angkot katanya langsung jalan :(  Ngetem lama bgt satttt","0","0","in"
"1762070669783904280","Mon Feb 26 11:02:40 +0000 2024","FirianyEqy","Gila ya dari pagi, nih senin brutal banget. Pagi krl bermasalah, jalanan lebih macet sampe tj lama banget harga ojol juga naik, lalu panas beud. Nah sore ini juga sama, macetnya luar biasa","0","0","in"
"1762041641538637898","Mon Feb 26 09:07:19 +0000 2024","hellovyn","Tolong ya @PT_Transjakarta layanan kondekturnya gak banget nih layanannya ,,, jurusan Bunderan Senayan - St. Tebet, ngetap Kartu beda² peraturannya, D21 kondekturnya baik² dan melayani ini. Ini jurusan Bunsen - St. Tebet apaan, udeh nunggu lama, antrian pada saat Naik harusnya","0","0","in"
"1762034179989233708","Mon Feb 26 08:37:40 +0000 2024","cinnamonias","INI JAK35 MANA YAALLAH LAMA BGT ANJIR. GUE UDH NUNGGU 1 SETENGAH JAM BARY MUNCUL 1 MOBIL, ITU PUN PENUH.  @PT_Transjakarta pls banyakin jak35 pls.... apalagi kalo sore jam 3-6","0","0","in"
"1761946629727518915","Mon Feb 26 02:49:46 +0000 2024","yoongifisip","ini tj knp lama bgt si","0","1","in"
"1761934265695310168","Mon Feb 26 02:00:38 +0000 2024","hanyujihn","Onyett, ketahan di pasar minggu lama bgt, skrg udah di tj sama aja bjir ngga gerak gara2 macet parah","0","0","in"
"1761925954325340613","Mon Feb 26 01:27:37 +0000 2024","aaldii_","Nunggu tj di pasming lama bgt lagi anj","0","0","in"
"1761924954478825567","Mon Feb 26 01:23:38 +0000 2024","badutkehidupann","@PT_Transjakarta min ini S11 kenapa bisa lama banget ya? udah 20 menit nunggu di jelambar","0","0","in"
"1761913862914519117","Mon Feb 26 00:39:34 +0000 2024","donatmintt","tj lama bgt anjir","0","0","in"
"1761908110833385585","Mon Feb 26 00:16:42 +0000 2024","nasyita1702","@PT_Transjakarta Jak 28 kenapa kalau pagi lama banget ya bisa butuh waktu 25 menit buat nunggu padahal rute Cibubur ke arah pasar rebo atau kp rambutan cuma pakai Jak Lingko 28","0","0","in"
"1761900504635117615","Sun Feb 25 23:46:29 +0000 2024","apowfication","Bjirlah busway lama bgt datengnya w telat fak","0","0","in"
"1761893441687244914","Sun Feb 25 23:18:25 +0000 2024","mervermillion","tumben banget tj serame itu, kaya udh lama ga rame desek desekan sampe harus nunggu another bus","0","0","in"
"1761892790169190412","Sun Feb 25 23:15:50 +0000 2024","jutdwaeu","Oh iyaa aku bersyukur lagi, pas naik busway ke taman tuh aku tiba"" kebelet pipis.. Abis nemenin beli minum &amp; jajan ke toilet lah, SEPI. Cuma antri 1 lah!  Gak lama aku liat antrian toiletnya PANJANG BGT ANJIR, kek.. UNTUNG AKU UDAH &amp; TADI SEPI.😭😭😭🙏🏻","0","0","in"
"1761782193565962564","Sun Feb 25 15:56:21 +0000 2024","DesriRestiana2","@radenrauf Weekend kali ini pagi nya kekantor ngambil kartu asuransi punya sodara,siangnya niat ketemu temen dikerjain busway nya lama banget akhirnya the real cuman ketemu balik lagi karena handphone lowbat , balik kosan nyalain hp orang orang pada cariin dikira ilang #DibawaRileksAja","0","0","in"
"1761724922320265310","Sun Feb 25 12:08:47 +0000 2024","ssunchId","ajg tj penuh bgt😭 nunggu bis ac juga lama bgt udh sejam dipinggir jalan😭😭","0","0","in"
"1761662444131549451","Sun Feb 25 08:00:31 +0000 2024","autumngirrll","@pita_biantoro @anaswillem @PT_Transjakarta bener bgt kak rumah yang daerah Semper-cakung merasa terbantu banget soalnya kalo mau ke pulogadung harus naik 2F, udah gitu sekarang 2F unit nya makin dikit jadi harus lama nunggu nya","0","0","in"
