"id","created_at","username","text","retweets","likes","lang"
"1762471394816987261","Tue Feb 27 13:35:00 +0000 2024","custardraisin","@PT_Transjakarta AAAA HAPPY BANGEET. Makasiiih Transjakarta akhirnya saran dan keluhan warga selama ini didenger huhu 😭🫶  Semoga jalur ini bisa bertahan lama, ga didemo angkot, bisa ngurangin macet, makin panjang nantinya jalurnya ga cuma sampai lebak bulus doang, datengnya tiap 5 menit 😭🫶","0","0","in"
"1761900504635117615","Sun Feb 25 23:46:29 +0000 2024","apowfication","Bjirlah busway lama bgt datengnya w telat fak","0","0","in"
"1760563544100323718","Thu Feb 22 07:13:53 +0000 2024","nabilahume","Pernah bayangin pas liat macet gini, kalo isi mobilnya rata2 2-3 orang, masukin ke dalam satu bus dengan kapasitas 60 orang, bisa ""menghilangkan"" 30 mobil.  Sebenernya yg bikin naik tj lama itu karna jalanannya penuh kn? Jadi busnya kena macet dan datengnya lama ke halte?","0","4","in"
"1759889846741684249","Tue Feb 20 10:36:51 +0000 2024","shooningstar","@jiwjiw_yoit Soal tj: kalo emang mau naik tj, otw ke venuenya jangan mepettttt. Alesannya: - busnya kecill - busnya datengnya lumayan lama - halteny penuhh - kemaren macettttt parah dari halte senen ke jis itu 1.5 jammmm gara2 macet","0","2","in"
"1758314604705575339","Fri Feb 16 02:17:24 +0000 2024","ecvhil","ini tj lama bgt datengnya dah, keringet gua bercucuran","0","0","in"
"1756835440341250439","Mon Feb 12 00:19:44 +0000 2024","mikalduayam","@PT_Transjakarta koridor 4 Galunggung - pulo gadung lama banget datengnya udah mau 20 menit dan tentu antrian sudah panjang. Trus ini nih min, tulisannya “tiba” tapi busnya ga ada? https://t.co/wSG5qW6pkU","0","0","in"
"1756583756520153127","Sun Feb 11 07:39:37 +0000 2024","bbypurlpl","Fak, tj udh di depan mata dan gue ketinggalaaannnn. Mana ini tj datengnya lama bgt asw","0","0","in"
"1755767954418110696","Fri Feb 09 01:37:55 +0000 2024","notmirrel","@spaceotiddys yaallah semoga tu tj datengnya ga makin lama dan dpt tmpt duduk....","0","0","in"
"1755753222814544107","Fri Feb 09 00:39:23 +0000 2024","nalalasss","kalau harpitnas tuh enak tj nya sepi tp datengnya lebih lama","0","0","in"
"1754755176999907522","Tue Feb 06 06:33:30 +0000 2024","icecubeadct","naik tj itu seru, duduk sambil ngeliatin jalanan. yang ga seru itu, kalo udah buru-buru tapi tjnya datengnya lama","0","0","in"
"1754666592166973830","Tue Feb 06 00:41:30 +0000 2024","Panggslv","bener bener ya tj 1M dari kemaren lama terus datengnya. yg ke joglo sampe udah lewat 3x","0","1","in"
"1754371620737794510","Mon Feb 05 05:09:23 +0000 2024","mwonjaee","dah lama ga naik LRT klo ga kepepet jg ga akan. ini karna tj ga pasti datengnya dari pd gw telat","0","0","in"
"1753556104083275856","Fri Feb 02 23:08:49 +0000 2024","qtydarls","demi apapun busway koridol 8 nih muncul 15 menit sekali. nanti menit ke 15 tuh pasti ada 3 busway beruntun kek emang gak bisa apa ya gak usah beruntun datengnya? lama bikin telat coba lah di periksa","0","0","in"
"1753431856480137316","Fri Feb 02 14:55:06 +0000 2024","cwkorangv","@simpfordw tdii kejebak ujan soalnya aku gabawa payung trs busway nya jga lama sekali datengnya:( wkwk siap perut ku masi proses buat ee keanya","0","0","in"
"1753258311099797766","Fri Feb 02 03:25:29 +0000 2024","cartthweel","pp kalo naek tj terus macet/tj nya datengnya lama bisa sampe 2 jam 😭 kalo naik motor alhamdulillah sejam nyampe 😔","0","0","in"
"1753240038740218085","Fri Feb 02 02:12:53 +0000 2024","echaaa1234","@PT_Transjakarta min jak87 di perbanyak min.. lama banget datengnya dan penuh terus... sama tambahin haltenya di dpn dapur solo sunter sebelum hotel ibis dunk :(","0","1","in"
"1753075161379799468","Thu Feb 01 15:17:43 +0000 2024","tsukixma","@collegemenfess 1,5 - 2 jam lah itu kalo tj dan mikrotrans datengnya lama","0","0","in"
"1753062972501700848","Thu Feb 01 14:29:17 +0000 2024","najaejaee14","@PT_Transjakarta Balikin T11 sampe bunsen lagi dong min jangan sampe di halte slipi aja. Kalau kejauhan sampe poris. Kan dulu aja ada yg cuma sampe islamic aja, dan ada bus poros juga yg dari slipi jadi penumpangnya mepecah. Padahal ini rute rame loh. Bus weeknd juga lama datengnya","0","1","in"
"1752476759747133568","Tue Jan 30 23:39:53 +0000 2024","singkitdreams","Min, kenapa sih tiap pagi 13E datengnya lama banget? Armadanya kurang apa gimana? @PT_Transjakarta","0","1","in"
"1752149094292975732","Tue Jan 30 01:57:52 +0000 2024","SeptianiTjit","Ujan, jalanan macet di mana2, bahkan di tol hiks. Busway jadi lama datengnya. Huhu","0","0","in"
"1751949867931623718","Mon Jan 29 12:46:12 +0000 2024","wdrsyf","@Suciramadhaniy Hari ini TJ Kuningan juga lama datengnya jadi mayan numpuk di halte, ga kaya biasanya","0","0","in"
"1751608244014108856","Sun Jan 28 14:08:43 +0000 2024","cicimociciii","@convomf Pernah nyasar di sini 😭😭😭 Baru awal-awal balik dari kampus naik tj. Batre hape abis. Ngide naik tj yang rute beda dari biasa soalnya denger dari kating lebih deket. Eh malah salah naik 😭 mana tj nya datengnya lama 😭😭","0","0","in"
"1750727885722386916","Fri Jan 26 03:50:29 +0000 2024","gyubsull","sebagai yang suka jalan kaki dan naik public transport tinggal di jogja tuh sungguh menyiksa wkwk apa lagi gw gabisa naik motor  udah TJ datengnya lama, armadanya dikit, haltenya jarang jarang, trayeknya kacau, mau jalan kaki juga trotoarnya gaada/dibuat jalan motor","0","0","in"
"1750419261154382130","Thu Jan 25 07:24:07 +0000 2024","benabesmaya","Setuju pak. Saya kerja di TB simatupang bingung mau commute-nya pak. Satu lagi pak bus TJ s22 s21 @PT_Transjakarta itu emang sejam sekali ya pak datengnya? Lama bgt nunggunya pak... kayaknya perlu diperbanyak karena di halte pun jurusan ini selalu numpuk","0","1","in"
"1749210368390689263","Sun Jan 21 23:20:25 +0000 2024","emaestroo","kenapa trayek TJ yang mau dinaikin itu pasti lama sih datengnya, kalo pas ga mau naik malah lewat wkwk","0","0","in"
"1746931315113619783","Mon Jan 15 16:24:16 +0000 2024","heartofnady","@convomf Dulu disuruh mungutin sampah pakai tangan gara-gara telat. Padahal telat karena bus transjakartanya lama banget datengnya gegara ada bus transjakarta di depannya yang mogok, dan mogoknya pas di jalur bus","0","0","in"
"1746791090018205871","Mon Jan 15 07:07:04 +0000 2024","snyabanyak","@goodghan dulu ongkos kerja w 20x20rb = 400rb kalau pake bisway dan gojek (jaman masih promo), kalau pake mobil abis sekitar 1.5jt untuk bensin dan parkir. tapi akhirnya milih mobil karena males TJ datengnya gak menentu, harus berdiri lama, dsb, jadi mending keluar uang lebih deh","0","21","in"
"1745716338721751368","Fri Jan 12 07:56:23 +0000 2024","myleewz","menurut gue tj harus nambah koridor untuk ke arah semanggi deh dari arah ragunan, jangan cuma 6b aja. soalnya datengnya lama terus selalu penuh, sedangkan kalo mau arah kuningan banyak bgt bisnya @PT_Transjakarta","0","0","in"
"1745635261453852746","Fri Jan 12 02:34:13 +0000 2024","cecyspage","busway di bpkp lama banget datengnya anjir","0","1","in"
"1744689170113814630","Tue Jan 09 11:54:47 +0000 2024","nayranghae","@PT_Transjakarta min tolong lah 6H arah senen datengnya jangan dempetan gitu 😭 nungguin setengah jam sekalinya dateng 3 bus, kenapa gitu si? baiknya kan dateng 1 1 tapi GA LAMA","0","0","in"
"1744288473098654142","Mon Jan 08 09:22:33 +0000 2024","purplenitesky","@PT_Transjakarta bus 6M udah datengnya lama. Sekalinya dateng penuh. Gimana lah mau masuk. 😑😑😑😑","0","0","in"
"1744244937997344783","Mon Jan 08 06:29:34 +0000 2024","amploup","tj ni kalo datengnya lama, lama banget. tapi kalo datengnya cepet langsung banyak","0","0","in"
"1743100372393308662","Fri Jan 05 02:41:28 +0000 2024","Mutiaraaajlyfrs","@PT_Transjakarta padahal 6B rute yg paling penuh dibanding 6, 6H, 6A, 6V. Tapi kenapa armadanya sedikit sih min.  Mana datengnya lama bgt bisa 15menit sekali. Sekalinya dtg eh penuhnya ga ngotak Tolong dong dipertimbangin lagi dari sisi traffict penumpangnya min","0","0","in"
"1742323167715315916","Tue Jan 02 23:13:08 +0000 2024","pelortuyuh","@PT_Transjakarta iyah min soalnya bener bener menghemat waktu banget, kalo harus naik ke st manggarai atau naik 6U lama banget.. udah berangkat lebih pagi tp 6U lama banget datengnya haduh ujungnya telat telat juga","0","0","in"
