"id","created_at","username","text","retweets","likes","lang"
"1762390127077421248","Tue Feb 27 08:12:04 +0000 2024","errnyann","@PT_Transjakarta Ya ampun, thanks TJ! Semoga bisa mengurangi kemacetan parah di Cirendeu","0","0","in"
"1762385988066943439","Tue Feb 27 07:55:37 +0000 2024","bangalam1","@ncuz_3a16 @benings_tj Parah","0","1","in"
"1762353978149585339","Tue Feb 27 05:48:26 +0000 2024","inthemeowning","@_devalo @PT_Transjakarta D15 udh parah banget. Sopir ogah bgt narik yg long route bener2 ujung ke ujung rute. Narik ongkos makin tinggi, ngetem makin lama. Katanya sopirnya mah karna sepi penumpang dan macet makin parah","0","0","in"
"1762316207460680180","Tue Feb 27 03:18:20 +0000 2024","statesmankindly","@mmoonneevv Ini parah sih, apalagi skrg udh dikasih pembatas busway jd cuma 2 jalur yg jalur sbelumnya ada 4 jalur, 2 dari jl layang, 2 dari bawah","0","0","in"
"1762282676197974161","Tue Feb 27 01:05:06 +0000 2024","sulhandin","@JogjaUpdate @sakti_alfattaah Banyak yang melakukan pelanggaran lalu lintas mah TJ, punya SIM umum Bus harusnya tertib berkendara. Udah gitu asap kendaraannya parah harusnya ga lulus uji emisi itu. Perlu adanya evaluasi.","0","14","in"
"1762046385728422178","Mon Feb 26 09:26:10 +0000 2024","eijunsw","Tapi emang tj sensei tuh dipikir-pikir parah banget sih gambarin kondisi sanada-raichi abis kalah dari ichidai... Tim lain kayaknya gak ada yang begitu tuh.... nangis iya, terpuruk iya, nyalahin diri sendiri iya. Tapi gak sampe ngilang gak ada kabar 🙃","0","1","in"
"1761937818019111225","Mon Feb 26 02:14:45 +0000 2024","novazakiyaa","Bring back trafi plisss ini app TJ UI UX nya bikin bingung parah. Mana jadwalnya ga update pula huff","0","1","in"
"1761934265695310168","Mon Feb 26 02:00:38 +0000 2024","hanyujihn","Onyett, ketahan di pasar minggu lama bgt, skrg udah di tj sama aja bjir ngga gerak gara2 macet parah","0","0","in"
"1761929535095026041","Mon Feb 26 01:41:50 +0000 2024","IndraTanjungg","@s_naibef @inighinaa___ Parah banget sih","0","0","in"
"1761604890345029866","Sun Feb 25 04:11:49 +0000 2024","aryaseblak","@PT_Transjakarta kalo emang gaada suruh liburin aja sekalian @PT_Transjakarta percuma banget bikin programnya, nunggu sampe 1 jam parah banget  cc; @DKIJakarta","0","0","in"
"1761367770946740662","Sat Feb 24 12:29:35 +0000 2024","TopanTj","@H1m4_W4r1 @ganjarpranowo @prabowo @gibran_tweet @jokowi @Miduk17 @ChrisJ_2211 Parah wkwkwk","0","1","in"
"1761294289525768437","Sat Feb 24 07:37:36 +0000 2024","ppeachoco","wahh aku lemah sekali naik tj doang mual parah","0","0","in"
"1760859970848141780","Fri Feb 23 02:51:46 +0000 2024","callmekielfwend","diantara gempuran org kesel ama halte bnn yg diskriminasi bekasi, gua agak senang ama perubahan nya, selama gua naik tj dari kemarin nih baru kali ini bus bekasi cepet datang nya sekitar 15-20 menit sekali ada (paling lama mungkin 30 menit), jujur dulu parah bgtt bisa 30-60 menit","0","0","in"
"1760845952842350988","Fri Feb 23 01:56:04 +0000 2024","fairymistic","@wonyjz @ohmybeautybank ih jgn ntar makin parah gmna, kan madu Tj bukan buat perawatan muka😭","0","0","in"
