"id","created_at","username","text","retweets","likes","lang"
"1762470912396587184","Tue Feb 27 13:33:05 +0000 2024","pawangnyabocil","ini btw bneran 17057 min? pelaporan saya yg rusak di sisi kanan lho ya.. ini sisi kiri bus.. @PT_Transjakarta @TfJakarta","0","0","in"
"1762458960496619617","Tue Feb 27 12:45:35 +0000 2024","HermanCrv13418","@atthoriq94x_ @PT_Transjakarta Mulain pada rewel armada nya  Siap siap aja bentar lagi pada rusak persis angkot","0","0","in"
"1762039084439196053","Mon Feb 26 08:57:09 +0000 2024","lupaabsen","Kondisi lift di halte Gatot Subroto yang sudah lama rusak merupakan cerminan dari kurangnya perhatian terhadap infrastruktur publik. Meskipun telah lama mengalami kerusakan, sepertinya tidak ada tindakan serius untuk memperbaikinya. @DKIJakarta @PT_Transjakarta @willsarana https://t.co/rxtuR73UXW","0","0","in"
"1762029106873663944","Mon Feb 26 08:17:30 +0000 2024","adhit2542","Keknya angkot baru deh udh rusak aja wowkwkwk, ehem PT Tj https://t.co/rwRs1Zv199","0","1","in"
"1762003842772918452","Mon Feb 26 06:37:07 +0000 2024","sadewobagas","@PT_Transjakarta ngga mau balik servis di dalem halte aja ni, halte cawang. mana petugasnya random ada yg mai bantu tap ada yg jutek mampus. please rute bekasi cawang balikin ke skema awal.  lift nya aja ga siap jadinya langsung rusak. https://t.co/T3jaM1SEb7","0","0","in"
"1761947981363003473","Mon Feb 26 02:55:08 +0000 2024","ivanavalencia89","Gimana nih tanggung jawabnya @PT_Transjakarta lift mati dr hari sabtu,sabtu malam saya liat sudah ada teknisinya,saya ga foto,dengan harapan minggu pagi udh bener,sampe senin blm jg Ini kami warga bekasi di paksa ga masuk kooridor blm ganti bulan lift udh rusak,sampe kapan nih? https://t.co/2lDB0mwXOo","0","0","in"
"1761898455730139178","Sun Feb 25 23:38:20 +0000 2024","vidyapidia","Si paling gak serius menanggapi keluhan pelanggan, sebut saja @PT_Transjakarta kirain beneran bisa reach out via email karena disuruh tunggu beberapa waktu. Lah ini udah 6 hari gak ada balasan apa2. Dan didapati lift rusak saat transit di cawang BNN. Gimana ni? https://t.co/lZHJe2FqAj","0","0","in"
"1761712580094242897","Sun Feb 25 11:19:44 +0000 2024","tinywinybitchy","haloookh saya bawa toddler nih mau ke B11 surprise banget lift rusak ☺️ di belakang saya juga ada bapak2 pakai tongkat apa ga kasian? ☺️ @PT_Transjakarta https://t.co/paXS1UkGGb","0","0","in"
"1761228890469724349","Sat Feb 24 03:17:44 +0000 2024","huggmagnet","@ohmybeautybank buat yang selalu bawa laptop kemana-manaa HARUS BGT SIH punya 1 dari amreta!!! asli ini bahan kulit awet polll, sering aku taro di alas bawah tj/busway tapi tetep aman ga rusak, bahkan baru 3 hari yang lalu aku pergi bawa 2 laptop muat pake tas ini;')) cuma 99K aja lagii murcee https://t.co/kmGjJWCDCu","0","1","in"
"1761037190807814623","Fri Feb 23 14:35:59 +0000 2024","PasangMata","Lift halte Busway Cikoko arah barat rusak. Warga terpaksa harus menggunakan tangga  #pasangmata #transj #transjakarta #lifthaltetransj #busway  https://t.co/eM9AgFKIma https://t.co/LAc3NCqv4T","0","0","in"
"1761009597723398475","Fri Feb 23 12:46:20 +0000 2024","lauri_asima","Gilllaaaa ya... Lift BNN rusak gara2 kalian yg bukan prioritas. Yg kena imbas nya kami yg masuk prioritas harus naik tangga sampai lantai 3, bahkan ada yg pakai kursi roda ga bisa turun. Tolong dong @PT_Transjakarta ditertibkan lagi yg bkn haknya pakai lift #fypviraltwitter https://t.co/8l8lJhHK7k","0","0","in"
"1760991812087685373","Fri Feb 23 11:35:40 +0000 2024","aasejunkasep","@PT_Transjakarta permisi admin, ini lampu merah untuk penyebrangan di HI rusak. Banyak penumpang yang tidak bisa menyebrang kerena lampu rusak dan hampir beberapa kali ada selisih dengan pengendara mobil motor. Mohon ditindaklanjuti yaa. https://t.co/UjsZ91B7LI","0","0","in"
"1760689285253194145","Thu Feb 22 15:33:32 +0000 2024","KoranTJVideo","Kisah Masjid Baru Dekat Pabrik Kahatex Rusak, Dampak Angin Tornado di Sumedang Tautan: https://t.co/QvrtRfNurt https://t.co/6waM82SnOo","0","1","in"
"1760511879120822607","Thu Feb 22 03:48:35 +0000 2024","iwan_9037","@PT_Transjakarta Kereeennn ini min, sudah lama di tunggu pengganti T41 metromini, ayo min plang bus stopnya di perbaiki yg sudah rusak","0","0","in"
"1760461420662329409","Thu Feb 22 00:28:05 +0000 2024","radenputraa","Pagi-pagi mood nya udah di rusak sama di dalem busway ada yang nginjek pupnya kucing masih fresh 😭😭😭","0","0","in"
"1760392675575087345","Wed Feb 21 19:54:55 +0000 2024","ri2waNuMawaPati","@Dulure_Gibran Yg diluar fikri: Ganjar blusukan ke pasar Tj Priok, denger keluhan jalan rusak, dia langsung telp PJ Gub DKI di hadapan media, suruh benerin wkwkwk... lah dia siapeeee nyuruh2 kepala daerah lain","0","0","in"
"1760304729090035756","Wed Feb 21 14:05:26 +0000 2024","KoranTJVideo","Dampak Puting Beliung 6 Pabrik &amp; Rumah Rusak, Korban Warga, Hingga Pohon Tumbang Timpa Mobil &amp; Motor Tautan: https://t.co/m2MsBDgCHX https://t.co/VOhES2lccM","0","1","in"
