id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1762616436319723864,Tue Feb 27 23:11:20 +0000 2024,postcardfrome,@PT_Transjakarta tindaknya cepet dong kalo ada TJ yang mogok atau pintunya lg error ini ngantri semakin mengular dan berapa menit gak kelar2 bikin org pada telat berangkat,0,0,in,@PT_Transjakarta tindaknya cepet dong kalo ada TJ yang mogok atau pintunya lg error ini ngantri semakin mengular dan berapa menit gak kelar2 bikin org pada telat berangkat,pt_transjakarta tindaknya cepet dong kalo ada TJ yang mogok atau pintunya lg error ini ngantri semakin mengular dan berapa menit gak kelar2 bikin org pada telat berangkat
1762616211752567051,Tue Feb 27 23:10:27 +0000 2024,postcardfrome,@PT_Transjakarta weh ini TJ Ragunan kenapa sih pagi2 lama banget ngurus ada bus yg lagi error,0,0,in,@PT_Transjakarta weh ini TJ Ragunan kenapa sih pagi2 lama banget ngurus ada bus yg lagi error,pt_transjakarta weh ini TJ Ragunan kenapa sih pagi2 lama banget ngurus ada bus yg lagi error
1762495963955159346,Tue Feb 27 15:12:38 +0000 2024,hapizun1,"@PT_Transjakarta Normal pas hari apa??? Haduh, petugasnya sendiri yang bilang lagi error, sampai ga bisa isi saldo",0,0,in,"@PT_Transjakarta Normal pas hari apa??? Haduh, petugasnya sendiri yang bilang lagi error, sampai ga bisa isi saldo","pt_transjakarta Normal pas hari apa ? ? ? Haduh , petugasnya sendiri yang bilang lagi error , sampai ga bisa isi saldo"
1761956697042788612,Mon Feb 26 03:29:46 +0000 2024,njaya14,"@PT_Transjakarta Min, jika tidak tapout di mikrotrans, karna mesin eror apa kartu saya terblokir ?",0,0,in,"@PT_Transjakarta Min, jika tidak tapout di mikrotrans, karna mesin eror apa kartu saya terblokir ?","pt_transjakarta Min , jika tidak tapout di mikrotrans , karna mesin eror apa kartu saya terblokir ?"
1761717519025668385,Sun Feb 25 11:39:22 +0000 2024,draculamorn,"Kenapa ya saya isi Flazz, e-Money kalau error, uang saya gabisa balik? Padahal transaksi berhasil.  Dan, kalau error gt transaksi berhasil cuman diminta nama, nomor telfon, dan no rek. Tp udh brp kali uang sy tdk balik? @PT_Transjakarta @JaklingkoID_ @jaklingkojkt @mrtjakarta",0,0,in,"Kenapa ya saya isi Flazz, e-Money kalau error, uang saya gabisa balik? Padahal transaksi berhasil.  Dan, kalau error gt transaksi berhasil cuman diminta nama, nomor telfon, dan no rek. Tp udh brp kali uang sy tdk balik? @PT_Transjakarta @JaklingkoID_ @jaklingkojkt @mrtjakarta","Kenapa ya saya isi Flazz , e - Money kalau error , uang saya gabisa balik ? Padahal transaksi berhasil . Dan , kalau error gt transaksi berhasil cuman diminta nama , nomor telfon , dan no rek . Tp udh brp kali uang sy tdk balik ? pt_transjakarta"
1761273202297413882,Sat Feb 24 06:13:48 +0000 2024,Dhusaraa,"Adalah gueh… kemana mana kalo ga linglung, nyasar, salah naik TJ 😭 ujung2nya naik gojek. Tp gpp hidup ini trial n error ✨",0,1,in,"Adalah gueh… kemana mana kalo ga linglung, nyasar, salah naik TJ 😭 ujung2nya naik gojek. Tp gpp hidup ini trial n error ✨","Adalah gueh kemana mana kalo ga linglung , nyasar , salah naik TJ ujung2nya naik gojek . Tp gpp hidup ini trial n error"
1761005206622626073,Fri Feb 23 12:28:53 +0000 2024,vhiosvhya,@PT_Transjakarta @HaloBCA halo saya pakai flazz jaklingko kenapa kalo dipake di busway pengumpan setiap tap in selalu error. Walaupun sudah di reset di halte cawang cililitan dan itu bisa dipake di setiap halte. tapi masih masalah setiap di busway pengumpan https://t.co/y3DcWVWMFU,0,0,in,@PT_Transjakarta @HaloBCA halo saya pakai flazz jaklingko kenapa kalo dipake di busway pengumpan setiap tap in selalu error. Walaupun sudah di reset di halte cawang cililitan dan itu bisa dipake di setiap halte. tapi masih masalah setiap di busway pengumpan https://t.co/y3DcWVWMFU,pt_transjakarta halo saya pakai flazz jaklingko kenapa kalo dipake di busway pengumpan setiap tap in selalu error . Walaupun sudah di reset di halte cawang cililitan dan itu bisa dipake di setiap halte . tapi masih masalah setiap di busway pengumpan
1760648767366369738,Thu Feb 22 12:52:32 +0000 2024,sunduskwine,"Masa mesin tapping busway error merah, posisinya kartu gue masih nempel. Terus masnya bilang ""biarkan dulu kak"" sampe 3x, gue tempelin dong. Ternyata maksudnya ""biarkan dulu (sampai tulisan merahnya hilang baru ditempel lagi)"" akhirnya dia nyabut kartu gue sendiri 😭😭😭",0,0,in,"Masa mesin tapping busway error merah, posisinya kartu gue masih nempel. Terus masnya bilang ""biarkan dulu kak"" sampe 3x, gue tempelin dong. Ternyata maksudnya ""biarkan dulu (sampai tulisan merahnya hilang baru ditempel lagi)"" akhirnya dia nyabut kartu gue sendiri 😭😭😭","Masa mesin tapping busway error merah , posisinya kartu gue masih nempel . Terus masnya bilang "" biarkan dulu kak "" sampe 3x , gue tempelin dong . Ternyata maksudnya "" biarkan dulu ( sampai tulisan merahnya hilang baru ditempel lagi ) "" akhirnya dia nyabut kartu gue sendiri"
1760415833170526307,Wed Feb 21 21:26:56 +0000 2024,TopanTj,"@blarakering @Dennysiregar7 @DPR_RI Mrk umumnya masih trial and error di politik, yg penting tampil dulu",0,0,in,"@blarakering @Dennysiregar7 @DPR_RI Mrk umumnya masih trial and error di politik, yg penting tampil dulu","Mrk umumnya masih trial and error di politik , yg penting tampil dulu"
1760297914784686318,Wed Feb 21 13:38:22 +0000 2024,soulrevelaticn,"@PT_Transjakarta Mksdnya kl saya tap in di halte juanda kan halte brt tuh, tp sy naiknya T12 yg artinya non brt itu boleh kah? Ktnya gaperlu tap out lg, tp bakal eror ga kmtnya? :)",0,0,in,"@PT_Transjakarta Mksdnya kl saya tap in di halte juanda kan halte brt tuh, tp sy naiknya T12 yg artinya non brt itu boleh kah? Ktnya gaperlu tap out lg, tp bakal eror ga kmtnya? :)","pt_transjakarta Mksdnya kl saya tap in di halte juanda kan halte brt tuh , tp sy naiknya T12 yg artinya non brt itu boleh kah ? Ktnya gaperlu tap out lg , tp bakal eror ga kmtnya ? : )"
