"id","created_at","username","text","retweets","likes","lang"
"1758434877987553710","Fri Feb 16 10:15:19 +0000 2024","elestarisss","@PT_Transjakarta Terima kasih min sudah teratasi, pramudi dan PLO sudah koordinasi dgn petugas terkait shingga bus sudah beroperasi kembali, Tks","0","0","in"
"1757747213621674440","Wed Feb 14 12:42:47 +0000 2024","egracel2509","@PT_Transjakarta untuk rute busway 14 dan 2A apakah sudah beroperasi kembali ?","0","0","in"
"1757669596327539171","Wed Feb 14 07:34:22 +0000 2024","timmychristiann","@PT_Transjakarta @slice_chips Min, per sekarang jak 30 apa sudah kembali beroperasi?","0","0","in"
"1757467271579283536","Tue Feb 13 18:10:24 +0000 2024","KKeperluan","@PT_Transjakarta Tapi apakah suatu saat akan beroperasi kembali?","0","0","in"
"1757302178249908521","Tue Feb 13 07:14:23 +0000 2024","ChaeYoungEun1","@PT_Transjakarta jak 118 sudah beroperasi kembali blm ya ?","0","0","in"
"1755477557619970248","Thu Feb 08 06:23:59 +0000 2024","Oraririkho","@PT_Transjakarta halo, Min. Untuk halte Slipi Petamburan sudah beroperasi kembali atau masih renovasi ya? Terima kasih.","0","0","in"
"1753732562487558617","Sat Feb 03 10:50:00 +0000 2024","kabigon89","@PT_Transjakarta min... shelter grogol reformasi apakah sudah beroperasi kembali?","0","0","in"
"1753378921264152677","Fri Feb 02 11:24:45 +0000 2024","FahrezaArief5","@PT_Transjakarta min tolong di-update kembali mengenai rute 7F yang per Sabtu, 3 Februari 2024 sudah beroperasi setiap hari tanpa batasan waktu seperti di peta rute ini ? Terima kasih https://t.co/UFfhz5WZNG","0","0","in"
"1753104079738556788","Thu Feb 01 17:12:38 +0000 2024","TokeBogel","@PT_Transjakarta Min @PT_Transjakarta  apakah 7M pulogadung-kp rambutan ga ada niatan buat beroperasi kembali?","0","0","in"
"1752624748818059372","Wed Jan 31 09:27:56 +0000 2024","stopscroll39866","@PT_Transjakarta Kak sudah beroperasi kembali belum sekarang?","0","0","in"
"1752622001767018823","Wed Jan 31 09:17:02 +0000 2024","firmaan","@PT_Transjakarta halo min, apakah malam ini TJ 1B/1F sudah kembali beroperasi?","0","0","in"
"1750910415637475795","Fri Jan 26 15:55:48 +0000 2024","hid52448","@xxauruss @PT_Transjakarta 10H, 3F dan 1F beroperasi hingga pkl 22:00 WIB.  Beroperasi kembali rute 3F dan 10H pkl 05:00 WIB. Sedangkan rute 1F tidak beroperasi pada hari akhir pekan dan libur nasional","0","0","in"
"1748646154211033144","Sat Jan 20 09:58:26 +0000 2024","RadioElshinta","16.58: RT @PT_Transjakarta: #INFOTRANSJAKARTA | Seluruh layanan Transjakarta yang sebelumnya mengalami pengalihan / perpendekan rute terkait  kepadatan lalulintas di sekitar Jalan Sudirman saat ini sudah kembali beroperasi normal.","0","0","in"
"1746797496410714615","Mon Jan 15 07:32:31 +0000 2024","AdityaArc7","@PT_Transjakarta min mau nanya halte grogol 1 dan 2 apakah sudah beroperasi kembali?","0","0","in"
"1745348127664832684","Thu Jan 11 07:33:15 +0000 2024","haechaniebiu","@PT_Transjakarta lift di halte tj cawang uki kapan beroperasi kembali ya?","0","0","in"
"1744145754435002855","Sun Jan 07 23:55:27 +0000 2024","johnswijaya","@Lenny_diary TJ koridor 13 adalah contoh bukti nyata di Indonesia masih ada ego sektoral. begitu keluar wilayah DKI jalur layangnya habis, kembali ke jalan biasa di bawah 😆😭  bahkan dulu hari pertama beroperasi ada penolakan dari Walkot Tangerang","0","1","in"
"1743994424013783248","Sun Jan 07 13:54:07 +0000 2024","Freskacindy","@PT_Transjakarta halo min, mau tanya halte harmoni sudah beroperasi kembali kah? Tolong jelaskan rute dari halte rawamangun ke halte rs tarakan jika harmoni belum beroperasi min. Terima kasih 🙏🏻","0","0","in"
"1742487014329713129","Wed Jan 03 10:04:12 +0000 2024","tempodotco","Transjakarta Umumkan Halte Petamburan Sudah Kembali Beroperasi, Kini Berubah Nama https://t.co/ygsRfRIg02 #TempoMetro","0","4","in"
