"id","created_at","username","text","retweets","likes","lang"
"1762396115255914552","Tue Feb 27 08:35:52 +0000 2024","SonoraFM92","15.35 #LalinSonora  Di depan kantor Bawaslu jalan MH Thamrin ada aksi unjuk rasa, lalulintas dari HI ke Sarinah padat jelang kantor Bawaslu. Bus Transjakarta masih beroperasi normal. @bram92 https://t.co/i3MIvHP6bh","0","0","in"
"1762298430146400729","Tue Feb 27 02:07:42 +0000 2024","riNarosiNdra","@PT_Transjakarta rute 10M apa sudah beroperasi secara normal lagi?","0","0","in"
"1761660160756568478","Sun Feb 25 07:51:27 +0000 2024","gongjucrown","@PT_Transjakarta info min rute 4B apakah beroperasi normal ? terimakasih","0","0","in"
"1761550139855097899","Sun Feb 25 00:34:16 +0000 2024","maal2806","@PT_Transjakarta Ayo min, Senin harus bisa beroperasi lagi, masa baru 2 hari harus berhenti... Ini dah 2 hari berhenti loh, rute lain paling se hari, sejam, dan sore dah normal, masa 10M tidak...","1","5","in"
"1759455226522894546","Mon Feb 19 05:49:49 +0000 2024","morninghascome_","@PT_Transjakarta Rute 1 beroperasi normal?  Demo jadi kah?","0","0","in"
"1758981220267073791","Sat Feb 17 22:26:17 +0000 2024","ummiyyy","9E beroperasi normal kan yaa? @PT_Transjakarta","0","0","in"
"1758736381340529021","Sat Feb 17 06:13:23 +0000 2024","happy_time888","@PT_Transjakarta siang kak monas beroperasi normal kah? ada demo ga kak? mau naik 1A","0","0","in"
"1758055920079409612","Thu Feb 15 09:09:29 +0000 2024","HubbiMuhammad","@PT_Transjakarta Halo min, saya hari minggu nanti mau naik koridor d21 ui-lebak bulus. Bus tersebut beroperasi normal di hari minggu kan min?","0","0","in"
"1758046091126464727","Thu Feb 15 08:30:25 +0000 2024","thatregi","min @PT_Transjakarta mau tanya halte tj monas beroperasi normal ngga ya hari ini?","0","0","in"
"1758040198456484341","Thu Feb 15 08:07:00 +0000 2024","baekyullzz","@PT_Transjakarta halo min, mhon info apakah halte monas beroperasi normal?","0","0","in"
"1757964898271998392","Thu Feb 15 03:07:47 +0000 2024","cintaoppakorea1","@PT_Transjakarta Jacklingko 118 sudah beroperasi normal kan min?","0","0","in"
"1757893633746014624","Wed Feb 14 22:24:37 +0000 2024","agquila","@PT_Transjakarta Min JAK118 beroperasi normal?","0","0","in"
"1757851434044002383","Wed Feb 14 19:36:55 +0000 2024","gnocchincilla","@PT_Transjakarta Min info Jak-01 apakah hari ini beroperasi normal?","0","0","in"
"1757656937225961605","Wed Feb 14 06:44:04 +0000 2024","dsrimulyati20","@PT_Transjakarta JAK 59 dan 24 beroperasi normal?","0","0","in"
"1757633382740373675","Wed Feb 14 05:10:28 +0000 2024","leetquokka","@PT_Transjakarta min, koridor 3, 3f, dr kalideres hari ini beroperasi normal ga??","0","0","in"
"1757615620924080406","Wed Feb 14 03:59:53 +0000 2024","PutriNurIndahP","Selamat pagi, Admin @PT_Transjakarta. Untuk Mikrotrans Jak76, Jak120, dan Jak33 apakah hari ini beroperasi normal?  Terima kasih.","0","1","in"
"1757611800613503293","Wed Feb 14 03:44:42 +0000 2024","rmol_id","Pencoblosan Pemilu, Transjakarta Beroperasi Normal Hari Ini  #Pemilu2024 #Pilpres2024 #Transjakarta #RMOL  https://t.co/X77nLEen57","0","0","in"
"1757606951503200507","Wed Feb 14 03:25:26 +0000 2024","Riz_kiW","@PT_Transjakarta min koridor 13 beroperasi normal gak semuanya? Infonya puribeta banjir soalnya","0","0","in"
"1757605292198776842","Wed Feb 14 03:18:51 +0000 2024","dsrimulyati20","@PT_Transjakarta min, jaklingko 34 beroperasi normal?","0","0","in"
"1757602940117045254","Wed Feb 14 03:09:30 +0000 2024","Smallquokka","@PT_Transjakarta min mau tanya dong, hari ini transjakarta tetep beroperasi normal dan melayani penumpang ga?","0","0","in"
"1757599502725509480","Wed Feb 14 02:55:50 +0000 2024","Ichigo_squash","@PT_Transjakarta apakah rute 8K Jelambar batu sari, Jak30 dan Jak56 beroperasi dengan normal, terima kasih?","0","0","in"
"1757597548586664195","Wed Feb 14 02:48:04 +0000 2024","teajusalpukat_","@PT_Transjakarta rute 3f sama  9A beroperasi normal ga min? Atau kena dampak banjir?","0","0","in"
"1757585451702173819","Wed Feb 14 02:00:00 +0000 2024","medcom_id","PT TransJakarta dipastikan tetap beroperasi normal saat libur nasional Pemilu 2024 pada 14 Februari 2024.  #Pemilu2024 #PemiluDamai2024 #transjakarta https://t.co/n18a6OLqgQ","0","0","in"
"1757566883887563009","Wed Feb 14 00:46:13 +0000 2024","hwangelbow","@PT_Transjakarta hai min apa Jak32 dan 6H beroperasi normal hari ini?","0","0","in"
"1757551166421102961","Tue Feb 13 23:43:46 +0000 2024","ameliasyifaa","@PT_Transjakarta hi min T11 hari ini apa beroperasi normal?","0","0","in"
"1757539929591337114","Tue Feb 13 22:59:07 +0000 2024","NindyMomsAudrey","@PT_Transjakarta  Morning Min, hari ini busway drinarah bekasi timur apakah beroperasi normal.?? Thx","0","0","in"
"1757536776825208979","Tue Feb 13 22:46:35 +0000 2024","NindyMomsAudrey","Morning Min..  Busway dri  Bekasi Timur apakah beroperasi normal.??Thx #INFOTRANSJAKARTA","0","1","in"
"1757533185779621942","Tue Feb 13 22:32:19 +0000 2024","dhyanrl","@PT_Transjakarta Rute 4B min, beroperasi normal kan?","0","0","in"
"1757453761226977386","Tue Feb 13 17:16:43 +0000 2024","forwins_","@PT_Transjakarta kak besok TJ beroperasi normal atau gmn ya kak? Kan besok nyoblos kak? Terimakasih.","0","0","in"
"1757432342942265516","Tue Feb 13 15:51:36 +0000 2024","roseswarm_","@PT_Transjakarta B21 besok beroperasi normal kah? Dari jam berapa min?","0","0","in"
