"id","created_at","username","text","retweets","likes","lang"
"1762549543437312423","Tue Feb 27 18:45:32 +0000 2024","DenDema010","@benings_tj Kebutuhan Pokok Naik di belahan dunia manapun apabila rakyatnya waras pasti teriak tidak terima. Klu dedi kan bukan rakyat (biasa) tapi wakil rakyat (orang2 kaya) wajar klu dalam otak dan hatinya gelap.","0","0","in"
"1762522742472183922","Tue Feb 27 16:59:02 +0000 2024","uitwaaient","Ternyata makin lama, setelah satu per satu lulus, udah kerasa kalo bakalan susah buat sisaiin waktu sekedar main atau nonton bioskop doang (yang mana 5 tahun lalu hal ini biasa aja bagi kita). Kebiasa jalan sendiri. Makan sendiri. Naik TJ dan bus sendiri.","0","0","in"
"1762491466662989890","Tue Feb 27 14:54:45 +0000 2024","Gawer50k","@Anak__Ogi @jokowi luar biasa mmg rezim mukidi ini,  pecatan dgn tj hormatpun masih bisa naik pangkat, cen jancoek kon di mukidi🫣 https://t.co/upkQPTRR5k","1","6","in"
"1762488033582977149","Tue Feb 27 14:41:07 +0000 2024","ilovinRED","@istoramandiri97 @JaklingkoID_ @PT_Transjakarta Bukan gak fokus mas, saya sadar ke charge 2 kali. Tapi yg saya pertanyakan masalah di aplikasi ada beberapa pilihan rute, dan pilihan rute yg saya ambil (krn biasa naik begitu) ternyata dianggap harus bayar 2 kali sedangkan dilapangan gak kaya gitu.","0","0","in"
"1762470599518310768","Tue Feb 27 13:31:50 +0000 2024","rawrmiawz","@Barudakbabi maklum biasa balik sebelum maghrib. tadi balik abis maghrib naik tj macet bgt :(","0","0","in"
"1762469974193688802","Tue Feb 27 13:29:21 +0000 2024","ggetzy","@PT_Transjakarta Kabar gembira??? Ngga' gembira, aah! Biasa aja, sedikit malahan To, ngga kena'apa? MACET!💥💢!, Jestru sekarang si Poppa lbh seneng naik ANGKOT RONGSOKAN yg biru sama yg putih, Bisa Nyelap NYELIP ngelawan arah, Walopun kadangs sopirnya suka diomeli pengendara lain, Ttd, Si👋🏻👴🏻👈🏻","0","0","in"
"1762462441529864681","Tue Feb 27 12:59:25 +0000 2024","gedegoodman","Beginilah pemandangan warga Jakarta sehari hari, jalan biasa masih lega milih masuk jalur busway","0","0","in"
"1762448984638210152","Tue Feb 27 12:05:57 +0000 2024","abdyrudyana","@benings_tj Mungkin biasa makan skincare ni aki²","0","0","in"
"1762375152111878396","Tue Feb 27 07:12:34 +0000 2024","kebohejoreborn","min @PT_Transjakarta kalau bawa sepeda biasa tuh boleh gaksi naik tj?","0","1","in"
"1762364537666441524","Tue Feb 27 06:30:23 +0000 2024","BuswayFansC","@adil_hp21 Kartu bank yang biasa digunakan di semua moda transum bisa dipakai ya kak, ga mesti yang kartu bank dengan label Jaklingko","0","0","in"
"1762355773257236725","Tue Feb 27 05:55:33 +0000 2024","energencokeIat","@dominixus @bogorfess_ Transpakuan agak lebih besar kak setau saya, besarnya se tj dan via tol, naiknya harus dari halte cidangiang (botani). kalau biskita lebih kecil, bis biasa, naiknya bisa di banyak halte dan gak lewat tol, lewat jl raya biasa, tarif biskita 4k aja kak","0","0","in"
"1762305119314674104","Tue Feb 27 02:34:17 +0000 2024","askrapidkl","@johnjuntj Hai John TJ Tan. Terima kasih atas maklum balas. Buat masa sekarang tren beroperasi seperti biasa. Pihak operasi sedang memantau keadaan dan akan membuat tindakan selanjutnya bagi memastikan operasi tren dalam keadaan lancar. -Aleef","0","0","in"
"1762144396479492289","Mon Feb 26 15:55:37 +0000 2024","Tee_1107","Oh ya ku blm cerita y.   Bbrp hr yg ll, naik TJ kan dr MRT,  Sekali nih, ugal ugalan,  Tp aq masih biasa aja.   Sampe kmrn aq udh mw tersungkur, sopirnya malah ketawa.  Ku pura pura masih sibuk aja sm hape.   Minggu kmrn, bus nya nyerempet Avanza. Dan itu….beneran lecet.","0","0","in"
"1762098655279067230","Mon Feb 26 12:53:52 +0000 2024","wapriliak","@saptahari Aku tinggal di Jakarta sekitar tahun 2011 - 2012, ke mana2 biasa pake metro mini n Kopaja yg sopirnya 11 12 dg Valentino Rossi. Pas balik ke Jakarta tahun 2018, ga nemu lagi duo itu lagi, ternyata diganti dg feeder busway yg lebih ramah lingkungan","0","0","in"
"1762070669783904280","Mon Feb 26 11:02:40 +0000 2024","FirianyEqy","Gila ya dari pagi, nih senin brutal banget. Pagi krl bermasalah, jalanan lebih macet sampe tj lama banget harga ojol juga naik, lalu panas beud. Nah sore ini juga sama, macetnya luar biasa","0","0","in"
"1761972810715635744","Mon Feb 26 04:33:48 +0000 2024","zrkeiraa","keinget disuatu malam voice sm zlf dan tj seperti biasa dan gue nanyain build  gue: crit rate ayato masih 40an  zlf: msih dikit naikin lg aja kak gue: hmm yah ga punya kepala shime crit rate biar dpt set bonus, pake healing bonus dulu boleh ga?","0","0","in"
"1761936957872156715","Mon Feb 26 02:11:20 +0000 2024","SafinaMeida","Gila, gw jalan dr rumah setengah 8 dan jam 9.10 masih di Manggarai naik busway wkwkwk. Luar biasa macetnya senin dan efek pembangunan LRT 🤣","0","0","in"
"1761812957263208949","Sun Feb 25 17:58:36 +0000 2024","onlyonejenn","🌸Long story short hari ini🌸 Pulang naik TJ 4C dari benhil dampai arion, then saya turun bersama stranger, sebelum turun seperti biasa saya melakukan kebodohan yaitu. Tali tas saya nyangkut di kursi😓🖐🏻, ga expect bakal di bantuin koko koko🤗🤲🏻  Aw saya malu tp maloe bgt. Thx","0","0","in"
"1761736186853503307","Sun Feb 25 12:53:33 +0000 2024","ssunchldd","mau nangis udh 2 jam tj sama bis biasa ga lewat😭","0","0","in"
"1761725100586651980","Sun Feb 25 12:09:29 +0000 2024","alfatj_","@iprimaa paling saya sarannya Piero gitu... yang model jogger biasa dan kemungkinan awetnya lumayan.","0","0","in"
"1761722541708841168","Sun Feb 25 11:59:19 +0000 2024","AdiiAFVs","@asharshubuh @BuswayFansC PKT biasa di 2 polos, belom pernah ke 2A  2A biasanya kalo gak MYS, SAF, ya TJ","0","1","in"
"1761718405005295689","Sun Feb 25 11:42:53 +0000 2024","kiryuu__sento","@AndroMe1956880 @RadioElshinta Urgent katamu ? Itu jalur secara hukum, memang dikhususkan untuk transjakarta,kecuali memang urgent banget serta memang tidak bisa lewat jalur biasa.","1","0","in"
"1761604415742767600","Sun Feb 25 04:09:56 +0000 2024","aryaseblak","@PT_Transjakarta gaada yg nongol satupun, malah angkot biasa yg banyak","0","0","in"
"1761582608629325885","Sun Feb 25 02:43:17 +0000 2024","ftrrhman_","@PT_Transjakarta lagi lu ngide aja buka rute di jalanan sempit gitu ya supir angkot biasa pada ga terima lah","0","0","in"
"1761570108940669311","Sun Feb 25 01:53:37 +0000 2024","wayfaai","1. jalur khusus busway CUMAN buat bus, namanya juga ""khusus"" 2. mana tau dia lagi darurat orang pake mobil biasa bukan ambulance","0","0","in"
"1761566197844414528","Sun Feb 25 01:38:04 +0000 2024","fullsun_486","@Pai_C1 padahal kan tau ya ini jalur khusus busway kecuali keadaannya urgent misal ambulance yang buat bawa Pausen baru gapapa lagi juga kalo diliat itu jalanannya gak macet bisa ko pake jalan yang biasa ?! padahal mereka marah marah gini Malah bikin lama + macet anjir","0","0","in"
