"id","created_at","username","text","retweets","likes","lang"
"1762470807748645255","Tue Feb 27 13:32:40 +0000 2024","RafifFadhlurra4","@pepithaluna @PT_Transjakarta Nanti 2024 ini siap2 T11 sama T12 akan melayani penumpang full Non BRT alias hanya di bus stop dan tunggu tanggal mainnya saja","0","0","in"
"1762376140302512415","Tue Feb 27 07:16:29 +0000 2024","kevinhaikal","@PT_Transjakarta Halo ini hanya melayani turun di St. LBB dan terminal Pondok Cabe, atau bisa turun di bus stop yang ditiniukan digambar y?","0","0","in"
"1758460569328537764","Fri Feb 16 11:57:25 +0000 2024","bhismaaa10","@PT_Transjakarta @viviguspita1999 Gak hanya di halte sawah besar  Mngkin hampir sebagian petugas / pramusapa di halte kalian itu kdg judes dan ketus banget kalau di tanyain  Memang sih sama sama lelah Tp tugas kalian kan melayani dengan baik Lagipula kita sebagai penumpang jg bertanya dengan baik baik lho","0","0","in"
"1756372334842372483","Sat Feb 10 17:39:31 +0000 2024","fajarnugros","Kira-kira ya, aman damai kegiatan kampanye hari ini berjalan lancar kenapa ya? Ngga ada kompor ngga ada prokator. Apresiasi buat aparat kepolisian yang merekayasa lalu lintas. Angkutan publik yang tetap melayani. Ngga ada pengurangan armada MRT, KRL dan busway (hanya trayek dipotong krn macet, dan itu common).","1","13","in"
"1752487316437028878","Wed Jan 31 00:21:50 +0000 2024","andmorga","@PT_Transjakarta sejak kapan jak 73 melayani LRT Harjamukti-Kramat jati?? yang ada hanya sampai Jambore - ps.Rebo saja... coba di cross cek ke lapangan...@PT_Transjakarta","0","0","in"
"1750742450367545826","Fri Jan 26 04:48:22 +0000 2024","BahasBus","Kantor/garasi PO ANS — salah satu PO kebanggaan urang Minang di Jl. Pemuda No. 288, Rawamangun. Letaknya dekat sekali dengan St. LRT Velodrome dan Halte TJ Pemuda Rawamangun.   Apakah di kantor ini melayani naik-turun penumpang atau hanya untuk perpal? https://t.co/MCz2wBwgCn","2","18","in"
"1748689985518084223","Sat Jan 20 12:52:36 +0000 2024","NaNa31854","@PT_Transjakarta Halte BKN ganti nama kah. ? Bulan lalu 7c masih melayani hanya sampe bkn..?🙏","0","0","in"
"1746202733110268121","Sat Jan 13 16:09:09 +0000 2024","rafenditya","@rijalfahmi_19 Nambahin mas, izin trayek itu bkn hanya itungan rute akhir masuk terminal atau tempat tertentu, melainkan masuk wilayah administrasi pemerintah setempat  Jadi, misalnya TJ K2 ga bisa masuk TIJ itu bukan cuma ga boleh sampe Joyoboyo tp juga ga bs melayani di wilayah Kota Surabaya","0","0","in"
"1744972041932210230","Wed Jan 10 06:38:49 +0000 2024","joyhenri__","Antara konser Dewa 19 s/d berita ini diturunkan, betul bahwa hanya layanan Transjakarta saja yang melayani JIS. KAIC masih membangun stasiun JIS, sementara trase LRTJ yang melewati JIS masih belum dibangun.  Akses JIS jelas jadi masalah kalau ada event besar di sana.  @jalur5_ https://t.co/XGioFJfu8R","3","5","in"
"1744530036223361463","Tue Jan 09 01:22:27 +0000 2024","Faizjr89633027","@PT_Transjakarta Di peta rute tertulis untuk pemberhentian pasar pulogadung melayani halte brt arah pinang ranti / pulogadung, sedangkan di maps untuk pemberhentian pasar pulogadung tidak melayani halte brt arah pinang ranti/pulogadung. Berarti untuk rute tersebut hanya melayani full non brt kah?","0","0","in"
