"id","created_at","username","text","retweets","likes","lang"
"1761931306710217200","Mon Feb 26 01:48:53 +0000 2024","firmanuciha84","@AliBobo22 @InfoLurah Sepertinya mereka ingin ijin melintas jalur busway","0","0","in"
"1760854473373868094","Fri Feb 23 02:29:56 +0000 2024","Bang_shandie","@benings_tj Pantas lama ngak melintas...he...he.....","0","0","in"
"1759764890565415205","Tue Feb 20 02:20:19 +0000 2024","itsdionwithn","@PT_Transjakarta sudah hampir 45 menit menunggu hanya ada satu bus 5F yang melintas, itu pun sedang istirahat. Di jam sibuk sangat tidak nyaman.  Rute 5F butuh lebih banyak armada!","1","0","in"
"1759518851480658344","Mon Feb 19 10:02:39 +0000 2024","RafifFadhlurra4","@flower_asdfj @PT_Transjakarta Itu dari Stasiun LRT Dukuh Atas nanti lewat bawah JPM Dukuh Atas untuk menuju Jl MH Thamrin saat memasuki Jl MH Thamrin bus hanya melintas langsung saja di Halte Tosari dan kembali lagi pelayanan di Halte Bundaran HI Astra","0","0","in"
"1756034146881937641","Fri Feb 09 19:15:40 +0000 2024","Thetanaya","@tanyakanrl Sayangnya terminalnya gk steril dari pengendara motor yg motong jalan. Ada sehari pernah dijagain satpol pp gak ada motor melintas motong jalan lewat terminal. Terminal jadi nyaman buat pejalan kaki yg nunggu angkot. #pemprovdki #transjakarta #terminalkampungmelayu","0","0","in"
"1754673246295978133","Tue Feb 06 01:07:56 +0000 2024","Via26Novia","Suka bingung dijalan sepadat ini ada pembatas separator, tp buswaynya malah gak melintas di jalur yang dibatasi itu. Jalanan dipakai kendaraan pribadi 😃 @PT_Transjakarta https://t.co/h8XyFgaGjM","0","0","in"
"1754490873138884886","Mon Feb 05 13:03:15 +0000 2024","jalur5_","Bagi J5Friends yang langganan transit di halte Transjakarta, mungkin sering iri kalau ada bus rute lain yang melintas duluan. Contohnya di halte GBK, bagi yang menunggu bus 1F (St Palmerah) iri dengan pengguna bus 9C (Pinang Ranti) yang kebagian naik duluan.  Pernahkah merasakan hal yang sama Friends?  #CeritaDariJalur5 , cerita dan keluh kesah para komuter. Diunggah sekali setiap Senin-Jumat antara 17.00-23.00","0","4","in"
"1754060976016560353","Sun Feb 04 08:35:00 +0000 2024","detikcom","Bus TransJakarta dilempari batu oleh orang tak dikenal saat melintas di Jalan RE Martadinata, Tanjung Priok, Jakarta Utara. Akibatnya, kaca bus TransJ bolong.  https://t.co/ukIvFr4N4f","1","1","in"
"1753842602141692131","Sat Feb 03 18:07:15 +0000 2024","lensaRTV","Bus TransJakarta koridor 10H (Bundaran Senayan - Tanjung Priok), dilempar batu oleh orang tak dikenal saat melintas di Jl. RE, Martadinata, Tanjung Priok, Jakarta Utara, Sabtu (3/2) sekitar pukul 17.15 WIB. Insiden itu mencelakai satu orang akibat terkena serpihan kaca. https://t.co/9sXIk0Sl2h","0","1","in"
"1753555480642043945","Fri Feb 02 23:06:20 +0000 2024","TMCPoldaMetro","Terjadi kecelakaan tunggal sebuah truk B 9044 TIU menabrak separator busway di depan Hotel Kimaya Jl. Letjend S Parman arah Tl. Slipi. Saat ini sedang dalam proses evakuasi petugas Polri Sat Lantas Jakarta Barat. Diimbau bagi pengendara untuk berhati-hati ketika melintas. https://t.co/4ThfJx0tdB","0","1","in"
"1752483455756280179","Wed Jan 31 00:06:30 +0000 2024","SonoraFM92","06.41 Situasi arus lalu-lintas di sekitaran Tl. Enggano Jl. Enggano mengarah Terminal Tj. Priok terdapat genangan air setinggi ± 20 Cm namun masih bisa dilintasi pengendara motor dan mobil. Diimbau bagi pengendara untuk berhati-hati ketika melintas. @TMCPoldaMetro https://t.co/QetVFMwVfQ","0","0","in"
"1752481335107862544","Tue Jan 30 23:58:04 +0000 2024","TMCPoldaMetro","06.41 Situasi arus lalu-lintas di sekitaran Tl. Enggano Jl. Enggano mengarah Terminal Tj. Priok terdapat genangan air setinggi ± 20 Cm namun masih bisa dilintasi pengendara motor dan mobil. Diimbau bagi pengendara untuk berhati-hati ketika melintas. https://t.co/3ue20INKc6","2","4","in"
"1751630339620106585","Sun Jan 28 15:36:31 +0000 2024","jalur5_","Naik Transjakarta Zhongtong di saat hujan, dingin?  Armada Transjakarta yang dikenal memiliki AC dengan daya pendingin tinggi adalah bus Zhongtong. Salah satu J5Friend mengirimkan suasana saat bus yang dioperasikan Perum DAMRI ini melintas di tengah hujan.  Apakah J5Friends sudah teringat dengan dinginnya bus ini?  Video: @1ssandre","9","32","in"
"1750380925782007930","Thu Jan 25 04:51:47 +0000 2024","okino2x","@PT_Transjakarta Ada spanduk partai di bawah jembatan penyeberangan halte busway rawasari cempaka putih, dengan gambar Pistol Simbol kekerasan, di bawahnya melintas banyak kendaraan. Mohon ditindak lajuti. https://t.co/7ifH3KmM91","0","0","in"
"1750349846652096600","Thu Jan 25 02:48:18 +0000 2024","orrens","@DafaWawan @PT_Transjakarta Oh ya? Pdhl itu jembatan penghubung halte transjakarta, jadi org yg bisa melintas justru mrk yg sudah membayar tiket tj, bukan sekedar JPO gratisan. Knp tdk masuk naungannya transjakarta, ya? 😯","0","0","in"
"1749764877647007834","Tue Jan 23 12:03:50 +0000 2024","allinone20_","Kyut bangetttt apakah bus TJ yg melintas di sepanjang gatot subroto sampai taman anggrek suatu hari akan ada???🥲 Aku seringnya naik yg Vintage Series (rute 9A). Unik sihh suka diputer lagu2 genre retro, trs tulisan penjelasan di dalemnya pake ejaan djaman doeloe.","0","0","in"
"1748705215489212603","Sat Jan 20 13:53:07 +0000 2024","kumparan","Seorang pemotor tertimpa baliho caleg saat melintas di jalur Transjakarta, Daan Mogot.#newsupdate #update #news #text https://t.co/n6SpTW9VLC","1","5","in"
"1748538683647742108","Sat Jan 20 02:51:23 +0000 2024","26Ceicei","@hakuyuwkie Dengan senang hati, Kak! Aku ngantor di Kelapa Gading, tapi belum sempet nyoba naik. Hahahaha. Mentok lihat kalau melintas di Halte Transjakarta Pulomas atau Boulevard aja.","0","0","in"
"1747958109677801760","Thu Jan 18 12:24:23 +0000 2024","DlLFKlNG","* mobil Fortuner berplat merah yang kalau belok nggak ngasih sein, mau motong jalan nggak rem, dan selalu melintas lewat busway.","0","0","in"
"1747198667487154343","Tue Jan 16 10:06:38 +0000 2024","maul_malikk","Misale kereta Petikemas Gedebage - Tj. Priok melintas Jembatan Cisomang https://t.co/kwKc9v44Db","1","7","in"
