"id","created_at","username","text","retweets","likes","lang"
"1762452851090194656","Tue Feb 27 12:21:19 +0000 2024","creamynolog","@PT_Transjakarta min untuk koridor 10m mulai beroperasi jam berapa ya","0","0","in"
"1762354481524789619","Tue Feb 27 05:50:26 +0000 2024","BuswayFansC","Beroperasi Setiap Hari mulai pukul 05.00 sampai 21.00 (Pd. Cabe) / 22.00 (St. MRT Lebak Bulus)  Tarif tetap Rp3.500 ya, jangan lupa untuk Tap-in ketika naik dan Tap-out ketika hendak turun yaa!  #BuswayFansClub #AyoNaikTransjakarta #BFCInfo #BFCLuarBiasa https://t.co/KMcobMxxZK","3","4","in"
"1762244036663091617","Mon Feb 26 22:31:33 +0000 2024","hepilyf","s11 ni mulai beroperasi jam berapa ya min ya kok lama betul @PT_Transjakarta","0","0","in"
"1761738238887354420","Sun Feb 25 13:01:42 +0000 2024","bhismaaa10","@Dlrsnv @PT_Transjakarta Rute 7 &amp; 9 beroperasi 24 jam karena ada Amari (angkutan malam hari) dgn kode M7 &amp; M9 Yg beroperasi mulai pukul 22.00 - 04.30 Dgn jarak antar bus 20-30 menit sekali  Kalau 9A / atau semua rute yg ada huruf di belakangnya Cuma beroperasi sampai pukul 22.00","0","0","in"
"1761516092961493195","Sat Feb 24 22:18:58 +0000 2024","cukoj8","@PT_Transjakarta Kalau untuk rute 5 dan 5D yang ke Ancol hari ini mulai jam berapa beroperasi nya","0","0","in"
"1761345431622267373","Sat Feb 24 11:00:49 +0000 2024","dwpxyz","@PT_Transjakarta kalau hari minggu pagi busway tidak beroperasi karena ada CFD mulai dr jam berapa ya ? Apakah rute 6A available di hari minggu ? please fast respon thx","0","0","in"
"1761248532286296067","Sat Feb 24 04:35:47 +0000 2024","RafifFadhlurra4","@siipdehh @PT_Transjakarta 6H mulai beroperasi dari jam 05.00","0","0","in"
"1760967881284845957","Fri Feb 23 10:00:34 +0000 2024","howtolifewell","@PT_Transjakarta 4c hari Sabtu besok mulai beroperasi jam berapa ke Senayan?","0","0","in"
"1760648340293980499","Thu Feb 22 12:50:50 +0000 2024","id_lulla","@PT_Transjakarta min untuk rute 13e besok beroperasi mulai jam berapa yA?","0","0","in"
"1760638597009645704","Thu Feb 22 12:12:07 +0000 2024","kompascom","Rute baru bus Transjakarta Pulogadung–Kantor Wali Kota Jakarta Utara via Tipar Cakung, Jakarta Timur, mulai beroperasi hari ini. https://t.co/NYpC8ys5b1","0","4","in"
"1759915407161626953","Tue Feb 20 12:18:25 +0000 2024","koganenohikari","@berimagine bayangin dulu tinggal di jakarta, KRL Line sampai jam 12 malem. terus transjakarta ada AMARI (angkutan malam hari) beroperasi mulai 00.00-05.00","0","0","in"
"1759578635076559020","Mon Feb 19 14:00:12 +0000 2024","BuswayFansC","Mulai Kamis, 22 Februari 2024, Transjakarta mengoperasikan rute Non-BRT baru nih!  [ 10M ] Pulo Gadung - Walikota Jakarta Utara via Tipar Cakung  Rute ini beroperasi Setiap Hari mulai pukul 05.00 sampai 21.00 (dari Pulo Gadung) / 21.30 (dari Walikota Jakarta Utara)  #BFCInfo https://t.co/cq2KUHAj7z","2","7","in"
"1759380477801332784","Mon Feb 19 00:52:48 +0000 2024","mbaqso","@PT_Transjakarta Mulai beroperasi jam 04:00 aja bisa gak kak? 😭","0","0","in"
"1759059607606141271","Sun Feb 18 03:37:46 +0000 2024","RafifFadhlurra4","@ArieBunny @PT_Transjakarta 3F sama 10H beroperasi setiap hari namun mulai beroperasi jam 10.00 dari Kalideres dan Tanjung Priok dikarenakan ada CFD di Sudirman - Thamrin","0","0","in"
"1759059370577690823","Sun Feb 18 03:36:50 +0000 2024","RafifFadhlurra4","@eeokmin @PT_Transjakarta Beroperasi tapi mulai jalan jam 10.00 ya karena ada CFD di Sudirman - Thamrin","0","0","in"
"1758864257582850453","Sat Feb 17 14:41:31 +0000 2024","bloomingluck","@PT_Transjakarta halo kak admin, untuk rute 1B ke bundaran senayan apakah besok beroperasi? mulai jam berapa ya?","0","0","in"
"1758860735353098328","Sat Feb 17 14:27:32 +0000 2024","ayangjeongins","@PT_Transjakarta min rute 5N mulai beroperasi jam berapa ya?","0","0","in"
"1758826868143431986","Sat Feb 17 12:12:57 +0000 2024","sincerelysyv","@PT_Transjakarta Min untuk beosk 4c mulai beroperasi dari jam berapa ya?","0","0","in"
"1758500835422859726","Fri Feb 16 14:37:25 +0000 2024","calonnnnjenazah","@PT_Transjakarta min kalau rute bis tingkat ke pik itu rutenya mulai dari mana min dan beroperasi kapan aja ya","0","0","in"
"1758023672336617892","Thu Feb 15 07:01:20 +0000 2024","kuahseblakk_","@PT_Transjakarta Min mau tanya, jak59 hari ini udh mulai beroperasi kah?","0","0","in"
"1757716925692727299","Wed Feb 14 10:42:26 +0000 2024","seonggokcucur","Rute 3f kampung rambutan beroperasi mulai jam berapa kak @PT_Transjakarta ?","0","0","in"
"1757397835648217593","Tue Feb 13 13:34:29 +0000 2024","7291s","@PT_Transjakarta besok beroperasi mulai jam berapa ya?","0","0","in"
