"id","created_at","username","text","retweets","likes","lang"
"1760454479525323232","Thu Feb 22 00:00:30 +0000 2024","afsheen_15","@PT_Transjakarta tiap pengaduan akan d tinjut atau mmg petugas d pinangranti yg apathis. Sudah sering komplain smp skrng tdk ada perubahan. SARAN: rute 9N pintu F, rute 9C pintu D,E dan rute 9 pintu A,B.","0","0","in"
"1760452779968184328","Wed Feb 21 23:53:45 +0000 2024","afsheen_15","Min @PT_Transjakarta MONITOR halte pinang Ranti!!! Agar pintu tunggu penumpang 9 n 9C DI PISAH!!! Rute 9N yg penumpang  PLNG SDKT pintu tunggu LUAS 😡 penumpang 9 n 9C TIAP HARI d suruh DESAK2AN. Sdh komplain tdk ada perubahan sama sekali https://t.co/cddgyS3nXb","0","0","in"
"1759735361310503004","Tue Feb 20 00:22:59 +0000 2024","afsheen_15","@PT_Transjakarta NGOMONG SAJA @PT_Transjakarta  ini, SY SDH BERKALI2 KOMPLAIN TETAP TDK ADA PERUBAHAN N TINDAK LANJUT NYATA D HALTE PINANGRANTI. Rute 9N yg penumpang plng sdkt saja PINTU TUNGGU NYA justru PALING LUAS D BANDING RUTE 9 N 9C!!!!","0","0","in"
"1759535902983119000","Mon Feb 19 11:10:24 +0000 2024","pramesti_isna","Dear @PT_Transjakarta , skrg rute 6A ada perubahan kah jadi melewati halte galunggung/dukuh atas? Mohon di briefing dlu driver nya biar ga muter2. Thanks","0","0","in"
"1757611515816169924","Wed Feb 14 03:43:34 +0000 2024","widiakhumaira13","@PT_Transjakarta Karena ini saya harus jalan total ±600m untuk perpindahan rute busway aja min (udh cek via strava). Kalo pp jadi ±1.2km, belum ditambah kalau mau jalan pas pulang kerja. Emang sih sehat jalan kaki. Tapi masa iya begini 🥲 Semoga ada perubahan","0","0","in"
"1757256881645691062","Tue Feb 13 04:14:23 +0000 2024","binneulss","@PT_Transjakarta min, besok pas pemilu semua rute operasi normal atau ada perubahan?","0","0","in"
"1757235032836747445","Tue Feb 13 02:47:34 +0000 2024","maswasis","@PT_Transjakarta @dr_dimas_seto Sekali2 dalam sosialisasinya harus diinfokan analisa dari unit tersebut kepada penumpang, bukan hanya sosialisasi adanya perubahan rute ... biar paham jg kita para penumpangnya","0","0","in"
"1756840794445771002","Mon Feb 12 00:41:00 +0000 2024","ReVeluvforRV","@RafifFadhlurra4 @aisahdj @PT_Transjakarta Baru ngerasain pagi ini. Kaget banget diturunin di pinggir. Udahlah capek, waktu, duit kekuras jatohnya 2x lipat. Kurang cerdas kata gua sih. Jadi intinya kalo bisa ribet kenapa harus simpel gitu ya bang @PT_Transjakarta tolong deh dikembalikan. Toh sama aja gada perubahan rute","0","0","in"
"1756567640926200267","Sun Feb 11 06:35:35 +0000 2024","SomantriDebon","@NenkMonica AMIN utk perubahan.....   Kemarin dari sts kp Bandan diturunkan di Sts Tj.Priok karena sts Ancol penuh katanya....tidak apa² karena utk perubahan kami jadi jalan lewat rute ini..... Alhamdulillah bisa masuk sampe JIS walau ga sampe tribun  Go Perubahan","0","0","in"
"1756192775467573372","Sat Feb 10 05:46:00 +0000 2024","esgrimcokolate","@PT_Transjakarta @nuggetpedaz min T11 perubahan rute gak nih hari ini ? makasih min","0","0","in"
