"id","created_at","username","text","retweets","likes","lang"
"1762298430146400729","Tue Feb 27 02:07:42 +0000 2024","riNarosiNdra","@PT_Transjakarta rute 10M apa sudah beroperasi secara normal lagi?","0","0","in"
"1762252231397773391","Mon Feb 26 23:04:07 +0000 2024","FarelStar245890","@PT_Transjakarta min 10m sudah beroperasi?","0","1","in"
"1762069051445227824","Mon Feb 26 10:56:14 +0000 2024","Yoland_Cend","@PT_Transjakarta @danilaansari Halo kak, Jak-67 kapan beroperasi ya? Plang-nya sudah ada jadi harapannya sudah ada rencana realisasinya kan ya?","0","0","in"
"1762052957326266728","Mon Feb 26 09:52:17 +0000 2024","ajareski72","@PT_Transjakarta kak apakah halte bendungan hilir sudah beroperasi? Saya mau ke kampus atmajaya turun di halte mana ya dr kota?","0","0","in"
"1761239604609613953","Sat Feb 24 04:00:18 +0000 2024","RafifFadhlurra4","@slviohexia @PT_Transjakarta Ada kok Mikrotrans JAK.48A dari TPU Karet Bivak sampai Stasiun Tebet beroperasi setiap hari untuk naiknya dari bus stop yang sudah ditentukan","0","0","in"
"1761174357215441021","Fri Feb 23 23:41:02 +0000 2024","cimolkasep_","@PT_Transjakarta busway yang mimin sebutkan apakah sudah beroperasi di jam 5 pagi?","0","0","in"
"1761161532367589816","Fri Feb 23 22:50:04 +0000 2024","khasanmubarok","@PT_Transjakarta apakah 10M hari ini sudah beroperasi lagai?","0","0","in"
"1761055659607662947","Fri Feb 23 15:49:22 +0000 2024","porcufly","@PT_Transjakarta halo min, mau tanya apakah besok rute 10M sudah beroperasi lagi?","0","0","in"
"1760868665501917297","Fri Feb 23 03:26:19 +0000 2024","theonlyrain_","halo @PT_Transjakarta halte grogol apakah sudah beroperasi?","0","0","in"
"1760588574947529000","Thu Feb 22 08:53:21 +0000 2024","thelittle99_","@PT_Transjakarta min mau tanya, apa halte Benhil dan karet sudah beroperasi?","0","0","in"
"1760509463134646506","Thu Feb 22 03:38:59 +0000 2024","swaskiddo","@PT_Transjakarta halo kak, apakah halte semanggi sudah beroperasi lagi? Apa jam 10 malam masih ada bus dari semanggi ke bundaran HI?","0","0","in"
