"id","created_at","username","text","retweets","likes","lang"
"1760629681920098323","Thu Feb 22 11:36:41 +0000 2024","hecansainz","@PT_Transjakarta min bis joglo yg dari blok m ko lama bgt yaaa, udah sejam lebih!! sekalinya ada tidak melayani","0","0","in"
"1759553970203480156","Mon Feb 19 12:22:12 +0000 2024","yukagumri","@PT_Transjakarta semuanya aja tidak melayani 😩","0","0","in"
"1759464797027152080","Mon Feb 19 06:27:51 +0000 2024","NSYT3J2","@PT_Transjakarta Kan biasanya jg tidak melayani min","0","0","in"
"1757206971630125245","Tue Feb 13 00:56:04 +0000 2024","ddnanul","Beda-beda cara supir melayani penumpang. Karena posisi alat tap kartu berada di samping supir. Dan tidak ada penumpang di depan. Supir tidak mau membantu penumpang tap kartu. Ada juga supir yang membiarkan mobilnya kosong tanpa mengambil penumpang. @PT_Transjakarta https://t.co/xo79kpCvQU","0","0","in"
"1756412582888604008","Sat Feb 10 20:19:26 +0000 2024","manadimanasaya","@nailedddit @nftiza tapi setelah jam 3 sore juga beberapa kali busway yg lewat tertulis 'tidak melayani pnp' kak, padahal lewat di depan halte nya","0","3","in"
"1756160015747219714","Sat Feb 10 03:35:50 +0000 2024","Djambronk_Anyar","parah juga sih ini @CommuterLine pagi ini mrk tidak melayani jurusan ke ancol, penumpang yg mau ke JIS turunnya di Tj Priuk.... https://t.co/RUkixWwb8n","0","0","in"
"1755876722271211780","Fri Feb 09 08:50:07 +0000 2024","rafenditya","Pengalihan rute karena demo di kawasan Monas 2A tidak melewati Balai Kota dan 5C tidak melayani halte Monas, keduanya via Pecenongan.  Terima kasih @PT_Transjakarta https://t.co/2TEYYTNVxR","0","1","in"
"1755509941497127286","Thu Feb 08 08:32:40 +0000 2024","bhismaaa10","@doprilia @PT_Transjakarta Sama  Rute Kota - blok M  Tidak melayani halte Monas dan kebon sirih  Jd dr harmoni nanti ambil arah Cideng","0","0","in"
"1755143078657347675","Wed Feb 07 08:14:53 +0000 2024","kkyllua","@PT_Transjakarta kenapa banyak bis yg tidak melayani pnp ini arah PGC?","0","0","in"
"1754732995079295481","Tue Feb 06 05:05:22 +0000 2024","DKIJakarta","Hai Warga Jakarta!  Mulai Sabtu, 3 Februari 2024, ada 16 rute Transjakarta yang biasanya beroperasi di hari kerja, kini beroperasi setiap hari lho!  Rute apa saja ya yang berubah? Lihat daftarnya pada gambar di atas ya.  Layanan 13D kini tidak beroperasi melayani pelanggan, namun jangan khawatir, kalian dapat menggunakan rute 13C menuju Halte Dukuh Atas yang beroperasi setiap hari.  Peta rute Transjakarta selengkapnya dapat dilihat pada https://t.co/mMvRmLNthl.  Sumber: @PT_Transjakarta   #DKIJakarta #SuksesJakartauntukIndonesia #JagaJakarta #TransportasiPublik #TransJakarta #RuteTransJakarta","7","10","in"
"1754651111309603061","Mon Feb 05 23:39:59 +0000 2024","force0489","Udah nunggu 20 menit padahal di layar busway sampe 1-10 menit tapi yg dateng tidak melayani semua , sering bgt kaya gini . Maksudnya apa ya tj @PT_Transjakarta https://t.co/O0cnWRercu","0","0","in"
"1754176547341418770","Sun Feb 04 16:14:14 +0000 2024","baldynan","nunggu bus tj arah rumah lama bgt sampe ada bus yg tulisannya udh tidak melayani. gue pikir jam operasionalnya udh beres kali. yauda pesen gojek, udh keorder busnya lewat depan gue bangkeeee","0","0","in"
