id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1761628534534259013,Sun Feb 25 05:45:46 +0000 2024,maulanafikri455,"semoga Jakarta bisa nambah transportasi umum lebih banyak lagi  entah itu jaklingko, tj, kereta, dll  pasti ada kok orang yang mau naik transportasi umum tapi males nunggu lama karena ga dateng2, kereta penuh kek jombi, dll.  dan berakhir naik kendaraan pribadi  semoga yaa😁",0,25,in,"semoga Jakarta bisa nambah transportasi umum lebih banyak lagi  entah itu jaklingko, tj, kereta, dll  pasti ada kok orang yang mau naik transportasi umum tapi males nunggu lama karena ga dateng2, kereta penuh kek jombi, dll.  dan berakhir naik kendaraan pribadi  semoga yaa😁","semoga Jakarta bisa nambah transportasi umum lebih banyak lagi entah itu jaklingko , tj , kereta , dll pasti ada kok orang yang mau naik transportasi umum tapi males nunggu lama karena ga dateng2 , kereta penuh kek jombi , dll . dan berakhir naik kendaraan pribadi semoga yaa"
1760695349356961801,Thu Feb 22 15:57:38 +0000 2024,rajnamahistha,"Selamat malam admin @PT_Transjakarta   Dua hari terakhir ini, saya selalu nggak dapet bus ke arah Blok M dari Kemang (Rute 6N) di jam 21:10. Padahal saya menunggu di halte sebelum jam operasional berakhir. Kenapa nggak ada bus ke arah Blok M sebelum jam operasional berhenti?",0,0,in,"Selamat malam admin @PT_Transjakarta   Dua hari terakhir ini, saya selalu nggak dapet bus ke arah Blok M dari Kemang (Rute 6N) di jam 21:10. Padahal saya menunggu di halte sebelum jam operasional berakhir. Kenapa nggak ada bus ke arah Blok M sebelum jam operasional berhenti?","Selamat malam admin pt_transjakarta Dua hari terakhir ini , saya selalu nggak dapet bus ke arah Blok M dari Kemang ( Rute 6N ) di jam 21 : 10 . Padahal saya menunggu di halte sebelum jam operasional berakhir . Kenapa nggak ada bus ke arah Blok M sebelum jam operasional berhenti ?"
1760446103617675453,Wed Feb 21 23:27:13 +0000 2024,shaacxz,"berakhir dengan 5 menit doang diceramahin mama, soalnya masih pagi nyokap tau gue buru buru hrs ngejar busway 😭 https://t.co/xd2W3QvNlb",0,0,in,"berakhir dengan 5 menit doang diceramahin mama, soalnya masih pagi nyokap tau gue buru buru hrs ngejar busway 😭 https://t.co/xd2W3QvNlb","berakhir dengan 5 menit doang diceramahin mama , soalnya masih pagi nyokap tau gue buru buru hrs ngejar busway"
1759797626416082984,Tue Feb 20 04:30:24 +0000 2024,custardchios,Gua udah jalan jauh2 terus ada 2 tj depan mata yg harusnya jadwalnya masih 10 menit lagi dan berakhir engga ke kejar🙂,0,0,in,Gua udah jalan jauh2 terus ada 2 tj depan mata yg harusnya jadwalnya masih 10 menit lagi dan berakhir engga ke kejar🙂,Gua udah jalan jauh2 terus ada 2 tj depan mata yg harusnya jadwalnya masih 10 menit lagi dan berakhir engga ke kejar
1759529647442993592,Mon Feb 19 10:45:33 +0000 2024,LivRJ23,Selama jalan pulang yg cukup panjang gua baca ini cerita kerasa emosinya pen ngamuk tapi inget lagi di TJ dan bnyk orng😭😭 Rekomen buat yg mau baca karna kehabisan bacaan.  Kisah anak SMA yg rumit tapi berakhir baik,0,0,in,Selama jalan pulang yg cukup panjang gua baca ini cerita kerasa emosinya pen ngamuk tapi inget lagi di TJ dan bnyk orng😭😭 Rekomen buat yg mau baca karna kehabisan bacaan.  Kisah anak SMA yg rumit tapi berakhir baik,Selama jalan pulang yg cukup panjang gua baca ini cerita kerasa emosinya pen ngamuk tapi inget lagi di TJ dan bnyk orng Rekomen buat yg mau baca karna kehabisan bacaan . Kisah anak SMA yg rumit tapi berakhir baik
1758869162657816735,Sat Feb 17 15:01:01 +0000 2024,ulfija,"Ketika impulsivitas membawa jelajah.  1. Impulsif jalan ke Blok M 2. Nontonin orang sambil mikir, ""Oh gini malam Minggu?"" 3. Iseng mau naik TJ ke PI, ke stasiun, eh salah jalan (malah jalan jalur busnya 😭) 4. Berakhir naik mikrotrans ke LB, dan masih berlanjut... https://t.co/8t2fQDgMsZ",1,27,in,"Ketika impulsivitas membawa jelajah.  1. Impulsif jalan ke Blok M 2. Nontonin orang sambil mikir, ""Oh gini malam Minggu?"" 3. Iseng mau naik TJ ke PI, ke stasiun, eh salah jalan (malah jalan jalur busnya 😭) 4. Berakhir naik mikrotrans ke LB, dan masih berlanjut... https://t.co/8t2fQDgMsZ","Ketika impulsivitas membawa jelajah . 1 . Impulsif jalan ke Blok M 2 . Nontonin orang sambil mikir , "" Oh gini malam Minggu ? "" 3 . Iseng mau naik TJ ke PI , ke stasiun , eh salah jalan ( malah jalan jalur busnya ) 4 . Berakhir naik mikrotrans ke LB , dan masih berlanjut . . ."
1758652432308187469,Sat Feb 17 00:39:48 +0000 2024,Luminolla,"@rita_tj Selamat pagi kak @rita_tj , selamat berakhir pekan 🤗🙏",0,0,in,"@rita_tj Selamat pagi kak @rita_tj , selamat berakhir pekan 🤗🙏","Selamat pagi kak , selamat berakhir pekan"
1758601831880757741,Fri Feb 16 21:18:44 +0000 2024,yeoungt,Abah berakhir Tabah  Yang tabah ya abah,0,0,in,Abah berakhir Tabah  Yang tabah ya abah,Abah berakhir Tabah Yang tabah ya abah
1757935608855666724,Thu Feb 15 01:11:24 +0000 2024,andharifitri,"@ddianast @gojekindonesia gue malah nggak dapet-dapet joooo, berakhir naik tj dan telat huhuhuhu",0,0,in,"@ddianast @gojekindonesia gue malah nggak dapet-dapet joooo, berakhir naik tj dan telat huhuhuhu","gue malah nggak dapet - dapet joooo , berakhir naik tj dan telat huhuhuhu"
1756902845927079945,Mon Feb 12 04:47:34 +0000 2024,hieraeht,"Pernah pulang soktau bgt naik tj, bekal pake apk travi. Terus krn sambil chatan temen, kelewat terminal tujuan gue. Akhirnya yg selanjutnya gue turun dgn rencana jalan kaki balik ke terminal tujuan, eh guenya capek. Yaudah motong kompas. Tp gatau itu dmn yaudah berakhir ngegojek",0,0,in,"Pernah pulang soktau bgt naik tj, bekal pake apk travi. Terus krn sambil chatan temen, kelewat terminal tujuan gue. Akhirnya yg selanjutnya gue turun dgn rencana jalan kaki balik ke terminal tujuan, eh guenya capek. Yaudah motong kompas. Tp gatau itu dmn yaudah berakhir ngegojek","Pernah pulang soktau bgt naik tj , bekal pake apk travi . Terus krn sambil chatan temen , kelewat terminal tujuan gue . Akhirnya yg selanjutnya gue turun dgn rencana jalan kaki balik ke terminal tujuan , eh guenya capek . Yaudah motong kompas . Tp gatau itu dmn yaudah berakhir ngegojek"
