"id","created_at","username","text","retweets","likes","lang"
"1873694171938316445","Mon Dec 30 11:34:36 +0000 2024","tnos_world","Ade Ary mengatakan awal mulanya anggota Tim Patroli Perintis Presisi pimpinan Brigadir Achmad Helmy mendapatkan laporan dari kasat lantas terkait adanya pria yang membawa senjata tajam di Jalan Daan Mogot. Pria tersebut menyetop bus TransJakarta. https://t.co/PUwucSxe8H. lengkapi awak @TransJakarta  dengan Aplikasi untuk respon cepat keadaan darurat.     Gunakan Tnos Alert Button sebagai salah satu solusi.    Responder bisa ditentukan sendiri, baik security TransJakarta pihak yang berwajib.         Perlu presentasi atau Informasi lengkap hubungi 0811-9595-493 (WA)                     cek di https://t.co/9VljlLBwVh       Free Trial/Gratis penggunaan selama 60 hari tanpa syarat apapun.           #innovation #technology #alert #FreeTrial #helpnow #tnosalertbutton #panicbutton #securityalert #fypシviral #LiNKEDiN #GratisTanpaBatas #helpingpeople #viral2024 #fyptwitterviral #peringatadarurat #CrimeNews #jakartakeras #CrimeWatch","1","1","in"
"1873647036626854028","Mon Dec 30 08:27:18 +0000 2024","hrdsabar","Tbh tj di Indo juga bersih kok, sejauh ini gak pernah liat ada sampah makanan/minuman. Tapi ya kalo binatang kayak nyamuk/kecoa tuh masih ada, emang agak jijik sih apalagi kecoa tapi laporan aja ke miminnya (gue pernah lapor trus besokannya update udah dibersihin cuy) https://t.co/NxeDRTgUoa","0","0","in"
"1873631539105513891","Mon Dec 30 07:25:43 +0000 2024","lalanrpo","@PT_Transjakarta Halo min terkait laporan ini sudah saya sampaikan melalui dm namun tdk ada tanggapan","0","0","in"
"1872589913214095847","Fri Dec 27 10:26:41 +0000 2024","hazeanly","halo min @PT_Transjakarta saya top up kartu flazz via vending machine tetapi gagal &amp; sdh 1 bulan saldo belum juga masuk ke rekening saya. kata pramusapa akan ditransfer setelah 1 bulan, tetapi ini sudah 1 bulan blm jga ditransfer &amp; sy sdh buat laporan di web jg. mohon bantuannya.","0","0","in"
"1872585047750185376","Fri Dec 27 10:07:20 +0000 2024","kareninauliaa","halo min @PT_Transjakarta saya top up kartu flazz via vending machine tetapi gagal &amp; sdh 1 bulan saldo belum juga masuk ke rekening saya. kata pramusapa akan ditransfer setelah 1 bulan, tetapi ini sudah 1 bulan blm jga ditransfer &amp; sy sdh buat laporan di web jg. mohon bantuannya.","0","0","in"
"1872453732862193968","Fri Dec 27 01:25:33 +0000 2024","DiandraTit77827","@PT_Transjakarta mana min katanya uy dh perbaiki, mana nih yg kasih laporan kesaya bilang nya udh diperbaiki (halte landasan pacu Kemayoran) https://t.co/fJq2YEnzMh","0","0","in"
"1872157446078378427","Thu Dec 26 05:48:12 +0000 2024","asyariefh","@PT_Transjakarta @infobusway Laporan ke sini lambat penangananya... Payah.. topup saldo via Qris.. pembayaran berhasil bdi mesin gagal saldo pun gak kembali..  berbulan2 penanganannya.. blm juga selesai.. bibrok","0","0","in"
"1871537956672180361","Tue Dec 24 12:46:35 +0000 2024","callmerahmasaja","Inilah kursi yg disediakan @PT_Transjakarta di halte busway sumur batu setelah JPO yg panjang menuju halte. Memang kalo bisnis dikelola orang2 ga punya hati ya begini jadinya. Ini laporan sepupu saya yg malam ini baru dari RS Yarsi hendak pulang ke Cibubur. Top dah @DKIJakarta 👍🏼 https://t.co/ZLGBZfyebj","0","3","in"
"1871532889676144823","Tue Dec 24 12:26:26 +0000 2024","ankbaruu","Tolong ya petugas di bus stop halte pasar rebo adain arah kp rambutan. Ini sopir S22 malah di TERIAKIN POLISI gimana sih orang tempatnya. Bus TJ-849 kalo ada laporan soal sopir, bukan salah sopirnya ya. @PT_Transjakarta   Yang harusnya ditegor itu Primajasa, bukan sopir TJ.","2","1","in"
"1871147102912614815","Mon Dec 23 10:53:28 +0000 2024","RonicJakarta","@PT_Transjakarta Dimohon untuk Transjakarta ditindaklanjuti dengan baik laporan saya","0","0","in"
