"id","created_at","username","text","retweets","likes","lang"
"1873577061111206071","Mon Dec 30 03:49:15 +0000 2024","siti_maesa6843","@PT_Transjakarta rute 1A hari ini beroperasi tidak ya?","0","0","in"
"1873338498150985924","Sun Dec 29 12:01:17 +0000 2024","FarelStar245890","@PT_Transjakarta besok 6a/6b tidak beroperasi jam 19.00 sampai jam 10 , tolong kor 1 dibanyakin pasti pada pakai kor 1 ke dukuh atas dan bendungan hilir . Plisssss .","0","0","in"
"1873141300477952055","Sat Dec 28 22:57:41 +0000 2024","haloww62","@PT_Transjakarta Rute 1: blok m-kota beroperasi tidak ya?","0","0","in"
"1872786198198141091","Fri Dec 27 23:26:38 +0000 2024","koinDini","@PT_Transjakarta Hari ini 6A &amp; 6B beroperasi tidak min?","0","0","in"
"1872221064966848788","Thu Dec 26 10:01:00 +0000 2024","BuswayFansC","Terus nasib Haltenya gimana setelah berubah jadi Non BRT Full?  Haltenya sudah tidak beroperasi lagi &amp; sementara Halte Bangunan baru imbas proyek Tol seperti Halte Tipar Cakung s/d Cakung Cilincing, ""kabar burungnya"" sih masih milik pihak Kontraktor Tol &amp; bukan punya TJ  *Nah loh https://t.co/8Z6dzmvibz","2","11","in"
"1871510470836047956","Tue Dec 24 10:57:21 +0000 2024","brohaitham","@PT_Transjakarta besok beroperasi seperti biasa atau tidak ya?","0","0","in"
"1870824236648174004","Sun Dec 22 13:30:30 +0000 2024","Adrianussatrio","Jika rute MRT Fase Lebak bulus kota sudah beroperasi tahun 2029, yang diperlukan adalah penyesuaian rute Transjakarta yang  efektif. Koridor 1 dan 2 tidak perlu  dihilangkan sepenuhnya tapi di lihat mana rute yang perlu di modifikasi sesuai dengan pola perjalanan masyarakat . https://t.co/F0UwLEJqFz","12","53","in"
"1870658434296934475","Sun Dec 22 02:31:40 +0000 2024","jaedarls","@PT_Transjakarta izin tanya apakah rute 3F tidak beroperasi dari kalideres seperti di gambar? https://t.co/xUOZxxl4CF","0","0","in"
"1870587746517225814","Sat Dec 21 21:50:47 +0000 2024","putraferdinoo","@PT_Transjakarta Kak untuk buaway 2A di hari minggu ini apakah beroperasi seperti biasa dimulai jam 5 atau tidak kak karena perihal cfd","0","0","in"
"1870409928323805305","Sat Dec 21 10:04:12 +0000 2024","kapten1956","@PT_Transjakarta min, 4C hari ini beroperasi atau tidak?","0","0","in"
"1870302999513575590","Sat Dec 21 02:59:18 +0000 2024","dearamaranth_","@PT_Transjakarta min rute 6A hari ini beroperasi atau tidak ya?","0","0","in"
"1870284597315154407","Sat Dec 21 01:46:10 +0000 2024","_xvylnx_","@PT_Transjakarta Pagi. Apakah hari ini JAK10B beroperasi? Sudah 45 menit menunggu tidak ada yang lewat, di stasiun gondangdia.","0","0","in"
"1870140454471381146","Fri Dec 20 16:13:24 +0000 2024","HinoBalap","Rute 2M adalah rute yang dioperasikan oleh PT Transjakarta, guna menggantikan rute JAK.33 yang ditutup akibat unit angkotnya tidak beroperasi  Peta spasial rutenya: https://t.co/36pz6UJwNB","0","2","in"
"1870068817726239231","Fri Dec 20 11:28:45 +0000 2024","juhaa_er","@PT_Transjakarta @blckrosesoonday kalo boleh tauu kenapa yah armada jak 77 tidak ada yang beroperasi","0","0","in"
"1869346599857705018","Wed Dec 18 11:38:54 +0000 2024","Lica_Secret","@TfJakarta @PT_Transjakarta Sampai kapan ya min, tidak beroperasi?","0","0","in"
"1869182783329042899","Wed Dec 18 00:47:57 +0000 2024","RafifFadhlurra4","@kkurakkita @PT_Transjakarta JAK.77 sejak jumat kemarin yang beroperasi hanya 9 armada dikarenakan 22 armadanya sudah tidak beroperasi yang disebabkan oleh dicabutnya kontrak salah satu operator JAK.77 di TJ","0","0","in"
"1869013460241334636","Tue Dec 17 13:35:08 +0000 2024","sheiska","@PT_Transjakarta Pantas udah dari kamis kemarin tidak melihat Jacklingko 33 beroperasi. Mungkin bisa lebih gencarkan lagi sosialisasinya karna kami yang biasa gratis jadi harus menyiapkan dana di kartu elektronik kami","0","6","in"
"1868589733192048857","Mon Dec 16 09:31:23 +0000 2024","hyuckleyy","@PT_Transjakarta halo kak, mau bertanya apakah jak 86 rute tu priok- rawamangun sudah tidak beroperasi lagi?","0","0","in"
"1868441891597177008","Sun Dec 15 23:43:55 +0000 2024","ardhakadabra","@PT_Transjakarta min jak86 kenapa tidak beroperasi? Adakah rencana pengalihan rute?","0","0","in"
"1868211676262330716","Sun Dec 15 08:29:07 +0000 2024","Ochasr","@PT_Transjakarta Apakah masih tidak beroperasi min? Untuk gantinya apa ya","0","0","in"
"1868071753169416200","Sat Dec 14 23:13:07 +0000 2024","haloww62","@PT_Transjakarta Koridor 1 blok m - kota beroperasi tidak?","0","0","in"
"1867799136512487773","Sat Dec 14 05:09:50 +0000 2024","kimminnyeongssi","@PT_Transjakarta 6U tidak beroperasi? Sudah tunggu 50 menit","0","0","in"
