"id","created_at","username","text","retweets","likes","lang"
"1867332660299018538","Thu Dec 12 22:16:14 +0000 2024","Abu_shahib16","@Winardi_641 @DoankWarto Jadi walikota dilaporkan maling di dinas pendidikan kota Solo  Jadi gubernur dilaporkan maling Mark up bus Transjakarta karatan  Jadi presiden dilaporkan maling sekeluarga, maling gratifikasi yang bikin anak2nya punya ratusan milyar dan puluhan perusahaan ga jelas","0","1","in"
"1863732889231430119","Mon Dec 02 23:52:01 +0000 2024","Adrianussatrio","Cuma kalau ketauan ngelewatin bus stop bisa kena BA dan yg di denda koperasi nya. Jadi kalau mereka ugal2 an dan lewatin bus stop mohon dilaporkan tj biar kena denda dan tidak diulang","4","18","in"
"1862302322564768232","Fri Nov 29 01:07:28 +0000 2024","blackhawa88","@dorbgerd9534 @PT_Transjakarta Mulai ga nyaman laporan di x.. selalu dibantahkan.. apa karena terlalu banyak laporan di x jadi yang dilaporkan playing victim seolah-olah berbanding terbalik dengan memakai akun yang isinya konten tidak baik untuk membela yang dilaporkan..?","0","0","in"
"1856747034059132955","Wed Nov 13 17:12:44 +0000 2024","e100ss","Mohon bantuannya, Kawan. Dua pendengar SS hari ini, Rabu (13/11/2024) pk. 14.00-22.00 WIB melaporkan kehilangan sepeda motor dan titip mata pada Anda semua jika barangkali melihatnya untuk dilaporkan ke polisi terdekat.  1. Genio 2019, biru-putih, L 3911 TJ, dicuri di depan rumah kawasan Manukan Rejo II, Surabaya, sekitar pk. 14.30 WIB tadi;  2. Beat 2019, hitam-pink, dicuri di depan rumah kawasan Villa Wonokusumo, Pegirian, Surabaya, sekitar pk. 18.00 WIB tadi. (hm)","0","4","in"
"1856108224556216448","Mon Nov 11 22:54:20 +0000 2024","EkasariErnawati","@PT_Transjakarta Halte Sasaki,  saya juga sudah menanyakan ke penjaganya katanya sudah dilaporkan hanya ga ada perubahan","0","0","in"
"1853238325236412855","Mon Nov 04 00:50:22 +0000 2024","ragazzaberkicau","@PT_Transjakarta tolong hasilnya bisa dilaporkan ke sini ya @PT_Transjakarta heran saya dari kemarin katanya mau evaluasi dan koordinasi tapi kok gaada perkembangan gini","0","0","in"
"1849436894326825311","Thu Oct 24 13:04:51 +0000 2024","jalur5_","Pada hari Kamis (24/10) jam  18.50 WIB, terjadi kebakaran di sebuah gedung dekat Halte Transjakarta Mampang Prapatan, Jakarta Selatan. Dilaporkan hawa panas kebakaran terasa hingga ke sekitar halte. Penumpang diminta mengevakuasi diri ke Halte Duren Tiga untuk sementara waktu. https://t.co/wL6wqokamn","7","25","in"
"1843995659546059066","Wed Oct 09 12:43:19 +0000 2024","natalya_uli","@PT_Transjakarta ada apalagi ini antrian cibubur panjang antriannya sampe ke mushola Masa apa² hrs dilaporkan dlu baru berubah itupun berubahnya gk sampe sebulan keulang lagi https://t.co/PoiNGpsETf","0","0","in"
"1839865291574260160","Sat Sep 28 03:10:43 +0000 2024","benings_tj2","@sidomie Wait..., 🤔 Mesti dilaporkan ke @PresidenKopi ini, kenapa jadi belok ke teh?","0","1","in"
"1834161874914738652","Thu Sep 12 09:27:22 +0000 2024","pecahndasee","@PT_Transjakarta Jangan lupa hasil koordinasinya dilaporkan ke saya. Kembali ke tempat. Makasih. Kemarin rame bgt abis nonton timnas, nyari toilet dimana2 ditutup, pusing.","0","0","in"
"1818323026917900682","Tue Jul 30 16:29:27 +0000 2024","Reiza_Patters","Salah. Dua shift itu ketentuan TJ krn pemenuhan maksimal 200km itu dari jam 05.00 pagi hingga jam 22.00. Gajinya full utk 2 orang memang.  Berhenti harus di bus stop, kalau tidak bisa kena denda. Jadi kalau ada mikrotrans yg berhenti bukan di bus stop, bisa dilaporkan ke TJ atau dishub.","0","0","in"
