id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1873880186455994378,Mon Dec 30 23:53:46 +0000 2024,SEHWOT,@PT_Transjakarta s21 beroperasi normal min? kok jam segini blm ada data bus yg aktif ya?,0,0,in,@PT_Transjakarta s21 beroperasi normal min? kok jam segini blm ada data bus yg aktif ya?,pt_transjakarta s21 beroperasi normal min ? kok jam segini blm ada data bus yg aktif ya ?
1873873178273124704,Mon Dec 30 23:25:55 +0000 2024,renjunganteng,@PT_Transjakarta pagi min hari ini 4k dan 11w beroperasi gak ya?,0,0,in,@PT_Transjakarta pagi min hari ini 4k dan 11w beroperasi gak ya?,pt_transjakarta pagi min hari ini 4k dan 11w beroperasi gak ya ?
1873868925941014605,Mon Dec 30 23:09:01 +0000 2024,virkall_,Selamat pagi @PT_Transjakarta  Malam ini koridor 8 dan transjakarta S11 Jelambar-BSD beroperasi dgn normal kan?,0,0,in,Selamat pagi @PT_Transjakarta  Malam ini koridor 8 dan transjakarta S11 Jelambar-BSD beroperasi dgn normal kan?,Selamat pagi pt_transjakarta Malam ini koridor 8 dan transjakarta S11 Jelambar - BSD beroperasi dgn normal kan ?
1873781882414129570,Mon Dec 30 17:23:08 +0000 2024,asterishx,@PT_Transjakarta min tgl 31 des rute 7d beroperasi smp jam brp min,0,0,in,@PT_Transjakarta min tgl 31 des rute 7d beroperasi smp jam brp min,pt_transjakarta min tgl 31 des rute 7d beroperasi smp jam brp min
1873776139354988905,Mon Dec 30 17:00:19 +0000 2024,honeycrushie,@PT_Transjakarta kak halte cibubur junction beroperasi jam berapa aja kak,0,0,in,@PT_Transjakarta kak halte cibubur junction beroperasi jam berapa aja kak,pt_transjakarta kak halte cibubur junction beroperasi jam berapa aja kak
1873763944986444021,Mon Dec 30 16:11:51 +0000 2024,RahmaJatur,"@PT_Transjakarta Min, untuk 5C modifikasi tetap beroperasi sampai jam 2? Apa sampai jam 22 saja ya?",0,0,in,"@PT_Transjakarta Min, untuk 5C modifikasi tetap beroperasi sampai jam 2? Apa sampai jam 22 saja ya?","pt_transjakarta Min , untuk 5C modifikasi tetap beroperasi sampai jam 2 ? Apa sampai jam 22 saja ya ?"
1873743667170836978,Mon Dec 30 14:51:17 +0000 2024,dounologi,@PT_Transjakarta min berarti jam 7 malem 1f udah ga beroperasi dong??,0,0,in,@PT_Transjakarta min berarti jam 7 malem 1f udah ga beroperasi dong??,pt_transjakarta min berarti jam 7 malem 1f udah ga beroperasi dong ? ?
1873732864376033761,Mon Dec 30 14:08:21 +0000 2024,srs_watii,"@PT_Transjakarta hi, apakah bis transjakarta 6T dan 6U tgl 31 desember beroperasi seperti biasa hingga 22.00?",0,0,in,"@PT_Transjakarta hi, apakah bis transjakarta 6T dan 6U tgl 31 desember beroperasi seperti biasa hingga 22.00?","pt_transjakarta hi , apakah bis transjakarta 6T dan 6U tgl 31 desember beroperasi seperti biasa hingga 22 . 00 ?"
1873702722530058378,Mon Dec 30 12:08:35 +0000 2024,seatodaynews,KRL dan Transjakarta Arah Kota Tua Beroperasi 24 Jam di Malam Tahun Baru 2025  https://t.co/okrZCYyaha,0,0,in,KRL dan Transjakarta Arah Kota Tua Beroperasi 24 Jam di Malam Tahun Baru 2025  https://t.co/okrZCYyaha,KRL dan Transjakarta Arah Kota Tua Beroperasi 24 Jam di Malam Tahun Baru 2025
1873683149810716885,Mon Dec 30 10:50:48 +0000 2024,bgus_hrmawn,@PT_Transjakarta Besok T11 dan T12 beroperasi sampai jam berapa dari poris Plawad?,0,0,in,@PT_Transjakarta Besok T11 dan T12 beroperasi sampai jam berapa dari poris Plawad?,pt_transjakarta Besok T11 dan T12 beroperasi sampai jam berapa dari poris Plawad ?
1873683050955178187,Mon Dec 30 10:50:25 +0000 2024,bgus_hrmawn,@PT_Transjakarta Besok selain layanan amari 1 - 14 yang beroperasi di atas jam 22.00 apakah ada min?,0,0,in,@PT_Transjakarta Besok selain layanan amari 1 - 14 yang beroperasi di atas jam 22.00 apakah ada min?,pt_transjakarta Besok selain layanan amari 1 - 14 yang beroperasi di atas jam 22 . 00 apakah ada min ?
1873670267639337194,Mon Dec 30 09:59:37 +0000 2024,hnnyyrr,"@PT_Transjakarta Min, berarti 1K blok m - cibubur engga beroperasi yaa?",0,0,in,"@PT_Transjakarta Min, berarti 1K blok m - cibubur engga beroperasi yaa?","pt_transjakarta Min , berarti 1K blok m - cibubur engga beroperasi yaa ?"
1873668128083001677,Mon Dec 30 09:51:07 +0000 2024,icadsaputra98,"@PT_Transjakarta min,tgl 1 tj dan mikrotrans beroperasi normal apa mulai jam 9 pagi?",0,0,in,"@PT_Transjakarta min,tgl 1 tj dan mikrotrans beroperasi normal apa mulai jam 9 pagi?","pt_transjakarta min , tgl 1 tj dan mikrotrans beroperasi normal apa mulai jam 9 pagi ?"
1873662004176846988,Mon Dec 30 09:26:47 +0000 2024,honeycrushie,@PT_Transjakarta kak halte cibubur junction tanggal 1 januari tetap beroperasi gak?,0,0,in,@PT_Transjakarta kak halte cibubur junction tanggal 1 januari tetap beroperasi gak?,pt_transjakarta kak halte cibubur junction tanggal 1 januari tetap beroperasi gak ?
1873655723328192546,Mon Dec 30 09:01:49 +0000 2024,leeknowgimpo,@PT_Transjakarta min galunggung ragunan masih beroperasi sampai malam kan?,0,0,in,@PT_Transjakarta min galunggung ragunan masih beroperasi sampai malam kan?,pt_transjakarta min galunggung ragunan masih beroperasi sampai malam kan ?
1873594016111239239,Mon Dec 30 04:56:37 +0000 2024,Jordan93376510,"@PT_Transjakarta Min ,rute yang dari harapan indah lagi nda beroperasi yah?",0,0,in,"@PT_Transjakarta Min ,rute yang dari harapan indah lagi nda beroperasi yah?","pt_transjakarta Min , rute yang dari harapan indah lagi nda beroperasi yah ?"
1873577563941171448,Mon Dec 30 03:51:15 +0000 2024,siti_maesa6843,@PT_Transjakarta jak 76 apakah beroperasi hari ini?,0,0,in,@PT_Transjakarta jak 76 apakah beroperasi hari ini?,pt_transjakarta jak 76 apakah beroperasi hari ini ?
1873577061111206071,Mon Dec 30 03:49:15 +0000 2024,siti_maesa6843,@PT_Transjakarta rute 1A hari ini beroperasi tidak ya?,0,0,in,@PT_Transjakarta rute 1A hari ini beroperasi tidak ya?,pt_transjakarta rute 1A hari ini beroperasi tidak ya ?
1873575060591804657,Mon Dec 30 03:41:18 +0000 2024,harmourny,Gua sangat bersyukur di daerah rumah gua ada TJ (bkan mikrotrans) tapi masih blum maksimal krn gk ada trotoar. Padahal ya menurut gua adanya TJ ini bagus bgt krn angkot skrg cuma ada 1 yg beroperasi dan gk sampe lewat dr jam 8 malem.,0,0,in,Gua sangat bersyukur di daerah rumah gua ada TJ (bkan mikrotrans) tapi masih blum maksimal krn gk ada trotoar. Padahal ya menurut gua adanya TJ ini bagus bgt krn angkot skrg cuma ada 1 yg beroperasi dan gk sampe lewat dr jam 8 malem.,Gua sangat bersyukur di daerah rumah gua ada TJ ( bkan mikrotrans ) tapi masih blum maksimal krn gk ada trotoar . Padahal ya menurut gua adanya TJ ini bagus bgt krn angkot skrg cuma ada 1 yg beroperasi dan gk sampe lewat dr jam 8 malem .
1873571487896248597,Mon Dec 30 03:27:06 +0000 2024,andharifitri,"@PT_Transjakarta min, tgl 1 jan T11 beroperasi nggak ya? dr jam berapa beroperasinya? makasi min..",0,0,in,"@PT_Transjakarta min, tgl 1 jan T11 beroperasi nggak ya? dr jam berapa beroperasinya? makasi min..","pt_transjakarta min , tgl 1 jan T11 beroperasi nggak ya ? dr jam berapa beroperasinya ? makasi min . ."
1873550454107631940,Mon Dec 30 02:03:31 +0000 2024,alohola911,"@PT_Transjakarta Min, rute b21 apakah beroperasi normal hari ini?",0,0,in,"@PT_Transjakarta Min, rute b21 apakah beroperasi normal hari ini?","pt_transjakarta Min , rute b21 apakah beroperasi normal hari ini ?"
1873521054712553533,Mon Dec 30 00:06:42 +0000 2024,RahmatiaRizki,@PT_Transjakarta Min 6B hanya beroperasi sampai jam 7 pagi apakah betu?,0,0,in,@PT_Transjakarta Min 6B hanya beroperasi sampai jam 7 pagi apakah betu?,pt_transjakarta Min 6B hanya beroperasi sampai jam 7 pagi apakah betu ?
1873516606086942780,Sun Dec 29 23:49:01 +0000 2024,funcesitter,@PT_Transjakarta apakah T12 dan JAK14 beroperasi normal hari ini sampe tgl 1 Januari?,0,0,in,@PT_Transjakarta apakah T12 dan JAK14 beroperasi normal hari ini sampe tgl 1 Januari?,pt_transjakarta apakah T12 dan JAK14 beroperasi normal hari ini sampe tgl 1 Januari ?
