"id","created_at","username","text","retweets","likes","lang"
"1873773633740693852","Mon Dec 30 16:50:21 +0000 2024","pawcimol","Alhamdulillah sampe rumah juga, emang harusnya sy rebahan aja daripada mondar mandir dioper oper sama tj kentut","0","0","in"
"1873747498042622340","Mon Dec 30 15:06:30 +0000 2024","____saroui","besok masih harus masuk dgn naik tj gratis (alhamdulillah) tapi lawan gua seluruh masyaraksy jakarta bogor depok tangerang yg pasti besok mau nyobain naik transum gratis dan jalan2 siap2 mau ikut kongseran di jakarta cok wasu","0","0","in"
"1873728100506517715","Mon Dec 30 13:49:26 +0000 2024","krwbiepetil","Alhamdulillah bgt hari ini tj pertama &amp; kedua dpt duduk, bisa tidur deh https://t.co/9OTG2kdslm","0","0","in"
"1873715154510316007","Mon Dec 30 12:57:59 +0000 2024","b0bils","1. dapet maksi nasgor solaria bebek cabe ijo 🥹 2. perjalanan pp jakpus bekasi lancar tanpa macet 3. DAN ALHAMDULILLAH dapet tempat duduk di tj 😭","0","1","in"
"1873710883400302652","Mon Dec 30 12:41:01 +0000 2024","fdliyaaw","Dalam cerita hampir jatoh hari ini Hampir jatoh dari tangga tempat makan Hampir jatoh di dalem busway gara2 supirnya rem mendadak   Alhamdulillah 😂😂","0","0","in"
"1873647480325435847","Mon Dec 30 08:29:04 +0000 2024","erlllllllllllll","kemaren ga sengaja kepegang tangan cowo orang di tj, alhamdulillah pacarnya ga marah2 kyk gini🙏🏻","0","0","in"
"1873627380809650563","Mon Dec 30 07:09:12 +0000 2024","benings_tj2","@mulyyyyy Alhamdulillah.. 😍💃😍","0","0","in"
"1873579529643651113","Mon Dec 30 03:59:03 +0000 2024","benings_tj2","@milehole Alhamdulillah.. Makasih ya bang.. Barakallah 🥰","0","1","in"
"1873578341162463516","Mon Dec 30 03:54:20 +0000 2024","benings_tj2","@milehole Alhamdulillah.. Otewe DM.. Lancar luncur rezekinya ya bang.. Aamiin..","0","1","in"
"1873342448510156832","Sun Dec 29 12:16:59 +0000 2024","furdeline","@pendaki_ngising alhamdulillah 🤲🏻 pressure nya di TJ","0","0","in"
"1872680106248024542","Fri Dec 27 16:25:04 +0000 2024","bananaberry___","@kotobatokoton alhamdulillah ada pilihan tj walaupun berjam2 yaa 🙂","0","0","in"
"1872675680879813014","Fri Dec 27 16:07:29 +0000 2024","anggabbana","Alhamdulillah malem ini pulang kerja berasa cepet banget. Kereta ontime, tj ontime. Seneng rasanya biasa 1.5 jam, ini cuman 40 menitan. Mayan GI - Kramat Jati","0","0","in"
"1872660826701934667","Fri Dec 27 15:08:28 +0000 2024","thvfani","NJIRR BARU NGETWITT TBTB TJ NYA DATENGG, ALHAMDULILLAH","0","0","in"
"1872627737258852454","Fri Dec 27 12:56:58 +0000 2024","FWirany","Alhamdulillah untung td langsung turun di pasming dan lanjut tj ke ui 🥲 thx pemerentah","0","0","in"
"1872622525152436549","Fri Dec 27 12:36:16 +0000 2024","svmmerflies","bisa-bisanya tadi keluar dari stasiun cikini ngelompatin pager (karena pintu keluar cikini jauh harus muter), lari-larian ngejar busway; setengah jalan udah mau nyerah tapi seolah kayak ada yang maksa ayo lariiiiiii dan alhamdulillah kekejar 😂😂","0","0","in"
"1872616928436765077","Fri Dec 27 12:14:01 +0000 2024","riskaadw","terus lanjut tj koridor 9 karna itu doang yang 24jam. Keluar tj naik angkot sampe ngantuk2 yaallah perjalanan hidup yang gaakan gw lupain. Alhamdulillah sekarang bisa dititik ini, bisa beli&amp;jalan kemanapun. Walaupun masih harus membatasi beberapa hal tapi MASYAALLAH BGT BERSYUKUR https://t.co/Tbh9a9NjKS","0","0","in"
"1872612972042031596","Fri Dec 27 11:58:18 +0000 2024","BerkahWindiEasy","Win 20rb juga Alhamdulillah  Bsok pen ngisi emoney buat naik busway ya Allah 🥲","0","0","in"
"1872612373581955493","Fri Dec 27 11:55:55 +0000 2024","Honeyvoice0203","Alhamdulillah dapet duduk di busway dari awal sebuah keajaiban 😭","0","0","in"
"1872599488898154635","Fri Dec 27 11:04:44 +0000 2024","kookieshitaeru","Asli beneran (alhamdulillah) hoki bener perjalanan hari ini dengan semua krl, mrt, dan tj yg dateng tiap gw bru nyampe alias gausah nunggu lama, sampe ngantri foto samsek gada antrian panjang, eh pas gw kluar bru membludak anjay hoki, makan juga gada antri tp lama bgt anjayyy","0","0","in"
"1872416205472178465","Thu Dec 26 22:56:25 +0000 2024","benings_tj2","Jumat subuh barokah dari masjid.. Alhamdulillah..  #Jogja_itu_ngangenin_tj https://t.co/va9WxGTNRQ","2","23","in"
"1872236127731806357","Thu Dec 26 11:00:51 +0000 2024","bu_wang_xian05","@rr_iannn @tanyakanrl Ihhh sama aku juga pernah ketemu orang gini dia bilang butuh duit buat naik tj gua kasih flazz gua masih ada 10rb terus dia nolak katanya butuh cash aja kan aneh karena dia gak mau ya udah Alhamdulillah duit saya selamat🤣🤣🤣","0","2","in"
"1872235906624839902","Thu Dec 26 10:59:59 +0000 2024","gyulpeach","Liat di tiktok org bersyukur dari kecil tinggal di setiabudi. Sama bgt kyk aku, bersyukur bgt tinggal disini, kemana-mana deket, ke mall deket, ada krl, lrt, transjakarta tinggal jalan ke stasiun/haltenya..Alhamdulillah hehe🥹","0","0","in"
"1871881040425607635","Wed Dec 25 11:29:52 +0000 2024","Tjnewton__","ALHAMDULILLAH","0","0","in"
"1871866195957453021","Wed Dec 25 10:30:53 +0000 2024","fleyura","omaigot alhamdulillah udah naik busway br ujan dereszzz","0","0","in"
"1871713119195828412","Wed Dec 25 00:22:37 +0000 2024","MaisiSagara","@stravenues ""Wakil Rakyat"" Yg ga mewakili,   Tanya aja kapan terakhir naik TJ atau MRT atau JakLingko,  Kalau masih pernah juga udah alhamdulillah 🤣🤣","0","0","in"
"1871344233841615176","Mon Dec 23 23:56:47 +0000 2024","yuutanisme","alhamdulillah dpet duduk di tj","0","0","in"
"1871336401645760762","Mon Dec 23 23:25:40 +0000 2024","ilaymudut","@DokterTifa Saya fuck sin karena terpaksa, kalau tidak fuck sin tidak bisa naik busway ke tempat kerja, itu juga cuma dua kali, tidak booster, Alhamdulillah punya orang tua sudah umur 82 th lebih tidak fuck sin sama sekali malah sehat walafiat sampai hari ini..","0","0","in"
"1871249429044535750","Mon Dec 23 17:40:04 +0000 2024","akbarsoegiharto","Alhamdulillah ketemu.  Semoga bukan pengalihan halte tj mau dihapus semoga bukan pengalihan halte tj mau dihapus semoga bukan pengalihan halte tj mau dihapus. 🤞🏾🤞🏾🤞🏾","0","0","in"
"1871243732248416512","Mon Dec 23 17:17:26 +0000 2024","p4pEXCLUSIVEB","@AllahGreatQuran Alhamdulillah","0","0","in"
"1871230577602654508","Mon Dec 23 16:25:10 +0000 2024","thvfani","@ranrannniii aku sampe nangis di tj kemarin karna dompet ilang😭💔 alhamdulillah masih rezeky🥹❤️","0","0","in"
"1871215938886119918","Mon Dec 23 15:26:59 +0000 2024","echandongh","@felinekeeper @mrtjakarta Pernah kehilangan dompet di halte busway flyover jatinegara, ganggong bgt pas mau exit ga bisa, mana udah jam stgh 12 dan akhirnya minta bantuan petugas buat cek dan ternyata adaa. Alhamdulillah, akhrinya ga jadi reschedulle flight besok paginya. Thank youu @PT_Transjakarta","0","1","in"
