"id","created_at","username","text","retweets","likes","lang"
"1873382127573823980","Sun Dec 29 14:54:39 +0000 2024","tj_montemolin","wishlist: mahabang charger","0","0","in"
"1872426028926423418","Thu Dec 26 23:35:27 +0000 2024","_AbundantPeace","Keren juga nih... Inovasi terbaru dari @PT_Transjakarta Tije skr dah ada port charger USB yg terpasang di tiang... Sebelumnya hanya yg terpasang di dinding aja  👍🏾👍🏾👍🏾 https://t.co/wHEGGKhQT3","0","1","in"
"1869734469831451068","Thu Dec 19 13:20:10 +0000 2024","pawiuuuu_","tolong ganti semua Transjakarta jadi electric buss plsss enak bangettt, trus bisa charger","0","0","in"
"1869587133591396664","Thu Dec 19 03:34:42 +0000 2024","ravonnarenss","@shitpostrans Samsung: bayar lagi buat charger bos  Tije: bayar lagi buat naik lodek bos I see what you did there Transjakarta","0","26","in"
"1869420987005256095","Wed Dec 18 16:34:30 +0000 2024","Phinn_Majid","@marcdaffodil @convomf Botol minum, charger, kartu TJ &amp; kereta, headset","0","0","in"
"1864499062730576362","Thu Dec 05 02:36:31 +0000 2024","RamadhanDhanz","Hallo slmt pagi, Pak/ Bu pimpinan PT Transjakarta, tgl 04 dec 2024 kmrn,  jam 12.10 siang saya naik busway arah pancoran ke puribeta (13B) , duduk paling belakang, rumah charger earbuds saya ktinggalan 🤧 ada ptugas yang menyimpan barangnya ga yak @PT_Transjakarta 🙏 https://t.co/CUQGACmzGb","0","0","in"
"1863462700183150865","Mon Dec 02 05:58:23 +0000 2024","benings_tj2","@2Mazing93 Ga, gegara low bat.. Sibuk2 cari charger. Eeh ke enter","0","1","in"
"1859257593899950281","Wed Nov 20 15:28:48 +0000 2024","ayurzkwndr","gw pindah telp ke WA ""riski dmn?"" padahal dr awal telp jg blg di depan, dan pd akhirnya itu charger ga kunjung dibawain sampe ada busway. yah gw paham emg harusnya ga pernah berharap bantuan apapun dr bpk gw, tp kan gw jg makhluk sosial yg butuh bantuan, kalo mama ada jg ke mama","0","0","in"
"1859257122829267023","Wed Nov 20 15:26:56 +0000 2024","ayurzkwndr","""minum procold aja, kamar dibersiin"" hopeless bgt denger jawabannya. cuma bisa tarik nafas, buang. tadi pagi charger gw ketinggalan di kamar, gw tlp seluler bpk gw utk bawain charger ke seberang rumah tempat gw nunggu busway, ditelp ngomong ""apaan kih? ga denger""","0","0","in"
"1855948992347308042","Mon Nov 11 12:21:36 +0000 2024","adolerscent","@floublaze ujann jirrr, mobil motor masuk jalur busway jadi macet bgt gua emang pulang di jam rush hour juga sih ((gua cape berdiri))","0","0","in"
