"id","created_at","username","text","retweets","likes","lang"
"1873647808227729846","Mon Dec 30 08:30:22 +0000 2024","hrdsabar","Pokoknya I love tj, kamu bisa keliling dunia naik tj hanya dengan Rp 3.500 (diskon Rp 1.500 kalo naik sebelum jam 7 pagi) 🫶","0","0","in"
"1873401688218071516","Sun Dec 29 16:12:23 +0000 2024","TJ_kreem","@fxmario Jeger, diskon gede gedean, kalah bang kayanya kalo udah gini 😭","0","0","in"
"1871462562501652520","Tue Dec 24 07:46:59 +0000 2024","DeallsJobs","Kalau untuk pegangan sampai tanggal gajian, atur pengeluaran aja biar cukup.   Misal: ✅ Belanja bahan makanan di pasar tradisional atau minimarket diskon 👉 Masak simpel kayak nasi, telur, atau mie biar irit  ✅ Transportasi umum 👉 Naik TransJakarta, KRL, atau kalau bisa jalan kaki  Yang penting, jangan jajan atau nongkrong dulu, fokus adaptasi sama lingkungan kerja 🙌","1","11","in"
"1868832180161724571","Tue Dec 17 01:34:47 +0000 2024","masteryeolda","Hari ini tj diskon apa ya, jadi cuma 2rebu bayar","0","0","in"
"1867506494373265819","Fri Dec 13 09:46:59 +0000 2024","priyo_pio","@petallang @PT_Transjakarta setuju.... klo gak inget diskon tarif integrasi saya juga lebih pilih pake kartu aja (buat combo TJ &amp; MRT, kayaknya sekarang udah gak diskon gede lagi)","0","0","in"
"1867495689355149810","Fri Dec 13 09:04:03 +0000 2024","DF_Discountfess","Hari hari PP ngemall naek TJ jadi 2k only DF https://t.co/okizVyKVhi","0","1","in"
"1864846715309957304","Fri Dec 06 01:37:58 +0000 2024","thvjjkgirl","wta dong miniso margo/aeon tj barat diskon 50% ga ya BT21 nya?? # jastip miniso # miniso","0","0","in"
"1862471561179275549","Fri Nov 29 12:19:57 +0000 2024","serenacier","Fak men ke aeon tj barat jam segini, bentonya belum diskon","0","0","in"
"1861543323472928815","Tue Nov 26 22:51:28 +0000 2024","benings_tj2","@sidomie Ngemall, sapa tau banyak diskon election 😂 Jangan lupa celup jarinya","0","1","in"
"1860990891940557011","Mon Nov 25 10:16:18 +0000 2024","cieckokociec","@rekataaa @worksfess Kak dapetin tj diskon itu beneran ya? Boleh info cara dapetinnya?","0","0","in"
"1860969249516466684","Mon Nov 25 08:50:18 +0000 2024","rekataaa","@worksfess nder, kamu depok mana nya?? dari depok ke sudirman pake krl itu kena ongkos sekitar 3/4k sekali jalan. kamu pp sehari 6/8k.. ditinggal kamu akumulasi aja   mnrtku kalo di daerah jkt selagi masih bisa dijangkau sama transportasi umum, ambil aja... apalagi klo tj pagi2 suka diskon","1","91","in"
"1856897464084856916","Thu Nov 14 03:10:29 +0000 2024","AkulahPara","Temukan Tresno Joyo TJ Minyak Telon [60 mL] di Blibli, lagi diskon 42% harganya jadi Rp8.900! Coba buka link-nya, deh: https://t.co/lP0AsytZoS","0","0","in"
