"id","created_at","username","text","retweets","likes","lang"
"1873768618632384792","Mon Dec 30 16:30:26 +0000 2024","alfatj_","godaan malam hari salah satunya ialah sudah gosok gigi tapi ada aja yg bawain makanan enak.   maaf lambung, km harus lembur.","0","1","in"
"1873752208174710804","Mon Dec 30 15:25:13 +0000 2024","todaysnad","6. Tempat jemuran 7. Keranjang paket  Depan gangnya ada 3 halte; 1 halte di jalan Mampangnya, 2 di jalan duren tiga, enak banget jadinya buat yg suka naik TJ ✨️","0","0","in"
"1873733553709785349","Mon Dec 30 14:11:06 +0000 2024","pulchraeaaxxi","@convomf di transjakarta lebih enak nder","0","0","in"
"1873712284708802921","Mon Dec 30 12:46:35 +0000 2024","NonaOul","@_pallid_ Tull, padahal enak pake tj, keluar gang jalan dikit langsung halte, bisa ke blok m cuma modal 3,5k","0","0","in"
"1873708826681311487","Mon Dec 30 12:32:50 +0000 2024","Jayagia_","@PT_Transjakarta Coba koordinasi ke masing-masing trayek yg kusebut. Gak enak dipandang sumpah. Transportasi umum kok pasang iklan pinjol.","0","2","in"
"1873705749530251681","Mon Dec 30 12:20:37 +0000 2024","najmattoriq","enak bgt klo naek tj kaga dempet dempetan","0","0","in"
"1873701069391569220","Mon Dec 30 12:02:01 +0000 2024","levanterinow","Kata gweh dengerin ini sambil naik busway enak https://t.co/uNvuLjx0d4","0","0","in"
"1873655742873682118","Mon Dec 30 09:01:54 +0000 2024","fajrulisme","Klo mau kesini gw saranin datengnya pagi2, terlebih klo pas liburan. Padet bgt  Klo mau naek transum paling enak naek TJ turun di halte Monas, tinggal nyebrang aja","0","0","in"
"1873645150922268851","Mon Dec 30 08:19:49 +0000 2024","Itooohh","@Pai_C1 Bisa parkir di stasiun gambir lagian monas tu enak ada TJ juga, mbl nya parkir di yg rada jauh aja ky sarinah gt2 kalo penuh mah terus naik TJ","0","0","in"
"1873633279754301721","Mon Dec 30 07:32:38 +0000 2024","busangongju","TJ listrik yang baru enak bgt ternyata ya.. terharu dikit liat transum bagus🥹🥹","0","0","in"
"1873606807362625958","Mon Dec 30 05:47:27 +0000 2024","jazzzbery","tj listrik enak","0","2","in"
"1873583492132733162","Mon Dec 30 04:14:48 +0000 2024","temenyaatid","setelah lama ngga beli sneaker lagi, 2024 ini memutuskan buat beli, fomo 530 terus try on brand sebelah ternyata enak dan nyaman juga, setelah udah coba jadi daily shoes buat ngantor, commuting krl+busway jakarta-tangerang pp, ini ranking paling nyaman dari semua yang nyaman https://t.co/4ZUleOjmy7","0","0","in"
"1873544343212212512","Mon Dec 30 01:39:14 +0000 2024","anggiespov","trs lu mau jalan kaki gmn anjir wkwk kalo ada tj kaya di jkt yg menyebar mah enak, di bandung gmn jir","0","0","in"
"1873525259741352429","Mon Dec 30 00:23:24 +0000 2024","asyatuduatiga","Enak ya brgkt naik transjakarta tp sepi begini 🥰","0","0","in"
"1873395615314616438","Sun Dec 29 15:48:15 +0000 2024","_adhityapp","Dengerin ini d TJ kosong enak bgt https://t.co/GTZTWws5ql","0","0","in"
"1873391553366122773","Sun Dec 29 15:32:06 +0000 2024","preciousouth","Keliling naik transum &amp; dengerin lagu + mampir ke tempat makan yg enak 😍   contoh, naik transjakarta +mam bakso di senayan… cukup murah bukan 🤏🏻","0","1","in"
"1873382166769603070","Sun Dec 29 14:54:48 +0000 2024","re_remedy_n","Enak banget dengerin lagu di tj malem malem sambil liat jalanan 😭😭","0","0","in"
"1873381493667664108","Sun Dec 29 14:52:08 +0000 2024","arifwitch","Dari apato ke GI berjarak 11 km, pulang-pergi cuman ngeluarin uang 7000 gara2 naik tj. Enak bangettttt yampun","0","0","in"
"1873380217458503985","Sun Dec 29 14:47:04 +0000 2024","busway10h","today saya berperan sebagai tour guide beliau  p.s gultik sebrang blok m mall. ENAK BGTT. must try banget, i forgot the name sebenernya tapi yang jual gultik ibu-ibu dan kayak barengan sama bapak2 jual sate taichan. bapak and ibuknya top markotop👍🏻👍🏻👍🏻 https://t.co/8D04b1NHyB","0","0","in"
"1873371579994022213","Sun Dec 29 14:12:44 +0000 2024","firstemper0r","Monas ini destinasi yg sebenernya paling enak kalo pakai kendaraan umum (utamanya TJ). Buat warga luar jakaeta, kalo mau main kesini parkirnya mending di blok m lanjut naik TJ. Mobil aman, naik TJ juga adem paling masuk angin doang krn AC nya kaya freezer kulkas 2 pintu","0","0","in"
"1873342958667530478","Sun Dec 29 12:19:01 +0000 2024","busway10h","enak!!!!! https://t.co/x0xfPXoWBw","0","1","eu"
"1873339245689213301","Sun Dec 29 12:04:15 +0000 2024","ramapriyahadi","@Pai_C1 parkiran monas emang sering penuh kalo liburan, tp kan bisa parkir di gedung2 deket2 situ, atau cari agak jauh tp gedungnya deket halte TJ, enak turunnya depan monas. Tp masih mending sih dikempesib drpd diderek bayar 500 😂😂","0","1","in"
"1873331410838388877","Sun Dec 29 11:33:07 +0000 2024","kangyounkyu","@cheriegum tj ada berarti ya sampe malem gitu? enak nih kalo masih ada tj","0","0","in"
"1873318595712954585","Sun Dec 29 10:42:12 +0000 2024","BaronBram","@calonchaebol Riil enak bgt ketemuan di stasiun / TJ  Klo mau kemana-mana tinggal lgsg naik aja","0","0","in"
"1873311971246026768","Sun Dec 29 10:15:53 +0000 2024","arifKWSekian","@PT_Transjakarta bisa listrik BRT ini enak.. Kalau nyenderin kepala ke kaca pas lg berhenti kepala jadi ga ikut geter","0","0","in"
"1873300876523389067","Sun Dec 29 09:31:47 +0000 2024","arkanNJyHjTj","@bbyvvante Emang enak ati ayam di makan mentah","0","0","in"
"1873278076341391802","Sun Dec 29 08:01:11 +0000 2024","ndywicqo","@granolish To be honest di Jkt plg enak ketemuan deket2 stasiun atau halte transit tj tg gede,lebih enak dan mudah nyari nya","0","0","in"
"1873190368818413862","Sun Dec 29 02:12:40 +0000 2024","Jimmy08N","@agneshartina Enak ya yg ketemu sama Cici @agneshartina di Endingnya pasti diajak ngewe bareng jadi pengen... 😊","0","1","in"
"1872994860502008062","Sat Dec 28 13:15:47 +0000 2024","gojorohis","Di busway perut ga enak kek pen boker + agak mual n laper belom makan + duduk samping orang bau ketex 😔✊🏻","0","0","in"
"1872960341455585782","Sat Dec 28 10:58:37 +0000 2024","_sijosae_","Sabtu sore di dalem Transjakarta sekitaran kota tua Jakarta enak bgt sambil dengerin lagu fine today  https://t.co/cb2LO3Qtjp","0","0","in"
