"id","created_at","username","text","retweets","likes","lang"
"1872926827410567255","Sat Dec 28 08:45:27 +0000 2024","maduTJ957","@illeraxs Kyle junior gercep banget dah😭😭😭😭","0","0","in"
"1872870025385914564","Sat Dec 28 04:59:44 +0000 2024","upakjamet","@PT_Transjakarta Makasih admin udah gercep jawab🤗","0","0","in"
"1872825845968257046","Sat Dec 28 02:04:11 +0000 2024","MA_Aprialdi","Thanks to petugas @PT_Transjakarta, kemarin naik TJ 4K tujuan akhir Kejaksaan Agung dan turun di Halter akhir + transit ke MRT Asean sambil bawa jinjingan tas gede + Tumbler.  Pas masuk gate MRT tumbler malah ketinggalan di TJ, untungnya ada petugas Gercep yang siap bantu. Good👏 https://t.co/8KWRfvepon","0","2","in"
"1871205597661872448","Mon Dec 23 14:45:54 +0000 2024","namslsm","Petugas stasiun tj. Priuk. Senangnya aku lebih dominan pada para petugas yang gercep buat koordinasi sampai pouchku itu ketemu, tentunya bersyukur juga sebab pouch itu masih rezekiku.  Malamnya aku ambil ke stasiun yang diarahkan. Alhamdulillah semua selesai tanpa drama hehe😊","0","0","in"
"1867061788996739340","Thu Dec 12 04:19:53 +0000 2024","Marzu2020","@PT_Transjakarta Mantaap min... Keren banget responnya gercep","0","0","in"
"1866461723710120400","Tue Dec 10 12:35:26 +0000 2024","maduTJ957","@odygiri_ Ew by langsung gercep buat 😭","0","0","in"
"1866004201631101254","Mon Dec 09 06:17:25 +0000 2024","faspidyz","@PT_Transjakarta wiiih gercep, THANK U MINNNN","0","0","in"
"1865244499301294084","Sat Dec 07 03:58:37 +0000 2024","NMuhammad1420","@bijieyeday tp w suka dah sumpah respon tj atau krl atau transport umum di jkt tuh. klo ada aduan tuh gercep langsung keliatan wkwk","1","8","in"
"1865217653901791326","Sat Dec 07 02:11:57 +0000 2024","rdjadmrl","@dzakyfhadafi_ pda mau gercep bang, naek gocar pda gamau, naek KRL jga gamau, mau gamau yaa lrt trus transit ke tj","0","0","in"
"1864504996768993746","Thu Dec 05 03:00:06 +0000 2024","saejunnie","@PT_Transjakarta 6A Ragunan-Balkot via Kuningan, berangkat sekitar 08.50. Nunggu udah dari 09.30an. Tiap nunggu bus selalu tidak melayani penumpang 🙄 makasih lho pagi ini udh cukup dirusak moodnya oleh TJ, staffnya juga kurang gercep kalo diamatin","0","0","in"
"1864086578823614593","Tue Dec 03 23:17:28 +0000 2024","feliciafeliim","@PT_Transjakarta Balikin 2000 nya oy. Udah 1 bulan lebih. Bukti udh ada, ngecek lama banget. Awal2 gercep pas pindah sistem. Eh sekarang angot-angotan 😂","0","0","in"
"1860023796683669992","Fri Nov 22 18:13:25 +0000 2024","ohjens","so sweet apaan anjir? Noh si tj aja panik waktu yw bunuh anak buahnya. dia langsung gercep bergerak buat beresin masalah ini. justru malu ga sih. jo yang diharapin jadi penyembuh si ian malah ian kembali ke titik awal. yah karena diantara tiga tokoh ini cuma dia yang punya hidup normal. eh malah jo nya ikutan nyungsep juga.  fans nya rada-rada aneh. masa ian ngebunuh dianggap romantis. justru paniklah ian ngebunuh lagi.","0","0","in"
"1860004085950488847","Fri Nov 22 16:55:05 +0000 2024","tj_Oby","@CareIM3  @indosatim3 @indosat  Paketan gue kaga masuk² ini malah pulsa yg dipotong duluan.  Pdhl pake wifi.  Motong pulsa paling gercep proses beli kuota lama bener.","0","0","in"
"1858774208228303023","Tue Nov 19 07:28:00 +0000 2024","ackurniawan","@PT_Transjakarta Wah gercep, siap... Terima kasih","0","0","in"
"1857592600779436058","Sat Nov 16 01:12:43 +0000 2024","voyezfeels","@PT_Transjakarta min reply dong dm saya, udh dari bln kemarin kendala kartu naik TJ. gmn sihh ga direply. pelayanan jaklingko nih bersama pelanggan ga bagus bgt! ga gercep","0","0","in"
"1856853720107233470","Thu Nov 14 00:16:40 +0000 2024","baekburger","Gua salut banget dah dengan petugas tj, gercep banget anjir dengan yang disabilitas 🥲 kek tau mereka mau turun dimana tuh udah di siapin alatnya. Gercepppp banget sumpah","0","0","in"
"1856474646998294840","Tue Nov 12 23:10:22 +0000 2024","ihkanhaus","@convomf aku gapapa jadi ayam penyet di krl karena krl kan gercep ya. kalo tj tuh jalurnya suka dimasukin kendaraan lain, kesel","0","29","in"
"1856196535291138147","Tue Nov 12 04:45:15 +0000 2024","maduTJ957","@tkbratcoded Wah wah keduluan tian lu nando gk gercep sih 😭","0","0","in"
"1856012193059541409","Mon Nov 11 16:32:44 +0000 2024","mychin624","Jadi, menghindari baca komen gaenak yg cukup banyak juga. Makanya, mereka berdua gercep bahkan matanya dari Tj ambil hp udah full ngeliat","0","0","in"
"1855185269747745204","Sat Nov 09 09:46:50 +0000 2024","vv_vio","@cinamois Ini.. Atau tanya rute ke admin @PT_Transjakarta biasanya mereka gercep. 🤣 https://t.co/LaUJTa8TVS","0","0","in"
"1852270763669356997","Fri Nov 01 08:45:38 +0000 2024","noteindri","@piossenlit @imperathrix @CommuterLine @PT_Transjakarta wkwkwk pls ak sangat cocok jadi cs enih gercep (cs di akun sendiri) @CommuterLine &amp; @PT_Transjakarta 🤗🤗🤗","0","0","in"
