"id","created_at","username","text","retweets","likes","lang"
"1873498473636778067","Sun Dec 29 22:36:58 +0000 2024","kakdeo","@idextratime Juve gokil belum pernah kalah, Milan membapuk padahal uda digendong abang TJ.","0","0","in"
"1872199408470893016","Thu Dec 26 08:34:57 +0000 2024","sebenernyatau","gokil sih, yuk bisa yuk bertahap semua armadanya pake electric bus, kan jadi enak bisa ngecas gini @PT_Transjakarta https://t.co/squ7RfFMRC","0","1","in"
"1869724227592716541","Thu Dec 19 12:39:28 +0000 2024","EvaCuphut","Tadi siang naek tije ke Cawang sentral Pergi dari Grogol udh macet, 1,5 jam perjalanan sampe sana Pulang nya apalagi hampir 2 jam buset  Gokil sih yg kerja daerah situ kuat bener Ga kebayang tiap pagi kena macet, busway penuh, ditambah kalo berdiri sepanjang jalan","0","0","in"
"1869282317250003412","Wed Dec 18 07:23:28 +0000 2024","G3boy2","@wickedbald Gokil TJ mainnya","0","0","in"
"1868468193666412979","Mon Dec 16 01:28:26 +0000 2024","ansskur","gokil tj hari senin drama abiezzz","0","0","in"
"1867522854226710974","Fri Dec 13 10:52:00 +0000 2024","jaemark0802","gokil manggarai kiri galian kabel kanan renov halte tj apa lrt gatau dah pokoknya bikin macet","0","0","in"
"1867449582906683599","Fri Dec 13 06:00:50 +0000 2024","olppaemiahandae","@adriansyahyasin Karena memang tidak mungkin mereka masuk jika kondisi jalur nya seperti itu. Contoh jalur busway di Australia.","0","0","in"
"1866482134095204439","Tue Dec 10 13:56:32 +0000 2024","RestuAria","@TfJakarta @PT_Transjakarta Kalo tiba tiba besok pagi yg BMP jalan koridor 8 gantiin mercy nya sih gokil yak wkwk","0","5","in"
"1864864685717340456","Fri Dec 06 02:49:23 +0000 2024","jusufkr","@TMCPoldaMetro @PT_Transjakarta 60+ orang yg waras dikalahin buat nungguin kegiatan kaya gini, gokil, paling manteb dah lu @TMCPoldaMetro   @TfJakarta @txttransportasi https://t.co/DoFCm9TZNV","1","2","in"
"1863402463170380209","Mon Dec 02 01:59:02 +0000 2024","ansskur","gokil sih petugas tj, mulai kerja jam 9 tapi 8.58 belom dateng itu gimana","0","0","in"
"1862777362884256245","Sat Nov 30 08:35:06 +0000 2024","neverieblue","mulai percaya dan mengapresiasi diri sendiri (ini masih tahap berusaha sih sampe sekarang), naik transum kayak tj sendirian pas pulang karena andre misah (ini paling gokil, gua beneran di pantau sama Andre). Dia tiap detik nanya udah sampe mana aja.. 😭","1","1","in"
"1862494830703841392","Fri Nov 29 13:52:25 +0000 2024","TxtMGT","@piotrj @nafasidn Tj Priuk sih yg gokil bisa dapet AQI sehat banget dan tau apa yg unik? Padahal tadi pagi sampe siang Macet Total karena ada penumpukan antrian masuk Pelabuhan. Bisa dibayangkan mobil tronton pada macet alhasil polutannya banyak tapi tetep bisa sehat. Emang krn kebantu Angin!","0","0","in"
"1861911243700990461","Wed Nov 27 23:13:27 +0000 2024","ireenabs","@PT_Transjakarta Gokil banyak juga transitnya 😅","0","0","in"
"1861393457337770013","Tue Nov 26 12:55:57 +0000 2024","Daffacp","Kemarin malem karena harus ke daerah ciracas, coba pake full transum. 1. MRT: HI - Dukuh Atas: 3000 2.LRT: Dukuh atas - ciracas: 17.000 3. Jak Lingko: Ciracas - Kp rmbtn: 0 4. TJ 7a: Kp rmbtn - lb bulus: 3500 Total cuma: 23.500 Gokil emang ini kalo bisa diperbanyak jalurnya","0","0","in"
"1861209134517101023","Tue Nov 26 00:43:31 +0000 2024","aryo_wiwoho","@PT_Transjakarta Gokil.. Gak ada pengumuman, semua orang +25 menit sampe kantor.. 👍","0","0","in"
"1860325960505237873","Sat Nov 23 14:14:06 +0000 2024","Djoengisme","Gokil, bakal jadi pembicaraan hangat sampai akhir tahun nih. Mari kita tunggu, solusi apa yg bakal diambil sm manajemen dan pemkot. Secara, ini bakal ngaruh ke akses menuju moda transportasi umum, Stasiun LRT, Halte TJ, Stasiun Bekasi.","0","0","in"
"1859170987339604127","Wed Nov 20 09:44:39 +0000 2024","obsessedafkkkk","@amoredja kebanyakan versi haram lagi ka wkwk, ada 1 bakmi halal enak di tj duren namanya bakmi aldo gokil bakmienya.","0","0","in"
"1858953373317464406","Tue Nov 19 19:19:56 +0000 2024","xannax1mg","Td lewat depan citos liat block buster jbw gede banget gokil ada kali segede busway","0","0","in"
"1856655928298283409","Wed Nov 13 11:10:42 +0000 2024","talitheh","Tj 9c gokil tadi pagi ada yang kehilangan henpon😥","0","0","in"
"1854765689879642430","Fri Nov 08 05:59:35 +0000 2024","salmaaatsir","rejeki beneran gak soal uang aja, kosku di jakarta yg menurutku mahal ternyata kt orang orang gokil dapet semurah ini  km dalem, ac, free air wifi gas, kulkas sm dapur bersama, dibersihin seminggu sekali, 200m dari halte tj + stasiun lrt, 500m dari stasiun cawang, makanan banyak","0","5","in"
