"id","created_at","username","text","retweets","likes","lang"
"1873743130325115360","Mon Dec 30 14:49:09 +0000 2024","jungvvonyang","Lucu banget tumben? Pasti buat nya waktu lagi ditinggal bobo pacar nya yh ngaku lu, bang. Anyway busway kiyowok benul bleh ga aku cubit pipi abang sampai mengembang?🥰🥰🥰🥰 https://t.co/yUiOEAoA94","1","1","in"
"1873739578265469202","Mon Dec 30 14:35:02 +0000 2024","jkt48maura","@fa1rydhust gak tp lucu cok jd nama panggilan wey zoey busway","0","0","in"
"1873734848059502939","Mon Dec 30 14:16:14 +0000 2024","doubluev","lucu banget ibu ibu di busway udah kayak kenal lama akrab bgt ngobrolnya padahal pada baru saling kenal hahaha","0","0","in"
"1873686547595469116","Mon Dec 30 11:04:19 +0000 2024","bacotbgtgila","ada mba mba di tj yg kakinya ke pletak gt sbnrnya ga lucu cmn gr gr dia mya sendiri ketawa w jd ikutan nahan tawa wkwkw","0","0","in"
"1873589193953403367","Mon Dec 30 04:37:28 +0000 2024","aislynic","eh lucu deh, bocah FP dikelilingi para TJ wkwkwkwk","0","0","in"
"1873406168741384277","Sun Dec 29 16:30:11 +0000 2024","ThGhostemane","@DontSpo1l lucu pacarku","0","0","in"
"1873349088957325812","Sun Dec 29 12:43:22 +0000 2024","sayangmahae","lucu bgt wkwk, gue duduk di tj trs nyempil krna dibelakang yg duduk cewe semua dan kurus semua😭😭😭😭😭 jd muat gt yg tdinya cuma bisa ber 5 jadi ber6😭😭😭😭😭","0","0","in"
"1873276716334145753","Sun Dec 29 07:55:47 +0000 2024","niccckx","Lucu ya TJ yang kursinya kaya gini, dudukannya lebih luas, busa nya juga lebih tebel dan empuk https://t.co/IpHU1kHtxx","0","3","in"
"1873233711644467434","Sun Dec 29 05:04:54 +0000 2024","dolledful","aku masih inget pertemuan ke-2 kali, impulsif banget ngajak pacarku naik tj di sudirman setelah ketemuan di mrt, aku sama dia berdiri (we lost it at body balancing) 😭 sebenernya malu banget tapi lucu","0","0","in"
"1873060972635799977","Sat Dec 28 17:38:30 +0000 2024","fleabanne","jujur gw jadi percaya banget ngefans jalur karma karena genta tj beneran udah jadi salah satu anak starto kesukaan aku karena dia beneran lucu.. 😭","0","1","in"
"1873060970706448427","Sat Dec 28 17:38:29 +0000 2024","fleabanne","beneran collab yang bikin agak mencengangkan buat diriku ini 😅👍 dulu ada impression bakal ga suka genta (TJ) karena genta conan udah merusak citra orang bernama genta buatku ga tau kenapa 🤣 tp yg bikin lucu genta tj marganya malah MATSUDA...","0","6","in"
"1873041541096456595","Sat Dec 28 16:21:17 +0000 2024","cullyoon","@annao LUCU BANGET DD OKE IN TUH MAKSUDNYA “AKU SIH YES” GITU KAH DD? anyway busway dd itu lucu layoutnya terang banget pasti habis beli listrik yaa? 🥹","0","0","in"
"1872928699194191879","Sat Dec 28 08:52:53 +0000 2024","maduTJ957","@dandelionscius Lucu banget anzal dan om punya bayi 2","0","0","in"
"1872888941499846978","Sat Dec 28 06:14:54 +0000 2024","rfjr20586","Itu driver TJ Gandeng bisa saja melakukan suatu hal yang sangat lucu","0","1","in"
"1872886311457309080","Sat Dec 28 06:04:27 +0000 2024","yim_ibnoe","Lucu banget rekayasa lalinnya Polres Tj. Perak.  Bukannya ngurai kemacetan, tp nambah kemacetan.   Satu kata lucu, Polisi. 🤣","0","2","in"
"1872880188650143958","Sat Dec 28 05:40:08 +0000 2024","busway10h","@querencelia LUCU BANGETTTTTTT","0","0","in"
"1872868319226987004","Sat Dec 28 04:52:58 +0000 2024","asperealism","Ih tj yang vintage lucu deh","0","0","in"
"1872860698155598338","Sat Dec 28 04:22:41 +0000 2024","_skibiditoilet_","Woiii busway kok ad seatbeltnya? Lucu amatt https://t.co/GV5uoIANoP","0","2","in"
"1872602003492544870","Fri Dec 27 11:14:43 +0000 2024","klarisaurus","tadi di tj ada anak cowo masi kecil, soft spoken tapi yapping terus... banyak nanya ke eyangnya ""ini apaa"" ""wah ada kaca"" lucu bgt 🥹 jd inget aku sm adikku wkt masih sekecil itu jg rasa ingin taunya tinggi dan gak berenti2 ngomong (sampe skrg lol)","0","0","in"
"1872540544293040433","Fri Dec 27 07:10:30 +0000 2024","zweivierachts","@tanyakanrl lucu bgt wkwk gue emg jarang bgt pake gojek karena kalo ga pake kendaraan pribadi, ya naik angkot atau tj. gopud jg cuma beli makaroni ngehe sama gacoan yg agak jauh dari rumah jd mager jalan sendiri 🤣 pokoknya mah boro-boro gopud, belanja online dlm setahun aja jarang https://t.co/vAVAglLxZg","0","5","in"
"1872479215603654870","Fri Dec 27 03:06:48 +0000 2024","affhajhlah","@HanaBarano @txttransportasi @mrtjakarta @PT_Transjakarta Betul! Kok lucu malah dibilang tumpang tindih. Integrasi itu namanyaa🤡🤡 pdhl org yg jauh2 kalo weekend ke jkt pasti ada kesenangan tersendiri naik tije lewatin HI","0","0","in"
"1872473009518420165","Fri Dec 27 02:42:08 +0000 2024","anakuningan","kemaren jam segini lg berkutik sm laptop kantor, hari ini masih di jalan dan satu TJ penuh sm turis lokal mau ke ragunan…  nikmat dan lucu bgt si perjalan kantorku di minggu tenang ini😊","0","0","in"
"1872466457407422589","Fri Dec 27 02:16:06 +0000 2024","studiells","Busway 8 jg jdi listrik, lucu dh tambah mirip tayo🥹😭","0","0","in"
"1872425312807801051","Thu Dec 26 23:32:37 +0000 2024","ackedman","eh lucu bgt skrg busway udah bus listrik smw","0","0","in"
"1872414589427826968","Thu Dec 26 22:50:00 +0000 2024","RanjangHobi","Selasa kemarin pas pulang kerja di tj ada cewe pake tas warna ijo ada tulisan logo Slytherin trus di tasnya ada keychain Slytherin jg. Lucu deh tasnya","0","0","in"
"1872301770329960797","Thu Dec 26 15:21:42 +0000 2024","ggunwookie","@gyubkitty aku td abis pulang ngantor emg mau ke blokm terus di tj liat tweet event photobox wookie lgsg “FIXXXX KE BARITOOOO” !!!! soalnya warnanya AKU BGTTTTTT SUKA BGT PLEASEEEEE?????? LOVE YOU MAKASIH DAH BIKIN EVENT LUCU","0","1","in"
"1871986122030772516","Wed Dec 25 18:27:25 +0000 2024","jakfest1","@txttransportasi Dulu rute bus umum yang beririsan dengan koridor TJ dipotong, misalnya Bekasi - Tanah Abang jadi Bekasi - Benhil biar penumpang TJ naik. Sekarang TJ mau dipotong biar penumpang MRT naik dan subsidi bisa dikorupsi kali ya. Lucu sih","0","4","in"
"1871903184899510660","Wed Dec 25 12:57:52 +0000 2024","xiaoqupid","gx lucu jir nagjis di tj","0","0","in"
"1871893888560210282","Wed Dec 25 12:20:55 +0000 2024","306untitled","@julieteezz WKWKWKW LUCU LAGI, kaloga turun di tj barat tp naik jpo ke kiri….pdhl aeonnya di kanan😭","0","0","in"
"1871773415394480233","Wed Dec 25 04:22:12 +0000 2024","windwinie","Eh lucu bgt supir sm pekerja di tj pada pake jas smua","0","2","in"
"1871749275488821730","Wed Dec 25 02:46:17 +0000 2024","babseonsaeng","Krypto lucu bangettt","0","0","in"
