"id","created_at","username","text","retweets","likes","lang"
"1873744455729385496","Mon Dec 30 14:54:25 +0000 2024","salimwijaya_","Betul tergantung fungsi, kalau dipakainya pas musim hujan dan cuaca dingin mungkin sedikit cocok, karna rasanya sama aja kaya pakai hoodie atau jaket yng biasa dipakai orang-orang pada umumnya. Sejauh ini madih nyaman dan tidak gerah, lumayan bantu saat di kantor, naik TJ & MRT karna ac lumayan dingin.  https://t.co/BECBjAYnuJ","0","0","in"
"1873700608571740456","Mon Dec 30 12:00:11 +0000 2024","gadishrose_","Also, achieve my goals! InsyaAllah keep it up✨  Karena hari ini aku full naik transportasi umum, TransJakarta dan LRT. Rame dan nyaman, meskipun sendirian, tapi ngga ngerasa sepi😆 https://t.co/nfy5bR4CPh","0","0","in"
"1873586494818095580","Mon Dec 30 04:26:44 +0000 2024","momenlightco","Mulai 31 Desember 2024 hingga 1 Januari 2025, MRT, LRT Jakarta, dan Transjakarta siap melayani kamu tanpa biaya. Ini adalah langkah untuk memudahkan mobilitas warga Jakarta dalam merayakan pergantian tahun dengan nyaman dan bebas hambatan. -Momenlight-","0","0","in"
"1873583492132733162","Mon Dec 30 04:14:48 +0000 2024","temenyaatid","setelah lama ngga beli sneaker lagi, 2024 ini memutuskan buat beli, fomo 530 terus try on brand sebelah ternyata enak dan nyaman juga, setelah udah coba jadi daily shoes buat ngantor, commuting krl+busway jakarta-tangerang pp, ini ranking paling nyaman dari semua yang nyaman https://t.co/4ZUleOjmy7","0","0","in"
"1873487925905899994","Sun Dec 29 21:55:03 +0000 2024","secretari4t","jujur aje gw lebih nyaman naik krl dripada tj","0","0","in"
"1872894504120008843","Sat Dec 28 06:37:01 +0000 2024","Meylantaruliasi","Cakep dan nyaman banget bus listrik @PT_Transjakarta suka🤍 https://t.co/Lox3dIRTIq","0","0","in"
"1872886049372049600","Sat Dec 28 06:03:25 +0000 2024","jinniestuna","@stravenues Minggu lalu aku travelling ke makassar, dan nyobain naik Teman Bus. Harganya murah 4.600 buat umum, 2rb buat pelajar. Jalurnya dikit, cuma 3. Armadanya belum banyak, tapi nyaman, sayang nggak ada halte yg proper kayak halte TJ. Tp sangat membantu buat pergi kemana2","0","0","in"
"1872807033327784041","Sat Dec 28 00:49:26 +0000 2024","alfatj_","@basebuku Buku terjemahan yg tidak kalian nyaman baca, judul apa dan dari penerbit mana?","0","1","in"
"1872793947602600156","Fri Dec 27 23:57:26 +0000 2024","me__aka__","duduk sampe tempat tujuan tanpa harus transit disini atau disitu. tapi sekarang banyak sekali ibu-ibu yg memilih naik transjakarta untuk pariwisata bersama rombongannya. yg mana ada anak-anak kecil. tapi jujur gue ngerasa ga nyaman karna jadi kayak pasar alias berisik bgt 🫠🫠🫠","0","0","in"
"1872793295761666328","Fri Dec 27 23:54:51 +0000 2024","me__aka__","kenapa sekarang transjakarta jadi kayak bis pariwisata ya? dulu jaman gue sekolah kalo ada jalan-jalan dari sekolah/tempat ngaji/les dll selalu sewa bis. di lingkungan gue bukan yg semuanya orang ada, tapi dengan sewa bus sendiri anak-anak atau ortunya nyaman-","0","0","in"
"1872667004844507472","Fri Dec 27 15:33:01 +0000 2024","BIGBOSSEMANNN","@PT_Transjakarta Arah kelapa gading pgc ,saya turun di halte Cawang central, cirinya ibu ibu duduk di paling belakang bangku laki-laki, intinya kalo ada ibu ibu di bagian cowonya jadi ribet banget, padahal ga ngapa2in di sangka sengaja nyenggol,bikin ga nyaman dan kapok kalo ada ibu-ibu","0","0","in"
