"id","created_at","username","text","retweets","likes","lang"
"1873646673131651560","Mon Dec 30 08:25:52 +0000 2024","desytarani1","@PT_Transjakarta min tolong pramusapa atas nama Lola di halte cikoko diedukasi lagi cara berprilaku ke pelanggan, Ngeliat penumpang kok judes ketus cara ngelayanin nya juga lebih kaya musuh pake emosi gk kaya petugas yg lain ramah.","0","0","in"
"1873422328794927227","Sun Dec 29 17:34:24 +0000 2024","THerlina87","Hallooo min @PT_Transjakarta.. sedikit cerita waktu itu saya naik busway dari setiabudi arah lebak bulus naik 6h petugas nya mas2 ini saya sudah naik bus nya 2x. Orang nya memang ramah senyum ya? Karena senyumnya terlalu manis xixixi. Semoga bisa ketemu lg sama mas nya hehe 🫣 https://t.co/NoJMAiYbzx","0","0","in"
"1873360017782673796","Sun Dec 29 13:26:48 +0000 2024","ardhropoda","halo min @PT_Transjakarta kenapa unit bus transjakarta yang baru tidak ramah untuk orang pendek ya? padahal kan tubuh orang indonesia pendek-pendek, tolong ditambahin gantungan hand grip dong min https://t.co/uQ1IOnxpED","0","3","in"
"1873354845681488203","Sun Dec 29 13:06:15 +0000 2024","RadenRomeo_","@xburnsees @tanyakanrl Selain stasiunnya semrawut, Cikarang (especially sekitar Lippo) ini juga ngga ramah sama transum.  Mau ke Bekasi jauh, mau ke JKT tambah jauh. Next semoga @PT_Transjakarta dan @lrtjkt  bisa deh melebar ke Cikarang Selatan","0","0","in"
"1873304440335454228","Sun Dec 29 09:45:57 +0000 2024","ucupaja11","Pengemudi TJ rute Kp. Melayu - T. Abang ini (MYS-22346), terkesan tidak ramah... masa penumpang bertanya kalau mau connecting ke jurusan lain seperti Kemayoran dijawab tidak tahu dengan alasan dia orang/pengemudi baru ya??? https://t.co/dvj0U4BlfA","0","0","in"
"1873234509971505159","Sun Dec 29 05:08:04 +0000 2024","arsyesoulisa","@PT_Transjakarta Jadi saya mau duduk depan karna sedang hamil . Tapi pintu tidak d buka oleh driver di kunci dr dalam.padahl kursi kosong.  Sering kali driver jaklingko 24 tidak ijinkan prioritas seat di isi selalu d kunci dr dalam.  Dan mengebut di jalan. Kadang driver pun tidak ramah.","0","0","in"
"1873220899983507901","Sun Dec 29 04:13:59 +0000 2024","arsyesoulisa","Ini tuh kosong di depan. Tapi ga di kasih duduk. Padahal udh untuk prioritas. Manaa ngebut bawanya . Driver ga ramah . @PT_Transjakarta jaklingko 24 . https://t.co/6eEfnq0EcH","0","0","in"
"1873214898651697387","Sun Dec 29 03:50:09 +0000 2024","arsyesoulisa","@PT_Transjakarta untuk transjakarta . Tolong lah di kasih arahan . Buat penumpang angkot jak lingko 24. Sering kali drivernya ga kasih tempat duduk buat prioritas ibu hamil atau lansia. Sudah minta d buka tapi g di kasih Bawa mobil pun masih ngebut ugal2an.driver pun tidak ramah","0","0","in"
"1873052722741833796","Sat Dec 28 17:05:43 +0000 2024","zeroxasuzaku","@XANOSHITA Justru aksesnya lebih gampang lu mau naik kendaraan apa aja bisa. BSD linknya aja yang kadang ngadi2 alias ga lewat2  Kalo JIS pas lagi konser malah yang dikorbanin TJ arah JISnya 🤣🤣🤣 udah gitu akses ke sananya juga ga ramah kendaraan","0","0","in"
"1873009038973386769","Sat Dec 28 14:12:08 +0000 2024","ladydianaglory","@merapi_uncover @TfYogyakarta Lahhhhh ko di hentiin jd ga ramah lg nih buat jalan jalan pake tj😭","0","0","in"
"1872652704679673914","Fri Dec 27 14:36:11 +0000 2024","tamaa_516","@PT_Transjakarta Min liat min halte lu Bundaran hi sore ini,tumbenn banget banjirr manusia,pusinggg bgt gue liat orang numpuk gini 😭😭tapi salut bgt liat petugas”nya ttp ramah banget ngadepin orang sebanyakk ini, fix harus dikasih apresiasiii min 🫵🏻 @PT_Transjakarta https://t.co/WPJjd3BqPQ","0","1","in"
