"id","created_at","username","text","retweets","likes","lang"
"1871982447124254873","Wed Dec 25 18:12:49 +0000 2024","falseyone","Absolute Respect sm beliau, transum jdi mudah dan murah. Org² Bodetabek bsa mengakses TJ dgn mudah. I decide to vote him in 2029 Election!","0","0","in"
"1870347095695360337","Sat Dec 21 05:54:31 +0000 2024","HunterXMewha","Asli salut banget, respect gue 🫡 Yang bilang ada opsi naik transum ke Tangerang, gue colok matanya!  Di Tangerang itu susah akses transportasi umum. Ada Bus Tayo kayak Transjakarta, tapi lama nunggunya. Angkot ada, tapi pp dari terminal Kalideres-Jatiuwung bisa kena 10k lebih","0","1","in"
"1868944526234251720","Tue Dec 17 09:01:13 +0000 2024","GhaneshRM","@sopir_idiot @PT_Transjakarta kasih dashcam atau CCTV lah, yg masuk jalur biar langsung kena tilang elektronik, jangan takut ama model ginian, you berani keras, customer malah makin respect ama perusahaan","0","1","in"
"1866079715511189992","Mon Dec 09 11:17:28 +0000 2024","LucaszWazowski","Respect buat petugas @PT_Transjakarta yang jaga di busway depan Gedung DPR, ada oknum isilop yang maksa buat masuk busway tapi ga di kasi lewat 👏","0","0","in"
"1865928364449767893","Mon Dec 09 01:16:04 +0000 2024","liekeganzo","Gua tuh respect banget sama supir tj. Ya salah satunya ini. Mereka juga sabar banget asli klo jalur khusus buswaynya dipake pengendara ga jelas, like gua klo jadi mereka udah gua amuk amuk.","0","0","in"
"1865899273885516165","Sun Dec 08 23:20:28 +0000 2024","2408_room","Respect sama bapak TJ nya 🤍  Yang gue masih ga habis fikir sama pengendara yang TAU lampu hijau pejalan kaki nya nyala tapi di terobos + di klakson?  KITA KITA YANG NYEBRANG HARUS TERBANG KAH?","0","0","in"
"1865748804202607081","Sun Dec 08 13:22:33 +0000 2024","cheolrin","big respect to transjakarta only but no respect to pejabat2 tai yang tet tot tet tot di jalan brisikk strobo lu!","2","6","in"
"1865039150870860121","Fri Dec 06 14:22:38 +0000 2024","anakbonthoughts","keren ya.. ternyata masih banyak orang yang baik dan peduli sama orang lain disituasi umum gini. jadi tadi gua posisinya lagi di tj mau tidur trus hp gua pegang aja, trus gua dicolek dan diingetin ""kalo mau tidur hpnya taro ditas aja mas"". respect bangettt.. sehat selalu mas🫡","0","8","in"
"1863301433136939224","Sun Dec 01 19:17:34 +0000 2024","need_respect","TJ WATTTTTTT","0","0","in"
"1862561805828334026","Fri Nov 29 18:18:33 +0000 2024","ayarsaints","@ate_TJ @bini_mikha Iba ang isang Mikha Lim... #Respect","0","0","tl"
"1860293488098836712","Sat Nov 23 12:05:04 +0000 2024","Beyoglu_Cikolat","Padahal kalau kesiangan itu salah mereka yg dateng siang dgn harapan dikasih kursi sama org lain.  Coba mereka dateng lebih cepet dan nunggu sampe ada kursi prioritas yg kosong, walau muda kita juga sama2 capek, jadi lebih respect aja. @PT_Transjakarta","0","0","in"
"1859758266420691363","Fri Nov 22 00:38:18 +0000 2024","AfriansyahIlham","@PT_Transjakarta Maaf min, lupa mau reply. Terimakasih banyak sudah ditindak lanjut.  Respect! 🫡 https://t.co/2f9UUBNeyy","0","0","in"
"1857595898928443841","Sat Nov 16 01:25:49 +0000 2024","buckya","*publisher eng  Everyone need to know kalau TJ itu beneran sangat respect ke Ian bahkan dia ngobrol selalu soft ARGHHHHHHH","0","0","in"
"1856979474409295940","Thu Nov 14 08:36:22 +0000 2024","afiafi26","@taejoononly Sial ga habis2 ini couple menyakiti hati moengilku. Pdhl kl diliat2 secara ga sadar ian sm tj ini mulai kehilangan self respect masing2 krn cinta ke satu sm lain. Kapan ya mrk sadar kl selama ini bertahan disisi satu sm lain krn love unconditionally bukan cuma sekedar guilty 😮‍💨","0","0","in"
"1856969498223677776","Thu Nov 14 07:56:43 +0000 2024","afiafi26","@taejoononly Makanya ian kl denger tj minta maaf ya mungkin merasa kecewa dan marah sm dia, tp ian bakal lebih marah sm dirinya sendiri krn makin kehilangan self respect nya kl udah menyangkut tentang tj 🥲🥲","0","0","in"
"1856825117034385645","Wed Nov 13 22:23:00 +0000 2024","ilysky_5and","@whitechocokl Dan gw jg selalu respect ke Fans2 TJ yg selalu bisa nganalisa hubungan TJian, makqnnya gw like2in. Bahkan gw jg pernah berantem sm akun jo stan belain TJ gara2 voting best top ilay vs Tj. Bukan krn gw pura2.  Krn dr awal gw ga ngebenci TJ. So terserah mau nilainy apa","0","0","in"
"1855939549878202786","Mon Nov 11 11:44:05 +0000 2024","afiafi26","Sumpah selalu respect tiap event ultahnya tj &amp; ian pasti ada charity project didalamnya. Hebat bgt doyak bisa menciptakan karakter yg bisa menggerakkan banyak orang buat saling berbagi hasil dari memahami karakter tj &amp; ian 🥹🥹, keren bgt bisa buat pembaca terkoneksi &amp; berempati-","0","0","in"
"1854344237162377467","Thu Nov 07 02:04:52 +0000 2024","heyitsfoxtrot","@Auto___Revo Emang TJ kadang2 sradak sruduk anjing kek yg punya jalan aja, makanya kadang sorry2 aja kita ga respect juga sama TJ gara2 ini","0","12","in"
"1853720653024899236","Tue Nov 05 08:46:58 +0000 2024","afiafi26","Sumpah berharap bgt tj ending nya bisa ky vito corleone yg tadinya sebatang kara tp akhirnya punya keluarga meski anak2nya pada sableng semua setidaknya dia punya tempat pulang dan semua kerja keras nya bisa tetap terjaga bahkan sampai mendapatkan respect dari kolega &amp; musuh2nya","0","0","in"
"1853627312081875231","Tue Nov 05 02:36:04 +0000 2024","TjPatuha","@KamaQueenKing Skip percakapan yg membagongkan maksudnya, mbak. Walaupun kudu tetap respect dgn pendapatnya, krn setahu aq udh pasti banyak faktor yg mempengaruhi imun atau ketahanan tubuh seseorang 🙏🙏🙏","0","0","in"
"1853436506729566213","Mon Nov 04 13:57:53 +0000 2024","JER0MEWHITE","@fleurddelys iya makanya sama sama annoying. mana yg ikutan ribut itu acc passion yg aku suka lagi bahahah langsung lost respect 😅 aku tau sih dia gk suka tj tp dragging ws popularity + generalizing semua tj stan illegal readers tuh kek??? wkwk apadah.   ohhh yg itu, emg gak habis pikir.","0","0","in"
"1852005412645802385","Thu Oct 31 15:11:13 +0000 2024","IndraTanjungg","semangat min respect min 🔥🫡","0","11","in"
"1852001689311809844","Thu Oct 31 14:56:25 +0000 2024","IndraTanjungg","respect habisss kepada @Cathleenexus dan donatur 🔥🔥🔥🫡","0","4","in"
"1850579749980024995","Sun Oct 27 16:46:09 +0000 2024","kk142003","@desire4honesty Harr ek line me papa man sikhake jaunga Bhai terko bolde phir takla nd alll then tj bolta h respect nhi karta","0","0","in"
"1850084826738725332","Sat Oct 26 07:59:30 +0000 2024","afiafi26","@jeaannnns Semoga jo nekat misahin tj sm ian lg ky chp 53 dan lebih respect ke ian buat menyelesaikan urusannya sm tj. Tp dipikir2 jo ini ga bener2 nerima ian apa adanya krn dia selalu memasukkan prinsip idealnya ke ian dan jo sangat judgemental loh ke ian apalagi lifestyle ian yg suka sex-","0","0","in"
"1848979498567668085","Wed Oct 23 06:47:19 +0000 2024","afiafi26","@jeaannnns queerphobic, dan misoginis apa ga puyeng itu kepalanya tj. Udah mah dia ga bisa mengartikulasikan identitas orientasi seksualnya krn tj biseksual sampe harus keep dalem2 rasa cintanya ke ian krn kl mau naik ke atas dan dapet respect dari bawahannya ya setidaknya jgn sampe suka-","0","0","in"
"1848977496584380455","Wed Oct 23 06:39:22 +0000 2024","afiafi26","@jeaannnns sm ian pdhl ya tj kan juga punya masalah dan bebannya sendiri. Trs kl sadar juga tj yg tadinya anak pemalu sampe berubah penampilan nya kan juga membuktikan tekad dan sulitnya tj buat bertahan di gang krn sampe harus pasang facade yg tebel bgt biar orang2 di gang juga respect sm-","0","0","in"
"1848725153439748465","Tue Oct 22 13:56:38 +0000 2024","afiafi26","@jeaannnns Sumpah lebih menarik bgt kl bisa digambarin cara tj memimpin gang dan cara kerjanya k35 itu gimana, seberapa besar skala mrk sbg gang. Lebih tertarik liat perjuangan tj dari anggota gang level rendah bisa naik ke level tinggi. Skrg makin respect sm tj krn dibebankan banyak-","0","0","in"
"1845104430766751936","Sat Oct 12 14:09:11 +0000 2024","DinaTj","BU sih BU ye, tp bukan berarti jd unethical kaya gini. Jujurly you lost my respect and trust 🙂","0","0","in"
"1844083191646503098","Wed Oct 09 18:31:08 +0000 2024","nurfauzizi","Sebenarnya ini sudah menjadi tugas mereka sebagaimana  sop yang berlaku. Tapi aku selalu respect sama mereka, petugas KAI/MRT/TJ yang hampir selalu ngebantu dengan hati. Barang kali ini jadi salah satu contoh public services terbaik di negeri ini.","1","4","in"
"1842911317818310854","Sun Oct 06 12:54:32 +0000 2024","afiafi26","Sebentar kl dipikir2 tj ini sadar ga sih kl dia kadang suka nolongin orang lain tanpa pamrih ky keliatannya tuh ga peduli sm sekitarnya dan cuma peduli sm tujuannya. Tp ngeliat gimana yangji &amp; chiwoon yg respect sm loyal bgt ke tj kan pasti krn emang tj ngejaga bgt orang2nya.","0","0","in"
"1842472254770409701","Sat Oct 05 07:49:51 +0000 2024","camina2626","Inovasi pramusapa di KRL, MRT &amp; TransJakarta? 🔥 Respect buat @ridwankamil yg selalu mikirin seluruh warga DKI. Menang satu putaran ya kang Emil! 👊🙏","0","0","in"
"1842209026202808504","Fri Oct 04 14:23:53 +0000 2024","fwelloh","@duncan_mangeni @hon_wamuchomba Ulikuwa rada vipoa ukaskia TJ akishow Dennis Wambua, atachaguliwa MP! 🫡 Respect to you bro...","0","0","in"
"1841791643122597955","Thu Oct 03 10:45:21 +0000 2024","aesthusias","@widamilan @bacottetangga__ @shb0t7 @PT_Transjakarta @BudiKaryaS Tanpa ngurangin respect ke korban, kalo punya jalan sendiri harusnya ga ada kecelakaan yg ngelibatin pengendara lain, ya gak sih? 😃","0","1","in"
"1838916779428761807","Wed Sep 25 12:21:40 +0000 2024","ihsansantosoyt","Biasa naik gojek ke LRT kuningan tapi today naik TJ, setengah jam dari kantor sampe LRT pancoran  Respect untuk pejuang jakarta yang jarak rumahnya lebih jauh 🙏 https://t.co/y3BQkZnwFp","0","0","in"
"1838642054886510946","Tue Sep 24 18:10:00 +0000 2024","afiafi26","@whitechocokl Semoga ga gitu ya kak, itu aku sarkas doang sangking udah pesimisnya sm tj. Tp kl lucky paradise dari spoiler tuh top yg jd eg emang baik bgt bedablah sm jo bener2 respect sm bottom nya. Malah bottom lucky paradise yg paling toxic kl ga salah dari kedua top nya.","0","0","in"
"1838210589413589291","Mon Sep 23 13:35:31 +0000 2024","afiafi26","@taejoononly Bener malah fans nya ga tega liat dia menderita trs. Tj ini tipe orang yg baik ke orang2 tertentu ky kebaikannya sempit tp sifatnya mutlak, makanya bikin dia juga jd orang yg loyal dan orang2 disekitarnya jd respect ke dua.","0","0","in"
"1838203264635994423","Mon Sep 23 13:06:25 +0000 2024","mrcymvideo412","@CrookedIntriago HBD 👑.. respect ✊","0","0","in"
"1838159531983171710","Mon Sep 23 10:12:38 +0000 2024","snowmisue","Etdah supir tj with all due respect, knp u pd ngerem mendadak trs we w kaged","0","0","in"
"1837935168809849351","Sun Sep 22 19:21:06 +0000 2024","need_respect","TJ WATTTTTT","0","0","in"
"1835961113290408272","Tue Sep 17 08:36:54 +0000 2024","taejoononly","@afiafi26 @whitechocokl Iya, itu dia. Kek apa ya, kok lo bisa se-heartless itu sama orang yg bahkan consider your life and all the things you have difficulty buying kalo sendiri. Yw tuh keliatan bgt kek ngeremehin tj, makanya gue makin kurang respect sama dia, mainin peran “victim” nya kelamaan.","0","0","in"
"1835874924424261680","Tue Sep 17 02:54:25 +0000 2024","widhisetyok","@opposite6892 Fir'aun Jawa...  Memang tepat IBHRS....  Buy the way &amp; busway...  Yang sujud itu siapa...?  Bahlil kah?  🤣🤣🤣","0","0","in"
"1834430110256308414","Fri Sep 13 03:13:15 +0000 2024","afiafi26","@whitechocokl Ini yg terjadi pas s1 narasi hoax mrk nyebar kemana2 sampe doyak turun tangan jangan distort story sesuai fantasi mrk. Krn mrk frame tj bakal jd villain dan rapist nya ian 🥲. Sampe potensial reader yg suka tj drop ws krn kemakan sm narasi hoax mrk. Makanya respect sm tj defender","0","0","in"
"1834235565677707299","Thu Sep 12 14:20:11 +0000 2024","afiafi26","@whitechocokl skrg krn tiap update hampir selalu nyerang author krn plot ga sesuai sm yg mrk mau, apalagi pas tau kenyataan di s1 kl tj bukan villain nya malah ngatain doyak bohong (dia kan yg nulis plot knp dituduh bohong). Cuma yg jelas tj stan pas s1 lebih lay low krn beneran respect sm-","0","0","in"
"1833712149438591389","Wed Sep 11 03:40:19 +0000 2024","Widhi_Waskito","Sekelas mentri njirrr..  Ngga sekalian pake Pin Hamil kaayak KRL, Transjakarta  ^_^ wooohoooo.. terpujilah Ibu-Ibu Hamil yang masih naik angkutan Umum ..!!! Respect !!!  masuk ketahanan konten @jodaya_56 ? https://t.co/jNMQrjY2ZD","0","0","in"
"1831754919835267527","Thu Sep 05 18:02:59 +0000 2024","grant_pickard","@NFL MVP: Burrow  OPOY: Breece DPOY: TJ Watt OROY: Malik Nabers  DROY: Dallas Turner   AFC: Bengals  NFC: 9ers SB: Bengals","0","0","in"
"1831427392524689893","Wed Sep 04 20:21:31 +0000 2024","afiafi26","@suenokira Dikira tj sembunyi selama ini lg vacation, pdhl itu jelas2 doyak lg bikin chardev dia. Mrk cuma respect sm doyak kl masalah bantah rape, tp sisanya balik ke settingan awal ga akan pernah mau respect authornya krn berasa berkat mrk doyak bisa dapet penghasilan 🤮 ewh pola pikirnya","0","0","in"
"1826797959067173342","Fri Aug 23 01:45:48 +0000 2024","shitpostrans","Hari ini masih lanjut demonya, jadi sebisa mungkin masih harus hindarin beberapa titik demo ya gaes  Cek infonya di akun resmi TJ, dan sekali lagi jangan tanya rute ke kita wkwkwk  Still no memes for today out of respect.","1","16","in"
"1825373999955882456","Mon Aug 19 03:27:30 +0000 2024","afiafi26","@suenokira knp ga mrk ga respect sm doyak sejak s1 giliran butuh pembelaan aja dari author mohon2 sampe jd asslicker. Ga usah nyuruh tj stan respect juga udah dilakuin sejak s1 masih awal2.  Asli hipokrit bgt dulu ngehina author skrg malah jilat authornya. Dyk ketawa kali liat tingkah mrk.","0","0","in"
"1824765730409402416","Sat Aug 17 11:10:27 +0000 2024","afiafi26","@suenokira Pdhl ada yangji sm chiwoon yg respect dan hormat bgt ke tj, tp responnya dia pas chiwoon bilang berutang budi sm mau ky dia aja langsung ditanggapi ga percaya dirinya dipandang begitu. Kan keliatan betapa insecure nya tj sm dirinya sendiri kok malah dituduh npd. Coba itu cek jo","0","0","in"
