"id","created_at","username","text","retweets","likes","lang"
"1873633279754301721","Mon Dec 30 07:32:38 +0000 2024","busangongju","TJ listrik yang baru enak bgt ternyata ya.. terharu dikit liat transum bagus🥹🥹","0","0","in"
"1873208594205950400","Sun Dec 29 03:25:06 +0000 2024","laviowlsa","Naik transjakarta yg pengemudinya perempuan dan disambut dgn senyuman gatau kenapa pengen nangis terharu, bangga jadi perempuan.","0","0","in"
"1869189726307303797","Wed Dec 18 01:15:33 +0000 2024","benings_tj2","@PelatihT1dur Terharu","0","0","in"
"1868476433863176592","Mon Dec 16 02:01:11 +0000 2024","dingdongjeu","asal komunikasi jalan ya pren.. makin deket ya.. berarti nurunin ego masing2.. stage menuju koneksi yang lebih dalam :"") terharu","0","1","in"
"1866657506484965818","Wed Dec 11 01:33:25 +0000 2024","yhaterus","Liat video ini bener-bener terharu!! 🥹🫶  Bapak yang berjalan secepat itu mendorong gerobak, dilain sisi ada sopir transjakarta yang memperlambat kecepatan bus tanpa mengklakson sekalipun! ✨️ https://t.co/BPtjEyJo0F","4","177","in"
"1864120339888001467","Wed Dec 04 01:31:37 +0000 2024","axiomathicidyl","@kucingoranyeppi sebagai warga tj saya terharu","0","0","in"
"1863731739157467240","Mon Dec 02 23:47:27 +0000 2024","jewnogf","Semoga kalian selalu bahagia ya, semoga harinya selalu lancar dan rezekinya juga. Aku beneran terharu bngt njir soalnya udh telat dan hopeless bngt tadi kirain bakal ketinggalan Tj 😔😔😔","0","0","in"
"1863109121396048134","Sun Dec 01 06:33:24 +0000 2024","miaomia4299192","@koganenohikari Ada transjakarta care buat lansia,,tapi cuma di jakarta,kemarin lihat mobilnya di setiabudi terharu banget","0","3","in"
"1861965307839177062","Thu Nov 28 02:48:17 +0000 2024","TokJanggutTJ","@meinmokhtar Allah… terharu. Ramai je yg mcm ni. Mcm bininaku jugak. Cuma dorg ni tak show off kt medsos. Semoga isteri2 yg hepi jaga rumah tangga ni dikurniakan rezeki yg luas. Kesihatan yg baik. Masukkan mereka ini ke syurga","1","1","in"
"1859570557622288701","Thu Nov 21 12:12:24 +0000 2024","babseonsaeng","Lirik lagunya ini pas dibaca kaya lagi baca buku harian Bagus banget jadi terharu","0","0","in"
"1859459493312245806","Thu Nov 21 04:51:04 +0000 2024","huangleondi","Hari ini org2 di jalan ramah2 bgt sama gw, jadi terharu 😭😭😭😭 di tj ada kakak2 cantik, baik bgt nawarin gw buat naro tas bekel gw di selipan dia duduk, trus pas gw turun, disenyumin arghhh my lil heart melttedd.","0","0","in"
"1858818657503375829","Tue Nov 19 10:24:37 +0000 2024","uthinkryuflower","ada yg mendekat (cewek) dia pake payung trs payungin gue. gue terharu banget 🥹🥹. dia satu tj sama gue tp beda tempat buat turun. makasih banyak ya atas bantuannya 🥹🥹","0","0","in"
"1858740834147201068","Tue Nov 19 05:15:23 +0000 2024","grumpyhas","pas ditanya naik apa katanya transum, gua langsung meluk karna terharu bgt SOALNYA KEBAYANG SE JETLAG APA DAN SELELAH APA TAPI MASIH MAU KE DEPOK JALAN KAKI NAIK KERETA TJ GOJEK DAN BIKUN ITU","0","0","in"
"1856870587928645752","Thu Nov 14 01:23:41 +0000 2024","1blagian","ADA ANAK KECIL SENENG BGT NAIK TJ IH TERHARU","0","0","in"
"1856639698523107358","Wed Nov 13 10:06:13 +0000 2024","heyyitsgemini","AAAAHHH terharuuuu 🥺🥺 si anak rantau di susulin papanyaa kok terharu si?! 😭   btw lucu bgt papa brian nyampe indo sibuk bgt sg in botol le mineral yg ada rafael nya di warung atau supermarket 🤣😭 rasanya mau gue suruh ke mrt sm busway muka anaknya di pajang disana 🤣😭 https://t.co/Hfh6qIY5I8","0","2","in"
"1856251537951207714","Tue Nov 12 08:23:48 +0000 2024","maduTJ957","@tkbratcoded @d_ktaekook @SugaWif @taugekeriting @boraphoenix7 Anak sekecil saya di jadikan mama🥺🥺 terharu anak2 ku","0","0","in"
"1856143734485987770","Tue Nov 12 01:15:26 +0000 2024","al__kin","Terharu deh hari ini di TJ dapetnya di tengah2 bagian gandengan dua bis yg super berguncang terus ada mba2 stranger nawarin megangin gw karena gw oleng 😭 sehat2 mba 🥲","0","2","in"
"1855864434826285060","Mon Nov 11 06:45:36 +0000 2024","cutiekuna","tj banyak banget yang sayang sama kamuuu 😭😭😭😭 terharu liat project2 yang dibuat orang2 yang sesuka itu sama kamu huhu.","0","0","in"
"1854182116034334783","Wed Nov 06 15:20:40 +0000 2024","WlIIBU","@aruspasang @deCarmenLucie @perisaipirau ( so sweet 😭😭😭 terharu betol. Info, aing dah gak ngestuck di halte, dah naik TJ. 😭😭😭 Tebak jumlah penumpangnya. )","0","0","in"
"1853720722537054417","Tue Nov 05 08:47:15 +0000 2024","ohjens","barusan cek profile x doyak-nim. padahal dia cuma repost birthday event taejoon dari tj stans (TJ's fans). tapi kenapa aku seneng banget dan terharu. padahal udah tau banyak yang sayang taejoon tapi tetep aja aku selalu kaget untuk semua effort tj stans. sayang bgt sama tj 💕✨️","0","0","in"
"1851074110157439082","Tue Oct 29 01:30:33 +0000 2024","wonujgj","@worksfess ndak, krn tinggalnya beda kota. makanya pas turun dr tj, terharu bgt ngeliat yg pada dianterin keluarganya. agak lebay, tp mata w berkaca2 wkwk. soalnya kl sekota udh pasti w dianter bapak.","0","0","in"
"1850416373446660313","Sun Oct 27 05:56:57 +0000 2024","benings_tj2","@budibongg Ha akuu....?  MashaAllah.. Makasih abang koko.. Jadi terharu, sampe terdiam sesaat aku ga percaya 🥲 Otw DM. Alhamdulilah","0","2","in"
"1850354274620051795","Sun Oct 27 01:50:11 +0000 2024","ninaanaaabc","Kl naik TransJakarta tuh bawaaanya sedih sama terharu. Dari jaman gue nganggur tuh vibes nya udh sedih aja, pulang interview langsung ditolak terus nangis di Tj😭😭😭","0","0","in"
"1848230274330673387","Mon Oct 21 05:10:10 +0000 2024","benings_tj2","@AdinDafitr1_2 Mereka berdua itu ada2 idenya bikin kita senang dan terharu","0","2","in"
"1846533871996965212","Wed Oct 16 12:49:16 +0000 2024","1910FALL","@HamunKang1 iya kak hamun hasil bengong di busway jd malah terharu ya😅","0","1","in"
"1846499887137046885","Wed Oct 16 10:34:14 +0000 2024","mocier4","cape bgt tiap hari lari2an ngejar tj terus 😭😭 ini kejar2an untungnya dapet walaupun ngos2an. terharu jg sih sama ibu2 yg blg ke aku ada bangku kosong walaupun ditempatin org lain 😭","0","0","in"
"1845682840060776913","Mon Oct 14 04:27:34 +0000 2024","sl7empat","Suka terharu kalo waktu trun dbilang hati² sm pak pramudinya 😇 🚍d21 📍jl nangka tjb Transjakarta_diary )) Seniin ଘ(੭ ᐛ )♡","0","0","in"
"1838411857176203682","Tue Sep 24 02:55:17 +0000 2024","SafinaMeida","Baru tau kalo skrg live location TJ ada di Google Map dong 😭 jadi kalo lo mau ke mana gitu, tinggal masukin Your Location dan destinasi, terus bis terdekat akan dateng jam brp di halte yg lo naikin akan kelihatan. Aku terharu banget lho 😭✨️💕","0","0","in"
"1837633998165819886","Sat Sep 21 23:24:21 +0000 2024","abcddle","terharu sih tj nanganinnya, sekalian aja laporin ke komnas perempuan sama polisi jangan cuma diblacklist di transum doang!!!","0","0","in"
