"id","created_at","username","text","retweets","likes","lang"
"1867877117205282974","Sat Dec 14 10:19:42 +0000 2024","sihitamalika","otw gym, di transjakarta, adem, abis ujan, dengerin lagu reality club ✨💕","0","7","in"
"1867530484810682561","Fri Dec 13 11:22:19 +0000 2024","sandglasseus","Kebagian naik ini, enak spacenya lebih lebar dari tipe TJ. Adem banget. Min banyakin min bus listrik ini🙏 @PT_Transjakarta   Bus tipe TJ panas dan pengap, walaupun ga banyak yg naik. Kalo banyak yg naik, ya lebih parah hawanya","0","0","in"
"1858856787790987304","Tue Nov 19 12:56:08 +0000 2024","rzkych","A perfect place to read is bus transjakarta koridor 1P. Adem, senyap karena bus listrik, penumpang relatif dikit, dan rutenya mayan panjang. Wk.","0","1","in"
"1858706467844661682","Tue Nov 19 02:58:49 +0000 2024","alfitandreal","@PT_Transjakarta @rizkaaulia Kalau boleh, penumpang dari titik pertama dibolehin naik ke busnya dong. Lumayan nunggunya jadi lebih adem dibanding di halte.   Dari pihak TJ jadi bisa liat juga urgensi perlu jalan lebih cepet atau tunggu kapasitas keisi dulu","0","0","in"
"1856190221299397021","Tue Nov 12 04:20:09 +0000 2024","Firman_Adv99","😇🙏🏼 Adem. Sejuk. Bersih. Nyaman.✍🏼 Meskipun cuaca siang ini di Jakarta panas, tapi Busway tetap Nyesss 😘😊💕  @PT_Transjakarta https://t.co/xxLhoxk7Ep","0","0","in"
"1855992682033865133","Mon Nov 11 15:15:12 +0000 2024","noestalsgia","you ini adem bgt dah rasanyaaa. Cocok didengerin kalo lu lagi di transjakarta, pake earphone terus suasana lagi hujan deras 😭👍","0","0","in"
"1855763042979467490","Mon Nov 11 00:02:42 +0000 2024","SyarifuddinEfe2","@irwndfrry Kita naik transjakarta salah satunya adem pak biar nggak keringat dan ganggu orang lain","0","0","in"
"1855703896167264731","Sun Nov 10 20:07:40 +0000 2024","abcdhiniii","Halo mimin @PT_Transjakarta kalo mau ke Pelabuhan Kali Adem dari Halte Poltangan rutenya bagaimana ya?","0","0","in"
"1855507070910710132","Sun Nov 10 07:05:34 +0000 2024","AldhitamaR","@fxmario Lah kek tempat nunggu transjakarta adem banget nih keknya","0","0","in"
"1849400720220717530","Thu Oct 24 10:41:06 +0000 2024","marufshm12","@PT_Transjakarta Mantap, kemarin dapat unit saf 57 lagi udah adem acnya pas siang2 &amp; suara kipas radiatornya udah ngga berisik 💯","0","0","in"
