"id","created_at","username","text","retweets","likes","lang"
"1872235906624839902","Thu Dec 26 10:59:59 +0000 2024","gyulpeach","Liat di tiktok org bersyukur dari kecil tinggal di setiabudi. Sama bgt kyk aku, bersyukur bgt tinggal disini, kemana-mana deket, ke mall deket, ada krl, lrt, transjakarta tinggal jalan ke stasiun/haltenya..Alhamdulillah hehe🥹","0","0","in"
"1871215938886119918","Mon Dec 23 15:26:59 +0000 2024","echandongh","@felinekeeper @mrtjakarta Pernah kehilangan dompet di halte busway flyover jatinegara, ganggong bgt pas mau exit ga bisa, mana udah jam stgh 12 dan akhirnya minta bantuan petugas buat cek dan ternyata adaa. Alhamdulillah, akhrinya ga jadi reschedulle flight besok paginya. Thank youu @PT_Transjakarta","0","1","in"
"1870999030383448567","Mon Dec 23 01:05:04 +0000 2024","Ghozwul_Fikr","Alhamdulillah 🤲 Sang Uni dgn sang Ayah tentu ga jadi masalah. Dan ketika ke Pondok Indah Mall pun, kita berjalan kaki dari Bus Stop Metro Pondok Indah ke Lobby P.I.M 1. @PT_Transjakarta https://t.co/VN2d9R1iwG","0","2","in"
"1870471926935867582","Sat Dec 21 14:10:33 +0000 2024","cinema4everrr","@PT_Transjakarta Wah alhamdulillah, berarti tidak harus reset di halte ya min?","0","0","in"
"1869021166037619079","Tue Dec 17 14:05:45 +0000 2024","cherrenebae","@PT_Transjakarta Sudah ketemu di pemberhentian terakhin pn ranti, alhamdulillah banget padahal ini barang ketinggalannya udh lebih dr 2 minggu yg lalu. Emang rute ku setiap hari itu cuma pn ranti - cawang dan sebaliknya. Apresiasi banget buat TJ pelayanannya 🙏🏻🙏🏻","0","0","in"
"1868939847655997866","Tue Dec 17 08:42:37 +0000 2024","tiramischuuuu","@PT_Transjakarta Itu 3 hari lalu min. Hari ini belum ada perjalanan naik jak77, insya Allah sore nanti. Alhamdulillah klo ternyata beroperasi normal dan ga bakal nunggu lama. terima kasih","0","0","in"
"1867908707121803317","Sat Dec 14 12:25:14 +0000 2024","tupperwheree","@PT_Transjakarta Alhamdulillah makasih min💛💛","0","0","in"
"1867201100782424504","Thu Dec 12 13:33:28 +0000 2024","tchaikovskussy","e-money ku ketinggalan di terminal Transjakarta tadi siang. Lapor via DM dan Alhamdulillah respon @PT_Transjakarta cepet dan di-inform lewat WhatsApp pula. Masih disimpenin sampai malam pun. Terima kasih banyak 🙏🏻 https://t.co/ulUtt28dFp","0","0","in"
"1867064328001921361","Thu Dec 12 04:29:58 +0000 2024","sinduttiantiii","Alhamdulillah bgt adanya jaklinko 87 tj priok- rawamangun selama 1 thn ini jd ada alternatif lain selain bus transjkt , @PT_Transjakarta tetapi makin kesini makin berkurangnya mobil ada kali lbh dr 5 mobil gk beroperasi, sdgkan penumpang yg membutuhkan bnyk bgt","0","0","in"
"1866732286538027016","Wed Dec 11 06:30:33 +0000 2024","esmambogreent","@PT_Transjakarta Alhamdulillah sudah bisa dan masih sempat min, saran aja ini kalau bisa opsi pembayarannya ditambah min supaya ada alternatif misal yg satunya ada maintenance seperti tadi🙏🏼","0","0","in"
"1866528101045506404","Tue Dec 10 16:59:12 +0000 2024","aforann","@TfJakarta @PT_Transjakarta Ini pengganti bus hino krekay krekot? Alhamdulillah   Semoga awet dan dingin biar warga jkt senang","0","8","in"
"1862936164673716498","Sat Nov 30 19:06:07 +0000 2024","galsprata","@asmirzakovic @PT_Transjakarta Selow... Alhamdulillah baru sampe rumah nih. Mau WhatsApp, wa gua pencadangan otomatis sampe nanti pagi 😴 Nanti aja nginepnya kalau lagi ngebujang 😅 hehehee Suwun pak 🙏","0","0","in"
"1862639969887821868","Fri Nov 29 23:29:09 +0000 2024","BORNH4TER","@PT_Transjakarta Alhamdulillah. Makasih infonya, Min. 👍🏻","0","0","in"
"1860017961622470934","Fri Nov 22 17:50:14 +0000 2024","Matem4tika","@PT_Transjakarta Alhamdulillah","0","0","in"
"1858074131654394239","Sun Nov 17 09:06:08 +0000 2024","naLfarani","@PT_Transjakarta Ini ke-3 kalinya ada barang tertinggal di armadanya, 2x di Jaklingko JK-38, 1x kemarin di busway 7E,,  Alhamdulillah ketemu semua,,  Terimakasih TransJakarta, khususnya tim Kp.Rambutan,, 🙏🏼😊","0","0","in"
"1854083219408453968","Wed Nov 06 08:47:41 +0000 2024","Firman_Adv99","@PT_Transjakarta Alhamdulillah 😊🙏🏼✌️ Terima Kasih yaa atensinya. Jadi bakal terus menerus naik Busway setiap aktivitas di Jakarta nie 😍❤️😘","0","1","in"
"1853027075738997227","Sun Nov 03 10:50:57 +0000 2024","TfJakarta","@magelangann @adriansyahyasin hehehe kalo di Jakarta, Alhamdulillah sudah terakomodasi oleh @PT_Transjakarta untuk Halte/Bus Stop serta Totem kawasan integrasi oleh @dishubjakarta 🙌","0","1","in"
"1852933912789737840","Sun Nov 03 04:40:45 +0000 2024","yourdad1666","@PT_Transjakarta  Tambahin plang bus stop dong,  Di map ada tapi di lokasi gk ada,  Beberapa supir jaklinko, banyak yg skip.   Alhamdulillah ini ada supir yg baik mau berhenti. https://t.co/v4XPcoxmrg","0","0","in"
"1852000827495584241","Thu Oct 31 14:53:00 +0000 2024","__beericanoo","11. Terakhir, temen gue (bininya) kena scam 5jt tadi 12. Dan 2 hari lalu, gue liat motor yang nyalip gue nabrak transjakarta  Kaya.... Kita semua alhamdulillah rame project di akhir tahun ini, tapi gak nyangka aja 1/2 dari penduduk kantor gue dapet ujian beruntun.","1","0","in"
"1851038664828367177","Mon Oct 28 23:09:42 +0000 2024","claypotsiram","@PT_Transjakarta terima kasih transjakarta, rute 2B sekarang sudah pakai metrotrans lagi. Alhamdulillah. 🤲🏻","0","0","in"
"1849784058521452974","Fri Oct 25 12:04:21 +0000 2024","cumulunimbuz","@PT_Transjakarta Lalu bagaimana cara mengetahui area tempat tinggal saya dilewati oleh unit mikrotrans apa saja ya?","0","0","in"
"1849632873135079527","Fri Oct 25 02:03:36 +0000 2024","cumulunimbuz","@PT_Transjakarta Mksd saya peta spt ini tp utk mikrotrans min. Ada tdk ya? https://t.co/Pj0vth4UVO","0","0","in"
"1849591839197905130","Thu Oct 24 23:20:32 +0000 2024","RiriMeigita","@PT_Transjakarta alhamdulillah udah ga ke pim lagi ya berarti?","0","0","in"
"1849583630491975715","Thu Oct 24 22:47:55 +0000 2024","yasminhadi","@PT_Transjakarta Alhamdulillah, akhirnya masuk halte lagi🥹","0","0","in"
"1849579294735073444","Thu Oct 24 22:30:42 +0000 2024","cumulunimbuz","@PT_Transjakarta Halo min, bagaimana cara melihat peta rute semua mikrotrans ya? Jadi semua mikrotrans dalam satu peta gitu","0","0","in"
"1849409847202050406","Thu Oct 24 11:17:22 +0000 2024","notxdetected","@namelessuci @PT_Transjakarta iyaa masih ternyataa wkwkwk, alhamdulillah gak perlu transit dr pulogadung 🤣","0","0","in"
