"id","created_at","username","text","retweets","likes","lang"
"1873874334437302767","Mon Dec 30 23:30:30 +0000 2024","rwlndrr","Koordinasinya tim @PT_Transjakarta buat temen2 Disabilitas keren banget! Barusan ada dua penumpang disabilitas yang mengharuskan pakai kursi roda, dan alhamdulillahnya tim Transjakarta ini kerjanya cepet dan satset ditengah rush hour kaya skrg.","0","0","in"
"1873744433382093003","Mon Dec 30 14:54:20 +0000 2024","leeknowgimpo","@PT_Transjakarta min makasih banget udah bikin aplikasi transjakarta LOVE YOU 😭😭 sangat membantu wow keren km 💕","0","0","in"
"1872571337467982260","Fri Dec 27 09:12:52 +0000 2024","mstrh16","Duh bro pikir bro keren gini ya ngomong. Sebagai pengguna Transjakarta dan Jaklingko kalo ditanya bermanfaat atau engga jawabannya sangat bermanfaat lah kocak. Lu 3500 mau kemana aja bisa naik tj keliling jkt, dan gratis naik jaklingko. Subsidi tuh kalo mau dikaji, subsidi buat","1","0","in"
"1872426028926423418","Thu Dec 26 23:35:27 +0000 2024","_AbundantPeace","Keren juga nih... Inovasi terbaru dari @PT_Transjakarta Tije skr dah ada port charger USB yg terpasang di tiang... Sebelumnya hanya yg terpasang di dinding aja  👍🏾👍🏾👍🏾 https://t.co/wHEGGKhQT3","0","1","in"
"1871522854677970980","Tue Dec 24 11:46:34 +0000 2024","AudH394500","@PT_Transjakarta @HHClever Woww keren bett 🫶🏻👍🏻","0","1","hu"
"1871197072986431810","Mon Dec 23 14:12:02 +0000 2024","GFtr88624","Apresiasi buat petugas halte CSW lt 5 hari ini. Kalian keren bisa handle antrian yg panjang ditambah skrg lgi msa liburan anak sklh dan ibu yg bwa anak bsa duduk di bangku prioritas. So, tetap semangat untuk petugas Tj di koridor manapun, I apriciate it💙💙  @PT_Transjakarta https://t.co/79bQ2KUpr5","0","3","in"
"1871123640185720946","Mon Dec 23 09:20:14 +0000 2024","bloomybloom2","@PT_Transjakarta denger pake apa sih itu namanya mic ya pengeras suara gitu deh, suaranya empuk bgt hehehe, tadi saya sempet liat name tag nama di bajunya namanya YUSRINA kalo gak salah😁🙏🏻 keren min tingkatin lg ya petugas yg berkompeten seperti kakak itu salam dari aku terimakasih 🙏🏻","0","0","in"
"1871123585399762950","Mon Dec 23 09:20:01 +0000 2024","bloomybloom2","@PT_Transjakarta Halte underpass lumayan rame untuk soal transitan gak cuma 1 2 orang yg nanya ke kakak nya tapi dia menjawab setiap pertanyaan dengan penuh keramahan dan kesabaran , wah keren sih, aku sangat mengapresiasi kakak petugas itu min, dan yg paling salut suara kakaknya itu loh enak di","0","0","in"
"1871123233141141542","Mon Dec 23 09:18:37 +0000 2024","bloomybloom2","@PT_Transjakarta Hay min hari ini aku baru lagi naik busway bersama kaka saya mau ke tebet eco park, terus aku transit di halte underpass kuningan sekitar jam set 3 sore, saya kagum sama kakak petugasnya tampilannya keren terus aku coba tanya wah ternyata ramah banget min, nextya","0","0","in"
"1871044702985916666","Mon Dec 23 04:06:34 +0000 2024","vvipcorner","TWITTER DO YOUR MAGIC!  ⚠️Pelecehan di Transjakarta nomor 9   Ga cuma 1 orang yang diincer ama ni orang! (aku hampir kena juga). gilasih masih pagi udah begini. Buat mbak di depan ku yang speak up, dan kasih pelajaran ke pelaku, kamu KEREN BGTT 🔥👏   @PT_Transjakarta https://t.co/JOPgQBOsBe","8","18","in"
"1871028390503026771","Mon Dec 23 03:01:44 +0000 2024","RestuAria","@kebohejoreborn @PT_Transjakarta Keliatan keren bis nya, tapi nyusahin yg biasa transit di Pondok Pinang, Lebak Bulus dan Kejagung 🥹","0","0","in"
"1870876945711575516","Sun Dec 22 16:59:57 +0000 2024","mooniverssh","keren banget kaya spion transjakarta neng","0","0","in"
"1870671117972873491","Sun Dec 22 03:22:04 +0000 2024","jalli_jail_","@kumparan asik bayar parkir motor, naik krl naik transjakarta, ngetap e money kena pajak 12%. keren termasuk barang mewah","0","0","in"
"1870004494815375853","Fri Dec 20 07:13:09 +0000 2024","mkusumawijaya","Bus baru tenaga listrik @PT_Transjakarta koridor 12 keren. mesinnya halus hampir tanpa suara. kursi lebih lebar sedikit. shockbrealer mantap. 👌🏿 https://t.co/PNKd5IHYWH","0","10","in"
"1869742359279505492","Thu Dec 19 13:51:31 +0000 2024","DMZZH","Weekend ini Kool kids records club berkolaborasi dengan TRANSJAKARTA  Dalam rangka memperingati hari Ibu, Di halte transjakarta bundaran HI, jam 8-11 pagi selama car free day  Ada banyak keseruan, sesi bincang yg menarik , performance yang keren dan tentu acaranya gratis. https://t.co/FyzKcJaLxV","0","1","in"
"1869740503757209936","Thu Dec 19 13:44:08 +0000 2024","dihatipuan","@PT_Transjakarta haloo kak,, tlong sampaikan apresiasi aku buat petugas wanita yg di cikoko, kakaknya active bgtt buat kasih himbauan sehingga antrian yg di dalam halte tertib,, kakaknya juga kuyup kena tampias hujan tp tetepp semangat keren😩☺️🫶🏻 patut dikasih reward nihh💐","0","0","in"
"1869688135095140496","Thu Dec 19 10:16:03 +0000 2024","otwduls","Suatu hari indah di lalaland  ""Wah ada gedung yang sudah berusaha konek ke halte transjakarta. Kira2 apa yg harus kita lakukan?""  ""BETUL !""  Potong JPOnya, bikin sebrangan jalan beradu sama maut + bangun halte keren dengan GAYA ELIT KELUAR MASUK SULIT","0","0","in"
"1869648060428759148","Thu Dec 19 07:36:48 +0000 2024","mkusumawijaya","Bus @PT_Transjakarta fav saya: Vintage! kursinya keren! favorit Anda apa? 🤔 https://t.co/LROhH5DHC0","6","34","in"
"1869531889650065912","Wed Dec 18 23:55:11 +0000 2024","luthfiyafs","@PT_Transjakarta Keren sama pelayanan petugas cawang central . Langsung ditangani dengan cepat https://t.co/vUg7A8GFqY","0","0","in"
"1868803020634632273","Mon Dec 16 23:38:55 +0000 2024","sebongwortel","4 kali laporan ngga ada kelanjutan @PT_Transjakarta keren sih https://t.co/hdT0mCMm2f","0","0","in"
"1868739633053671733","Mon Dec 16 19:27:02 +0000 2024","sebenernyatau","M6, tumben bener, amari pake bis yg ini, biasanya pake yg bis dishub, keren si @PT_Transjakarta https://t.co/qhG5DkmOAc","0","0","in"
"1868131708681552121","Sun Dec 15 03:11:22 +0000 2024","leeknowgimpo","keren deh sekarang driver transjakarta udah banyak yang cewek trus masih muda muda juga","0","0","in"
"1867348693919371553","Thu Dec 12 23:19:56 +0000 2024","grcyoonie","selamat pagi  @PT_Transjakarta , busnya keren!gak sabar cobain ini di koridor lain 🤗 https://t.co/vMp8ByBVhC","0","1","in"
"1867061788996739340","Thu Dec 12 04:19:53 +0000 2024","Marzu2020","@PT_Transjakarta Mantaap min... Keren banget responnya gercep","0","0","in"
"1867024577123192936","Thu Dec 12 01:52:01 +0000 2024","nata_edison","@sowoniesm @papshrah makanya mas, trans itu sesuatu yg keren dan bermafaat transformer, transjakarta, transfer duit eh malah bentuk kelainan mental dilabeli trans😂","0","0","in"
"1866780665733320904","Wed Dec 11 09:42:48 +0000 2024","joukrnalist","@Sutan360 Makin keren aja nih transjakarta makin berinovasi","0","0","in"
"1866508357252845802","Tue Dec 10 15:40:45 +0000 2024","yuli_fatma57350","@callmecitra1 @silentstroms @tanyarlfes @PT_Transjakarta Aamiin, profesionalitasnya keren hrs diapresiasi udah sedikit loh org sabar kaya mbaknya ini, di bank aja, ada tuh cs yg judes nyebelin bngt, sama nasabah kok gitu heran","1","4","in"
"1866341088174485620","Tue Dec 10 04:36:05 +0000 2024","Ridhoibadurr","@ardibhironx @PT_Transjakarta Keren Pak 👍🏻👍🏻👍🏻","0","0","in"
"1866063184924439003","Mon Dec 09 10:11:47 +0000 2024","ridwan_keren1","@PT_Transjakarta Jak 66 dong min","0","0","in"
