"id","created_at","username","text","retweets","likes","lang"
"1872431479650926828","Thu Dec 26 23:57:07 +0000 2024","little_whale87","@PT_Transjakarta Waaahh... Mantap. Lanjutkan braderr.... Rawat Dan check rutin ya. Nyaman untuk crew Dan penumpangnya.","0","0","in"
"1871548771114606896","Tue Dec 24 13:29:33 +0000 2024","arifsof","Akhirnya fitur lacak bus @PT_Transjakarta ada lagi. Mantap. https://t.co/aiHavadV68","0","0","in"
"1870004494815375853","Fri Dec 20 07:13:09 +0000 2024","mkusumawijaya","Bus baru tenaga listrik @PT_Transjakarta koridor 12 keren. mesinnya halus hampir tanpa suara. kursi lebih lebar sedikit. shockbrealer mantap. 👌🏿 https://t.co/PNKd5IHYWH","0","10","in"
"1865746757176734135","Sun Dec 08 13:14:25 +0000 2024","Aries_BKSS","@PT_Transjakarta Mantap Min @PT_Transjakarta , Selalu Mendengarkan Aspirasi Masyarakat 🙏","0","0","in"
"1865386004863156588","Sat Dec 07 13:20:55 +0000 2024","indomieingi","@PT_Transjakarta mantap bang 👍","0","0","in"
"1864635887029809178","Thu Dec 05 11:40:13 +0000 2024","sjarbisjar","@PT_Transjakarta mantap gercepp. thabkypu min","0","0","in"
"1863927419893403701","Tue Dec 03 12:45:01 +0000 2024","Hendraw14571892","@PT_Transjakarta mantap informatif sekali petugas Pluit, sangan informatif informasinya, udah lari² di tungguin lagi, kadang sama yang lain di tinggalin karna bawa lansia, terima kasih Transjakarta","0","0","in"
"1861210272901538214","Tue Nov 26 00:48:03 +0000 2024","bryanyoes","@PT_Transjakarta mantap banyak temen telat ternyata","0","0","in"
"1861031710328340801","Mon Nov 25 12:58:30 +0000 2024","adnmrtsr","Mantap ketiga kali nya SALDO KEPOTONG 2X  Wow   Yang 2x sebelumnya aja 2 minggu belum di refund.. sekarang kepotong lagi 🤝 @PT_Transjakarta gimana nih??","0","0","in"
"1859925994683154702","Fri Nov 22 11:44:47 +0000 2024","knpsijih","sejam nungguin jaklingko arah lebak bulus di h nawi. ah mantap @PT_Transjakarta","0","0","in"
"1859439247272575302","Thu Nov 21 03:30:37 +0000 2024","onal_regar","@PT_Transjakarta Maasyaa Allah mantap min...semoga TransJakarta sukses selalu yaa... Btw, selamat ultah yang ke-21 ya buat Transjakarta nanti di bulan Januari 2025...😇😇","0","0","in"
