"id","created_at","username","text","retweets","likes","lang"
"1873700608571740456","Mon Dec 30 12:00:11 +0000 2024","gadishrose_","Also, achieve my goals! InsyaAllah keep it up✨  Karena hari ini aku full naik transportasi umum, TransJakarta dan LRT. Rame dan nyaman, meskipun sendirian, tapi ngga ngerasa sepi😆 https://t.co/nfy5bR4CPh","0","0","in"
"1873586494818095580","Mon Dec 30 04:26:44 +0000 2024","momenlightco","Mulai 31 Desember 2024 hingga 1 Januari 2025, MRT, LRT Jakarta, dan Transjakarta siap melayani kamu tanpa biaya. Ini adalah langkah untuk memudahkan mobilitas warga Jakarta dalam merayakan pergantian tahun dengan nyaman dan bebas hambatan. -Momenlight-","0","0","in"
"1872894504120008843","Sat Dec 28 06:37:01 +0000 2024","Meylantaruliasi","Cakep dan nyaman banget bus listrik @PT_Transjakarta suka🤍 https://t.co/Lox3dIRTIq","0","0","in"
"1872793947602600156","Fri Dec 27 23:57:26 +0000 2024","me__aka__","duduk sampe tempat tujuan tanpa harus transit disini atau disitu. tapi sekarang banyak sekali ibu-ibu yg memilih naik transjakarta untuk pariwisata bersama rombongannya. yg mana ada anak-anak kecil. tapi jujur gue ngerasa ga nyaman karna jadi kayak pasar alias berisik bgt 🫠🫠🫠","0","0","in"
"1872793295761666328","Fri Dec 27 23:54:51 +0000 2024","me__aka__","kenapa sekarang transjakarta jadi kayak bis pariwisata ya? dulu jaman gue sekolah kalo ada jalan-jalan dari sekolah/tempat ngaji/les dll selalu sewa bis. di lingkungan gue bukan yg semuanya orang ada, tapi dengan sewa bus sendiri anak-anak atau ortunya nyaman-","0","0","in"
"1872667004844507472","Fri Dec 27 15:33:01 +0000 2024","BIGBOSSEMANNN","@PT_Transjakarta Arah kelapa gading pgc ,saya turun di halte Cawang central, cirinya ibu ibu duduk di paling belakang bangku laki-laki, intinya kalo ada ibu ibu di bagian cowonya jadi ribet banget, padahal ga ngapa2in di sangka sengaja nyenggol,bikin ga nyaman dan kapok kalo ada ibu-ibu","0","0","in"
"1872650966664900728","Fri Dec 27 14:29:17 +0000 2024","BIGBOSSEMANNN","@PT_Transjakarta sangat membuat tidak nyaman min kalo ada ibu -ibu duduk di bagian belakang dengan laki-laki seperti saya ,padahal wajar naik transportasi duduk bersenggolan ini malah seperti di apain aja,sangat-sangat tidak nyaman tolong min di sosialisasikan lagi untuk ini","0","0","in"
"1872566628648644998","Fri Dec 27 08:54:09 +0000 2024","beritaKBR","PT Transjakarta sebagai layanan transportasi publik yang inklusif turut memberdayakan perempuan dan senantiasa ingin memberikan ruang yang aman dan nyaman untuk perempuan.  Program apa yang sudah dan sedang dilakukan oleh PT. Transjakarta untuk lebih meningkatkan inklusifitas bagi perempuan?   Kami bahas di #RuangPuiblikKBR https://t.co/A3WcRNcIyn  #PodcastIndonesia","0","0","in"
"1872521402370367780","Fri Dec 27 05:54:26 +0000 2024","winnadrs","bagus banget armada bus @PT_Transjakarta yang baru. bersih &amp; wangi. cuma minusnya bus yg baru ini kursinya ga banyak aja. tapi overall bikin nyaman😍 https://t.co/8XG2wIPPxw","0","0","in"
"1872501290728931370","Fri Dec 27 04:34:31 +0000 2024","MargarethaIin","@PT_Transjakarta min, EV -018 bus tj jurusan 5M uji c9ba benar2 tdk nyaman sih ini. AC nya sgt pelan sehingga bis yg penuh sesak ya jd sesak nafas. Terima kasih","0","0","in"
"1872431479650926828","Thu Dec 26 23:57:07 +0000 2024","little_whale87","@PT_Transjakarta Waaahh... Mantap. Lanjutkan braderr.... Rawat Dan check rutin ya. Nyaman untuk crew Dan penumpangnya.","0","0","in"
"1872286312608444754","Thu Dec 26 14:20:16 +0000 2024","ekasat23","Bisa ga?ibu2 yg mau bw anakny naik tije itu jgn di jam prgi n pulng krj?Ksian anakny klo bis pnuh n dah cape.Yg pkrja jg mau istrhat.Tlg @PT_Transjakarta lbur gini bis jgn dikurangi,jd pnuh n lm tggu,hrusny bs nyaman naik bis skrg cc:@pramonoanung @dishubjakarta @DKIJakarta","0","0","in"
"1872243186711855246","Thu Dec 26 11:28:54 +0000 2024","Wdiens","@melda_sisca @PT_Transjakarta Mnurut sy udah bener kok, tuk trayek TJ S21 &amp; 22 itu pk bus listrik &amp; low deck kek skg krn terkait polusi di TANGSEL yg selalu jd kota terpaling polusi, ke-2 kondisi halte TJ, terutama halte Lb.Bulus yg sempit &amp; gak nyaman bgged bg penumpang ciputat yg intregrasi dg MRT &amp; TJ lain","0","0","in"
"1872226230738845923","Thu Dec 26 10:21:32 +0000 2024","detikTravel","Transit Sejenak dengan Nyaman di Halte TransJakarta CSW, Bisa Banget! https://t.co/MLke7fqQKR","0","1","in"
"1872143699255414969","Thu Dec 26 04:53:35 +0000 2024","yvtsrindira","@PT_Transjakarta halo min, ini aku bantu rangkumin yaa 😊 semoga cepet ada perubahan. Karena ga nyaman banget jujurlyyy. Bis biru masih jadi pemenang karena terintegrasi MRT jadi mohon banget jangan di downgrade 🙏","0","0","in"
"1872113364362752274","Thu Dec 26 02:53:02 +0000 2024","leeknowgimpo","@PT_Transjakarta min, di halte simpang ragunan ada orang orang yang minta uang modusnya gapunya saldo untuk top up kartu emoney. saya ga ada 5 menit nunggu bus tapi udah didatengin 2 orang dengan modus yang sama. tolong dong dipantau lagi, bikin ga nyaman soalnya t__t","0","0","in"
"1871918796430254407","Wed Dec 25 13:59:54 +0000 2024","Mas10881010","@stravenues Ya harusnya transjakarta punya jalan sendiri kayak koridor ciledug. Dijamin cepat nyaman.","0","0","in"
"1871502459497328856","Tue Dec 24 10:25:31 +0000 2024","panggilaja_eci","Berasa tinggal di kota besar yang modern kalau tersedia layanan transportasi publik yang nyaman dan handal. Kemana-mana bisa jalan #T11 #JakartaTangerang   @PT_Transjakarta https://t.co/TBEHqqskyx","0","0","in"
"1871225855764312411","Mon Dec 23 16:06:24 +0000 2024","NafisahR813","@PT_Transjakarta Min, tadi saya naik Bus transjakarta BMP246 dari pondok indah menuju grogol. Sekitar pukul 17an. Cara mengemudinya g nyaman banget. Sampe2 pingin muntah. Juga sampe tadi ada penumpang ibu2 ke jedot besi. Tolong itu pengemudinya di training kembali. Agar bisa lebih enak. Makasih","0","0","in"
"1871158785592660148","Mon Dec 23 11:39:53 +0000 2024","melda_sisca","@PT_Transjakarta tolong dong untuk koridor S21 dan S22 tetap dihalte aja, bayar 2 kali tapi pelayanan kayak gini. BERANTAKAN DAN BUAT GAK NYAMAN. Seharusnya dengan bayar 2 kali tap lebih bagus better kembaliin ke seperti sebelumnya aja deh. Tolong di note @PT_Transjakarta https://t.co/VSVjMXfLxn","5","13","in"
"1871101606428844175","Mon Dec 23 07:52:41 +0000 2024","Darmaningtyas","Sekadar info saja. MRT itu dibangun untuk memindahkan pengguna mobil pribadi ke angkutan umum. Transjakarta Busway dibangun untuk memindahkan pengguna bus reguler dan motor ke bus yg lebih berkeselamatan, aman, dan nyaman. Salah besar bila pengguna Transjakarta dipaksa naik MRT","1","12","in"
"1870767016522682602","Sun Dec 22 09:43:08 +0000 2024","Jeunyoooniee","Nahh masalahnya juga disini gue di vidio atau di Poto Ama temen gueee kek apa anjirr sampe di vidioin mau viralin gue kah? Gak nyaman gue Ama prilaku nyaa si ibu Ampe vidio in begitu kayak gak sopan ajaa  #transjakarta","0","0","in"
"1870376033893118179","Sat Dec 21 07:49:31 +0000 2024","Ter_Us_Ir","@kumparan Jas Merah...  Cikal Bakal Transjakarta itu Koridor 1 woy, kenapa dihapus, bukan ya malah diintegrasikan...   Gak semua orang mau naik MRT, ada sebagian orang yg jalur pulang-perginya lebih nyaman naik Tije Koridor 1. Jangan maksa org naik MRT","2","7","in"
"1870291626293346428","Sat Dec 21 02:14:06 +0000 2024","kiykyk00","@txtdrjkt Nyaman nya naik Transjakarta ketika keluar masuk ga tergesa gesa, pkok nya kalo udah kelar semua baru bus nya jalan, kadang bisa di tunggu loh penumpang nya 😁  Kalo modelan commuter / MRT kan mau kaki lu ketinggalan di peron, kalo udh waktu nya jalan ya jalan.","0","0","in"
"1869963190441787595","Fri Dec 20 04:29:01 +0000 2024","pelanturn","3/ 🏙️ Transportasi Massal = Life Saver! Gak mau ribet sama ganjil-genap? TransJakarta, MRT, dan KRL udah makin nyaman kok. Plus, pilihan ini jauh lebih ramah lingkungan dan hemat ongkos. Siapa yang udah jadi tim transportasi umum?","0","0","in"
"1869722758059602074","Thu Dec 19 12:33:37 +0000 2024","WilliamMaruli","@PT_Transjakarta @PT_Transjakarta tj 9A grogol-cawang SAF 060 pas jam 19.26 lokasi diantara cawang ciliwung dan bnn tolong supirnya diajarin nyetir, selama berenti kopling ditahan setengah terus kayanya, geter banget bikin ngga nyaman selama macet","0","0","in"
"1869676534543585461","Thu Dec 19 09:29:57 +0000 2024","codens21","@PT_Transjakarta tolong armada bus 6B rute Ragunan-Balaikota dan sebaliknya agar diperbanyak. sudah terlalu penuh penumpangnya, jadi tidak nyaman.  Bus nomor 6 rute Galunggung (Dukuh Atas)-Ragunan, kalau sore lama datangnya, armada jg terbatas. penumpang juga sudah menumpuk. terima kasih","0","0","in"
