id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1873847952202227981,Mon Dec 30 21:45:40 +0000 2024,whitechocokl,The real smkin dalem nyelem fandom semakin tau kelakuan j stan yang keliatan adem pdhl mereka suka nimbrung2 postan tj stan pas dibales mlh playvic,0,0,in,The real smkin dalem nyelem fandom semakin tau kelakuan j stan yang keliatan adem pdhl mereka suka nimbrung2 postan tj stan pas dibales mlh playvic,The real smkin dalem nyelem fandom semakin tau kelakuan j stan yang keliatan adem pdhl mereka suka nimbrung2 postan tj stan pas dibales mlh playvic
1873371579994022213,Sun Dec 29 14:12:44 +0000 2024,firstemper0r,"Monas ini destinasi yg sebenernya paling enak kalo pakai kendaraan umum (utamanya TJ). Buat warga luar jakaeta, kalo mau main kesini parkirnya mending di blok m lanjut naik TJ. Mobil aman, naik TJ juga adem paling masuk angin doang krn AC nya kaya freezer kulkas 2 pintu",0,0,in,"Monas ini destinasi yg sebenernya paling enak kalo pakai kendaraan umum (utamanya TJ). Buat warga luar jakaeta, kalo mau main kesini parkirnya mending di blok m lanjut naik TJ. Mobil aman, naik TJ juga adem paling masuk angin doang krn AC nya kaya freezer kulkas 2 pintu","Monas ini destinasi yg sebenernya paling enak kalo pakai kendaraan umum ( utamanya TJ ) . Buat warga luar jakaeta , kalo mau main kesini parkirnya mending di blok m lanjut naik TJ . Mobil aman , naik TJ juga adem paling masuk angin doang krn AC nya kaya freezer kulkas 2 pintu"
1872886111833625005,Sat Dec 28 06:03:40 +0000 2024,semangka_ku,@TfYogyakarta Lahhh?? Aku kalo mau ke jombor pake apa dong😭 pdhl aku suka naik TJ karena adem ac nya huaa,0,0,in,@TfYogyakarta Lahhh?? Aku kalo mau ke jombor pake apa dong😭 pdhl aku suka naik TJ karena adem ac nya huaa,Lahhh ? ? Aku kalo mau ke jombor pake apa dong pdhl aku suka naik TJ karena adem ac nya huaa
1872656612411974107,Fri Dec 27 14:51:43 +0000 2024,sydudeee,@barengwarga Hehhhh orang² demo bukan buat lu isilop kocak. Kekkk gue di dalem busway sampe bilang DIHHHH orang demo ditunjukan sama orang² budeg yg gamau dengerin masyarakat yg ngumpet di dalem kantor yg adem pake ac itu BUKANN BUAT LU GEDEG ANJRIGGG,0,0,in,@barengwarga Hehhhh orang² demo bukan buat lu isilop kocak. Kekkk gue di dalem busway sampe bilang DIHHHH orang demo ditunjukan sama orang² budeg yg gamau dengerin masyarakat yg ngumpet di dalem kantor yg adem pake ac itu BUKANN BUAT LU GEDEG ANJRIGGG,Hehhhh orang demo bukan buat lu isilop kocak . Kekkk gue di dalem busway sampe bilang DIHHHH orang demo ditunjukan sama orang budeg yg gamau dengerin masyarakat yg ngumpet di dalem kantor yg adem pake ac itu BUKANN BUAT LU GEDEG ANJRIGGG
1872558315106115773,Fri Dec 27 08:21:07 +0000 2024,woncatjjang,"Dari sunter ke kemang tadi cuma 1,5 jam NAIK TJ WKWKWKWKWKKWWKKW ADEM BENER WKWKWKKWK",0,0,in,"Dari sunter ke kemang tadi cuma 1,5 jam NAIK TJ WKWKWKWKWKKWWKKW ADEM BENER WKWKWKKWK","Dari sunter ke kemang tadi cuma 1 , 5 jam NAIK TJ WKWKWKWKWKKWWKKW ADEM BENER WKWKWKKWK"
1872483670961082779,Fri Dec 27 03:24:30 +0000 2024,saniparlan28,Enak bngat sekarang naik busway  Adem nyaman.  Trimksh org baik,0,0,in,Enak bngat sekarang naik busway  Adem nyaman.  Trimksh org baik,Enak bngat sekarang naik busway Adem nyaman . Trimksh org baik
1872478723578187943,Fri Dec 27 03:04:51 +0000 2024,inidikok,"Ke kantor gak make daleman gini ya rasanya adem juga 😵‍💫 yang gua takutin cuman 1 , takut busway penuh tar ada yang megang 🥲 https://t.co/oMJyWXGje1",0,3,in,"Ke kantor gak make daleman gini ya rasanya adem juga 😵‍💫 yang gua takutin cuman 1 , takut busway penuh tar ada yang megang 🥲 https://t.co/oMJyWXGje1","Ke kantor gak make daleman gini ya rasanya adem juga yang gua takutin cuman 1 , takut busway penuh tar ada yang megang"
1870953651533119756,Sun Dec 22 22:04:45 +0000 2024,ThamJoshDannDre,"@Tan_Mar3M Duh kalau naik kereta sekarang udah adem, aman, pintunya keren, mewah  Sebelum Pak Jokowi presiden? Yakin ada whoosh mewah Jakarta Bandung?  Ada nggak? Yakin kalau ada KRL, MRT, lrt, transit busway mewah bukan zaman Pak Jokowi gituh ? Speaker doang banyak mulut gak beraturan lagi",1,1,in,"@Tan_Mar3M Duh kalau naik kereta sekarang udah adem, aman, pintunya keren, mewah  Sebelum Pak Jokowi presiden? Yakin ada whoosh mewah Jakarta Bandung?  Ada nggak? Yakin kalau ada KRL, MRT, lrt, transit busway mewah bukan zaman Pak Jokowi gituh ? Speaker doang banyak mulut gak beraturan lagi","Duh kalau naik kereta sekarang udah adem , aman , pintunya keren , mewah Sebelum Pak Jokowi presiden ? Yakin ada whoosh mewah Jakarta Bandung ? Ada nggak ? Yakin kalau ada KRL , MRT , lrt , transit busway mewah bukan zaman Pak Jokowi gituh ? Speaker doang banyak mulut gak beraturan lagi"
1870637413972005170,Sun Dec 22 01:08:08 +0000 2024,FayaLusaka,"Kopi Maru, pilihanku dan Ida kalo bingung mau ngopi dimana. Selain karena tamarin pressonya yg enak, tempatnya juga adem. Abis itu lokasinya juga deket dari kos Ida, dan kalo aku akses tj nya cepet, ga begitu jauh jalan dari turun di halte Juanda. https://t.co/K3fe96VCA6",0,0,in,"Kopi Maru, pilihanku dan Ida kalo bingung mau ngopi dimana. Selain karena tamarin pressonya yg enak, tempatnya juga adem. Abis itu lokasinya juga deket dari kos Ida, dan kalo aku akses tj nya cepet, ga begitu jauh jalan dari turun di halte Juanda. https://t.co/K3fe96VCA6","Kopi Maru , pilihanku dan Ida kalo bingung mau ngopi dimana . Selain karena tamarin pressonya yg enak , tempatnya juga adem . Abis itu lokasinya juga deket dari kos Ida , dan kalo aku akses tj nya cepet , ga begitu jauh jalan dari turun di halte Juanda ."
1870461870483853461,Sat Dec 21 13:30:36 +0000 2024,maduTJ957,@chocollatae_ Adem ya admin nya kek idolanya adem ayem positif vibes,0,2,in,@chocollatae_ Adem ya admin nya kek idolanya adem ayem positif vibes,Adem ya admin nya kek idolanya adem ayem positif vibes
