"id","created_at","username","full_text","retweets","likes","lang"
"1918607907907920302","Sat May 03 10:05:45 +0000 2025","gevtsema","rute tj 8n lama bngettt","0","0","in"
"1918535384751059354","Sat May 03 05:17:35 +0000 2025","yasashimaru","@PT_Transjakarta rute S61 ini busnya dateng setaun sekali apa gimana? Kok lama banget","0","0","in"
"1918520165215412425","Sat May 03 04:17:06 +0000 2025","akutehorangbaik","@Godong_kluthuk Beli emoney nya mandiri, coba beli di mesin yang ada di halte tj nyaa","0","0","in"
"1918504849349525765","Sat May 03 03:16:14 +0000 2025","jslsblaa","@Rabbiyaya Mrt lebih enak, turun di stasiun istora kak, atau tj turun di halte yang deket FX sudirman","0","0","in"
"1918500878371152335","Sat May 03 03:00:28 +0000 2025","parkjimiiinnn13","@jk_ily13 Iyaaa makanyaa, kalo bawa motor enak malemnya selesai konser ga bingung naik apa tapi siangnya itu panas+macet, kalo gojek yaa lumayanlah ongkosnya, kalo tj aku takut salah2 halte karna belum pernah pergi2 sendirian pake tj 😭","0","0","in"
"1918486297863164016","Sat May 03 02:02:31 +0000 2025","MoXweet","Tolong @PT_Transjakarta pembayaran/top up menggunakan Bank DKI agar diberesin, ini mesin kartu di Flyover Pasar Rebo tidak bisa menerima top up kartu Jak Card ke Bank DKI dari kemarin menurut keterangan petugas di sini https://t.co/WCfbUM8iX1","0","0","in"
"1918481365433237594","Sat May 03 01:42:55 +0000 2025","onurself1","ASJAKKSKS TJ S21 BENERAN GANIAT KERJA JIR! UDAH MAH DITUNGGUIN LAMA, NGARET MULU, SEKALINYA DATENG CEPET² MAU JALAN! MINIMAL MAH KL DI HALTE YG RAME BISA NUNGGUIN PENUMPANG 5 MENIT KEK! ANJIR ANJIR GW DAH KESEL BGT","0","0","in"
"1918367719747207499","Fri May 02 18:11:20 +0000 2025","shinomera","@PT_Transjakarta intinya saya nunggu di bus stop itu jam 21.30 - 21.45, 2 armada lewat dan 22nya ngebut kaya org kesetanan","0","0","in"
"1918367276572786888","Fri May 02 18:09:34 +0000 2025","Anything081122","@PT_Transjakarta Naik 6V nya dri halte kebayoran lama kan?","0","0","in"
"1918364727518154888","Fri May 02 17:59:27 +0000 2025","ohmygeulis","Sekarang tj tap in sama tap out kepotong yak? Kok kena dua kali bayar anjir https://t.co/xnfcjSuxK1","0","0","in"
"1918332558703841312","Fri May 02 15:51:37 +0000 2025","288juta","kurang sabar apa gw nunggu dijemput di halte TJ ujan ujanan udh sejam lebih, taunya yg jemput nunggunya di LRT :)","0","0","in"
"1918321148531745249","Fri May 02 15:06:17 +0000 2025","Anything081122","@PT_Transjakarta info rute ke halte pejaten dr halte kebayoran lama","0","0","in"
"1918311388138873020","Fri May 02 14:27:30 +0000 2025","kentankkentaki2","kek di TJ tuh lama bgt jirr ga sampe2 jadi cape mampus mana macet poll🤧 yg niatnya mau turun di halte mana tapi ga kuat alhasil turun lebih cepet di halte yg lain krn udah ga sanggup berdiri samsek😭😭","0","0","in"
"1918289706745540947","Fri May 02 13:01:20 +0000 2025","bryans98","Kayanya gue pernah beli jajanan di dalam halte TJ matraman trus pas scan QRIS dia keluar suaranya jg kalo transaksi nya masuk. Bagus sih kaya gitu","0","0","in"
