id,created_at,username,text,retweets,likes,lang
1918971840640282859,Sun May 04 10:11:54 +0000 2025,RafifFadhlurra4,@jihanrafaaa @PT_Transjakarta Silahkan naik JAK.07 jurusan Grogol turun di Jl Tanjung Gedong lalu naik JAK.30 jurusan Meruya turun di Halte TJ Kebon Jeruk,0,0,in
1918970238168645804,Sun May 04 10:05:32 +0000 2025,txtdariahnaf,@howdareuu Kan ilang jatoh di tije?,0,0,in
1918968316783427839,Sun May 04 09:57:54 +0000 2025,Folkastri,@PT_Transjakarta @PT_Transjakarta Tolong di bantu rute transjakarta dari halte pinang ranti ke halte tj ( atau Jak lingko) terdekat dari alamat cempaka putih tengah no 19,0,0,in
1918966933975867776,Sun May 04 09:52:24 +0000 2025,ncv1997well,@PT_Transjakarta terimakasih tije!,0,0,in
1918964801117512191,Sun May 04 09:43:55 +0000 2025,uraffection_,"Gw msh srg nyebutnya busway. Msh inget bgt dulu pertama kali diajak naik busway sama papa waktu belio msh dinas di jkt. Kyknya gw umur 10, pokoknya masih sd. Tiketnya jg msh pake karcis dulu. Warna nya masih oren logonya msh elang bondol. Skrng malah jadi transport tiap hari gw",0,0,in
1918963862319116403,Sun May 04 09:40:12 +0000 2025,queenssii,"Mau info bagi yang merasa ketinggalan HP di busway rute pasar baru-lebak bulus sekitar puku 16.35, HPnya ada di petugas halte juanda. Bukan gw yang nemuin, tapi tadi sama penumpang dititipkan ke petugas halte. Kalo ga salah namanya wafy.",2,0,in
1918962688937566353,Sun May 04 09:35:32 +0000 2025,youngkyeomi,"@PT_Transjakarta kak, mohon info rute transjakarta dari ciputat ke 18 office park dongg",0,0,in
1918962637980709331,Sun May 04 09:35:20 +0000 2025,NdreeAtShade,"@ezash Sebelum ada Gojek/Grab, ada Ojek Pangkalan. Tapi saya pribadi lebih banyak menggunakan PPD, Mikrolet, Kopaja ataupun Metromini untuk ke mana2. Sebelum ada Transjakarta, dulu dari rumah ke Gramedia Matraman, naik bis PPD no  213. Sekarang paling tidak 2-3 kali ganti Transjakarta.",0,0,in
1918962521362379259,Sun May 04 09:34:52 +0000 2025,journeywithApr,"@riginsane rigin…gereja santo yohanes deket taman barito blok m itu aksesnya gampang kokk. kalo naik mrt bisa turun di blok m, kalo busway bisa turun disekitar situ juga",0,0,in
1918961014206566496,Sun May 04 09:28:53 +0000 2025,citrus_ed,"TIL ikon Kota Jakarta adalah elang bondol dan salak condet, sumpil kukira itu beneran asal comot dari kacang garuda waktu pertama kali naik busway tahun 2010-an wkwkwk",0,0,in
1918960631572488287,Sun May 04 09:27:21 +0000 2025,Massthoms,@PT_Transjakarta Itu semua busway besar yg belakangnya terbungkus iklan... Milik MB atau lainnya.... Unt rute ya semua rute ada...,0,0,in
1918955116637372718,Sun May 04 09:05:26 +0000 2025,jimmyvw_,"@ezash Kalo buat transportasi saya ada privilege tinggal di Jakarta yang transportasinya udah bagus dari dulu, berangkat kerja naik angkot di depan gang rumah ke arah PGC trus nyambung busway ke Citraland. Setaun kerja disana bisa kredit beat fi pertama. Jadi gak signifikan ya.",0,0,in
1918952322266443785,Sun May 04 08:54:20 +0000 2025,arxgyu,Next bikin di Halte Busway Kapal Bunderan HI,0,0,in
1918951316321394714,Sun May 04 08:50:20 +0000 2025,soogewd_,"@PT_Transjakarta halo selamat sore min, aku mau tanya kalo rute transjakarta dari ciputat ke 18 office park di jl. tb simatupang, ps. minggu bisa naik tranjakarta yg mana ya? mohon petunjuknya 🙏",0,0,in
1918950164426842287,Sun May 04 08:45:46 +0000 2025,danalingga,@ezash Kalo jakarta sama saja sih secara kemana2 bisa naik Transjakarta + KRL.  Daerah yang beda jauh.,0,0,in
1918948724224504093,Sun May 04 08:40:02 +0000 2025,dysvm,"Barusan naik busway trus ada ibu2 berdiri dekat gw karna dia siap2 mau turun. Tangannya ibu itu pegangan di bangku depan gw. Trus, gw salfok sama jam tangannya merk “rolex”. Seketika di otak gw “what?! Rolex?!” Tp gw gak tau jg sih itu real or fake. (Cont) -&gt;",0,0,in
1918947634926264554,Sun May 04 08:35:43 +0000 2025,lucielaaaa,Baru kali ini naik busway sesepi ini https://t.co/VGtMTHUOBu,0,2,in
1918947054228836505,Sun May 04 08:33:24 +0000 2025,deluciomark,@.transjakarta tolong 🙏🏻,0,1,in
1918943539079315656,Sun May 04 08:19:26 +0000 2025,pelawak234MC,"Lagi jalan lewat di depan Bapak2 lagi ngobrol gitu, terus kedengeran obrolannya  “Ra sengojo mlebu jalur busway, terus ketilang”  (Ga sengaja masuk jalur busway, terus ke tilang (polisi)) 😅 😬",0,0,in
1918941249634975803,Sun May 04 08:10:20 +0000 2025,kheliumsaturn,UDAH HAMPIR SETENGAH JAM KALI Y GUE NUNGGUIN BUSWAY KALIDERES DR MONAS?!!,0,0,in
1918940833631318476,Sun May 04 08:08:41 +0000 2025,theogidn,"4. Taman Literasi Martha Christina Tiahahu (Melawai, Jakarta Selatan)  Nah, Opiniators—khususnya Gen Z mungkin familiar sama perpustakaan satu ini. Lokasinya strategis banget, berada di samping Stasiun MRT Blok M BCA dan Halte Transjakarta. https://t.co/ahaNCoUjJC",0,0,in
1918936359252939079,Sun May 04 07:50:54 +0000 2025,_hinomoori,"@aya_zel Ooooohhh pantesan. Soalnya dulu tuh enak may aku dari kelapa gading sampe trisakti ada metromini yang langsung jadi ga perlu ganti2 rute transjakarta, terus ke ui juga ada bis langsung jadi tinggal tidur aja tau2 dah sampe 😅",0,0,in
1918935084167839767,Sun May 04 07:45:50 +0000 2025,QUADRUPLECHASER,@edibas81 @soeyoto1 Coba kalo pagi lu liat di jalanan Murid sekolah kalo pagi seliweran naik motor baik ortunya yg antar atau dia sendiri bawa motor tapi ga pada paham aturran lalu lintas 1. Gapake helm 2. Lawan arah 3. Naik trotoar 4. Masuk jalur busway 5. Sambil merokok 6. Plat nomor belakang gada,0,2,in
1918934929095733350,Sun May 04 07:45:13 +0000 2025,Sandzoo_,"@lboromrah Gagitu juga bro, ladang orek tempe pergi ke rendang juga kawin lari. Lagi pula jeruk juga terbang lewat Sydney trus juga apa hubungannya matahari sama transjakarta kan angin merah jadi 2 kali 24 wajib lapor😎🤟",0,0,in
1918934613642170388,Sun May 04 07:43:58 +0000 2025,ReiiiiinWithYou,ini di halte transjakarta senayan jcc yh https://t.co/4IwHYL7dUj,0,0,in
1918930929977839906,Sun May 04 07:29:20 +0000 2025,mediokere,Dulu pas kecil gue nyebutnya busway 🤣🤣🤣,0,0,in
1918928046154825975,Sun May 04 07:17:52 +0000 2025,restofmyloe,@yoongisgurl_ masih di busway 😓,0,0,in
1918927253406171470,Sun May 04 07:14:43 +0000 2025,bawangbomgay,ini semua salah anaxa merah bawa koper yaa @ dede tlg buatkan jj untukku boleh  anway busway surat cintamu semangat memed dan ucup by  https://t.co/q39gJd05r0,0,0,in
1918924808214986794,Sun May 04 07:05:00 +0000 2025,Albizaenal17,@amanterkendaly Kakwkwk bntar lg busway hi kew,0,0,in
1918924021241962824,Sun May 04 07:01:53 +0000 2025,aisyrahmatillah,"Gila ya ini level awareness soal bobroknya Mecima udah di level, di tempat apapun gue duduk perasaan semua orang bahasnya itu. Di Tije, lagi makan di resto, duduk di lobby mall, dan juga ditanyain temen-temen yang tau aku mau nonton konser ini. Sangat cocok memang dgn meme ini 🤡 https://t.co/kCzKNYphBi",1,0,in
1918921952926072898,Sun May 04 06:53:40 +0000 2025,enczzz,"Kapan diri ini bisa kayak gtu, di mrt/transjakarta",0,0,in
1918921090178621496,Sun May 04 06:50:14 +0000 2025,bobagorenng,@nicolbers ku kira semua halte busway ada toiletnya,0,0,in
1918919971482063028,Sun May 04 06:45:47 +0000 2025,KimTaeNa_V,@chaveziex Sambil baca di busway otw gbk 💃,0,0,in
1918916126274146353,Sun May 04 06:30:30 +0000 2025,notyourparamour,"@PT_Transjakarta min, info halte TJ yg ada water station untuk refill air minum, makasii",0,0,in
1918914966410629567,Sun May 04 06:25:54 +0000 2025,dearestggvk,Ini se isi busway army tp ga berani nyapa😭,0,0,in
1918914453393088732,Sun May 04 06:23:52 +0000 2025,the9798,min dari tmi ke rawa buaya naik tj rute ap ya @PT_Transjakarta,0,0,in
1918911399377694996,Sun May 04 06:11:43 +0000 2025,wonpilnasution,@keloropil yeongwon lagi makan siang sama oma opa kanada keliling jakarta cobain transjakarta 🥰🫶🏻,0,0,in
