id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1774224374725484646,Sat Mar 30 23:57:09 +0000 2024,penjiah,"@mhuseinali Ke kota yg minim transum tu malesnya gini, selain macet ya kemana"" susah kalo ga ada kendaraan. Terus karna abis tinggal 2 tahun di jkt gw bilang gini pasti diomelin ""alasan ga mau di rumab"" katanya. Padahal itu make sense, sbg pengguna jaklingko, tj, dan krl sejati. Transum itu-",0,1,in,"@mhuseinali Ke kota yg minim transum tu malesnya gini, selain macet ya kemana"" susah kalo ga ada kendaraan. Terus karna abis tinggal 2 tahun di jkt gw bilang gini pasti diomelin ""alasan ga mau di rumab"" katanya. Padahal itu make sense, sbg pengguna jaklingko, tj, dan krl sejati. Transum itu-","Ke kota yg minim transum tu malesnya gini , selain macet ya kemana "" susah kalo ga ada kendaraan . Terus karna abis tinggal 2 tahun di jkt gw bilang gini pasti diomelin "" alasan ga mau di rumab "" katanya . Padahal itu make sense , sbg pengguna jaklingko , tj , dan krl sejati . Transum itu -"
1774224191849668902,Sat Mar 30 23:56:25 +0000 2024,perapern,ebjir se tj lagi sama dis cuy👊🏻😁,0,0,in,ebjir se tj lagi sama dis cuy👊🏻😁,ebjir se tj lagi sama dis cuy
1774223045659357443,Sat Mar 30 23:51:52 +0000 2024,Aprils0nne,"Ndoshta vendos Meriton Ilnisa Heidi, mqs e kane tradhetuar 🤪 e mqs duan te faktorizojne dhe ciftin tj  #bbvipal",0,3,in,"Ndoshta vendos Meriton Ilnisa Heidi, mqs e kane tradhetuar 🤪 e mqs duan te faktorizojne dhe ciftin tj  #bbvipal","Ndoshta vendos Meriton Ilnisa Heidi , mqs e kane tradhetuar e mqs duan te faktorizojne dhe ciftin tj"
1774222269885403406,Sat Mar 30 23:48:47 +0000 2024,giumyy,"Dulu pernah kejebak di halte busway mayestik atau apa ya yg arah blok m dan layang, demi kuyub anjir wkwk",0,1,in,"Dulu pernah kejebak di halte busway mayestik atau apa ya yg arah blok m dan layang, demi kuyub anjir wkwk","Dulu pernah kejebak di halte busway mayestik atau apa ya yg arah blok m dan layang , demi kuyub anjir wkwk"
1774221484074107125,Sat Mar 30 23:45:39 +0000 2024,Kongengkong,dari rumah di bekasi ke gbk naek krl sambung busway ganyampe 10 ribu. Jalan kaki dari stasiun ke halte + berdiri sempit2an di kereta dengan AC yg dingin lebih baik sih ketimbang elf yg kursinya keras dan geter mulu sepanjang jalan dari pala ampe titit gua...,0,0,in,dari rumah di bekasi ke gbk naek krl sambung busway ganyampe 10 ribu. Jalan kaki dari stasiun ke halte + berdiri sempit2an di kereta dengan AC yg dingin lebih baik sih ketimbang elf yg kursinya keras dan geter mulu sepanjang jalan dari pala ampe titit gua...,dari rumah di bekasi ke gbk naek krl sambung busway ganyampe 10 ribu . Jalan kaki dari stasiun ke halte + berdiri sempit2an di kereta dengan AC yg dingin lebih baik sih ketimbang elf yg kursinya keras dan geter mulu sepanjang jalan dari pala ampe titit gua . . .
1774218438191563075,Sat Mar 30 23:33:33 +0000 2024,anotherspesies,"Masnya punya hobi yg berhubungan sama otomotif, jd ya ga jauh2 bahas motor, mobil, bus, tj, perkakas, ya gitu gitu lah wkwk Aqu sama masnya beda 5 thn. Seru sih jd dpt ilmu baru tp sayang kenapa cuma hts yhaaaa 🫠 https://t.co/8dWOdT1JIy",0,0,in,"Masnya punya hobi yg berhubungan sama otomotif, jd ya ga jauh2 bahas motor, mobil, bus, tj, perkakas, ya gitu gitu lah wkwk Aqu sama masnya beda 5 thn. Seru sih jd dpt ilmu baru tp sayang kenapa cuma hts yhaaaa 🫠 https://t.co/8dWOdT1JIy","Masnya punya hobi yg berhubungan sama otomotif , jd ya ga jauh2 bahas motor , mobil , bus , tj , perkakas , ya gitu gitu lah wkwk Aqu sama masnya beda 5 thn . Seru sih jd dpt ilmu baru tp sayang kenapa cuma hts yhaaaa"
1774217714116317659,Sat Mar 30 23:30:41 +0000 2024,pewarisansifat,huffft tj 6h KNP LAMA BANGEEETTT 😔,0,0,in,huffft tj 6h KNP LAMA BANGEEETTT 😔,huffft tj 6h KNP LAMA BANGEEETTT
1774216582702710823,Sat Mar 30 23:26:11 +0000 2024,pewarisansifat,mana sih tj 6h lama bgt,0,0,in,mana sih tj 6h lama bgt,mana sih tj 6h lama bgt
1774212349076914503,Sat Mar 30 23:09:21 +0000 2024,ILMeatGuy,@LaTulip_Mike Klingon 🖖 is walling TJ up.,0,0,in,@LaTulip_Mike Klingon 🖖 is walling TJ up.,Klingon is walling TJ up .
1774208265641152830,Sat Mar 30 22:53:08 +0000 2024,reretamtam,"@mhuseinali Ada yg bangga cenah soalnya bandung pergerakannya lambat, kalah bangga 😂 moal bisa org bdg paboro2 naek krl, busway",0,0,in,"@mhuseinali Ada yg bangga cenah soalnya bandung pergerakannya lambat, kalah bangga 😂 moal bisa org bdg paboro2 naek krl, busway","Ada yg bangga cenah soalnya bandung pergerakannya lambat , kalah bangga moal bisa org bdg paboro2 naek krl , busway"
1774207458644561965,Sat Mar 30 22:49:55 +0000 2024,chocohazelnudd,wkwk random bgt anjir tiba2 keinget perjuangan diri ini yg setiap pagi harus naik tangga ke koridor 13 demi menedapatkan tj yg cepet dan tepat waktu😭👍🏻,0,0,in,wkwk random bgt anjir tiba2 keinget perjuangan diri ini yg setiap pagi harus naik tangga ke koridor 13 demi menedapatkan tj yg cepet dan tepat waktu😭👍🏻,wkwk random bgt anjir tiba2 keinget perjuangan diri ini yg setiap pagi harus naik tangga ke koridor 13 demi menedapatkan tj yg cepet dan tepat waktu
1774202062219403739,Sat Mar 30 22:28:29 +0000 2024,SuciSeptania,"@mhuseinali Bener bgt. Kurang bgt tranportasi umum meanwhile di sini kebantu bgt ada krl, tj, mrt, lrt, jaklingko",0,0,in,"@mhuseinali Bener bgt. Kurang bgt tranportasi umum meanwhile di sini kebantu bgt ada krl, tj, mrt, lrt, jaklingko","Bener bgt . Kurang bgt tranportasi umum meanwhile di sini kebantu bgt ada krl , tj , mrt , lrt , jaklingko"
1774200765139329488,Sat Mar 30 22:23:20 +0000 2024,journtales,"alasan gue ga milih magang di bdg = minim transum. soalnya ga dikasih motor, kalo hari2 gojek boncos jir.  kenapa ga damri? jujur damrinya enak tapi ga punya jalur khusus kyk transjakarta, jdi ttp kena macet. sgt ngabisin waktu sampe berjam-jam. Buah Batu-BEC bisa samp 2 jam lbh",0,0,in,"alasan gue ga milih magang di bdg = minim transum. soalnya ga dikasih motor, kalo hari2 gojek boncos jir.  kenapa ga damri? jujur damrinya enak tapi ga punya jalur khusus kyk transjakarta, jdi ttp kena macet. sgt ngabisin waktu sampe berjam-jam. Buah Batu-BEC bisa samp 2 jam lbh","alasan gue ga milih magang di bdg = minim transum . soalnya ga dikasih motor , kalo hari2 gojek boncos jir . kenapa ga damri ? jujur damrinya enak tapi ga punya jalur khusus kyk transjakarta , jdi ttp kena macet . sgt ngabisin waktu sampe berjam - jam . Buah Batu - BEC bisa samp 2 jam lbh"
1774198231036989611,Sat Mar 30 22:13:15 +0000 2024,JFarquhard57998,@PutridLobster TJ/Minkah,0,1,in,@PutridLobster TJ/Minkah,TJ / Minkah
1774196493001634034,Sat Mar 30 22:06:21 +0000 2024,rantpunyasa,@auvroras Alah katanya mau naik tj,0,0,in,@auvroras Alah katanya mau naik tj,Alah katanya mau naik tj
1774195047317336198,Sat Mar 30 22:00:36 +0000 2024,littlemarkie_,"Tapi bener sih, gue yg gabisa bawa mobil beneran terbantu banget sama transum di Jakarta, terutama Transjakarta dan MRT. Riil berguna dan murah! Terus nyaman juga kok asal mau jalan kaki dikit wkwkwkwk",0,0,in,"Tapi bener sih, gue yg gabisa bawa mobil beneran terbantu banget sama transum di Jakarta, terutama Transjakarta dan MRT. Riil berguna dan murah! Terus nyaman juga kok asal mau jalan kaki dikit wkwkwkwk","Tapi bener sih , gue yg gabisa bawa mobil beneran terbantu banget sama transum di Jakarta , terutama Transjakarta dan MRT . Riil berguna dan murah ! Terus nyaman juga kok asal mau jalan kaki dikit wkwkwkwk"
1774192669193113718,Sat Mar 30 21:51:09 +0000 2024,Bbem37,@KunataELuizit @thaatbleo @Behindyouu_ @Behindyouu_  nk zhgenjen kurre  ajo tj na paska ber blloke 😅😂😂,0,0,in,@KunataELuizit @thaatbleo @Behindyouu_ @Behindyouu_  nk zhgenjen kurre  ajo tj na paska ber blloke 😅😂😂,nk zhgenjen kurre ajo tj na paska ber blloke
1774188130238861418,Sat Mar 30 21:33:07 +0000 2024,holaholathere11,first time ke hi tengah malem (jam 11) naek Tj... seru banget tp CAPEEEEE https://t.co/KTtLeETgm5,0,0,in,first time ke hi tengah malem (jam 11) naek Tj... seru banget tp CAPEEEEE https://t.co/KTtLeETgm5,first time ke hi tengah malem ( jam 11 ) naek Tj . . . seru banget tp CAPEEEEE
1774187889754259570,Sat Mar 30 21:32:10 +0000 2024,ranacuy,Trauma nonton konser di Bandung karena jarak dr venue ke hotel cuma 2 kilo-an tapi sampe 2 jam pesen gojek🤣 di Jakarta nonton konser jalan dikit udh ketemu halte busway,0,1,in,Trauma nonton konser di Bandung karena jarak dr venue ke hotel cuma 2 kilo-an tapi sampe 2 jam pesen gojek🤣 di Jakarta nonton konser jalan dikit udh ketemu halte busway,Trauma nonton konser di Bandung karena jarak dr venue ke hotel cuma 2 kilo - an tapi sampe 2 jam pesen gojek di Jakarta nonton konser jalan dikit udh ketemu halte busway
1774187658111025200,Sat Mar 30 21:31:15 +0000 2024,7dsnay3,@ikramoevsky Nti ta curtis jones tj jiik m9wd,0,2,in,@ikramoevsky Nti ta curtis jones tj jiik m9wd,Nti ta curtis jones tj jiik m9wd
1774187344062775711,Sat Mar 30 21:30:00 +0000 2024,buckIeydiaz,42. Cyrus &amp; TJ (Andi Mack) https://t.co/RGnefqTB2Y,50,683,ht,42. Cyrus &amp; TJ (Andi Mack) https://t.co/RGnefqTB2Y,42 . Cyrus & TJ ( Andi Mack )
1774187127800311905,Sat Mar 30 21:29:08 +0000 2024,pinepi__,"Skrg udh 2 th kerja di jkt setelah pernah kuliah di bdg. Juga ketawa😅 Dulu ga pernah bisa jalan2 di bdg kalo engga pake motor. Skrg kalo keliling jkt cuma modal kaki sama saldo emoney doang. Kemana2 ada tj sama krl, gampang lah",0,2,in,"Skrg udh 2 th kerja di jkt setelah pernah kuliah di bdg. Juga ketawa😅 Dulu ga pernah bisa jalan2 di bdg kalo engga pake motor. Skrg kalo keliling jkt cuma modal kaki sama saldo emoney doang. Kemana2 ada tj sama krl, gampang lah","Skrg udh 2 th kerja di jkt setelah pernah kuliah di bdg . Juga ketawa Dulu ga pernah bisa jalan2 di bdg kalo engga pake motor . Skrg kalo keliling jkt cuma modal kaki sama saldo emoney doang . Kemana2 ada tj sama krl , gampang lah"
1774185249192435818,Sat Mar 30 21:21:40 +0000 2024,gloria87hippo,"@txtdrjkt sebenernya udah sering ditwit sama akun TJ, kalau banyak bus arah Tn. Abang dialihkan rutenya gegara kepadatan lalin. lha kok masih aja pada uju nyali ke sono 😂😂😂",0,0,in,"@txtdrjkt sebenernya udah sering ditwit sama akun TJ, kalau banyak bus arah Tn. Abang dialihkan rutenya gegara kepadatan lalin. lha kok masih aja pada uju nyali ke sono 😂😂😂","sebenernya udah sering ditwit sama akun TJ , kalau banyak bus arah Tn . Abang dialihkan rutenya gegara kepadatan lalin . lha kok masih aja pada uju nyali ke sono"
1774183713594859940,Sat Mar 30 21:15:34 +0000 2024,ozaenzenzen,"issue di jalur ini - jalur ini transumnya cuma ke cover tj, itupun juga ngga full semua  - jalur ini banyak perkantoran - udh overload kendraaan via tol atau jalur biasa - proyek jalan &amp; galian ga kelar-kelar - kalo macet?☠️ eh iya macet mulu ya di sini",0,0,in,"issue di jalur ini - jalur ini transumnya cuma ke cover tj, itupun juga ngga full semua  - jalur ini banyak perkantoran - udh overload kendraaan via tol atau jalur biasa - proyek jalan &amp; galian ga kelar-kelar - kalo macet?☠️ eh iya macet mulu ya di sini","issue di jalur ini - jalur ini transumnya cuma ke cover tj , itupun juga ngga full semua - jalur ini banyak perkantoran - udh overload kendraaan via tol atau jalur biasa - proyek jalan & galian ga kelar - kelar - kalo macet ? eh iya macet mulu ya di sini"
1774182051140567412,Sat Mar 30 21:08:58 +0000 2024,yeolumine,"Emg paling bener kl di krw tu mkn jan di resto yg terkenal/di dlm mall. Ud paling bener makan nasgor kambing emperan dpn bayukarta,sego pecel di tj.pura,sate kambing&amp;ayam di gempol&amp;sop janda juga sm ofc pecel lele podomoro👍🏻",0,0,in,"Emg paling bener kl di krw tu mkn jan di resto yg terkenal/di dlm mall. Ud paling bener makan nasgor kambing emperan dpn bayukarta,sego pecel di tj.pura,sate kambing&amp;ayam di gempol&amp;sop janda juga sm ofc pecel lele podomoro👍🏻","Emg paling bener kl di krw tu mkn jan di resto yg terkenal / di dlm mall . Ud paling bener makan nasgor kambing emperan dpn bayukarta , sego pecel di tj . pura , sate kambing & ayam di gempol & sop janda juga sm ofc pecel lele podomoro"
1774181725717094439,Sat Mar 30 21:07:40 +0000 2024,rastafawa,@kdrama_menfess bisa-bisanya mimpi soocheol kuliah di UNJ naik busway wkwkwk,0,0,in,@kdrama_menfess bisa-bisanya mimpi soocheol kuliah di UNJ naik busway wkwkwk,bisa - bisanya mimpi soocheol kuliah di UNJ naik busway wkwkwk
1774181468648226884,Sat Mar 30 21:06:39 +0000 2024,ychannny27,Hirap pilitin ni tj pota!,0,1,tl,Hirap pilitin ni tj pota!,Hirap pilitin ni tj pota !
1774181263106281604,Sat Mar 30 21:05:50 +0000 2024,fdhlmuhammad_,Bandung kan deket Jakarta. Harusnya bisa dong adopsi dikit aja konsep transjakarta atau krl 🤣,0,0,in,Bandung kan deket Jakarta. Harusnya bisa dong adopsi dikit aja konsep transjakarta atau krl 🤣,Bandung kan deket Jakarta . Harusnya bisa dong adopsi dikit aja konsep transjakarta atau krl
1774181157346963529,Sat Mar 30 21:05:25 +0000 2024,d_blueside,Bekasi juga sama. Walau ada LRT dan TJ satu jalur tetep aja gojek kemana mana,0,0,in,Bekasi juga sama. Walau ada LRT dan TJ satu jalur tetep aja gojek kemana mana,Bekasi juga sama . Walau ada LRT dan TJ satu jalur tetep aja gojek kemana mana
1774179901136048224,Sat Mar 30 21:00:25 +0000 2024,Fajarswna,"Ciee selamat habede pin, stop bawa motor di jalur busway anjing, stop juga nerobos lampu merah!!!!",0,0,in,"Ciee selamat habede pin, stop bawa motor di jalur busway anjing, stop juga nerobos lampu merah!!!!","Ciee selamat habede pin , stop bawa motor di jalur busway anjing , stop juga nerobos lampu merah ! ! ! !"
1774179877828354511,Sat Mar 30 21:00:20 +0000 2024,Lihatorang,"@mhuseinali Sebagai orang bandung yang merantau ke jakarta juga uda jalan 3 taunan,  berasa kalo punya alternatif transportasi umum tu senagih itu ya.. Sebelum menetap pun uda sering bolak balik"" Jkt, dan ngerasain TJ era awal dan KRL era pra-Jonan. Bandung asa euweuh perkembangan pisan..",0,0,in,"@mhuseinali Sebagai orang bandung yang merantau ke jakarta juga uda jalan 3 taunan,  berasa kalo punya alternatif transportasi umum tu senagih itu ya.. Sebelum menetap pun uda sering bolak balik"" Jkt, dan ngerasain TJ era awal dan KRL era pra-Jonan. Bandung asa euweuh perkembangan pisan..","Sebagai orang bandung yang merantau ke jakarta juga uda jalan 3 taunan , berasa kalo punya alternatif transportasi umum tu senagih itu ya . . Sebelum menetap pun uda sering bolak balik "" Jkt , dan ngerasain TJ era awal dan KRL era pra - Jonan . Bandung asa euweuh perkembangan pisan . ."
1774178587610067248,Sat Mar 30 20:55:12 +0000 2024,enoughempty_,"Bandung butuh mrt, sm busway 🙏🏻",0,2,in,"Bandung butuh mrt, sm busway 🙏🏻","Bandung butuh mrt , sm busway"
1774177705593815422,Sat Mar 30 20:51:42 +0000 2024,SemiCartamatic,TJ…. Dang it.,0,0,in,TJ…. Dang it.,TJ . Dang it .
1774175193285669191,Sat Mar 30 20:41:43 +0000 2024,mOondddyy,"td guee makan di penyetan aeon mall tj barat mba mba kasirnya judes bgt anjing najis mampus. buat lo mba yg td ngelayanin guee gd senyumnya samsek, gue makan disitu bayar woi ga minta saatt!!",0,0,in,"td guee makan di penyetan aeon mall tj barat mba mba kasirnya judes bgt anjing najis mampus. buat lo mba yg td ngelayanin guee gd senyumnya samsek, gue makan disitu bayar woi ga minta saatt!!","td guee makan di penyetan aeon mall tj barat mba mba kasirnya judes bgt anjing najis mampus . buat lo mba yg td ngelayanin guee gd senyumnya samsek , gue makan disitu bayar woi ga minta saatt ! !"
1774171762030149782,Sat Mar 30 20:28:05 +0000 2024,ImranCh18614097,Janab yh sb mily howay hai jo aj yha tj pochy hai,0,0,in,Janab yh sb mily howay hai jo aj yha tj pochy hai,Janab yh sb mily howay hai jo aj yha tj pochy hai
1774169655533248727,Sat Mar 30 20:19:43 +0000 2024,PrestoHODL,@TJSNIPE @inkonbtc sup tj https://t.co/80szvbDDTK,0,7,in,@TJSNIPE @inkonbtc sup tj https://t.co/80szvbDDTK,sup tj
