id,created_at,username,text,retweets,likes,lang
1778570872099582369,Thu Apr 11 23:48:34 +0000 2024,alleyshaa,"doi pemasukan terbesarnya keknya dari hotincream, madu tj, sama clear deh😭😭",0,0,in
1778569320471364074,Thu Apr 11 23:42:24 +0000 2024,mayaprh,"Min, busway 4F beroperasi kan? @PT_Transjakarta",0,0,in
1778568623985963061,Thu Apr 11 23:39:38 +0000 2024,0NLYBONDELLE,/play palagi by tj monterde/ #donbelle: ✨ https://t.co/1IdsUG4JxL,264,1043,in
1778567048534413791,Thu Apr 11 23:33:23 +0000 2024,iucabitazz,"yg ga cuman omdo doang, action &gt;, suka ngadu dan clingy, tj, apa aja diceritain, bisa ngedrama bareng, suka anak kecil, family man, pekerja keras, kl manggil aku tu bukan yu atau han.",0,1,in
1778566820821377029,Thu Apr 11 23:32:28 +0000 2024,RioOchou,@NyaiNeneng Orang yaman mirip anies cmn pinter rombak sanasini ..koridor busway Tosari udah dirombak gak taunya rombak berulang² nama2 rumah sakit nama jalan semua diganti anies bgt pula dgn nadiem gak punya ide brilian unt majukan pendidikan cuman ubah sanasini mending seragam digratisin,0,0,in
1778566550532104474,Thu Apr 11 23:31:24 +0000 2024,calecifer,guys infokan apakah margo/aeon tj barat rame banget? maaf mall-nya itu-itu lagi soalnya gue emang orang sini T___T,0,0,in
1778565656545214892,Thu Apr 11 23:27:51 +0000 2024,xoxocrisakillah,@moreeyff JAJQKWNWKWKKQAKAKQNQ TJ,0,0,in
1778565512404054221,Thu Apr 11 23:27:16 +0000 2024,adprlaw87,"@ProfessorUno mahirap bang maintindihan ng ""senandok"" na ito ang termino na ""busway""🤔 malamang, wala ni isang batas naipasa nito kasi ""busway"" pa lang hirapan ng intindihin😎😎😎",1,1,tl
1778563067640754472,Thu Apr 11 23:17:34 +0000 2024,tanyarlfes,"Aku punya temen kerja A yg sering pulang bareng naik TJ. Si A ini ""ngomongin"" B, padahal ya B ini baik bgt sama A. Dari awal A masuk yg ajarin si B, A stress diajak nongkrong sama B. Beberapa kali aku bareng B, gak pernah sekalipun kita ngomongin org. Gila ya dunia kerja 💚",0,6,in
1778561407736291564,Thu Apr 11 23:10:58 +0000 2024,Steve_Dangle,TJ buddy lol,1,124,ht
1778560024912199917,Thu Apr 11 23:05:28 +0000 2024,postcardfrome,@PT_Transjakarta halo utk tj 6A / 6 dari ragunan beroperasi normal kah hari ini? sama 4C juga normal gk ya dr patra kuningan?,0,0,in
1778559441153208414,Thu Apr 11 23:03:09 +0000 2024,Ayuniversexy,Anyway busway semalem gw bilang SEE YOU IN MY DREAMS sama Suk tapi mimpinya ketemu Sahi 😭🤣,0,0,in
1778555209889038625,Thu Apr 11 22:46:20 +0000 2024,bobotoh_arsenal,@RadioElshinta Lokasinya bawah dari fly over tj duren-kemanggisan. Memang miniim penerangan dibawah situ di tambah abangnya baju warna gelap 😐,0,0,in
1778552821018739132,Thu Apr 11 22:36:51 +0000 2024,WaianaeHamo,"@_MLFootball Tua, Herbert, Allen, TJ Watt, Terry Mclaurin",0,0,in
1778551348989993081,Thu Apr 11 22:31:00 +0000 2024,AYoungBuc,@BrandonPerna Tampa Bay taking TJ Tampa? https://t.co/1LiL1CcJ99,0,0,in
1778550031148347824,Thu Apr 11 22:25:45 +0000 2024,kayarayaaaaa,Pake kartu jaklingko biru juga bisa dapet harga 10k/3h. Asal mau repot WA CS jaklingko dan bersedia nunggu s/d 14 hari.   Malah kadang bisa dapet harga 8k (MRT + TJ).  Hehehehe,0,0,in
1778546293717286982,Thu Apr 11 22:10:54 +0000 2024,mahuiwaga,"what eaf hanggang panaginip na lang ni tj yung buntis siya, author-nim!?! 😭 — 😭😭😭 https://t.co/SGZ7ZXBwaZ",0,27,tl
1778546056768135338,Thu Apr 11 22:09:58 +0000 2024,georgiarealist,@TJS12145 @jerry_tuxedo Hi TJ &amp; Angel! #nipclub,0,2,tl
1778540808230298100,Thu Apr 11 21:49:07 +0000 2024,Klausii003,Uji uji bertet iliri 😂 #bbvipal na kishe mungu fifi mezi t presim me bo rrafidhaten bigun tj se helikopterin e bone te ku 😂 https://t.co/06OtslWktC,0,2,in
1778526846650577398,Thu Apr 11 20:53:38 +0000 2024,khiacoochie,"@starfess btw busway, ini mereka dulu kukenalin nder. Biar mereka akrab aja, soalnya kalo gaada ak nnti mereka nolep",0,0,in
1778519283699696105,Thu Apr 11 20:23:35 +0000 2024,kazukikun_,"@tanyarlfes Enak krl njir, tj mumeettty",0,0,in
1778515665780920521,Thu Apr 11 20:09:12 +0000 2024,0VERSEASBALLER,@Isleepaddict @tjsjbackup Tj my darg,0,0,in
1778514664110108979,Thu Apr 11 20:05:13 +0000 2024,whosvrel,@pucihayi Kapan endnya? Aku terakhir baca yg sampe tj ditendang...,0,0,in
1778512972949725278,Thu Apr 11 19:58:30 +0000 2024,AliYdarwish12,@MilanPosts Tj Thiaw,0,0,in
1778508102259687600,Thu Apr 11 19:39:09 +0000 2024,coreyzinho,@Fitz_437 @CDCarter13 TJ Yates erasure,0,0,in
1778507109283299610,Thu Apr 11 19:35:12 +0000 2024,Only1evy2020,@rawsalerts Dang TJ,0,0,in
1778504254019285139,Thu Apr 11 19:23:51 +0000 2024,anjnavrro,ahhh kaiyaq naman yung Palagi ni TJ Monterde,0,0,in
1778499990492692717,Thu Apr 11 19:06:55 +0000 2024,JJ11991,@convomf Minum air kurma ya kak. Beli aja kurma TJ di apotek terus campur 1 SDM kurma ke dalam segelas air hangat. Selain kecapekan takutnya kakak kekurangan trombosit.,0,1,in
1778499877636382926,Thu Apr 11 19:06:28 +0000 2024,RDKlick,@JVillainsPod TJ Yeldon erasure,0,0,in
1778499856278962216,Thu Apr 11 19:06:23 +0000 2024,gentrifybimbo,"@FuzaFirdaus @iqbalpwr pontianak kl mau LRT, cukup yg modelan trem aja. jalur ny dibikin buat mengakomodir bus jg. selain jd jalur trem, bisa jg jd busway  tp mungkin jalur ny bakal perlu masuk ke bawah tanah kl mau sebrang sungai landak",0,0,in
1778495279752491302,Thu Apr 11 18:48:12 +0000 2024,chocoocheezy,"Bayangin keluar mrt bundaran HI tuh kan mau ke tj nya tinggal nyebrang kan? INI TEMEN W NGIDE LEWAT TANGGA MRT ANJ????? Dengan ketawa2nya dia blg ""sebenernya gua tau bisa langsung, tp kalian keliatan lemes dan ngantuk sih jadi gua ajak lewat sini aja"" ASSSUUUUUU 😭😭😭😭🖕🏻🖕🏻🖕🏻",0,0,in
1778489992802607235,Thu Apr 11 18:27:11 +0000 2024,dumpman_eth,@TheJanitor108 GM TJ https://t.co/OI89SVt0p7,0,0,in
1778489233835241838,Thu Apr 11 18:24:10 +0000 2024,chikikaho,"kalo pas lagi naik krl/tj mungkin bisa soalnya rutenya itu2 aja kann jd aku sudah terbiasa sm jalanannya. tp kalo ke tempat baru tuh kayak sayang kalo gak merhatiin jalan, gedung2 tinggi, riuhnya kota, halte2, stasiun, dan tempat2 lainnya 🥹 rawan pusing jg sih hapean di mobil",0,0,in
1778488690303713614,Thu Apr 11 18:22:01 +0000 2024,ST0BEYI,BYEEE MAU TIDUR SUDAH CAPEK karena hari dari jam 9.00 — 18.00  jalan seharian naik lrt &amp; tj 🚇🚄 terus aku beli si cimit 😘🤏🏻 lalu aku KETIDURAN SAMPE JAM 9 baruu belajar sampai sekarang hihi dan mau bobo bye all semoga aku &amp; kalian lulus pilihan pertama snbt 2024!🌟 https://t.co/G9kZTNPyHu,0,54,in
1778488008523854269,Thu Apr 11 18:19:18 +0000 2024,flaviusxz,"keluar tj tbtb ujan gimana baliknya coba, mana gocar gk ada yg mau ngambil 😔",0,4,in
1778481264481419677,Thu Apr 11 17:52:30 +0000 2024,septiandwijaya7,"Padahal baru jadi ini Halte Grogol, bocor parah #transjakarta https://t.co/ZcHLQpeoeI",0,0,in
1778480675353673886,Thu Apr 11 17:50:10 +0000 2024,raincloudie,@Melliflzuous lgieh naik tj 😭😭😭☝🏻,0,0,in
1778480447313560059,Thu Apr 11 17:49:15 +0000 2024,raincloudie,tba2 bgt naik tj 😭🤏🏻 https://t.co/vBKrpr0lmt,0,0,in
1778480421468025217,Thu Apr 11 17:49:09 +0000 2024,AliCh3299,@4ABBU Tj jesy kutti k bacho ki wja sy Pakistan bdnam ha begeart dagardally Kisi gashti maa ki olad,0,0,in
1778477846220189966,Thu Apr 11 17:38:55 +0000 2024,Wibi01291283,@bond0labadi Busway jam segini ada ?,0,0,in
1778476996160536724,Thu Apr 11 17:35:33 +0000 2024,allmarein,@tanyarlfes Bisa kalo hidup sebulan minimal pp tj,0,0,in
1778476570685972529,Thu Apr 11 17:33:51 +0000 2024,oh_nicee,@oldschoolboy29 @Shiva_pooniya tj bhaiyaaa,0,1,in
1778470277397233773,Thu Apr 11 17:08:51 +0000 2024,sleepingbeasty_,"@PT_Transjakarta minn maap yak klo aku katro karena anak baru. kemarin naik tj dan pas di halte tujuanku petugasnya ga ngebukain pintu tengah deket pak supir, itu gimana ya min? akhirnya aku ketok2 tp rada malu karena diliatin penumpang lain huhu (haltenya halte tvri btw)",0,0,in
1778469200807538803,Thu Apr 11 17:04:34 +0000 2024,fatherfcker2,@kantorgojek Transjakarta?,0,0,pl
1778468648145072425,Thu Apr 11 17:02:22 +0000 2024,vixienthusiast,@R0SIEPREMACY palagi nalang ni tj,0,0,in
1778468520092971335,Thu Apr 11 17:01:52 +0000 2024,Don_Crondol,@TheEagle_BEN @ABjodohComeback Setia budi ya geser sikit dri ringroad simpang tj. Sari wkwkwkwkwkk,0,2,in
1778467664207491555,Thu Apr 11 16:58:28 +0000 2024,ranwaskobochan,INI SERIUSAN JADI GINI😭???? anjir gw sejak lulus sd gpernah ke sana lagi padahal sering lewat halte olimo kalo naik tj,0,0,in
1778460699838267456,Thu Apr 11 16:30:47 +0000 2024,cubidjerk,"@_natnatjean 9grams Petojo, Sudut Satu Tj. Duren",0,1,in
1778459457095397872,Thu Apr 11 16:25:51 +0000 2024,azqalfad,@_syahdilan @RadioElshinta anyinggg kolong tj duren,0,0,tl
1778459452917862761,Thu Apr 11 16:25:50 +0000 2024,congorkangbitna,@tanyakanrl Nama halte busway arah raguna pasar rumput 🤣,0,0,in
1778457343044555125,Thu Apr 11 16:17:27 +0000 2024,zeronol0,"@arkhamclinic Kebiasaan masuk jalur busway ya gini, karena ga ada hukuman tegas ya akhirnya gini...",0,0,in
1778457326808449315,Thu Apr 11 16:17:23 +0000 2024,coppiseyy,"alah temennya bacot,   gue yg langsung DEG waktu ke bsd ice pas 1st concert txt kek heh.. DIRI INI LELAH bergelut dengan kemacetan dan gedung tinggi jalan gatot subroto jam 6 sore 😭😭🤏🏻 literally gue 6 bulan terakhir di 2022 berkelahi dengan rush hour di busway",0,0,in
1778457268746613124,Thu Apr 11 16:17:09 +0000 2024,heymayyyyy,@txtdrjkt klo mau ke pantai ancol caranya gimana nyambung dari halte busway,0,0,in
1778457015532069248,Thu Apr 11 16:16:09 +0000 2024,Netizen4442,@tjwimz gm Tj 👾,0,0,in
1778456615202779627,Thu Apr 11 16:14:33 +0000 2024,arashxxttt,"@tanyarlfes bisa, kalau tj mah aku jago kalau krl serahkan kepada yang maha kuasa",0,0,in
1778453610596282875,Thu Apr 11 16:02:37 +0000 2024,adhit2542,"@w_i_d_h_i @yukkyarzupro @TMCPoldaMetro @PT_Transjakarta @TfJakarta @adriansyahyasin Iya deh iya biar dah menang lu, lebaran males debat sama orang yang gak pantes diajak debat. Opini subjektif semua. Mana jadi 2 kelas gitu, emang busway dibuat supaya pengguna kenpri gak nyaman dan pindah ke Transum bodoh.",0,2,in
1778451817564881296,Thu Apr 11 15:55:30 +0000 2024,bbrubee_e,@tanyarlfes pluit-pinang ranti rute terpanjang TJ kan yaa,0,0,in
1778451154743312789,Thu Apr 11 15:52:51 +0000 2024,xone111xx,@txtdrjkt Kebiasaan menerobos jalur busway,0,0,in
1778450937008558434,Thu Apr 11 15:52:00 +0000 2024,w_i_d_h_i,"@RafifFadhlurra4 @yukkyarzupro @TMCPoldaMetro @PT_Transjakarta @TfJakarta @adriansyahyasin Yg plg bikin macet itu mobil. Komuter pemobil gak bakal mau beralih jika disodori mikrotrans, meskipun hanya utk ke halte TJ terdekat. Udah saatnya angkot di-upgrade plg tdk ke Hi-Ace agar pemobil yg huniannya selama ini hanya bisa diakses angkot mau beralih ke transum.",0,0,in
1778450512222032153,Thu Apr 11 15:50:18 +0000 2024,tijel_af,"@tanyarlfes gabisa anjh w buta maksimal kl tj, perna salah arah malah mo ke monas jau bgt fakkk. bisanya baca krl",0,0,in
1778447356087996818,Thu Apr 11 15:37:46 +0000 2024,shannonacasa,@PT_Transjakarta min besok tj dari juanda dan petojo beroperasi normal kan?,0,0,in
1778447311645130786,Thu Apr 11 15:37:35 +0000 2024,1993Ridwan50784,@vinawulan6 Pernah ngalamin ke Bali naik busway mogok kehabisan solar g mau lagi naik bis wkwk,0,0,in
