id,created_at,username,text,retweets,likes,lang
1774224374725484646,Sat Mar 30 23:57:09 +0000 2024,penjiah,"@mhuseinali Ke kota yg minim transum tu malesnya gini, selain macet ya kemana"" susah kalo ga ada kendaraan. Terus karna abis tinggal 2 tahun di jkt gw bilang gini pasti diomelin ""alasan ga mau di rumab"" katanya. Padahal itu make sense, sbg pengguna jaklingko, tj, dan krl sejati. Transum itu-",0,1,in
1774224191849668902,Sat Mar 30 23:56:25 +0000 2024,perapern,ebjir se tj lagi sama dis cuy👊🏻😁,0,0,in
1774223045659357443,Sat Mar 30 23:51:52 +0000 2024,Aprils0nne,"Ndoshta vendos Meriton Ilnisa Heidi, mqs e kane tradhetuar 🤪 e mqs duan te faktorizojne dhe ciftin tj  #bbvipal",0,3,in
1774222269885403406,Sat Mar 30 23:48:47 +0000 2024,giumyy,"Dulu pernah kejebak di halte busway mayestik atau apa ya yg arah blok m dan layang, demi kuyub anjir wkwk",0,1,in
1774221484074107125,Sat Mar 30 23:45:39 +0000 2024,Kongengkong,dari rumah di bekasi ke gbk naek krl sambung busway ganyampe 10 ribu. Jalan kaki dari stasiun ke halte + berdiri sempit2an di kereta dengan AC yg dingin lebih baik sih ketimbang elf yg kursinya keras dan geter mulu sepanjang jalan dari pala ampe titit gua...,0,0,in
1774218438191563075,Sat Mar 30 23:33:33 +0000 2024,anotherspesies,"Masnya punya hobi yg berhubungan sama otomotif, jd ya ga jauh2 bahas motor, mobil, bus, tj, perkakas, ya gitu gitu lah wkwk Aqu sama masnya beda 5 thn. Seru sih jd dpt ilmu baru tp sayang kenapa cuma hts yhaaaa 🫠 https://t.co/8dWOdT1JIy",0,0,in
1774217714116317659,Sat Mar 30 23:30:41 +0000 2024,pewarisansifat,huffft tj 6h KNP LAMA BANGEEETTT 😔,0,0,in
1774216582702710823,Sat Mar 30 23:26:11 +0000 2024,pewarisansifat,mana sih tj 6h lama bgt,0,0,in
1774212349076914503,Sat Mar 30 23:09:21 +0000 2024,ILMeatGuy,@LaTulip_Mike Klingon 🖖 is walling TJ up.,0,0,in
1774208265641152830,Sat Mar 30 22:53:08 +0000 2024,reretamtam,"@mhuseinali Ada yg bangga cenah soalnya bandung pergerakannya lambat, kalah bangga 😂 moal bisa org bdg paboro2 naek krl, busway",0,0,in
1774207458644561965,Sat Mar 30 22:49:55 +0000 2024,chocohazelnudd,wkwk random bgt anjir tiba2 keinget perjuangan diri ini yg setiap pagi harus naik tangga ke koridor 13 demi menedapatkan tj yg cepet dan tepat waktu😭👍🏻,0,0,in
1774202062219403739,Sat Mar 30 22:28:29 +0000 2024,SuciSeptania,"@mhuseinali Bener bgt. Kurang bgt tranportasi umum meanwhile di sini kebantu bgt ada krl, tj, mrt, lrt, jaklingko",0,0,in
1774200765139329488,Sat Mar 30 22:23:20 +0000 2024,journtales,"alasan gue ga milih magang di bdg = minim transum. soalnya ga dikasih motor, kalo hari2 gojek boncos jir.  kenapa ga damri? jujur damrinya enak tapi ga punya jalur khusus kyk transjakarta, jdi ttp kena macet. sgt ngabisin waktu sampe berjam-jam. Buah Batu-BEC bisa samp 2 jam lbh",0,0,in
1774198231036989611,Sat Mar 30 22:13:15 +0000 2024,JFarquhard57998,@PutridLobster TJ/Minkah,0,1,in
1774196493001634034,Sat Mar 30 22:06:21 +0000 2024,rantpunyasa,@auvroras Alah katanya mau naik tj,0,0,in
1774195047317336198,Sat Mar 30 22:00:36 +0000 2024,littlemarkie_,"Tapi bener sih, gue yg gabisa bawa mobil beneran terbantu banget sama transum di Jakarta, terutama Transjakarta dan MRT. Riil berguna dan murah! Terus nyaman juga kok asal mau jalan kaki dikit wkwkwkwk",0,0,in
1774192669193113718,Sat Mar 30 21:51:09 +0000 2024,Bbem37,@KunataELuizit @thaatbleo @Behindyouu_ @Behindyouu_  nk zhgenjen kurre  ajo tj na paska ber blloke 😅😂😂,0,0,in
1774188130238861418,Sat Mar 30 21:33:07 +0000 2024,holaholathere11,first time ke hi tengah malem (jam 11) naek Tj... seru banget tp CAPEEEEE https://t.co/KTtLeETgm5,0,0,in
