id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1.78002E+18,Mon Apr 15 23:59:20 +0000 2024,ApingValer40783,@PT_Transjakarta harusnya kalo T11 diganti jadi low-deck tuh rutenya dibalikin lagi sampe bunsen atau justru diperpanjang sampai monas. Bener-bener aneh kalo yg bikin kebijakan bukan pengguna mah,0,0,in,@PT_Transjakarta harusnya kalo T11 diganti jadi low-deck tuh rutenya dibalikin lagi sampe bunsen atau justru diperpanjang sampai monas. Bener-bener aneh kalo yg bikin kebijakan bukan pengguna mah,pt_transjakarta harusnya kalo T11 diganti jadi low - deck tuh rutenya dibalikin lagi sampe bunsen atau justru diperpanjang sampai monas . Bener - bener aneh kalo yg bikin kebijakan bukan pengguna mah
1.78002E+18,Mon Apr 15 23:58:26 +0000 2024,aL_moert,"@PT_Transjakarta min, apakah rute 7A dan 7E masih beroperasi",0,0,in,"@PT_Transjakarta min, apakah rute 7A dan 7E masih beroperasi","pt_transjakarta min , apakah rute 7A dan 7E masih beroperasi"
1.78002E+18,Mon Apr 15 23:57:49 +0000 2024,SonoraFM92,06.07 Mobil menabrak Pembatas Busway sekitar pukul 04.30 Wib didepan Gedung Smesco Jl. Gatot Subroto Jaksel arah Semanggi dan sekitar pukul 05.15 Wib saat ini sudah selesai proses evakuasi &amp; penderekan lalu  lintas normal kembali @TMCPoldaMetro https://t.co/SLqslJOvK4,0,0,in,06.07 Mobil menabrak Pembatas Busway sekitar pukul 04.30 Wib didepan Gedung Smesco Jl. Gatot Subroto Jaksel arah Semanggi dan sekitar pukul 05.15 Wib saat ini sudah selesai proses evakuasi &amp; penderekan lalu  lintas normal kembali @TMCPoldaMetro https://t.co/SLqslJOvK4,06 . 07 Mobil menabrak Pembatas Busway sekitar pukul 04 . 30 Wib didepan Gedung Smesco Jl . Gatot Subroto Jaksel arah Semanggi dan sekitar pukul 05 . 15 Wib saat ini sudah selesai proses evakuasi & penderekan lalu lintas normal kembali
1.78002E+18,Mon Apr 15 23:57:44 +0000 2024,sukakmatcha,@PT_Transjakarta KALO EMG UDH NORMAL KENAPA GA ADA YG STAND BY SAMA SEKALI DI PORIS? UDH GILA YA?,0,1,in,@PT_Transjakarta KALO EMG UDH NORMAL KENAPA GA ADA YG STAND BY SAMA SEKALI DI PORIS? UDH GILA YA?,pt_transjakarta KALO EMG UDH NORMAL KENAPA GA ADA YG STAND BY SAMA SEKALI DI PORIS ? UDH GILA YA ?
1.78002E+18,Mon Apr 15 23:56:28 +0000 2024,sukakmatcha,@PT_Transjakarta ke arah poris?? lama bgt gila? satu doang emg bisnya??? ini T12???,0,0,in,@PT_Transjakarta ke arah poris?? lama bgt gila? satu doang emg bisnya??? ini T12???,pt_transjakarta ke arah poris ? ? lama bgt gila ? satu doang emg bisnya ? ? ? ini T12 ? ? ?
1.78002E+18,Mon Apr 15 23:55:32 +0000 2024,211Tije,@queendump75240 Mereka sadar ga sih kalo yang shipper-in mereka setengah dunia. Gemes banget lihat chemistrynya. Sampe selebritis aja pada demam BaekHong,0,16,in,@queendump75240 Mereka sadar ga sih kalo yang shipper-in mereka setengah dunia. Gemes banget lihat chemistrynya. Sampe selebritis aja pada demam BaekHong,Mereka sadar ga sih kalo yang shipper - in mereka setengah dunia . Gemes banget lihat chemistrynya . Sampe selebritis aja pada demam BaekHong
1.78002E+18,Mon Apr 15 23:53:52 +0000 2024,sukakmatcha,INI T11 SAMA T12 BENERAN GA ADA YG STAND BY DARI TERMINAL PORIS? @PT_Transjakarta,0,0,in,INI T11 SAMA T12 BENERAN GA ADA YG STAND BY DARI TERMINAL PORIS? @PT_Transjakarta,INI T11 SAMA T12 BENERAN GA ADA YG STAND BY DARI TERMINAL PORIS ? pt_transjakarta
1.78002E+18,Mon Apr 15 23:52:11 +0000 2024,211Tije,"@rouderst @tanyarlfes Ya Allah lucu banget. Tapi memang bayi2 suka begitu, makan sampe ketiduran 😂😂",0,3,in,"@rouderst @tanyarlfes Ya Allah lucu banget. Tapi memang bayi2 suka begitu, makan sampe ketiduran 😂😂","Ya Allah lucu banget . Tapi memang bayi2 suka begitu , makan sampe ketiduran"
1.78002E+18,Mon Apr 15 23:50:52 +0000 2024,ApingValer40783,@PT_Transjakarta coba yg bikin kebijakan T11 diganti jadi low-deck suruh ngantor naik T11 atau S11 biar tau rasanya kena macet berkali-kali lipat karena bukan di jalur khusus tj. Emang ga mikir bakal berapa banyak orang yg dimarahin sama atasannya gara² telat dateng ke kantor,1,0,in,@PT_Transjakarta coba yg bikin kebijakan T11 diganti jadi low-deck suruh ngantor naik T11 atau S11 biar tau rasanya kena macet berkali-kali lipat karena bukan di jalur khusus tj. Emang ga mikir bakal berapa banyak orang yg dimarahin sama atasannya gara² telat dateng ke kantor,pt_transjakarta coba yg bikin kebijakan T11 diganti jadi low - deck suruh ngantor naik T11 atau S11 biar tau rasanya kena macet berkali - kali lipat karena bukan di jalur khusus tj . Emang ga mikir bakal berapa banyak orang yg dimarahin sama atasannya gara telat dateng ke kantor
1.78002E+18,Mon Apr 15 23:50:47 +0000 2024,211Tije,"My bias and me, something that we have in common 🥰😅 Niatnya mau beli rak estetik, tapi belum kesampean 😆 https://t.co/SVDO874fxM",0,8,in,"My bias and me, something that we have in common 🥰😅 Niatnya mau beli rak estetik, tapi belum kesampean 😆 https://t.co/SVDO874fxM","My bias and me , something that we have in common Niatnya mau beli rak estetik , tapi belum kesampean"
