id,created_at,username,full_text,retweets,likes,lang,original_tweet,cleaned_full_text
1.78256E+18,Mon Apr 22 23:57:35 +0000 2024,afsheen_15,"@PT_Transjakarta Kalau BENAR2 rute 9 n 9C niat d PISAH itu spt rute 9N, penumpang SANGAT sdkt tapi pintu PALING NYAMAN. Sama dgn pintu F khusus Pluit n tdk bercampur dgn penumpang rute 9C. Tapi MISI nya tiap busway jalan HARUS PENUH. MAKANYA ORG MALAS NAIK TRANSPORTASI UMUM Krn d buat TDK NYAMAN",0,0,in,"@PT_Transjakarta Kalau BENAR2 rute 9 n 9C niat d PISAH itu spt rute 9N, penumpang SANGAT sdkt tapi pintu PALING NYAMAN. Sama dgn pintu F khusus Pluit n tdk bercampur dgn penumpang rute 9C. Tapi MISI nya tiap busway jalan HARUS PENUH. MAKANYA ORG MALAS NAIK TRANSPORTASI UMUM Krn d buat TDK NYAMAN","pt_transjakarta Kalau BENAR2 rute 9 n 9C niat d PISAH itu spt rute 9N , penumpang SANGAT sdkt tapi pintu PALING NYAMAN . Sama dgn pintu F khusus Pluit n tdk bercampur dgn penumpang rute 9C . Tapi MISI nya tiap busway jalan HARUS PENUH . MAKANYA ORG MALAS NAIK TRANSPORTASI UMUM Krn d buat TDK NYAMAN"
1.78256E+18,Mon Apr 22 23:52:48 +0000 2024,afsheen_15,"Min @PT_Transjakarta d pinangranti busway rute 9C DMR-0707 SALAH pintu berhenti d rute 9 😡😡 spt nya MISI spy busway awal brngkt kelihatan PENUH, BKN memberikan KENYAMANAN makanya pintu 9C penumpang tetap d gabung sama rute 9. #percumakomplain",0,0,in,"Min @PT_Transjakarta d pinangranti busway rute 9C DMR-0707 SALAH pintu berhenti d rute 9 😡😡 spt nya MISI spy busway awal brngkt kelihatan PENUH, BKN memberikan KENYAMANAN makanya pintu 9C penumpang tetap d gabung sama rute 9. #percumakomplain","Min pt_transjakarta d pinangranti busway rute 9C DMR - 0707 SALAH pintu berhenti d rute 9 spt nya MISI spy busway awal brngkt kelihatan PENUH , BKN memberikan KENYAMANAN makanya pintu 9C penumpang tetap d gabung sama rute 9 ."
1.78256E+18,Mon Apr 22 23:49:39 +0000 2024,diagus_sugianto,"@txtbpn Berharap segera ad trayek angkot yg bagus, dan ad transportasi seperti transjakarta",0,0,in,"@txtbpn Berharap segera ad trayek angkot yg bagus, dan ad transportasi seperti transjakarta","Berharap segera ad trayek angkot yg bagus , dan ad transportasi seperti transjakarta"
1.78256E+18,Mon Apr 22 23:44:14 +0000 2024,RafifFadhlurra4,@Berryberrymuch1 @PT_Transjakarta Sebenarnya dulu ada wacana 7C mau dihapus saat awal LRT beroperasi namun rencana tersebut dibatalkan oleh pihak TJ,0,0,in,@Berryberrymuch1 @PT_Transjakarta Sebenarnya dulu ada wacana 7C mau dihapus saat awal LRT beroperasi namun rencana tersebut dibatalkan oleh pihak TJ,pt_transjakarta Sebenarnya dulu ada wacana 7C mau dihapus saat awal LRT beroperasi namun rencana tersebut dibatalkan oleh pihak TJ
1.78256E+18,Mon Apr 22 23:41:07 +0000 2024,ddnanul,Friendly Transport bagi mereka yang sedang cedera. Tak sengaja bertemu di bus dengan cedera yang sama 😁 thanks @PT_Transjakarta https://t.co/SaVOyE8ZBK,0,0,in,Friendly Transport bagi mereka yang sedang cedera. Tak sengaja bertemu di bus dengan cedera yang sama 😁 thanks @PT_Transjakarta https://t.co/SaVOyE8ZBK,Friendly Transport bagi mereka yang sedang cedera . Tak sengaja bertemu di bus dengan cedera yang sama thanks pt_transjakarta
1.78255E+18,Mon Apr 22 23:34:23 +0000 2024,tristigalvi,min halte yg deket dr Jl. KH.Hasyim Ashari No.50 jkt pusat apa ya @PT_Transjakarta,0,0,in,min halte yg deket dr Jl. KH.Hasyim Ashari No.50 jkt pusat apa ya @PT_Transjakarta,min halte yg deket dr Jl . KH . Hasyim Ashari No . 50 jkt pusat apa ya pt_transjakarta
1.78255E+18,Mon Apr 22 23:06:48 +0000 2024,Berryberrymuch1,"@RafifFadhlurra4 @PT_Transjakarta siapa yg mau cepet2, saya cuma mau barisan Cibubur di BKN, di kasih petugas biar org2 yg pura2 mau buru2 di pinggir luar antrian pas  udh buru2 mau masuk bis, eh malah mundur gajadi naik trs masuk barisan paling depan, sebel bgt, kan kalo ada petugas udh pasti ditegur🥱",0,0,in,"@RafifFadhlurra4 @PT_Transjakarta siapa yg mau cepet2, saya cuma mau barisan Cibubur di BKN, di kasih petugas biar org2 yg pura2 mau buru2 di pinggir luar antrian pas  udh buru2 mau masuk bis, eh malah mundur gajadi naik trs masuk barisan paling depan, sebel bgt, kan kalo ada petugas udh pasti ditegur🥱","pt_transjakarta siapa yg mau cepet2 , saya cuma mau barisan Cibubur di BKN , di kasih petugas biar org2 yg pura2 mau buru2 di pinggir luar antrian pas udh buru2 mau masuk bis , eh malah mundur gajadi naik trs masuk barisan paling depan , sebel bgt , kan kalo ada petugas udh pasti ditegur"
1.78254E+18,Mon Apr 22 22:39:44 +0000 2024,211Tije,"Namjoon's impact to the world. Walaupun masih under review, tapi tetap bangga. Semoga cepat official dan nanti bisa masuk ke KBBI 😊  #방탄소년단RM #RM #김남준 #Namjoon #BTSRM",0,0,in,"Namjoon's impact to the world. Walaupun masih under review, tapi tetap bangga. Semoga cepat official dan nanti bisa masuk ke KBBI 😊  #방탄소년단RM #RM #김남준 #Namjoon #BTSRM","Namjoon ' s impact to the world . Walaupun masih under review , tapi tetap bangga . Semoga cepat official dan nanti bisa masuk ke KBBI #"
1.78252E+18,Mon Apr 22 21:12:46 +0000 2024,RafifFadhlurra4,@Berryberrymuch1 @PT_Transjakarta Kan ke Cibubur sekarang lebih cepat naik LRT ketimbang TJ,0,0,in,@Berryberrymuch1 @PT_Transjakarta Kan ke Cibubur sekarang lebih cepat naik LRT ketimbang TJ,pt_transjakarta Kan ke Cibubur sekarang lebih cepat naik LRT ketimbang TJ
1.7825E+18,Mon Apr 22 19:59:16 +0000 2024,MFHammam,"@Info4_Milanisti Buset dah yg di ganti malah tije, itu rlc ga jelas gitu mainnya di mainin terus",0,0,in,"@Info4_Milanisti Buset dah yg di ganti malah tije, itu rlc ga jelas gitu mainnya di mainin terus","Buset dah yg di ganti malah tije , itu rlc ga jelas gitu mainnya di mainin terus"
