"id","created_at","username","text","retweets","likes","lang"
"1818420429343924347","Tue Jul 30 22:56:29 +0000 2024","Eka4Liong","555 Sutra otw kantor , di tije baru tersadar, kliatannya gw td lupa pake deodorant 😂😂 untung ga hrs lari2 ni pagi.. 🫢😛 https://t.co/ZzkSMw3EzB","0","0","in"
"1818414441735520671","Tue Jul 30 22:32:42 +0000 2024","tije_deumha","@LordninoRHaki Assiah","0","0","in"
"1818322465703231536","Tue Jul 30 16:27:13 +0000 2024","aeritume","Update guys vitur real time di gmaps udhh balik 🕺, makasih @PT_Transjakarta  udhh balikin jadii misuh misuh nunggu tije bakal jarangg ☝🏻","0","0","in"
"1818319052705841584","Tue Jul 30 16:13:39 +0000 2024","cittorari","walopun mungkin cuma 10-20 orang total di kantor yg naik tije, tp kan lumayan juga ya di jam pulangnya","0","0","in"
"1818319048439980270","Tue Jul 30 16:13:38 +0000 2024","cittorari","trs gw kepikiran, ini yg ke stasiun atau ke luar kawasan naik ojol kan banyak ya krn emang ga ada transum di dalem kawasan, trs kalo udah masuk tije, bakal ada gesek2an antara tije atau ojol gk nih 😅","0","0","in"
"1818316084564660564","Tue Jul 30 16:01:51 +0000 2024","913twinkle","this is so real. makanya tiap mau naik tije, semuanya rebutannya buset dah, padahal ada bus selanjutnya di belakang buat koridor yang sama ngantri tapi beda menit aja langsung beda nyampenya jadi kyk its now or sp 😭","0","0","in"
"1818303921062056334","Tue Jul 30 15:13:31 +0000 2024","YayiAbdulMuhyi","aku juga dapat notif dari gugel kalo pelayanan beberapa transum (tije sama jakling, khususnya) jekate dikurangi. gatau dah kenapa, malah direkomendasiin buat ngakses pake rute BRT/NBRT. gak ngerti begituan, but akhir² ini jakling ama tije suka jarang lewat (rute aku doang maybe)","0","0","in"
"1818300132049203598","Tue Jul 30 14:58:28 +0000 2024","oketch7_antony","@silasjakakimba Omeraa boysno be tije tek baa lakini amooor. Cake duong oromoji teee","0","2","in"
"1818296958181843201","Tue Jul 30 14:45:51 +0000 2024","puttheteaa","kalo dari halte kampung melayu ke satria tower naik tije berapa yaaa @PT_Transjakarta","0","0","in"
"1818289787796594892","Tue Jul 30 14:17:22 +0000 2024","cheersofautumn","the thing about naik angkot… banyak pengamen  the thing about naik mikrotrans - tije - mikrotrans-jln kakk… waktunya lebih lama   😭 why cant i have nice things","0","0","in"
"1818282944282374642","Tue Jul 30 13:50:10 +0000 2024","nancholune","@tanyakanrl Dua duanya dong, kalo naik tije itu pas pengen muterin seluruh jakarta, kalo krl itu buat ujicoba belajar transit di keramaian hehehe","0","0","in"
"1818269589173948471","Tue Jul 30 12:57:06 +0000 2024","sheditra","Di tije sebelahan sama ibu² dari awal duduk sampe turun serdawa gak berhenti².   Monmaap, Bu. Bukan gak empati. Tapi mual nyium bau perut tuuuh. Ugh.","0","0","in"
"1818266630180515902","Tue Jul 30 12:45:21 +0000 2024","Bulkskull","@xxatexxaichan @uusbiasaaja Bngst🤣","0","0","in"
"1818257626393887039","Tue Jul 30 12:09:34 +0000 2024","edelazalea","Dih rakyatnya disuruh naik transportasi umum, pejabatnya malah seenaknya serobot jalur layang khusus Tije pake mobil dinas","0","0","in"
